price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Số phòng ngủ
"1,2 tỷ VNĐ",Đường Minh Khai phường Mai Động, 50m2, 5, 2, 1, 1,"Mở Bán Chung Cư Mini Hoàng Mai-Minh Khai, Full Đồ, Chỉ Từ 930tr  🗼🗼🗼Vị Trí  Tòa nhà nằm trong ngõ rộng thoáng, dân chí cao. Cách đường oto tránh chỉ 50m, cách đình làng Mai Động 100m, oto có thể đổ trước cửa tòa nhà. Xung quanh tòa nhà đấy đủ các tiện ích như chợ, siêu thị, trường học, trung tâm thương mại. Chỉ 300m ra mặt đường Minh Khai, 1km ra đại học kinh tế kỹ thuật công nghiệp, 2km ra đại học kinh tế quốc dân, bệnh biện Bạch Mai…. Thuận tiện di chuyển giữa các tuyến đường lớn như: Minh Khai, Bạch Mai, Kim Ngưu, Trương Định, Thanh Nhàn, Giải Phóng…  🚀🚀🚀Thiết Kế  Tòa nhà được thiết kế hiện đại, khép kín với diện tích hợp lý và tối ưu công năng sử dụng. Các căn hộ đều thoáng sáng do có ban công hoặc hệ thống giếng trời thông tầng. Tòa chung cư Hoàng Mai – Minh Khai được thiết kế gồm 1 tầng để xe và 6 tầng căn hộ. Mỗi mặt sàn gồm có 4 căn hộ, trong đó có 2 căn 2 phòng ngủ + 1 khách liền bếp + 1 vệ sinh, 1 căn 1 phòng ngủ + 1 khách liền bếp và 1 nhà vệ sinh. Tòa nhà có đầy đủ thang bộ, thang máy, bảo vệ 24/24 và có camera giám sát đảm bảo an ninh tại nhà xe và cửa ra vào của tòa nhà. Nội thất được bàn giao theo căn hộ gồm có: Tủ bếp trên dưới, bề rửa, bếp từ, hút mùi, thiết bị vệ sinh, bình nóng lạnh, đầu chờ internet, đầu chờ điều hòa…  💰💰💰Giá Bán Căn 2 ngủ + 1 khách + 1 vệ sinh 48m 50m giá chỉ từ 1 tỷ 280tr đến 1 tỷ 350tr. Căn 1 ngủ + 1 khách + 1 vệ sinh 35m giá chỉ từ 930tr đến 950tr. 🚀🚀🚀Pháp Lý Khách hàng được ký hợp đồng trực tiếp với chủ đầu tư không qua môi giới. Nhận giấy tờ pháp lý đầy đủ theo pháp luật hiện hành: Sổ đỏ, giấy phép xây dựng, mặt bằng thiết kế căn hộ, giấy tờ cá nhân của chủ đầu tư. Thanh toán nhanh được chiết khấu cao. Liên hệ trực tiếp chủ đầu tư để mua nhà giá gốc - Add Zalo để nhận video căn hộ.",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795879.3842897, 2
"6,5 tỷ VNĐ",Đường Nguyễn Trãi phường Khương Đình, 147m2, 5, 1, 1, 2,"
    



Chung cư Golden Land 275 Nguyễn Trãi nằm ở vị trí trung tâm quận Thanh Xuân, thuận tiện kết nối nội thành Hà Nội. 
Nằm trong khuôn viên tổng thể nhiều tiện ích đi kèm ngay dưới chân toà nhà: có sân bóng, sân chơi cho trẻ, nhà trẻ, quán cà phê, hàng ăn, siêu thị, ngân hàng, salon tóc, spa..…

Căn hộ chung cư cao cấp sang xịn đẹp, khách chỉ việc sách vali về ở luôn, chủ làm ăn phát đạt, rất chăm chút tỉ mỉ từng chi tiết nội thất nhập khẩu xịn xò cho căn hộ cao cấp tặng lại 99% đồ nội thất như trong ảnh cho chủ mới.
Thiết kế lô góc 4 ngủ, 2 wc, phòng khách, bếp rộng vuông vắn, ban công lô góc 2 phía cực thoáng view đẹp.

Sổ đỏ chính chủ giao dịch ngay.  

",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795880.7582362, 4
"3,85 tỷ VNĐ",Đường Kim Giang phường Hoàng Liệt, 40m2, 4, 4, 4, 3,"+ Nhà xây 4 tầng, mỗi tầng 1 phòng ngủ 1 vệ sinh tổng có 3 phòng ngủ. + Tiện ích xung quanh bạt ngàn, 100m ra KĐT,  đầu ngách 100 có sân chơi cả xóm để ô tô tại đó. ",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795881.9000788, 3
9 tỷ VNĐ,Đường Bát Khối phường Long Biên, 75m2, 5,,,,"
    Đất tái định cư Tư Đình, view hồ, phân lô, vỉa hè, ngõ 2 ô tô tránh, hàng xóm Aeon mall, 75m, MT5m+ Đất tại vị trí khu tái định cư Đắp Nếp Tư Đình, thông Bát Khối, Đàm Quang Trung, Chu Huy Mân, Cổ Linh, Hồng Tiến, Lâm Hạ, Bồ Đề, Nguyễn Văn Cừ, Nguyễn Sơn…, thông trực tiếp ra khu phân lô quân đội A38 Tư Đình, khu 918 Phúc Đồng, hàng xóm  Aeon mall Long Biên, Cầu Trần Hưng Đạo, Cầu Vĩnh Tuy,  BV Tâm Anh.+ Vị trí đất cực đẹp, cạnh đất là dự án quận đang cho nạo vét kè hồ, làm sân chơi to như quảng trường tương lai rạng ngời. + Đất phân lô vuông bàn cờ, ngõ rộng vài ô tô tránh, thông tứ phía+ DIện tích 75m, MT5m, chủ mới xây tòa 7 tầng thang máy view hồ cực đỉnh.+ Sổ đỏ chính chủ sang tên ngay và luôn.Giá chào 120tr/1m, thương lượng mạnh nếu khách thiện chí xuống tiền ngay.LIên hệ Mrs Xuân Kiều ngay khi đất chưa bay.",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795884.134847,
"5,3 tỷ VNĐ",Đường Tây Sơn phường Trung Liệt, 32m2, 3, 3, 6, 5,"
    + Vị trí nhà rất đẹp, cách vài bước chân là ra hồ điều hòa quanh năm thoáng mát, ô tô đỗ sát nhà cách vài mét, bên kia đường là trường Đại học Thủy Lợi, Đại học Công Đoàn, dân trí cao+ Nhà xây mới hoàn toàn, 6 tầng thiết kế hiện đại, đồ đạc nội thất hoàn thiện đầy đủ : giường ngủ, tủ bếp, tủ quần áo ...+ Ngõ vào ô tô chạy vòng quanh, thông thẳng sang phố Thái Hà, kết nối giao thông đến các phố Chùa Bộc, Tây Sơn, Thái Hà, Thái Thịnh, Nguyễn Văn Tuyết+ Sổ đỏ vuông đẹp, giao dịch trong ngày *** Liên hệ Mr Tú ( Call.Sms.Zalo ) - để gặp chủ và tư vấn miễn phí
",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795885.7740674, 4
7 tỷ VNĐ,văn quán, 42m2, 4,, 5, 4,"Bán Nhà! Chiến Thắng. Ô Tô Kinh Doanh 42m2 x 5 tầng. Mặt Tiền 4m Giá 7 Tỷ.  PHÂN LÔ – Ô TÔ – KINH DOANH ĐA DẠNG SIÊU ĐỈNH – NỞ HẬU  + Nhà phân lô chiến Thắng, cách đường Chiến Thắng vài bước chân, giao với các đường Quang Trung, Nguyễn Trãi, Ngã Tư Sở, Vành Đai 3. Ngả đi các hướng nội thành và các tỉnh thành xung quanh thành phố rất thuận tiện. + Nhà gần các trường Đại Học lớn như; Đại Học Kiến Trúc, bưu Chính Viễn Thông, học viện An Ninh. Gần bệnh viện 103, Viện bỏng, Học Viện Quân Y, Chợ Phùng Khoang, Quận Uỷ Hà Đông, Siêu Thị Bigc Hà Đông, Siêu Thị Coopmax, Trung Tâm Thương Mại Roal Anl CiTy cách Hồ Văn Quán vài trăm mét cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an sinh đỉnh, an ninh an toàn. + Nhà nằm trên khu phố sầm uất, buôn bán, kinh doanh, văn phòng và các loại hình dịch vụ rất đa dạng và phát triển. Tương lai khu vực siêu sầm uất.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng Khách, Bếp, Wc  - Tầng 2,3,4: Mỗi tầng 2  phòng ngủ và wc - Tầng 5 : Phòng thờ, sân chơi + Nhà xây dựng bê tông cốt thép rất chắc chắn. Nhà mới đẹp long lanh chủ mới chỉ việc về ở.  Sổ đỏ chính chủ, cất két sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795887.4623706, 6
"4,35 tỷ VNĐ",Đường Trương Định phường Tân Mai, 37m2, 4, 3, 5, 4,"Khu vực trung tâm Quận Hoàng Mai, đi đâu cũng tiện, điện đường trường trạm đủ cả, an sinh đỉnh cao. G.iá chỉ nhỉnh 4 t.ỷ ( thương lượng nhiệt tình ). CHỈ BÁ.N CHO NGƯỜI M.UA ĐỂ Ở. ",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795888.5245335, 3
8 tỷ VNĐ,Đường Nguyễn Chí Thanh phường Láng Thượng, 45m2, 5, 5, 4, 5," - Tầng 1: Phòng khách + phòng ăn (bếp) + wc.    Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7
",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795889.624925, 5
"7,5 tỷ VNĐ",đường Cầu Giấy, 97m2, 13, 2, 1,,"+ ĐC: Đường Cầu Giấy.+ S = 97m2, mặt tiền 13m, giá 7.5 tỷ. Chia lô hoặc xây chung cư mini cho thuê dòng tiền cao. Đầy đủ tiện ích, khu vực đông dân cư, nhộn nhịp sầm uất, dân trí cao, gần nhiều trường Đại học, nhu cầu thuê nhà lớn: Đại học Giao thông Vận tải, Đại học Ngoại thương, Đại học Luật Hà Nội,… Giao thông: Bến xe Mỹ Đình, Xuân Thủy, Cầu Giấy, Quan Hoa, Nguyễn Khang, Láng, La Thành, Kim Mã,… * Sổ đỏ chính chủ, chủ nhà thiện chí, đã xin sẵn giấy phép xây dựng 8 tầng thang máy. * Gọi ngay để xem đất miễn phí, không tiếp môi giới.",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795890.849168, 5
"4,5 tỷ VNĐ",Đường Pháo Đài Láng phường Láng Thượng, 43m2, 4, 3, 4, 3,"ĐÉT ĐÈN ĐẸT - PHỐ VIP - HOA HẬU ĐỐNG ĐA - NGÕ ĐÁ BÓNG - ĐẸP KHÔNG GÓC CHẾT Mua biệt thự, chủ cần bán bớt 1 em siêu mẫu Pháo Đài Láng với thông số chuẩn hoa hậu: 43m x 4T, mt 4m, giá 4.5 tỷ + Nằm trong ngõ 157 Pháo Đài Láng, 80m ra mặt ngõ oto dừng đỗ ngày đêm, 100m ra mặt phố Nguyễn Chí Thanh sầm uất + Đường trước nhà 3 mét, ngõ vào cực kỳ thoáng, văn minh thoáng đẹp + Bãi gửi oto ngay sát nhà, tiện ích cần gì có nấy + Sổ đỏ vuông vắn trước sau như một *** Liên hệ xem nhà: Em Huyền (chuyên Đống Đa, Cầu Giấy):",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795892.7362032, 4
