price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
153 triệu VNĐ/m2,"Phố Bảo Linh, Phường Phúc Tân, Quận Hoàn Kiếm", 77m2,"+ Bán nhà Phố Bảo Linh, DT đất 77m2, Kinh doanh sầm uất, xe oto tải tránh thoải mái. + Vị trí nhà cực kỳ thuận lợi để ở, xây VP cho thuê hoặc Kinh doanh mọi loại hình, cách phố cổ 5 phút. + Sổ đỏ chính chủ, pháp lý chuẩn. + Liên Hệ xem nhà miễn phí: Dũng 0948677782 Chuyên BDS thổ cư Hà Nội.",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827811.2632675,,,,,, 7
5 tỷ VNĐ,79 Trần Cung, 65m2,"Vị trí rất đẹp giao thông thuận tiện. Kinh doanh, oto vào nhà. Về ở ngay, nhà đẹp nhà chủ tự xây khung cột chắc chắn. Khu an sinh tốt, hàng xóm thân thiện, dân trí cao. Gần chợ, gần trường mầm non, tiểu học và trường ĐH Điện lực... Vài phút ra các tuyến đường lớn: Hoàng Quốc Việt, Khu đô thị Nam Cường, Phạm Văn Đồng, Trần Cung, Nghĩa Tân, Tô Hiệu... Sổ đỏ chính chủ, pháp lý rõ ràng, chủ thiện chí bán. Trịnh Hiền (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827812.4640548,,,,,,
"9,5 tỷ VNĐ",mặt ngõ Đê Tô Hoàng, 80m2,"Chuyển đổi cần bán căn nhà ngõ Đê Tô Hoàng Bạch mai HBT, Hà Nội DT 80mx5T có thang máy. giá 9.5 tỷNhà xây khung cột bê tông chắc chắc, kinh doanh ,ô tô chạy qua nhà . Thiết kế hiện đại bao gồm: T1:Sân , phòng khách, bếp, phòng ăn, vệ sinh.T2,3,4 mỗi tầng 3 phòng ngủ vệ sinh .các phòng đều mở cửa sổ.T5 1 phòng thờ, 1 phòng ngủ,1 vệ sinh, sân phơi.Nhà hoàn thiện nội thất cao cấp sàn gỗ , tủ bếp, tay vịn cầu thang, cửa thông phòng làm toàn bằng gỗ tự nhiên , thiết bị vệ sinh nhập khẩu. gia chủ để lại toàn bộ nội thất cho người mua Gồm 10 Điều Hòa, Giường Tủ, Bình nóng lạnh.Vị Trí đẹp ngõ thông kinh doanh, ô tô chạy qua nhà sát Bạch Mai, phố Huế , phía sau là ủy ban nhân dân quậ HBT sát trường tiểu học Tô Hoàng, gần trường cấp 3 Thăng Long , gần công viên thống nhất, nhiều trường ĐH, Bệnh viện mua đầu tư cho thuê hiệu suất cao sổ đỏ chính chủ giá 9.5 tỷ có thương lượng.liên hệ chị Yến ĐT:0702138238",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827813.855367, Đông nam, 3, 5, 10, 10, 5
"12,5 tỷ VNĐ","KĐT Bắc Linh Đàm, Hoàng Mai, Hà Nội", 78m2,"Chính Chủ Bán nhà phân lô KĐT Bắc Linh Đàm. DT 78m2 * 4 tầng giá 12.5 tỷ.+ Nằm trong khu đô thị Bắc Linh Đàm, thoáng mát, vỉa hè khu phân lô ô tô tránh, phù hợp để ở và làm văn phòng công ty.+ Khu vực an ninh tốt, hàng xóm thân thiện, đa phần là doanh nhân thành đạt và quan chức cấp cao.+ Sổ đỏ chính chủ, pháp lý chuẩn, nhà ở rất lắm lộc.+ Thiết kế 4 tầng, nội thất hiện đại, cao cấp, thông minh.- Tầng 1: Gara, khách, bếp, phòng ăn, phụ.- Tầng 2 3: 4 ngủ khép kín, thư viện, phòng làm việc.- Tầng 4: Phòng thờ, phòng công năng, ban công rộng rãi.+ Liên hệ A Thành 0912525146.",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827815.2486057,,,,,,
"7,25 tỷ VNĐ",ngõ 71 Nguyễn An Ninh, 55m2,"Bán nhà phân lô cán bộ Nguyễn An Ninh, thông sang Trần Đại Nghĩa, Hai Bà Trưng, Hà Nội.Diện tích 55m2, 5 tầng mới đẹp, 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, chỉ nẹp gỗ, đèn Led trang trí hiện đại, tiết kiệm điện.- Tầng 1: Phòng Khách, vệ sinh, bếp ăn.- Tầng 2,3,4: Mỗi tầng 2 phòng ngủ rộng có điều hòa, vệ sinh các tầng đã lắp bình nóng lạnh.- Tầng 5: Phòng thờ, sân phơi trước sau.Vị trí đắc địa mặt ngõ rộng ô tô gần nhà, cách phố Nguyễn an Ninh 15m, gần đường Trần Đại Nghĩa kéo dài.Giao thông thuận tiện, thông các ngả.Xung quanh có đầy đủ mọi tiện ích: Gần nhiều trường mầm non, cấp 1, cấp 2. Cách trường Bách Khoa, Xây Dựng, Kinh Tế 500m, gần nhiều bệnh viện lớn như Bạch Mai, Việt Pháp-Sổ đỏ chính chủ, pháp lý rõ ràng-Giá bán 7,25 tỷ ( Có thương lương) liên hệ chị Yến ĐT:0702138238",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827817.0554903, Đông nam, 3, 5, 6, 4, 3
"55,546 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, Tây Hồ, Hà Nội", 168.1m2,"⚜Dự án đẳng cấp bậc nhất tại Udic Westlake Tây Hồ, Hà Nội⚜️✅Tiện ích đầy đủ:👉Công viên hồ điều hòa ,công viên cây xanh👉Bể bơi vô cực, vườn dạo bộ, phòng gym, spar👉Siêu thị, nhà hàng, trung tâm mua sắm- Dự án có pháp lý đầy đủ.- Sổ hồng sở hữu lâu dài.- Giá cực tốt",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827821.7837572, Đông nam,,, 3, 2,
16 tỷ VNĐ,Hà Nội, 75m2,"Bán nhà sổ đỏ phố Ngọc Khánh - SĐT: 0366 555 258.Khu chia lô cán bộ cấp cao, an ninh dân trí đẳng cấp.Nhà còn cực ngon về ở ngay, ô tô vào nhà, thoáng trước sau.Nội thất lung linh. + Vị trí đắc địa, kinh doanh sầm uất. + Sổ đỏ chính chủ. + Khách thiện chí chủ tặng toàn bộ nội thất xịn sò, chỉ việc mang người đến ở. + Giá chào cực mềm chỉ 16 tỷ thương lượng mạnh. + Thiết kế đẹp, đầy đủ công năng.Diện tích 75 m2, 6 tầng thang máy, mặt tiền 5 m.Xem nhà gấp liên hệ nhanh em Thanh - 0366 555 258.",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827823.497231,,,,,,
16 tỷ VNĐ,Hà Nội, 69m2,"Bán nhà đường Nguyễn Công Hoan Ba Đình - 0856 968 656.Diện tích 69 m2, 6 tầng thang máy.Mặt tiền 5.6m.Trước nhà oto tránh, kinh doanh đỉnh.Thiết kế đẹp, nội thất cao cấp. + Tầng 1: Gara ô tô, bếp, wc. + Tầng 2, 3, 4, 5: Các phòng, wc. + Tầng 6: Phòng thờ, sân phơi, tiểu cảnh, tập gym, yoga...Sổ đỏ vuông đét chính chủ.Giá chào chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7 Mr. Bình: 0856 968 656.",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827824.5704596,,,,,,
"6,6 tỷ VNĐ",Xa La Hà Đông, 94m2,"Vị trí: Ngõ trước nhà 2.5m, cách 5m ra điểm ô tô quay đầu , ô tô đậu ngày đêm, cách khu đô thị Xa La 20m, rất phù hợp đầu tư, xây chung cư mi ni, xây nhà thương mại bán.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Ac quan tâm vui lòng gọi cho Thụ : 0977615683 để được tư vấn và xem đất miến phí, gặp trực tiếp chủ ép giá.",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827825.5219514,, 6,,,, 14
"6,6 tỷ VNĐ",Xa La Phúc La Hà Đông, 94m2,"Vị trí: Ngõ trước nhà 2.5m, cách 5m ra điểm ô tô quay đầu , ô tô đậu ngày đêm, cách khu đô thị Xa La 20m, rất phù hợp đầu tư, xây chung cư mi ni, xây nhà thương mại bán.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Ac quan tâm vui lòng gọi cho Thụ : 0977615683 để được tư vấn và xem đất miến phí, gặp trực tiếp chủ ép giá.",13/04/2022,Tin thường,batdongsan_so_com_vn_1673827826.4145706,, 6,,,, 14
