price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Lộ giới,Số toilet,Hướng
"6,45 tỷ VNĐ",Quang Trung- Hà Đông, 58m2, 4,"Bán liền kề Quang Quang, Hà Đông, phân lô, ô tô tránh, vỉa hè kinh doanh, 58m, 4 tầng Bán nhà đẹp thuộc khu phân lô rất đẹp, cách mặt phố Quang Trung chỉ 50m, khu dân trí cao toàn cán bộ rất phù hợp để hợp, làm văn phòng hoặc kinh doanh. Nhà tự xây rất đẹp với 4 tầng thoáng sáng đủ công năng, có vỉa hè rộng đá bóng, đường trước nhà ô tô tránh. Xung quanh có đầy đủ tiện ích gần tàu điện trên cao, chợ, siêu thị, ngân hàng, trung tâm mua sắm gì cũng có, an ninh tuyệt đối, hàng xóm thân thiện. Giao thông di chuyển thuận lợi ra Lê Trọng Tấn, xuống Yên Nghĩa gần Phố Xốm, cạnh trường Chuyên Nguyễn Huệ, di chuyển lên Văn Phú và gần chợ Văn La,… Chủ nhà là doanh nhân thành đạt, nhà ở có lộc, bán đi định cư bên nước ngoài nên cần bán gấp. Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 6.45 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824766.068072,,,,,
7 tỷ VNĐ,La Khê- Hà Đông, 50m2, 5,"Bán Liền kề La Khê, Hà Đông, 50mx 5 tầng, phân lô vỉa hè kinh doanh, ô tô tránh Cần bán liền kề La Khê, Hà Đông khu phân lô có vỉa hè rộng, đường ô tô tránh gần các Khu đô thị xa hoa bậc nhất An Hưng, Dương Nội, Văn Khê. Khu phát triển đồng bộ cao vip, dân trí cao, an ninh tuyệt đối. Nhà xây 5 tầng thoáng sáng đầy đủ công năng hiện đại phù hợp ở, làm văn phòng hoặc kinh doanh. Khu vực văn minh cực hiếm nhà bán. Xung quanh đầy đủ tiện ích của Khu đô thị, môi trường trong lành không ở đây quá phí. Giao thông phát triển thuộc trục chính đi muôn nơi ra Lê Trọng Tấn xuôi về Quang Trung, hàng xóm Ngô Quyền, cạnh Văn Khê, dọc lên Tố Hữu,… Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 7 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824767.2130089,,,,,
7 tỷ VNĐ,La Khê- Hà Đông, 50m2, 5,"Bán Liền kề La Khê, Hà Đông, 50mx 5 tầng, phân lô vỉa hè kinh doanh, ô tô tránh Cần bán liền kề La Khê, Hà Đông khu phân lô có vỉa hè rộng, đường ô tô tránh gần các Khu đô thị xa hoa bậc nhất An Hưng, Dương Nội, Văn Khê. Khu phát triển đồng bộ cao vip, dân trí cao, an ninh tuyệt đối. Nhà xây 5 tầng thoáng sáng đầy đủ công năng hiện đại phù hợp ở, làm văn phòng hoặc kinh doanh. Khu vực văn minh cực hiếm nhà bán. Xung quanh đầy đủ tiện ích của Khu đô thị, môi trường trong lành không ở đây quá phí. Giao thông phát triển thuộc trục chính đi muôn nơi ra Lê Trọng Tấn xuôi về Quang Trung, hàng xóm Ngô Quyền, cạnh Văn Khê, dọc lên Tố Hữu,… Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 7 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824768.281152,,,,,
"6,45 tỷ VNĐ",Quang Trung- Hà Đông, 58m2, 4,"Bán liền kề Quang Quang, Hà Đông, phân lô, ô tô tránh, vỉa hè kinh doanh, 58m, 4 tầng Bán nhà đẹp thuộc khu phân lô rất đẹp, cách mặt phố Quang Trung chỉ 50m, khu dân trí cao toàn cán bộ rất phù hợp để hợp, làm văn phòng hoặc kinh doanh. Nhà tự xây rất đẹp với 4 tầng thoáng sáng đủ công năng, có vỉa hè rộng đá bóng, đường trước nhà ô tô tránh. Xung quanh có đầy đủ tiện ích gần tàu điện trên cao, chợ, siêu thị, ngân hàng, trung tâm mua sắm gì cũng có, an ninh tuyệt đối, hàng xóm thân thiện. Giao thông di chuyển thuận lợi ra Lê Trọng Tấn, xuống Yên Nghĩa gần Phố Xốm, cạnh trường Chuyên Nguyễn Huệ, di chuyển lên Văn Phú và gần chợ Văn La,… Chủ nhà là doanh nhân thành đạt, nhà ở có lộc, bán đi định cư bên nước ngoài nên cần bán gấp. Sổ vuông chính chủ, sẵn sàng giao dịch. Giá: 6.45 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824769.3832035,,,,,
,"Phố Vương Thừa Vũ, Khương Trung, Quận Thanh Xuân.", 250m2, 7," PHÂN LÔ, Ô TÔ - 7 TẦNG MỚI, THANG MÁY - FULL NỘI THẤT SỊN.  Bán nhà Phố Vương Thừa Vũ, Khương Trung, Quận Thanh Xuân. + Vị trí tuyệt đẹp, khu phân lô dân trí cao an ninh tốt. Ngõ ô tô dừng đỗ vào nhà thoải mái. + Nhà 7 tầng mới Thang máy. Xây dựng và thiết kế cực đẹp, nội thất toàn đồ tốt. - T1: Gara để xe, wc. - T2: Phòng khách, wc. - T3,4,5: Mỗi tầng 1 phòng khép kín. - T6: Bếp ăn, wc. - T7: Phòng thờ, sân phơi. + Diện tích 36m2 T1, Giá vô cùng hấp dẫn. Gọi ngay cho tôi 24h/7: 0961771396",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824770.2967594, 5,,,,
640 triệu VNĐ,Đường Chùa Bộc phường Trung Liệt, 40m2, 5,"
    
- Vị trí cực đẹp, đỗ cửa, dân trí cao.
Giao thông cực thuận tiện, giáp các phố lớn Xã Đàn, Thái Hà, Phạm Ngọc Thạch, sát chợ, trường học, TTTM Vincom.

- Nhà mới koong, dân tự xây, ép cọc, thiết kế cực đẹp, lô góc, 3 mặt thoáng vĩnh viễn.

- Nội thất cao cấp, cửa phòng+cầu thang gỗ Lim Nam Phi, Đá ốp mặt tiền Brasil, đá ốp lát cầu thang Ấn Độ, tủ bếp, bếp từ, hút mùi nhập khẩu, khung nhôm cửa kính Xingfa, vệ sinh Toto.

- Thiết Kế:
+ Tầng 1: Phòng khách + Bếp, vs.
+ Tầng 2,3,4: Mỗi tầng 1 phòng + Vệ sinh.
+ Tầng 5: phòng thờ + Sân phơi.

- Sổ đỏ chính chủ, giao dịch ngay.
- Giá 6,4 tỷ.
",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824771.5145018, 4, 3, 4, 4,
"2,9 tỷ VNĐ",HỒ TÙNG MẬU, 36m2, 4,"+ Chuyển nhà ra phố cần bán gấp nhà xây mới Hồ Tùng Mậu, Cầu Giấy 36m2 X 4 tầng, MT: 3.6m, không có căn thứ 2 cùng tầm giá.+ Chỉ hơn 2 tỷ có nhà đẹp ở ngay, thiết kế hiện đại, chủ xây tâm huyết, chắc chắn.+ Ngõ nông, rộng, thoáng, gần đường lớn, trường học, Đại học, chợ, hưởng trọn tiện ích khu vực.+ Sổ đỏ chính chủ sẵn sàng giao dịch. Liên hệ: Đức Anh – 0975517689",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824772.4759314, 3, 4,,,
15 tỷ VNĐ,Hà Nội, 67m2,,"Bán nhà Đào Tấn, kinh doanh sầm uất. + Giao thông thuận tiện kết nối với: Đường Bưởi, Văn Cao, Liễu Gia, Kim Mã, Nguyễn Chí Thanh, Linh Lang, Phan Kế Bính... + Nhiều tiện ích gần trường học, bệnh viện, công viên Thủ Lệ, Lotte, Vincom Center Metropolis, Hồ Tây... + Vị trí VIP quận Ba Đình, mặt ngõ ô tô tải tránh, thông thoáng, kinh doanh tốt. + Diện tích 67 m2, thiết kế nhà 6 tầng, hiện đại thoáng sáng chuẩn công năng sử dụng.* Sổ đỏ chính chủ, không lỗi phong thuỷ.* Giá chào bán chỉ 15 tỷ thương lượng mạnh.Liên hệ ngay Nguyễn Thanh để được xem nhà và gặp chính chủ.Hỗ trợ 24/7, miễn phí 100 % - 0366 555 258.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824773.5440738,,,,,
67 tỷ VNĐ,Đường Chu Huy Mân phường Phúc Đồng, 75m2, 1,"Bán đất phố Chu Huy Mân, Phúc Đồng, Long Biên gần khu biệt thự Vinhome the Hamony -         Mảnh đất vàng vuông vắn, lô góc, cách phố khoảng 20m,, đối diện vườn hoa khu dân cư phù hợp xây tòa nhà văn phòng hoặc đầu tư  -
",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824774.5553672, 5, 4, 4, 4,
4 tỷ VNĐ,Ngã Tư Sở - Đống Đa, 55m2, 5,"+Trung tâm quận Đống Đa, cách Ngã Tư Sở 80m, đi thêm 100m ra Royal City.+Vị trí đắc địa, ô tô đỗ 30m, gần bệnh viện, trường học và khu tập Gym.+Nhà mới đẹp, nội thất cao cấp, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",15/05/2022,Tin thường,batdongsan_so_com_vn_1673824775.6055582, 5,,,,
