price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"3,44 tỷ VNĐ",Thanh Bình- Hà Đông, 48m2,"Nhỉnh 3 tỷ, 48m2, 4 tầng đẹp, gần ô tô, Thanh Bình, Hà Đông Nhà hiếm đẹp có 1-0-2 trung tâm Quận Hà Đông Quang Trung tuyến phố huyết mạch. Giao thông di chuyển thuận lợi các phố: Yết Kiêu, Nguyễn Trãi, Văn Quán, Trần Phú, Vạn Phúc, Ao Sen, Nguyễn Văn Trỗi, Nguyễn Văn Lộc,..... Nhà được thiết kế công phu, khung cột bê tông đẹp chắc chắn mang phong cách hiện đại ấm cúng. Phòng nào cũng có ban công cửa sổ vô cùng thoáng sáng, view trước nhà rất đẹp, chỉ việc đến ở ngay. Xung quanh đầy đủ tiện ích gần phố: Siêu thị, ngân hàng, trường học, hồ điều hòa, bệnh viện, cạnh chợ bước chân ra phố mua được cả thế giới. Hàng xóm xung quanh toàn công chức thân thiện, nếp sống hiện đại, văn minh. Sổ đỏ chính chủ, pháp lý sạch. Giá: 3.44 tỷ ( có gia lộc). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835916.6188238, 4,,,,,
"4,24 tỷ VNĐ",Văn Quán- Hà Đông, 51m2,"Siêu phẩm Văn Quán, Hà Đông, 51m2x 4 tầng, nhỉnh 4 tỷ, ô tô gần Giới thiệu đến quý khách hàng một căn nhà tại vị trí Trung tâm Quận Hà Đông, nhà đẹp nhất khu gần Hồ Văn Quán rất hiếm, ngõ thoáng, giao thông di chuyển quá thuận lợi các phố: Thanh Bình, Phùng Hưng, Phúc La, Quang Trung, Trần Phú, Nguyễn Trãi, Chiến Thắng, Nguyễn Khuyến,.... Tiện ích ngút ngàn: xung quanh là các ngân hàng, trường học các cấp, tàu điện, bến xe, siêu thị, việc đi lại quá dễ dàng nhanh chóng. Nhà được chủ là dân xây dựng chuyên nghiệp xây rất chắc chắn, ở giữ gìn bao năm sạch đẹp như mới, các phòng đều mở cửa sổ thoáng sáng với 4 tầng rộng đẹp, khu hiếm nhà bán. Sổ đỏ cất két, giao dịch ngay. Giá: 4.24 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. Giới thiệu đến quý khách hàng một căn nhà tại vị trí Trung tâm Quận Hà Đông, nhà đẹp nhất khu gần Hồ Văn Quán rất hiếm, ngõ thoáng, giao thông di chuyển quá thuận lợi các phố: Thanh Bình, Phùng Hưng, Phúc La, Quang Trung, Trần Phú, Nguyễn Trãi, Chiến Thắng, Nguyễn Khuyến,.... Tiện ích ngút ngàn: xung quanh là các ngân hàng, trường học các cấp, tàu điện, bến xe, siêu thị, việc đi lại quá dễ dàng nhanh chóng. Nhà được chủ là dân xây dựng chuyên nghiệp xây rất chắc chắn, ở giữ gìn bao năm sạch đẹp như mới, các phòng đều mở cửa sổ thoáng sáng với 4 tầng rộng đẹp, khu hiếm nhà bán. Sổ đỏ cất két, giao dịch ngay. Giá: 4.24 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835919.2086167, 4,,,,,
"1,2 tỷ VNĐ",Tạ Quang Bửu, 22m2,"+ Tôi cần bán nhà tại Phố Tạ Quang Bửu, Hai Bà Trưng, Hà Nội. Lô góc, ở luôn, rất gần phố, khu vực hiếm nhà bán ở phân khúc nhỏ tiền. + Vị trí nhà cực kì đẹp, trung tâm của Hai Bà Trưng, nhà tự xây mới được 5 năm khung cột bê tông chắc chắn. + Tiện ích xung quanh không thiếu thứ gì, gần các trường Đại Học lớn, bệnh viện, bến xe, công viên…. + Giá bán: 1.2 tỷ + Liên hệ: Minh Quang 0327085656 ( Thông tin chính xác - miễn phí xem nhà ) + Minh Quang chuyên nhà đất thổ cư Hoàng Mai, Hai Bà Trưng, Đống Đa, Thanh Xuân… Tư vấn tận tâm, miễn phí, hỗ trợ pháp lý, thủ tục vay vốn ngân hàng nhanh gọn, lãi xuất thấp.",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835920.855108, 4,,, 3,,
"4,7 tỷ VNĐ","Chính chủ bán nhà 3 tầng số 11 hẻm 120/4/3 Hoàng Hoa Thám, Thụy Khuê, Tây Hồ, 4,7 tỷ, 0973698524", 45m2,"Chính chủ bán nhà 3 tầng số 11 hẻm 120/4/3 Hoàng Hoa Thám, Thụy Khuê, Tây Hồ, 4,7 tỷ, 0973698524  - Diện tích: 42,8m2 x 3 tầng (nhà khung bê tông) Từ tầng 2 trở lên 45m2. - Mặt tiền: 5m hướng Đông Nam, nở hậu 5,7m, Nhà cách mặt đường Hoàng Hoa Thám 40m, ôtô đỗ cách nhà 20m, hướng đi ngõ 120 Hoàng Hoa Thám ( gần công viên Bách Thảo và cách Hồ Tây 500m ) - Vị trí trung tâm, thuận tiện giao thông sinh hoạt, gần trường, chợ, khu dân trí cao, an ninh tốt.  - Sổ đỏ chính chủ.  - Giá bán: 4,7 tỷ. (có thỏa thuận) - LH chủ nhà: 0973698524      http://www.sanbatdongsanviet.com.vn",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835923.260868,,,,,,
2 tỷ VNĐ,Vĩnh Hưng Hoàng Mai Hà Nội, 22m2,"Bán nhà phố Vĩnh Hưng, nhà 3 phòng ngủ, ô tô cách nhà chỉ vài mét. + Vị trí nhà rất là đẹp, ô tô cách nhà chỉ có vài mét, nhà đẹp về ở ngay, tiện ích không thiếu thứ gì, xung quanh là trường học các cấp, gần nhất là trường Tiểu Học cách nhà chỉ 1 phút đi bộ. + Nhà 3 phòng ngủ thoáng đẹp long lanh, rất đầy đủ công năng. + Sổ đỏ chính chủ, sẵn sàng sang tên ngay.   + Giá bán: 2 tỷ + Liên hệ: Minh Quang 0327085656 ( Thông tin chính xác - miễn phí xem nhà ) + Minh Quang chuyên nhà đất thổ cư Hoàng Mai, Hai Bà Trưng, Đống Đa, Thanh Xuân… Tư vấn tận tâm, miễn phí, hỗ trợ pháp lý, thủ tục vay vốn ngân hàng nhanh gọn, lãi xuất thấp.",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835925.15572, 4,,, 3,,
,Đường Nguyễn Văn Cừ, 31m2,"NHÀ ĐẸP Ở LUÔN Ô TÔ 7 CHỖ ĐỖ CỬA.Mô tả:+ Nhà đẹp về ở luôn, thiết kế chuẩn công năng sử dụng.+ Tầng 1: Phòng khách, wc, bếp.+ Tầng 2,3,4: mỗi tầng 1 phòng ngủ, kết cấu khung cột chắc chắn lên tầng thoải mái.+ Vị trí ô tô 7 chỗ đỗ cửa, tiện ích nhất quận, khu dân trí cao, an ninh tốt, hàng xóm thân thiện.+ Lh: Ms Mai 0983724773.",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835927.403924, 4, 3,, 3,,
"15,8 tỷ VNĐ","Bán nhà Khương Hạ, Thanh Xuân, THANG MÁY – VỊ TRÍ ĐẸP, 112m2 – 7 tầng – 15.8 tỷ.", 112m2,"Nhà xây 7 tầng mới, thang máy chạy vù vù, tổng cộng 23 phòng full nội thất, doanh thu hàng tháng 100 triệu.-    Tiện ích bạt ngàn 100m ra trường mầm non, tiểu học, 200m ra trường THPT Khương Đình, chợ và hồ đi bộ vài chục mét là tới.-    Sổ đỏ chính chủ, sẵn sàng giao dịch.-    Liên hệ:  Trường – 0975644552 (Miễn Môi giới, trung gian). ",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835929.498555, 7,,, 2,,
,Tái Định Cư Hồ Đắp Nếp - Tư đình - Long biên, 228m2,"+ Trung tâm quận long biên , sát công an phường long biên , cách 20m ra mặt hồ , khu dân trí cao an ninh tốt .+ Đối diện đất là vỉa hè 3m sau đến đường 13,5m.+ Đối diện đưởng 13,5m là công viên sinh thái và hồ bơi nhân tạo. + Sát bên hồ bơi là toà Chung Cư Eco Smart City (cơ hội đầu tư sinh lời cao). + Đường trước đất 2 ô tô tránh nhau , có vỉa hè.  + Liên hệ Mr Ánh 0968.669.038 ( Làm việc chính chủ).",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835931.825946,,,,,, Tây bắc
30 tỷ VNĐ,"KĐT Linh Đàm, Hoàng Mai, Hà Nội", 258m2,"Chính Chủ Cần Bán gấp Biệt Thự KĐT Bán Đảo Linh Đàm. Dt 258m * 4t giá 30 tỷ.+ Khu Đô Thị Bán Đảo rất nhiều cây xanh, hưởng chọn tiện ích đầy đủ, đường rộng 13m.+ Biệt thự cực vip, vị trí đắc địa, nơi hội tụ quan chức cấp cao, doanh nhân thành đạt.+ Thiết kế tinh tế, hệ thống an ninh tự động, thông minh, chủ tặng lại toàn bộ đồ trong nhà.- Tầng 1: Gara + phòng khách + bếp + phòng trà + tiểu cảnh sân vườn.- Tầng 2: Phòng làm việc rộng + 2 phòng ngủ khép kín.- Tầng 3: 2 phòng ngủ rộng + Phòng thờ.- Tầng 4: Kho để đồ + sân phơi + thư viện.+ Sổ nét căng, giao dịch ngay.+ Liên hệ: A Thành 0912525146",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835933.7100782,,,,,,
"5,1 tỷ VNĐ","Chính chủ bán nhà 2 tầng, (nhà xây cũ nên chủ yếu bán đất vị trí đẹp) 5,1 tỷ, 0913592168", 56m2,"Chính chủ bán nhà 2 tầng, (nhà xây cũ nên chủ yếu bán đất vị trí đẹp) 5,1 tỷ, 0913592168  Địa chỉ ở số 13, ngách 23, ngõ Thông phong, Quốc Tử Giám, Đống Đa, Hà Nội.  Diện tích: 55,9m2 có nhà 2 tầng.  Vị trí thuận tiện, An ninh tốt  Nhà 2 tầng ở trung tâm, ngõ rộng, thoáng mát.  Phù hợp để ở, làm văn phòng  Giá bán :5,1 tỷ (gia lộc cho người thiện chí)  Vì chủ nhà không ở đó, nên ai quan tâm vui lòng qua địa chỉ trên xem nhà trước.  Nếu ưng thì liên hệ chính chủ 0983592168 (Chị Liên) hoặc 0913592168 (Anh Quang).      http://www.sanbatdongsanviet.com.vn",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835938.7000365,,,,,,
