price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"1,55 tỷ VNĐ","Bắc Cầu, Long Biên", 47m2,"+ DT thực tế 47m, 2 tầng, thêm sân 25.9m2. + DT sử dụng gần 77m2, chưa kể gác lửng (TẦNG 2) + Nhà xây kiên cố, chắc chắn, CÓ Gác đổ trần lửng: tổng 3 PN, 2 VS, khe thoáng. + Sổ đỏ hoa hậu sẵn sàng giao dịch. + TẶNG ĐIỀU HÒA, TỦ, BÀN GHẾ, TIVI",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823519.0375457, 2, 3,, 3, 2
"1,7 tỷ VNĐ","Chính chủ bán đất tại đường Nghĩa Bình, Yên Nghĩa, Hà Đông, 1,7 tỷ, 0982031482", 53m2,"Chính chủ bán đất tại đường Nghĩa Bình, Yên Nghĩa, Hà Đông, 1,7 tỷ, 0982031482 - Diện tích : 53m2  - Đất vuông vắn cách đường nghĩa bình 40m, ngõ rộng 2,5m trải nhựa, ô tô vào nhà. - Khu gần trường học, chợ, tiện đi lại sinh hoạt. - Khu an ninh tốt, giao thông thuận tiện - Tiềm năng lớn: Đất có thể tăng giá theo tình hình chung của khu vực, đảm bảo sinh lời cao Giá bán: 1,7 tỷLiên hệ chính chủ: 0982031482       http://www.sanbatdongsanviet.com.vn",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823520.3733015,,,,,
15 tỷ VNĐ,Hà Nội, 65m2," - Vị trí đẹp nằm ngay trung tâm quận Đống Đa gần nhiều tuyến phố Thái Thịnh, Chùa Bộc, Yên Lãng, Hoàng Cầu, Ngã Tư Sở, Tây Sơn, Trần Quang Diệu, Xã Đàn, Phương Mai, Nguyễn Chí Thanh... - Mặt ngõ to, đường trước nhà rộng ô tô tải dừng đỗ. - Rất thích hợp làm mặt bằng kinh doanh, cho thuê giữ tiền... - Nhà thiết kế hiện đại, diện tích 65 m2, 7 tầng thang máy, lô góc sáng thoáng. - Khu vực toàn cán bộ, quan chức, dân trí cao. - Sổ đỏ chính chủ, vuông đẹp. - Giá chi 15 tỷ có thương lượng nhiều.Liên hệ Nguyễn Thanh để được tư vấn miến phí (24/7) - 0366 555 258.",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823521.382604,,,,,
6 tỷ VNĐ,Tây Sơn - Ngã Tư Sở, 64m2,"+Chính chủ bán nhà Phố Tây Sơn, 64m2, 5 Tầng, Mặt tiền 5m, Nhỉnh 6 tỷ. +Trung tâm quận Đống Đa, đi bộ 3 phút ra Ngã Tư Sở, gần trường học các cấp, bệnh viện và chợ.+Vị trí nhà cách phố 70m, ô tô tránh 10m, ngõ rộng đường trước nhà rộng 2.5m thông các ngõ.+Thiết kế nhà hiện đại, view đẹp, 10 PN thích hợp để ở hoặc cho thuê dòng tiền.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823522.4198296, 5, 5,, 10,
"3,42 tỷ VNĐ",vân canh hoai đức, 41m2,"Nhà được chủ nhà tâm huyết xây dựng tỉ mỉ, chắc chắn. Nội thất đẹp có sự đầu tư với cửa gỗ, cầu thang gỗ, mặt cầu thang ốp gỗ và sàn gỗ cao cấp. Nhà đầy đủ công năng cho 1 đại gia đình sinh sống với 4 phòng ngủ rộng rãi. Đường vào sạch sẽ, rộng rãi, ô tô đỗ cửa. Ngõ thông sang KĐT Hud Vân Canh, hưởng trọn tiện ích công viên và cây xanh. Giao thông tiện đi khắp ngả 422B, Trịnh Văn Bô, Phương Canh, Xuân Phương, Nhổn, Tây Mỗ… Từ nhà chỉ mất 5 phút xe để di chuyển đi Mỹ Đình, Mễ Trì. Là khu vực đang được săn đón và cực tiềm năng khi Hoài Đức sắp lên quận. Xung quanh tiện ích phong phú khi gần trụ sở chính quyền, trường học các cấp, chợ dân sinh. Giá chào chỉ 3 tỷ 420 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn từ A->Z và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823523.50295,,,,,
14 tỷ VNĐ,Hà Nội, 50m2,"Bán nhà Phố Nguyễn Phúc Lai Đống Đa, kinh doanh tốt - LH: 0856 968 656. - Gia đình có việc quan trọng nên cần bán gấp nhà phân lô ô bàn cờ Bộ Công an.Giao thông thuận tiện phố Hoàng Cầu, Nguyễn Hy Quang, Trần Quang Diệu, Láng Hạ, Giảng Võ, Mai Anh Tuấn, Thái Hà, Huỳnh Thúc Kháng, Nguyễn Chí Thanh… - Nhà xây 7 tầng, diện tích 50 m2, đường trước nhà rộng 2 ô tô tải tránh. - Nhà đẹp, khu VIP, phong thủy cực tốt, khu dân trí cao, giao thông thuận tiện, đầy đủ tiện ích. - Pháp lý chuẩn sổ đỏ chính chủ. - Giá chào chỉ 14 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay em Bình - 0856 968 656.",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823524.616953,,,,,
"6,1 tỷ VNĐ","Trần Phú, Hà Đông, Hà Nội.", 102m2," # Bán đất mặt ngõ đường Trần Phú, Hà Đông, mặt tiền rộng, 5m ô tô đỗ, 30m ra mặt đường chính Trần Phú, 102m giá đầu tư, chỉ 60 triệu /m2.  + Vị trí đẹp thuộc phường Mỗ Lao tiếp giáp quận Thanh Xuân và Nam Từ Liêm, khu vực xung quanh nhiều Công Ty, trường Đại Học lớn, TTTM, phù hợp xây ở, tuyệt đỉnh chia lô, hay xây tòa CCMN, thì đẹp lắm.  + Tiện ích: nằm cạnh KĐT Mỗ Lao, KĐT Văn Quán xung quanh bạt ngàn siêu thị, Ngân hàng lớn nhỏ, trung tâm, trường, chợ, Khu vui chơi giải trí.  + Giao thông chỉ mấy bước chân ra đường Trần Phú, Nguyễn Trãi, Vũ Trọng Khánh, Tố Hữu Lê Văn Lương vô cùng thuận lợi.  + Giá chỉ trên 6 tỷ thương lượng trực tiếp không qua trung gian.  + Sổ đỏ chính chủ, sẵn sàng giao dịch.   # HotLine: 0983858722 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823525.659161,, 6, 3,,
"4,3 tỷ VNĐ","Vạn Phúc, Hà Đông, Hà Nội.", 45m2," # Cần bán nhà riêng ngay ngã tư Tố Hữu, Vạn Phúc, Hà Đông. Full thiết bị + nội thất, 45m2, 3T, giá chỉ 95 triệu/m2.   + Vị trí tiềm năng phát triển chóng mặt bao quanh là các KĐT Văn Khê, KĐT An Hưng, KĐT Vạn Phúc, Him Lam, KĐT Dương Nội, AEONMall, Vinhomes... + Trên 20m ra mặt đường trục chính, 3m ô tô lùi cửa giao thông thuận tiện. + Nhà 3T khung cột chắc để sẵn thép chờ đợi xây lên 5T, nay chủ có việc giêng cần bán gấp.   + Giá chỉ 4.3 tỷ. ( Có Ra Lộc ) + Sổ vuông chính chủ, giao dịch nhanh. # HotLine: 0983858722 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823526.7592187, 3, 4, 3, 3,
"14,999 tỷ VNĐ",Hà Nội, 50m2,"Bán nhà chính chủ phố Thái Hà, rất gấp, kinh doanh tốt. Ngõ rộng 2 ô tô tải tránh nhau thoải mái, thông phố Thái Thịnh, Láng Hạ, Trần Quang Diệu, Nguyễn Chí Thanh, Yên Lãng, Tây Sơn... Phù hợp để làm kinh doanh, cho thuê, showroom, nhà hàng cao cấp, văn phòng công ty kết hợp để ở…Diện tích 50 m2, lô góc hai thoáng vĩnh viễn, 7 tầng thang máy, nội thất đầy đủ.Hiện tại gia chủ muốn bán rất gấp giá chào chỉ 14.99 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Quý khách hàng nào có nhu cầu alo trực tiếp - 0856 968 656.",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823527.7026937,,,,,
4 tỷ VNĐ,Cầu Giấy - Hà Nội, 39m2," NHÀ ĐẸP Ở NGAY - THIẾT KẾ Ở SƯỚNG - THOÁNG TRƯỚC SAU - GẦN Ô TÔ -  GẦN PHỐ.- Nhà gần như mới , ra phố rất gần . Khu vực đông đúc , kinh doanh sầm uất. Bãi đỗ xe chỉ vài phút đi bộ.- Ngõ ba gác sạch đẹp rộng thoáng. Trung tâm các tuyến phố Trần Duy Hưng , Trung Kính , Tú Mỡ , Nguyễn Chánh , gần các siêu thị lớn BigC Thăng Long , Vincom Trần Duy Hưng , trường học các cấp, tiện ích đầy đủ.Thiết kế 5 tầng , 2 phòng ngủ master sạch sẽ thơm đẹp. Tầng 5 có mái che trồng hoa ( nàng thơ ) tuyệt đẹp.Liên hệ Mr. Nguyễn Tiến Hoàng - 0976817296 - để biết thêm thông tin ( tư vấn 24/24)",24/05/2022,Tin thường,batdongsan_so_com_vn_1673823528.7109964,,,,,
