price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng,Mặt tiền,Lộ giới
53 tỷ VNĐ,Đặng Thai Mai, 215m2,"Chủ cần tiền đầu tư, muốn nhượng lại lô đất vị trí không thể đẹp hơn. Mặt phố đường vào phủ Tây Hồ (phía cổng chính), nơi tập trung nhiều hàng quán khu dân cư đông đúc và kinh doanh cực sầm uất.Diện tích: 215m2 , mặt tiền 11mGiá: 53 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)ĐẤT THỔ CƯ - MẶT HỒ TÂY - KINH DOANH SẦM UẤT - OTO ĐỖ CỬALiên hệ xem thực tế và nhận thông tin chi tiết: 0981367887- Thửa đất cực vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829766.740979,,,,, 11, 15
"1,2 tỷ VNĐ",Thôn Đồi Sen, 70m2,"SIÊU PHẨM - Cách Đại học FPT 5 phút di chuyển, cách khu công nghệ cao 1km - Sẵn sổ, pháp lý rõ ràng - Cách tỉnh lộ 420 300m, đường trục chính, đường nội khu 6m, đi lại thuận tiện - Hạ tầng hoàn thiện, xung quanh đầy đủ tiện ích: trường học, trạm xá, bệnh viện, chợ, nhà văn hóa LIÊN HỆ NGAY em Hoàng để được tư vấn miễn phí và có được giá tốt nhất khi mua đất!!",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829768.1512034,,,, Đông nam, 6, 6
20 tỷ VNĐ,Hà Nội, 68m2,"Chính chủ gửi bán gấp nhà phân lô phố Lò Đúc, quận Hai Bà Trưng - LH: 0856 968 656. + Nhà nằm trong khu phân lô cán bộ, dân trí cao, an ninh tuyệt đối. + Mặt ngõ thông các ngả, phân lô, hai ô tô tránh, kinh doanh tấp nập. + Diện tích 68m2, 7 tầng, mặt tiền 5.5m.Giá chào chỉ 20 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. + Nhà thiết kế đẹp thoáng, cầu thang máy chạy êm ru, nội thất nhập khẩu gia chủ tặng lại hết. - Tầng 1: Gara, phòng khách, bếp, wc. - Tầng 2, 3, 4, 5, 6: Các phòng, wc. - Tầng 7: Phòng thờ, sân phơi. + Khu vực quy hoạch ổn định, xung quanh toàn nhà cao tầng từ 7 đến 10 tầng. + Nhà sổ đỏ chính chủ, sổ vuông vắn. Khách yên tâm về vấn đề pháp lý. + Khách mua miễn phí dịch vụ 100%. + Khách chủ gặp nhau thương lượng. + Liên hệ ngay để tìm nhà phù hợp nhất.Quý khách vui lòng liên hệ 24/7, để xem nhà 0856 968 656.",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829769.212147,,,,,,
"4,5 tỷ VNĐ",đường Trương Định- Hai Bà Trưng, 43m2,"* Chủ bán gấp nhà riêng Trương Định , tặng nội thất cao cấp. Cam kết hình ảnh thực tế tránh mất thời gian của khách. 0345752279 * Mô tả: +Nhà mới, đẹp, hiện đại, ở ngay. +Thiết kế : 5 tầng, 4 ngủ. +Ngõ cực rộng ô tô vào nhà. +Giá thương lượng 4.5 tỷ. +Sổ đỏ chính chủ giao dịch nhanh. * Liên hệ em Bình để được tư vấn, xem nhà hoàn toàn miễn phí. *Không tiếp môi giới.",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829770.393986, 5, 4, 5,, 4, 4
"8,8 tỷ VNĐ","Văn Khê, La Khê, Hà Đông", 82m2,"GIÁ NÀO CŨNG BÁN - Chán ở Việt Nam, thích sang Mỹ ở với 2 con trai. BÁN RẤT GẤP BIỆT THỰ VĂN KHÊ - 82m2 - Chỉ 8.8 tỷ (Nếu không cần tiền gấp chắc bao giờ có giá dưới 10 tỷ). BIỆT THỰ RẺ NHẤT VIỆT NAM.- Không cần phải nói nhiều về tiện ích và mức độ sầm uất ở khu vực Văn Khê, có lẽ Văn Khê là khu đô thị sầm uất nhất Hà Đông rồi.- Thiết kế:T1: Gara, để đồT2: Pk, Bếp, Phòng ănT3, T4: Mỗi tầng 2 pnT5: Phòng thờ + Sân phơi + Vườn thượng uyển.***Chần chờ gì nữa mà không cầm máy Alo luôn cho em, Mr. Tuấn: 0978275753 / 0945149988 #bietthuhadong #lienkevankhe #muanhahadong #bietthuvankhe #viahe #oto",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829771.5279517,,,,,,
"9,1 tỷ VNĐ",Số 2 Hồ Tùng Mậu, 60m2,"💥 BÁN CCMN CAO CẤP - 7 TẦNG, NGÃ 4 HỒ TÙNG MẬU - XUÂN THỦY 💥 APARTMENT LUXURY QUẬN CẦU GIẤY. (9.1 TỶ) ----------------------------------------------- + THÔNG SỐ: 60m2, MT 6m. 7 tầng, 11 phòng ( gồm 1 phòng tầng 7 master 45m2). + Tất cả các phòng đều có của sổ. + Ngõ trước nhà rộng, 3 gác đỗ cửa. + Thang máy, thang bộ, lối thoát hiểm và PCCC đầy đủ. + Dự kiến dòng tiền 50tr/ tháng và luôn full phòng do nhu cầu Sống Chất của đại bộ phận người đi thuê. ------------------------------------------------ 📕 Sổ đỏ đẹp, pháp lý chuẩn. 9.1 tỷ ( có TL) ☎️ Đỗ Phong - 0944084866",19/03/2022,Tin thường,batdongsan_so_com_vn_1673829772.646962, 7, 8, 8,, 6, 3
14 tỷ VNĐ,Lạc Long Quân, 140m2,"Vị trí rất đẹp giao thông thuận tiện, 50m ra Hồ Tây lộng gió. Diện tích rộng, xây nhà cho thuê, phân lô xây bán. Khu an sinh tốt, hàng xóm thân thiện. Gần chợ, gần trường ĐH lớn.. Vài phút ra các tuyến đường lớn: Cầu Giấy, Lạc Long Quân, Hoàng Quốc Việt, Hồ Tây, Thụy Khuê, Võ Chí Công, Võng Thị, Xuân La... Sổ đỏ chính chủ, pháp lý rõ ràng, chủ thiện chí bán. Trịnh Hiền (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829773.6712325,,,,,,
"2,3 tỷ VNĐ",Trần Đại Nghĩa - Hà Nội, 49m2,"+ Nhà lão thành cách mạng xây kiên cố vững chắc như bàn thạch,+ Diện tích:49m2, 3 tầng + Vị trí nhà rất đẹp, ba bước ra oto +Nằm ở trung tâm quận Hai Bà Trưng thuận tiện đi lại tới các khu vực trung tâm trong thành phố như Bạch Mai, Giải Phóng , Trần Khát Chân ,Đại Cồ Việt……..+Khu dân trí cao của khu Hai Bà Trưng hang xóm toàn  giảng viên và giáo viên của các trường đại học lớn  giao thông thuận tiện sang các khu vực trung tâm như Bạch Mai , Giải Phóng , Đai Cồ Việt, Phố Huế,…..gần các trường đại học lớn Bách Khoa, Xây Dựng, Kinh tế quốc dân,+ Giá đẹp trong khu vực Hai Bà Trưng +sẵn sàng giao dịch + giá: 2.3 tỷ (có thương lượng)Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829774.6984732,,,,,,
"5,4 tỷ VNĐ",Đường Hoàng Mai, 80m2,"🌹 BÁN ĐẤT ĐƯỜNG HOÀNG MAI - Ô TÔ CÁCH 30M 💥 79M2, MT 4.4M. GIÁ CHÀO 5.4 TỶ (có TL) 💥 Ngõ rộng đẹp, xe 5 tạ đỗ cửa. 💥 A/C đầu tư xây CCMN thì đẹp miễn bàn. 💥 Khu vực tập trung Sinh viên Bách - Kinh- Xây ☎️ Liên hệ: Đỗ Phong - 0929641121",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829775.8872926,,,,, 4, 2
4 tỷ VNĐ,phương liệt, 39m2,"- Chủ do tuổi cao muốn về quê sinh sống nên cần bán. - Diện tích: 39m2, 4,5 tầng và có 1 gác xép tầng 1, mặt tiền 4m. - Ngõ thông, oto vào ngõ, gần mặt đường. - Di chuyển đến các phố dễ dàng. - Thuộc khu dân trí cao, an ninh đảm bảo.  - Giá 4 tỷ thỏa thuận trực tiếp với chủ nhà. - Sổ đỏ chính chủ, giao dịch trực tiếp. - Liên hệ ngay em Thảo chuyên đất thổ cư Hà Nội. ",18/03/2022,Tin thường,batdongsan_so_com_vn_1673829777.1249802,,,,,,
