price,address,Diện tích,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Hướng
"5,8 tỷ VNĐ",Đường Xã Đàn 2 phường Nam Đồng, 42m2, 5,"Mô Tả. + VÍP: XÃ ĐÀN 2 - Quận Đống Đa. Vị trí nhà nằm mặt ngõ Xã Đàn 2, trung tâm Quận, hàng xóm Ngân Hàng nhà nước Việt Nam. Gần phố lớn, cạnh hồ, không gian thoáng mát. + Nhà chủ tự xây được vài năm còn rất mới, thiết kế 5 tầng khung cột chắc chắn, diện tích thực tế mặt sàn 45m2, 2 thoáng , nở hậu. + Tiện ích: Bán kính 500m Điện, Đường, Trường, Chợ, giao thông thuận tiện, quy hoạch ổn định. + Gia chủ cần tài chính để giải quyết việc riêng, thiện chí bán giá linh động. Pháp lý sạch , sổ đỏ cất két, sẵn sàng giao dịch. + Liên hệ: Mr Kiên chuyên đất thổ cư nhà phố, uy tín chất lượng. ",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815258.3911161, 3, 2, 5, 6,
"11,088 tỷ VNĐ",Cửu Việt 2 - Trâu Quỳ - Gia Lâm - Hà Nội, 112m2,,"- Bán thửa đất cực đẹp kinh doanh đỉnh mặt phố Cửu Việt 2 trung tâm Trâu Quỳ - Gia Lâm. - Khu vực dân cư đông đúc, sinh viên trường Nông Nghiệp 1 qua lại tấp nập ngày đêm, đường trước đất 8m có vỉa hè để xe máy. - Giao thông thuận tiện vài bước chân ra ngay vành đai Trâu Quỳ, phố Thành Trung, Ngô Xuân Quảng, Cửu Việt, học viện Nông Nghiệp,…. - Vị trí đắc địa, tiềm năng tăng giá mạnh trong tương lai gần khi Gia Lâm lên quận, vừa ở vừa kinh doanh đều tuyệt vời. - Mặt tiền siêu rộng 6m thuộc loại hiếm tại khu vực, có sẵn nhà cấp 4 đang cho thuê có thu nhập ròng luôn. - Sổ đỏ chính chủ, pháp lý chuẩn giá đầu tư chỉ 99tr/m2 Liên hệ xem nhà  đất và biết thêm thông tin chi tiết E.Nhật: 0982852808, 0948584888",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815259.7075942, 6, 8,,, Đông bắc
"5,4 tỷ VNĐ",phạm văn đồng, 38m2, 4,"- Chủ bán nhà vị trí lô góc 2 mặt ngõ xe máy tránh, 3 mặt thoáng, cách mặt đường Phạm Văn Đồng 40m ngõ thông. Nhà gần khu vực có các trường Đại hoc, chợ xung quanh, giao thông thuận tiện. Nhà phù hợp vừa ở vừa có thể kinh doanh như cửa hàng tạp hóa, giặt là, nail, mi móng, cắt tóc... - Thiết kế & Diện tích: Nhà 32m2, mặt tiền 3.85m, 5 tầng. + Diện tích thực tế xây dựng và sử dụng ngay từ tầng 1 là 38m, mặt tiền gần 4m + Nhà 5 tầng xây mới mở cửa cả 2 mặt ngõ nên ánh sáng chan hòa + Tầng 1: Phòng khách + Bếp + vệ sinh + Tầng 2.3.4: Mỗi tầng 1 phòng ngủ + vệ sinh + Tầng 5: Phòng thờ + sân phơi -  Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền... Sổ đỏ vuông vắn, sẵn sàng giao dịch. Liên hệ Mr Chính 079 212 2918 xem + đặt cọc + mua  nhà ",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815261.0081146, 38,,, 3,
95 triệu VNĐ/m2,"Khu DG02, thị trấn Quốc Oai", 98m2,,"Ông anh họ cần tiền bán lô góc 98m2, khu đấu giá DG02, thị trấn Quốc Oai, Hà Nội  Lô góc, kinh doanh cực đỉnh, mở văn phòng kinh doanh nhà hàng, quán cà phê, hoặc trụ sở công ty  Vị trí lô Góc 2 mặt tiền, khu đất đối diện khu đô thị Ngôi Nhà Mới tại thị trấn Quốc Oai  Diện tích: 98m2, đường trước mặt 24m Đầu tư quá tiềm năng. Trên trục đường kết nối đến viện nhi và viện phụ sản cơ sở 2  Gần trường mầm non thị trấn  Trung tâm hành chính huyện 3 phút ôtô  Gần khu công nghiệp Thạch Thất 72ha.  Cách đại lộ Thăng Long 100m  Khu đô thị Sunny Garden City 3 phút ôtô  Gần Khu danh lam thắng cảnh Chùa Thầy nổi tiếng  Đi thêm một tý là khu bãi biển nhân tạo Tuần Châu nổi tiếng  Hãy gọi ngay cho tôi để có giá tốt 0967205590 bất kỳ khi nào.",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815262.9778779, 8,,,, Đông
"9,3 tỷ VNĐ",Đường Tứ Liên phường Tứ Liên, 50m2, 7,"Chính chủ gửi bán tòa nhà Căn hộ cho Tây thuê phố Tứ Liên, Tây Hồ. Tòa nhà nằm vị trí đẹp, thoáng sáng, ô tô vào nhà, giao thông đi lại cực kỳ thuận lợi. Khu vực có rất nhiều người nước ngoài thích sinh sống.  Nhà được thiết kế 6 tầng, thang máy, nội thất đầy đủ, hiện đại. Mỗi tầng là một căn hộ thoáng sáng, tiện nghi cực đẹp. Khách mua về để ở hoặc khinh doanh cho thuê luôn đều được. Pháp lý : Sổ đỏ chính chủ vuông đẹp, sẵn sàng giao dịch ngay. Giá bán : 9,3 tỷ ( Có thương lượng) Liên hệ : Anh Cường ( Chuyên biệt thự, nhà phố Tây Hồ), miễn trung gian.",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815265.2208807, 6, 3, 6, 6,
"2,556 tỷ VNĐ",Đường 3 phường Xuân Nộn, 72m2,,"Bán Lỗ..........lô góc siêu đẹp đường oto đỗ tận đất tại Xuân Nộn - Diện tích: 72m2  - Mặt tiền 4.35m đường 4m ngõ thông * Tiện ích: - Cách bìa làng 70m - Cách trường mầm non mới 250m - Cách đường liên xã trải nhựa 250m - Xung quanh có trường học và chợ lớn dân cư đông đúc - Cách bệnh viện BTL 1km
- Cách trung tâm hành chính huyện 3km
- Nhiều công ty nhà máy lớn vừa và nhỏ hiện hữu - Gần nhiều dự án,quy hoạch của xã - Vị trí đắc địa và cực tiền năng để sinh lời - Pháp lý rõ ràng sẵn giao dịch  - Liên hệ trực tiếp em Thúy Hà",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815266.6409082, 4,,,,
"3,57 tỷ VNĐ",Đức Giang, 32m2,,"+ Nhà thiết kế 5 tầng khung cột chắc chắn. + Tầng 1: gara, khách,bếp, chậu rửa, hút mùi, vs. + Tầng 2, 3, 4, sàn gỗ,  mỗi tầng 1 ngủ 1 vs. + Thiết bị  inac, đầu chờ điều hoà. Đã lắp bình nóng lạnh.+ Tầng 5: phòng thờ, sân phơi, tất cả các phòng, cầu thang đều đón ánh sáng tự nhiên.+ Vị trí siêu đẹp lô góc 2 mặt, mặt chính ô tô tránh nhau.Gần bv Đa khoa Đức Giang-, cách UBND quận Long Biên 150m",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815268.0461497,,,,,
"4,38 tỷ VNĐ",Quận Cầu Giấy, 30m2,,"Hót. Duy nhất Doãn Kế Thiện 30m2, 5 tầng full nội thất cao cấp vào ở ngay. Giá: 4.38 tỷ LH 0962745289. + Vị trí trung tâm Quận Cầu Giấy. Ngox to thẳng tắp xe 4 chỗ đỗ cửa, 20m ra mặt phố.Tiện ích miễn bàn. + Căn hộ dân tự xây chắc chắn mỗi tằng 1 phòng rộng khép kín full nội thất sang xịn. + Ngõ nông thông vị trí khu trung tâm nhiều tòa nhà, văn phòng Trường Đại Học tập trung sinh viên nội trú, kinh doanh buôn bán tấp nập. + T1 Phòng khách + bếp + wc + T2,3,4.Mỗi tầngcăn hộ phòng Wc khép kín full nội thất. + T5 phòng thờ + sân phơi. + Khu đân trí cao, an ninh tốt, tiện ích ngập tràn. + Sổ đỏ chính chủ sẵn sàng giao dịch. + Giá:Thỏa thuận. + Liên hệ: Anh Đoàn:0962745289. + Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7.",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815270.0298426,,,,,
"3,3 tỷ VNĐ","Đông dư, Gia Lâm, Hà Nội", 37m2, 2,"+ NHÀ LÔ GÓC, 2 MẶT THOÁNG SÁNG, đường thông ô tô ngủ trong nhà, 20m ô tô tránh nhau, hưởng trọn khu du lịch sinh thái VinWonders Vinpearl Safari, an sinh đỉnh. + Vài phút ra cao tốc mới 5A Hà Nội - Hải Phòng, cầu Thanh Trì, giao thông thuận tiện di chuyển nội thành và các tỉnh lân cận nhanh chóng.+ Gần ecopark, làng gốm sứ bát tràng, cao tốc 5B ,1A về các tỉnh.+ Nhà mới đẹp long lanh - 37m2 - thoáng sáng mát, đầy đủ công năng, khu vực đang phát triển kinh tế, tầm tài chính vô vàn khách.👉 Tầng 1 Phòng Khách + Bếp + WC.👉 Tổng 3 Phòng ngủ, sàn gỗ lim, vệ sinh khép kín.💥 Chủ xây 4 tầng chắc chắn chủ mới về có thể lên thêm tầng hoặc Tum.Hotline: 0978600*** - Em Thành Long Biên để được tư vấn, xem nhà miễn phí, hỗ trợ vay vốn ngân hàng, pháp lý, phong thủy, sang tên làm sổ,... ",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815271.522849, 4, 4, 4, 3,
5 tỷ VNĐ,Đường Ngọc Khánh phường Ngọc Khánh, 45m2, 5,"Chính chủ Bán nhà Ngọc Khánh 5 Tỷ : 45m x 5T , cách mặt phố 3 nhà  + Nhà xây chắc chắn , 4 ngủ ,khép kính , chủ tặng 4 điều hòa phòng ngủ  + Khu vực trung tâm ba bước ra mặt phố tiện ích vô ván , ô tô gửi cách nhà 200m  + Pháp lý sạch , sẵn sàng giao dịch  Liên hệ : TRUNG 0896695659 ( Xem nhà và tư vấn hỗ trợ ngân hàng miễn phí )",11/07/2022,Tin thường,batdongsan_so_com_vn_1673815273.1978798, 5, 3, 5, 4,
