price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
"4,38 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 45m2,,"- Bán nhà Ngọc Thụy, Long Biên, Hà Nội.Gần Khai Sơn Hill. Nhà 4 tầng mới đẹp. Thiết kế siêu công năng. Khu vực VIP nhất Ngọc Thụy, ngõ thoáng đẹp, ô tô đỗ. - Sổ đỏ chính chủ. - Giá: 4.38 tỷ ( Thiện chí thương lượng). - Liên hệ: 0981786419 ( Miễn TG & MG).  - Các từ khóa được đề xuất: Bán nhà Ngọc Thụy, bán nhà gần Khai Sơn Hill, bán nhà gần chợ Ngọc Thụy, bán nhà Ngọc Thụy trong đê,...",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809892.2775772, 5,,, 3
"73,7 tỷ VNĐ",Đường 19 tháng 5 phường Văn Quán, 225m2, 10,"  Biệt thự siêu đỉnh ngay mặt hồ Văn Quán, lô góc, KD tốt, 225mx3T, giá 73,7 tỷ  Bán gấp căn biệt thự nằm tại KĐT Văn Quán, Hà Đông + Nhà nằm tại vị trí cực kì đắc địa, ngay hồ Văn Quán nên có thể vừa ở vừa kinh doanh bất cứ loại hình dịch vụ nào đều rất tốt và có nhiều lợi thế + Diện tích rộng đến 225m, mặt tiền khủng, thiết kế theo phong cách sân vườn vô cùng tươi mát, có gara ô tô, kiến trúc đẳng cấp, hiện đại với đầy đủ công năng sử dụng, thiết bị nội ngoại thất cao cấp + Xung quanh tiện ích nhiều vô kể : trường học các cấp, chợ, siêu thị, nhà hàng,…. + Sổ đỏ chính chủ, pháp lý rõ ràng + Giá: 73,7 tỷ (có thương lượng) LH: 0971834616  ",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809894.019192, 3, 6, 5, 40
"2,42 tỷ VNĐ",Đường Đình Xuyên phường Đa Tốn, 47m2, 3,"- Vị trí đất vô cùng đẹp, đường trước nhà thông xe bán tải chạy qua nhà.  - Mất chỉ 2 phút đi vào Vin Ocean Park Gia Lâm. - Mặt tiền hậu: 3.83m. Hướng đất Đông Nam mát mẻ. Liên hệ ngay: 0969. ba 4 sáu. 836 ( Gặp E Tú xem đất và chốt giá )",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809895.421392,,,,
17 tỷ VNĐ,Đường Phạm Ngọc Thạch phường Kim Liên, 76m2, 4,"
    Bán nhà Phạm Ngọc Thạch, Đống Đa, 76m, 4 tầng, mặt tiền 4m, giá 17 tỷ.TRUNG TÂM - Ô TÔ ĐỖ CỬA - 2 MẶT NGÕ - NGÕ THÔNG - KINH DOANH.+ Vị trí nhà rất đẹp, vài chục mét ra Phạm Ngọc Thạch, tiện ra Kim Liên, Xã Đàn, Chùa Bộc...Ngõ thông rộng, ô tô đỗ cửa, nhà có 2 mặt ngõ thoáng sáng, mát mẻ, kinh doanh sầm uất.+ Nhà chủ xây chắc chắn, thiết kế lệch tầng, tổng 3 phòng ngủ đầy đủ công năng.+ Sổ đỏ vuông vắn, chủ thiện chí bán.+ Liên hệ Thu Hà 0987482665 để giao dịch thuận lợi ( miễn TG).
",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809897.0583196, 4, 3, 3, 4
"4,5 tỷ VNĐ",Khương Đình, 40m2, 4,"+ Trung tâm Quận Thanh Xuân, gần Ngã Tư Sở, gần trường học, chợ, TTTM Royal City, bệnh viện. + Vị trí nhà cách đường lớn 70m, ngõ rộng thoáng thông tứ tung. + Nhà mới đẹp, nội thất nhập khẩu, chủ tặng lại hết cho khách. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809898.3249297, 5,,,
,phố vũ hữu, 34m2, 5,"BÁN NHÀ PHỐ VŨ HỮU THANH XUÂN 34m2 x 4 Tầng 4,7 TỶ Ô TÔ KD    + Chính chủ cần bán nhà, 34 m2 x4 tầng giá 4,7 tỷ, vị trí nhà cực đẹp, cách mặt phố Vũ Hữu vài bước chân. + Nhà chủ xây tâm huyết chắc chắn. Gần nhà có sân chơi nhỏ, khách đến để xe thoải mái, gần bãi đỗ ô tô ngày đêm. + Phố Vũ Hữu thông Tố Hữu, Lương Thế Vinh, Khuất Duy Tiến... Giao thông thuận tiện. Trung tâm giao thoa 3 quận: Thanh Xuân, Từ Liêm, Hà Đông... Đi đâu cũng tiện, dân trí cao tiện ích quanh nhà. + Pháp Lý: Sổ đỏ đẹp sẵn sàng giao dịch. +LH: Hoàng Bắc, ĐT: 0377610275-0913319643, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809899.9894607, 4, 4,, 3
"4,7 tỷ VNĐ",Đường nguyễn đình hoàn, 64m2, 4,"Bán nhà ngõ Phố Nguyễn Đình Hoàn DT 64m2 x 3 tầng mt 4,5m giá nhỉnh 4 tỷ. NHÀ MỚI - RỘNG - Ở SƯỚNG - 3 NGỦ ĐỦ CÔNG NĂNG - THOÁNG TRƯỚC SAU - VỪA TIỀN - KHÔNG QUY HOẠCH - TUYỆT VỜI Hướng Nam DTSD 64m, nhà xây 50m còn lại làm sân để xe, nhà thoáng trước sau - phòng nào cũng có cửa sổ. Vị trí trung tâm đi đâu cũng tiện. Nhà 3T mới kính coong giá bán đất. Nhà thiết kế hiện đại, thiết bị vệ sinh cao cấp: + T1: phòng bếp, phòng khách vệ sinh nhỏ. + T2: 2 phòng, vệ sinh khép kín. + T3: 1PKK + phòng thờ sân phơi. + Sổ đỏ đẹp, chính chủ. + Chi Tiết Xin Liên Hệ Bùi Anh Thái. 1979 - 0987.862962.",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809903.5149243, 3, 3, 3, 2
5 tỷ VNĐ,"Hồng Tiến, Bồ Đề", 37m2, 4,"- Vị trí đẹp, vài bước ra phố Hồng Tiến, ngõ ô tô thông, khu VIP Long Biên, tiện ích xung quanh bạt ngàn, đi lại sinh hoạt tiện lợi, phù hợp sinh sống lâu dài ổn định. - Nhà mới xây được 2 năm, còn như mới, khách thiện chí mua mình bán để lại nội thất cơ bản, các đồ khác theo thoả thuận. - Thiết kế: Tầng 1: PK, Bếp và WC Tầng 2,3,4: Mỗi tầng 1 PN và WC Tầng 5: Phòng thờ và sân phơi. - Sổ đỏ đẹp, cất két, chờ sang tên chủ mới. - Lh Mr Trác: 0965492571 ( xem nhà và tư vấn miễn phí)",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809906.8556347, 5, 3,,
"5,2 tỷ VNĐ",Phố Hạ Đình Thanh Xuân Hà Nội, 40m2, 4,"+ Cần bán nhà mặt phố Hạ Đình, vỉa hè, kinh doanh sầm uất, lô góc hiếm có căn thứ 2. + Vị trí đẹp, cách mặt phố Nguyễn Trãi không xa. + Diện tích 40m2, 4 tầng, mặt tiền 4m, kinh doanh cực vip. + Vị trí đẹp, trong tầm tiền hiếm có căn thứ 2. + Sổ đỏ chính chủ nở hậu, sẵn sàng giao dịch. + Tài chính 5.2 tỷ ( Thương lượng ) Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn )",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809908.1518607, 4, 4,,
"1,45 tỷ VNĐ",Phố Lĩnh Nam Hoàng Mai Hà Nội, 33m2, 3,"+ Cần bán nhà đẹp ở ngay tại phố Lĩnh Nam, quận Hoàng Mai. + Ngõ to rộng sạch sẽ, rất gần mặt phố Lĩnh Nam, khu vực an ninh tốt, dân trí cao, ở cực kỳ sướng. + Nhà nói không với quy hoạch. + Diện tích 33m2, mặt tiền 3.3 mét. + Nhà đẹp lung linh như ảnh ( ảnh thật 100% ) + Tài chính 1.45 tỷ ( Thương lượng ) Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn )",09/08/2022,Tin thường,batdongsan_so_com_vn_1673809909.7126927, 2, 2,,
