price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Hướng
"30,8 tỷ VNĐ",PHƯỜNG BƯỞI QUẬN TÂY HỒ, 60m2,"BÁN GẤP NHÀ MẶT PHỐ THỤY KHUÊ VỈA HÈ Ô TÔ KINH DOANH THANG MÁY NHỈNH 30 TỶ+ DT. 60M2* 8 TẦNG THANH MÁY – MẶT TIỀN 5M NHỈNH 30 TỶ TÂY HỒ.+ Vị trí mặt phố thụy khuê vỉa hè kinh doanh vô địch. Trung tâm Quận Tây Hồ. Tiện ích miễn bàn.+ Nhà thiết kế 8 tầng, thang máy, bố trí cầu thang giữa, có thể để 2 phòng khép kín hoặc để thông sàn linh hoạt, nội thất sang xịn toàn đồ nhập khẩu, tầng 1 điều hòa âm trần, các tầng khác điều hòa Daikin, thiết bị vệ sinh Nhật Bản, hệ thống điện năng lượng mặt trời.+ Nhà thoáng tứ phía, cửa sổ các phòng, từ tầng 4 đã ngắm Hồ Tây. Tầng 8 ngắm trọn vẹn Hồ Tây không sót chỗ nào.+ Sổ đỏ vuông A4 sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7. ",10/12/2022,Tin thường,batdongsan_so_com_vn_1673783919.3898764,,,,,,
"9,9 tỷ VNĐ","Đường Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy", 60m2,"💥 Phân lô VIP Phố Hoàng Quốc Việt, Ô tô tránh, Gara, 60m2 5T, MT 6m, Chỉ 9.9 Tỷ 💥⭕️ LH NGAY 0982833366 ---------------------------- BÁN NHÀ PHÂN LÔ PHỐ HOÀNG QUỐC VIỆT - NGHĨA ĐÔ - CẦU GIẤY - CÁCH PHỐ 40MÔ TÔ TRÁNH - Ô TÔ VÀO NHÀ - MẶT TIỀN RỘNG - GẦN PHỐ - KINH DOANH MỌI LOẠI HÌNH- Sổ 52m, thực tế xây từ tầng 1 là 60m (có bản đo đạc).- Cách nhà 40m về phía trong là hồ nước thơ mộng, bên lâu đài gà vàng nhiều triệu đô của đại gia Thanh Sắt nổi tiếng thủ đô.- Ngõ trải nhựa, kinh doanh sầm uất, ô tô tránh nhau thoải mái. - Nhà thiết kế bán hầm có thể làm gara hoặc kinh doanh tuỳ theo gia chủ.- Nhà xây khung bê tông chắc chắn, vài thùng sơn là đẹp ngay. - Nhà chủ đang cho thuê cả nhà 20tr/tháng. - Thiết kế:+ Tầng 1: gara ô tô+ Tầng lửng: 1 ngủ, phòng khách, wc+ Tầng 3,4,5: mỗi tầng 2 phòng- Sổ đỏ chính chủ sẵn sàng giao dịch---------------------------- 🚀 GIÁ BÁN CHỈ: 9.9 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785 (Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%... ----------------------------DÀNH CHO ACE TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%LH: Mr. Phương_Nhà_Phố (1981) CALL 0982833366-ZALO 0902223785 (FB/ZALO - 24/7)   - Tiếp khách có nhu cầu thực, khách xem cho vui xin phép không tương tác vì CV mình rất bận.- Phương_Nhà_Phố có thông tin hàng ngàn căn nhà với đủ phân khúc từ vài tỷ đến vài trăm tỷ, thông tin hình ảnh thật mô tả kỹ không làm mất thời gian công sức của ACE. CÁC LĨNH VỰC BĐS ĐANG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô, Nhà liền kề5. Chung cư, tập thể, nhà ở theo từng phân khúc tài chínhLiên hệ ngay để được tư vấn và tham khảo BĐS phù hợp nhất. Xin cảm ơn!!!",10/12/2022,Tin thường,batdongsan_so_com_vn_1673783920.515973, 15, 5, 5, 4, 6,
4 tỷ VNĐ,"Đường Kim Mã, Đội Cấn, Ba Đình", 40m2,"Bán nhà Đội Cấn - Ba Đình 40m² - 4 tỷ - ngõ nông thoáng - lô góc - vài bước ra ô tô. Trung tâm lõi thủ đô - ngõ nông - gần phố - nhà đẹp ở ngay - tầm tiền hiếm nhà - an ninh. - Vị trí trung tâm lõi Ba Đình, hàng xóm Hồ Chủ Tịch, đi bộ ra Lăng Bác. Xung quanh tiện ích gần Trường, Chợ, CV Bách Thảo... - Ngõ nông, thoáng sáng, sạch sẽ. Giao thông thuận tiện gần các tuyến đường lớn Đội Cấn - Ngọc Hà - Lê Hồng Phong - Kim Mã - Tây Sơn... Hướng đi khắp nơi. Từ nhà di chuyển lên Phố Cổ chỉ vài phút đi xe. * Thiết kế:- Tầng 1: Khách, bếp, vs.- T2 - 3 - 4: Tổng 3 ngủ, vs.- T5: Phòng thờ, sân phơi.Sổ đỏ chính chủ, pháp lý chuẩn - sẵn giao dịch ngay.Liên hệ E. Luân:",10/12/2022,Tin thường,batdongsan_so_com_vn_1673783921.5542448, 5, 5, 3, 4, 4,
"5,1 tỷ VNĐ","158 Nguyễn Khánh Toàn p. Dịch Vọng, q. Cầu Giấy, Tp Hà Nội", 49m2,"SIÊU PHẨM CÓ 102 - MÁY IN TIỀN ĐA NĂNG - NHÀ MỚI - FULL NỘI THẤT - GIÁ MÙA WC KHÔNG THỂ TIN ĐƯỢC Ngõ 158 Nguyễn Khánh Toàn phân lô VIP bậc nhất Cầu Giấy , an sinh đỉnh cao , tiện ích đẳng cấp không thiếu 1 thứ gì - Đặc biệt là khu phân lô nên ô tô để thoải mái.Nhà mình cách ô tô tải đỗ đúng 10m ở cực sướng mà cho thuê làm bất cứ gì cũng thuận tiện.Nhà có 2 mặt thoáng , thiết kế công năng tối ưu , phòng nào cũng có cửa sổ.- Diện tích : 49,5m² 5 tầng mt 3m- Tầng 1 : Bếp + Khu để chục xe máy + Hầm rượu siêu độc.- Tầng 2 : Phòng khách + Phòng ngủ + WC.- Tầng 3, 4 : Mỗi tầng 2 phòng + WC.- Tầng 5 : Phòng thờ + Sân vườn view Triệu Đô.Phần sử dụng riêng của nhà là 38,3m nhưng nhà có thêm bên cạnh 5m lưu không nên tổng xây dựng từ tầng 1 là 43m + 11m sân. Nhà thiết kế cực tối ưu phù hợp cho 1 đại gia đình sinh sống lâu dài.Sổ đỏ hiện đang cất két , chủ đã chuyển ra và dọn dẹp sạch sẽ Giá : 5,1 tỷ Liên hệ : Mr Dũng 0825237636",10/12/2022,Tin thường,batdongsan_so_com_vn_1673783922.810209, 2, 5, 5, 4, 3,
2 tỷ VNĐ,"Đường Khương Trung, Khương Trung, Thanh Xuân", 30m2,"
    NHÀ ĐẸP KHƯƠNG TRUNG - THANH XUÂN - GIÁ TỐT - Ở NGAY- 30M2 - 3 TẦNG - 2 NGỦ. 30m2 x 3 tầng x giá chỉ 2.35 Tỷ. Mô tả: + Nhà nằm vị trí cực đỉnh, gần chợ, vài bước ra ô tô,  giao thông đi lại thuận tiện.+ Chủ để lại toàn bộ nội thất xịn sò, nhà vẫn còn mới khách chỉ việc xách valy về ở chả phải sửa sang gì.Thiết kế: + Tầng 1: Phòng khách + bếp+ Tầng 2, 3: Ngủ + WC+ Sổ vuông đẹp, sẵn sàng giao dịch.Liên hệ: 0844899222 - 0865089699 Ms Thanh  (Miễn tiếp Môi giới, Tr/gian)  ",10/12/2022,Tin thường,batdongsan_so_com_vn_1673783923.8673441, 3,, 2, 2, 4,
"2,3 tỷ VNĐ","Đường Lĩnh Nam, Lĩnh Nam, Hoàng Mai", 36m2,"SIÊU PHẨM RẺ ĐẸP NHẤT HOÀNG MAI- NGÕ NÔNG,RỘNG THOÁNG VÀI BƯỚC RA PHỐ,NHÀ MỚI FULL NỘI THẤT 36M2 2PN CHỈ 2,3 TỶ + Vị trí nhà đẹp, ngõ rộng thoáng, vài bước ra phố, khu vực đang phát triển, giá nhà đất lên từng ngày.  + Hiện trạng nhà 2 tầng gia đình đang ở điện nước đầy đủ ở đẹp luôn. + Lô đất nở hậu đẹp rộng thoáng 3 mặt, mỗi mặt bên rộng thoáng sát nhà 1.2m là khoảng lưu không được phép sử dụng riêng, nhà có thể xây đua ra tầng 2 hết 42m2. + Chủ nhà tặng lại toàn bộ nội thất. Pháp lý: sổ đỏ nở hậu chính chủ sẵn sàng giao dịch.",10/12/2022,Tin thường,batdongsan_so_com_vn_1673783924.7769449, 1, 2, 2, 2, 4,
"5,2 tỷ VNĐ","Đường Hồ Văn Chương, Thổ Quan, Đống Đa", 35m2,"+ Mặt ngõ ô tô tránh kinh doanh sầm uất ngày đêm. + Vị trí: Khu dân trí cao, dân cư sầm uất, cạnh chợ, ở, văn phòng, kinh doanh sầm uất.  Thiết kế thông sàn cầu thang cuối.  Tầng 1 phòng khách, bếp, vệ sinh. Tầng 2,3 mỗi tầng 1 phòng ngủ rộng, vệ sinh.  Tầng 4 gồm 2 phòng ngủ, tổng 4 phòng ngủ.  Tầng 5 phòng thờ, sân phơi.  Sổ đỏ chính chủ, vuông nét, cất két sắt. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",10/12/2022,Tin thường,batdongsan_so_com_vn_1673783925.9667678, 3, 5, 4,, 4,
"4,6 tỷ VNĐ","Đường Thái Thịnh 1, Thịnh Quang, Đống Đa", 68m2,"Chính chủ giao bán gấp nhà Thái Thịnh, Đống Đa, 68m, 4 tầng, mt 4.3m, nhà đẹp, 4.65 tỷ.+ Ngõ đẹp nhất phố, tiện ích xung quanh không thiếu gì, hàng xóm thân thiện dân trí cao, văn minh.+ Nhà xây chắc chắn, còn rất mới, thiết kế đẹp, thoáng, công năng hợp lý vô cùng. + Sổ đỏ sẵn sàng giao dịch.MR Trung 0896695659 ( tư vấn hỗ trợ 24/7 )",10/12/2022,Tin thường,batdongsan_so_com_vn_1673783926.9680874, 4, 5, 5, 5, 6,
"6,8 tỷ VNĐ",PHƯỜNG YÊN HÒA, 50m2,"BÁN GẤP NHÀ ĐẸP LÔ GÓC MẶT PHỐ YÊN HÒA KINH DOANH Ô TÔ MẶT TIỀN RỘNG GIÁ NHỈNH 6 TỶ 0962745289 + DT: 50M2 -  4 TẦNG - MẶT TIỀN 8.6M NHỈNH 6 TỶ CẦU GIẤY. TIỆN ÍCH MIỄN BÀN.+ Vị trí mặt phố kinh doanh ô tránh ô tô vào nhà, khu vực kinh doanh sầm uất, tiện ích ngập tràn. Phố thông phố Nguyễn Khang – Trung Kính+ Sổ đỏ chính chủ cất két sẵn sàng giao dịch.+ Giá thương lượng. Chủ thiện chí muốn bán nhanh.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7",10/12/2022,Tin thường,batdongsan_so_com_vn_1673783928.1838305,,,,,,
"4,2 tỷ VNĐ","Đường Trường Chinh, Khương Thượng, Đống Đa", 38m2,"Cần bán nhà lô góc Trường Chinh - Tôn Thất Tùng, 2 mặt thoáng, ngõ ngách rộng, trung tâm quận Đống Đa - Diện tích sổ đỏ: 38.3m2, từ tầng 2 ban công đua ra thêm 3m2, nhà 4 tầng, mặt tiền 5m, nở hậu gần 6m. - Nhà căn góc 2 mặt đường, nhiều cửa sổ ánh sáng ngập tràn, phòng nào cũng cực kỳ thoáng sáng. - Xe ba gác đỗ cửa - Nhà đi vào từ nhiều phố: Trường Chinh, Tôn Thất Tùng, Tam Khương, Chùa Bộc - Xung quanh gần trường học các cấp, gần chợ, bệnh viện tiện ích không thiếu thứ gì. - Tầng 1: Để xe, phòng khách, bếp, wc. - Tầng 2,3: Mỗi tầng 1 phòng ngủ rộng, wc. - Tầng 4: Phòng thờ, sân phơi. - Sổ đỏ chính chủ Giá bán: 4.2 tỷ có thương lượng Liên hệ chính chủ: 0965718999",10/12/2022,Tin thường,batdongsan_so_com_vn_1673783929.2898707, 3, 4, 2, 2, 5,
