price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"10,5 tỷ VNĐ",Đường Tây Sơn phường Ngã Tư Sở, 35m2,"Mặt phố Tây Sơn, đối diện ĐH Thuỷ Lợi, 6 tầng, 10.5 tỷ KD đắc địa  - Sổ đỏ chính chủ. Giá bán 10.5 tỷ. Cam kết thông tin chuẩn.",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807840.6723928, 40, 6, 3, 4, 4,
15 tỷ VNĐ,"Hoa Lâm, Việt Hưng, Long Biên, Hà Nội", 100m2,"Bán nhà vị trí đắc địa mặt phố Hoa Lâm kinh doanh sầm uất, DT 100m2, MT 6 m. + Đường 2 container tránh nhau. ôtô đỗ cửa, ra vào nhà thoải mái. + Rất đường Quốc lộ 1B, gần UBND phường Đức Giang, UBND phường Việt Hưng. + Gần ngã Tư, mật độ dân cư qua lại nhộn nhịp, tương lai gần quy hoạch hồ điều hòa phường Việt Hưng, thích hợp ở và kinh doanh thuận lợi nhiều loại hình. + Xung quanh tiện ích đầy đủ như: Gần Big C Long Biên, song song phố salon ôtô, chợ Việt Hưng, trường học các cấp, TTTM...  Thích hợp cho gia đình mua đầu tư kết hợp kinh doanh hoặc để ở lâu dài. + Giá bán: Nhỉnh 15 tỷ (mua bán thương lượng).+ Pháp lý: Sổ đỏ chính chủ, pháp lý rõ ràng. + Liên hệ em Lan Phạm  để biết thêm thông tin và xem nhà. Trân trọng",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807842.586274,,, 6,,,
"2,75 tỷ VNĐ",Thanh Am, 40m2,"+ Chính chủ muốn bán nhanh nhà dân xây 3 tầng vững chắc + Ngõ ôtô, an ninh rất tốt, thích hợp để ở lâu dài. + Xung quanh tiện ích đầy đủ như: Gần chợ Thanh Am, trường các cấp, rất gần khu shophouse Vĩ Yến riverside. gần doanh trại quân đội Nhân dân, công an phường Thương Thanh + Giá bán: Nhỉnh 2 tỷ (mua bán thương lượng).+ Pháp lý: Sổ đỏ chính chủ, pháp lý rõ ràng. + Liên hệ em Lan Phạm để biết thêm thông tin và xem nhà. Trân trọng",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807844.1371922,,, 4,,,
"11,6 tỷ VNĐ",Quận Cầu Giấy, 55m2,"PHÂN LÔ PHÙNG CHÍ KIÊN 7 TẦNG, THANG MÁY KINH DOANH CHỈ 11.6 TỶ . 0962745289+ CHÍNH CHỦ CẦN BÁN GẤP NHÀ PHÂN LÔ PHÙNG CHÍ KIÊN – CẦU GIẤY 55M2. + Vị trí cực đẹp, phân lô ô tô tránh, 2 thoáng trước sau, thông bàn cờ, giáp ranh Tây Hồ - Ba Đình - Đống Đa - Bắc Từ Liêm, khu vực hiếm nhà bán.Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+Nhà dân xây cực kỳ chắc chắn tâm huyết, đầy đủ công năng sử dụng gần phố, hai mặt thoáng, dân trí cao, an ninh tốt, tiện ích vây quanh, quy hoạch ổn định, gần nhiều trường học các cấp..v..v..+ 3 SÀN THÔNG KINH DOANH, 4 NGỦ, TẦNG THƯỢNG CAFÉ SÂN VƯỜN LUNG LINH.+ Sổ đỏ vuông vức trước sau như một. Chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807845.5932975,,,,,,
"4,85 tỷ VNĐ",Đường Nguyễn Sơn phường Ngọc Thụy, 45m2,"+ Vị trí. Mặt ngõ, Gần mặt phố, gần đường Nguyễn Văn Cừ, Nằm bên phải đường Nguyễn Văn Cừ theo hướng từ Chương Dương đi ra. Ngõ Thông rộng 3,5m,  + Nhà lô góc, mặt tiền 5m, mặt cạnh 8m, đảm bảo phòng nào cũng có 2 cửa sổ vô cùng thoáng mát. + Hiện trạng nhà còn mới, 4 tầng, 3 ngủ rộng rãi khép kín, full nội thất. Để lại toàn bộ cho chủ mới. Nhà xây khung cột bê tông chắc chắn có thể lên thêm tầng thoải mái. + Pháp lý. Sổ đỏ chính chủ, vuông vắn, không lỗi phong thủy, không nợ ngân hàng. + Tiện ích. Có đầy đủ mọi tiện ích phục vụ sinh hoạt gia đình và học tập của trẻ nhỏ. Gần chợ, gần trường, gần bệnh viện Tâm Anh. Khu vực toàn nhân viên Hàng không sinh sống, văn minh, sạch đẹp, an ninh tốt. Liên hệ. Anh Hoan để xem nhà.",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807846.8629029, 3, 4, 5, 3, 4,
"52,5 tỷ VNĐ",Hào Nam Đống Đa, 141m2,"Vị trí - Phố Hào Nam cực kỳ tấp nập, vỉa hè rộng. Kinh doanh tất cả các lĩnh vực.- Nhà hiện trạng nhà 3tầng kinh doanh rất tốt. Chủ xác định bán đất nên không có gì mô tả nhiều.- Nhà có mặt tiền rộng, 3 mặt thoáng! - Sổ đỏ chính chủ sẵn sàng giao dịchGiá 52,5 tỷ có thương lượng. Alo cho em để được tư vấnMiễn TG Quảng Cáo! ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807848.190349,,, 8,,,
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2,"Hiện nay chúng tôi đang phân phối quỹ căn hộ Imperia Smart City với đa dạng các loại diện tích: Studio - 1PN - 2PN - 3PN và tầng, hướng, view công viên hồ trung tâm đẹp nhất dự án (đặc biệt có căn vip giá độc quyền đã bán hết trên bảng hàng chúng tôi đều có) với chính sách ưu đãi khủng: - Thanh toán 10% ký ngay hợp đồng mua bán. - Tặng tiền mặt lên đến 65 triệu/căn hộ. - Bốc thăm trúng 1,5 cây vàng SJC - có ngay 100 triệu. - Chiết khấu 19% khi thanh toán sớm. - Chiết khấu 10% khi thanh toán theo tiến độ thường. - Hỗ trợ vay lên đến 70 - 80% giá trị căn hộ. - Vay vốn lãi suất 0% trong 24 tháng. - Miễn phí dịch vụ trong 5 năm. Hotline: 0987808686. Thông tin dự án Imperia Smart City: - Chủ đầu tư: Công ty cổ phần HBI. - Chiều cao: 38 - 39 tầng. - Diện tích: Từ 28.3m2 đến 75.6m2. - Dự kiến bàn giao: T9.2023 - T5.2024. Tiện ích dự án: - Một bước chân tới ngay công viên hồ trung tâm 10.2 ha. - Gần sát nhà để xe 10 tầng đáp ứng nhu cầu của cư dân mà các phân khu khác chưa làm được. - Cạnh trường học VinSchool đã đi vào hoạt động. - Gần các tuyến ga metro số 5,6,7 dễ dàng di chuyển các khu vực trong và ngoài thành phố. - Gần trung tâm thương mại Vincom Mega Mall. - Tham quan vườn nhật lớn nhất Đông Nam Á hàng ngày mà không mất bất kỳ khoản phí nào. - Bể bơi hơn 1000m2 ngay chân tòa nhà. - Tổ hợp 15 công viên thể thao ngay trước mặt dự án. - Cư dân Imperia được hưởng tất cả quyền lợi của cư dân Vinhomes và được hưởng thêm quyền lợi riêng của CĐT. Liên hệ tư vấn, nhận bảng giá và chính sách mới nhất:0987808686",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807850.2824883,, 10,, 1, 1,
,phố hoàng văn thái, 37m2," SIÊU VÍP CHÍNH CHỦ CẦN BÁN NHÀ HOÀNG VĂN THÁI 37m2 x 4 T 5,9 TỶ Ô TÔ KD +  Vị trí siêu đỉnh, 37 m2 x 4 tầng giá 5,9 tỷ, ô tô đỗ cổng, ngõ ô tô tránh, nhà phân lô quân đội, giao thông thuận tiện, khu vực an sinh đỉnh, dân trí cao. Ngõ thông tứ phía.+ Nhà cách đường ô tô tránh 15m, buôn bán, kinh doanh sầm uất, tiện ích quanh nhà.+ Nhà thiết kế hiện đại, mỗi tầng 2 phòng, cầu thang giữa. - Tầng 1: Khách, bếp, vệ sinh- Tầng 2,3: Mỗi tầng 2 phòng ngủ + vệ sinh- Tầng 4: 2 phòng + sân phơi.+ Phòng nào cũng có cửa sổ thoáng sáng.+Sổ đỏ chính chủ, nở hậu, sẵn sàng giao dịch.+LH: Hoàng Bắc, ĐT: 0377610275- 0913319643, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807852.0635688, 3, 4, 5, 4,,
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2,"*SIÊU PHẨM - CHUNG CƯ HƯNG THỊNH TẠI LINH ĐÀM CHUẨN BỊ MỞ BÁN ️ Hanoi Melody Residences - Hưng Thịnh Tây Linh Đàm *Vị Trí Đắc Địa: tại trung tâm bán đảo Linh Đàm, dễ dàng kết nối nhiều trục đường huyết mạch *50 Suất trực tiếp từ CĐT - Giá gốc *1OO% căn hộ có 2 Logia đón nắng gió và ánh sáng tự nhiên. *Gồm 29 tầng nổi, 3 tầng hầm để xe. Tầng 1&2 là shophouse. Căn hộ ở từ tầng 3-29. Mỗi block 8 đến 12 căn hộ với 15 thang máy, có thang vận chuyển rác riêng *Mật độ ""Siêu Thoáng"". *Hỗ trợ vay đến 70% giá trị căn hộ *Pháp lý: minh bạch, sở hữu lâu dài. —-------------------------  *VỊ TRÍ VÀNG - 4 MẶT TIỀN TRUNG TÂM T.P HÀ NỘI: Chung cư hiếm hoi sở hữu vị trí trung tâm - Kết nối hoàn hảo các điểm tiện ích đắt giá nội thành Hà nội: *Cách bệnh viện Bạch Mai chỉ 20 phút đi xe. *Cách bến xe Giáp Bát chỉ 15 phút đi xe. *Cách bến xe Nước Ngầm chỉ 10 phút đi xe. *Cách trường Tiểu học Chu Văn An chỉ 2 phút đi bộ. *Cách chợ Đại Thanh, chợ Linh Đàm - 500m *TỔNG QUAN VỀ DỰ ÁN: - Chủ đầu tư uy tín: Hưng Thịnh - Phát triển dự án: Hưng Thịnh Corporation - Diện tích: 3.28 ha ( gồm 4 block căn hộ) - Quy mô: 29 tầng - Giao nhà: Dự kiến Quý 1/2024 *THIẾT KẾ THÔNG MINH - HƯỞNG TRỌN TIỆN ÍCH HIỆN ĐẠI Không gian linh hoạt: 68m2; 76m2; 82m2; 98m2; 121m²; 147m² (2-3 𝐏𝐍) Với thiết kế hình chữ L giúp tất cả các căn hộ đều có mặt thoáng tự nhiên. Không gian mát mẻ quanh năm, địa thế tự nhiên, không khí trong lành, mảng xanh tự nhiên, hồ điều hòa,... Hơn 200 Tiện ích nổi bật: Siêu thị, trung tâm thương mại, Gym, spa, nhà hàng, nhà trẻ, khu thể thao phức hợp, bể bơi vô cực, … Mọi thông liên hệ trực tiếp: 0987808686 ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807853.6333997,, 10,, 2, 2,
"6,5 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 65m2,"+ Diện tích 65M MT4 đất vuông đẹp phong thủy tốt, phù hợp xây ở cho thuê kinh doanh tốt.  ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807855.240101,,, 4,,,
