price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"3,1 tỷ VNĐ","vân canh ,hoài đức", 33m2,,"Nhà mặt ngõ, đường vào nhà rộng rãi, ô tô đỗ cửa. Ngõ thông ra đường vành đai 3,5 sắp thông xe. Giao thông thuận tiện khắp ngả Phương Canh, Xuân Phương, Trịnh Văn Bô, Nhổn, Tây Mỗ, Mỹ Đình... Xung quanh tiện ích phong phú khi gần KĐT An Lạc và Vân Canh, trường học các cấp, chợ dân sinh. Nhà 5 tầng rất đẹp, nổi bật với sự thoáng sáng khi có mặt tiền rất rộng. Đầy đủ công năng với 3 phòng ngủ rộng rãi. Chất lượng hoàn thiện cao và thiết bị vệ sinh, đèn điện xịn xò. Là khu vực dân cư đông đúc, tiềm năng cực lớn khi Hoài Đức sẽ lên quận. Giá chào chỉ 3 tỷ mốt (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823141.2386014,,,,,
"4,95 tỷ VNĐ",Bồ Đề Long Biên, 51m2,,"Gia đình cần bán nhanh nhà khu vực Bồ Đề 51m2 giá hơn 4 tỷ, có thương lượng👉 Nhà đẹp phố bồ đề view Golden City, ngõ rộng oto tránh👉 Tiện ích ngập tràn. 1 bước ra phố Hồng Tiến, Gần Trường Liên cấp song ngữ quốc tế WellSpring, Bệnh viện Tâm Anh, Chợ..v.v . 5 phút đi xe sang phố cổ.👉 Nhà thiết kế 4 tầng với đầy đủ công năng : 4 phòng ngủ, phòng thờ, sân phơi, đặc biệt phòng bếp và khách rất rộng rãi.☎️☎️☎️ Call/ Zalo: Mr Thành 0978600980 để được tư vấn và xem nhà miễn phí.",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823142.489255, 4, 4,,,
15 tỷ VNĐ,Đường Phạm Tuấn Tài phường Dịch Vọng Hậu, 56m2, 5,,26/05/2022,Tin thường,batdongsan_so_com_vn_1673823143.7578614, 5, 6, 5, 5,
"4,3 tỷ VNĐ","Tố Hữu, Hà Đông, Hà Nội.", 45m2,," # Cần bán nhà riêng ngay ngã tư Tố Hữu, Vạn Phúc, Hà Đông. Full thiết bị + nội thất, 45m2, 3T, giá chỉ 95 triệu/m2.   + Vị trí tiềm năng phát triển chóng mặt bao quanh là các KĐT Văn Khê, KĐT An Hưng, KĐT Vạn Phúc, Him Lam, KĐT Dương Nội, AEONMall, Vinhomes... + Trên 20m ra mặt đường trục chính, 3m ô tô lùi cửa giao thông thuận tiện. + Nhà 3T khung cột chắc để sẵn thép chờ đợi xây lên 5T, nay chủ có việc giêng cần bán gấp.   + Giá chỉ 4.3 tỷ. ( Có Ra Lộc ) + Sổ vuông chính chủ, giao dịch nhanh. # HotLine: 0906113879 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823144.806569, 3, 3,, 3,
"8,5 tỷ VNĐ",Đường Trần Duy Hưng phường Trung Hòa, 57m2, 4,"Nhà nằm trong khu vực trung tầm quận cầu giấy, giao thông vô cùng thuận lợi ,thông khắp các ngã, đi đâu cũng thuận tiện. Khu vực tập trung nhiều CTY, TTTM, gần trường học các cấp.  Dân cư đông đúc, Dân trí cao, an sinh xã hội tốt, an ninh cực kỳ đảm bảo. xung quanh tiện ích ngập tràn. chủ xây cực tâm huyết, nhà xây khung cột bê tông chắc chắn ,thiết kế cơ bản, móng lên thêm 2,3 tầng nữa vô tư. DT 57m2 x 4T, MT 4m. Tầng 1 : Phòng Khách, Bếp, WC. Tầng 2 : 2 PN + WC. Tầng 3 : 2 PN khép kín. Tầng 4 : Phòng Thờ, Sân phơi. Pháp lý chuẩn, sổ đỏ sẵn sàng giao dịch ngay. Giá 8.5 tỷ ( thương lượng ). Liên hệ ngay để được tư vấn, hướng dẫn xem nhà hoàn toàn miễn phí. ",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823145.7600186, 4, 4, 4, 3,
45 tỷ VNĐ,Đường Hồng Tiến phường Bồ Đề, 50m2, 5,,26/05/2022,Tin thường,batdongsan_so_com_vn_1673823146.886007, 5, 4, 5, 4,
"1,5 tỷ VNĐ","Mễ Trì Thượng, Nam Từ Liêm", 30m2,,"+  Chính chủ bán gấp nhà Mễ Trì Thượng, Nam Từ Liêm 30m2 X 3 tầng, MT: 3.4m.+ 3 bước ra phố, thuận tiện cho việc đi lại, hàng xóm thân thiện. Ngõ nông, văn minh, sạch sẽ.+ Chưa đến 300m ra trung tâm Hội Nghị Quốc Gia, Keangnam, khách sạn Mariot.+ Giao thông cực kỳ thuận lợi, thông ra bến xe Mỹ Đình, gần các trường đại học lớn, thông ra Đại Lộ Thăng Long, đường Phạm Hùng, ra Big C Thăng Long...+ Pháp lý rõ ràng.+ Liên hệ em Đức Anh để xem nhà 0975517689.",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823147.8524265,,,,,
,Đường Lê Hữu Tựu phường Nguyên Khê, 92m2, 5,"Bán đất đấu giá Cán Khê Nguyên Khê Đông Anh: Diện tích: 92.6m2. Mặt tiền: 5m. Đường rộng 5,5m + Vỉa hè. Bên cạnh là đường bìa làng 17m, vỉa hè 5m mở thông sang Khu đô thị Nguyên Khê. Phía sau là đường Quy hoạch 40m sắp triển khai. Bán đất đấu giá Cán Khê Nguyên Khê Đông Anh: Gần khu công viên cây xanh, bãi thể thao, bãi đỗ xe đang thi công. Bên cạnh là dự án Khu đô thị ALS City. Cách Khu Đô Thị Nguyên Khê 300m. Cách UBND xã 500m. Các dự án mở đường sát khu đều sắp triển khai. Giá thì vẫn thấp so với các khu khác, tiềm năng đầu tư rất lớn. Đất đấu giá pháp lý đảm bảo, quy hoạch đồng bộ  Em Tùng 0979.090.313
– Tư vấn nhà đất Đông Anh miễn phí.
– Kiểm tra quy hoạch mới nhất giá rẻ.
– Hỗ trợ vay vốn ngân hàng
",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823149.160921,,,,,
44 ngàn VNĐ,Đường 19 phường Đông Anh, 50m2, 5,"Bán đất thị trấn Đông Anh – 50m2 tổ 20 – Xe tải vào đất – Hơn 2 tỷ  Thông số lô đất: Diện tích 50 m2Mặt tiền 5.2 mĐường 3.5m xe tải vào  Vị trí lô đất:   Cách bệnh viện Bắc Thăng Long 300m, cách BV Đông Anh 1.3km, cách QL3 1km Bán đất thị trấn Đông Anh cách cầu Nhật Tân 7p lái xe, cách sân bay Nội Bài 10p lái xe  Bán kính xung quanh 300m là các trường mầm non, tiểu học, trung học, sân bóng, tiện ích rất đầy đủ… Mảnh đất vô cùng khan hiếm, tầm tài chính nhỉnh 2 tỷ không có lô thứ 2  Em Tùng 0919841234
– Tư vấn nhà đất Đông Anh miễn phí.
– Kiểm tra quy hoạch mới nhất giá rẻ.
– Hỗ trợ vay vốn ngân hàng
",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823150.1612446,,,,,
2 tỷ VNĐ,"Phúc Lợi, Long Biên", 37m2, 6,"Vị trí nằm gần điểm giao giữa Việt Hưng, Giang Biên, Phúc Lợi. Cách đường đê vàng 30m. Chỉ cần bước ra ngõ 8 m là tới Ngõ thông oto tránh nhau. Thích hợp đầu tư, xây ở, xây bán. Thuần là đất nên không có nhiều mô tả. Lh em Trác: 0965492571( xem nhà và tư vấn miễn phí)   ",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823151.1884966,,,,,
