price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Hướng,Số phòng ngủ,Số toilet,Lộ giới
"12,9 tỷ VNĐ","KĐT Định Công, Hoàng Mai, Hà Nội", 88m2,"Chính chủ cần Bán Nhà liền kề KĐT Mới Định Công DT 88m*4t giá 12.9 tỷ.+ Nằm trong khu đô thị mới hạ tầng tốt và đầy đủ tiện ích, dân trí cao, an ninh tốt, rất nhiều cây xanh. Trường học các cấp, bệnh viện Bưu Điện, siêu thị Vinmart, Chợ Xanh, Ngân hàng, Bãi đỗ xe, công viên Định Công, bể bơi bốn mùa…  + Nằm ở vị trí không gian thoáng trước thoáng sau, các phòng đều tràn ngập ánh sáng. + Đường trước nhà rộng, có vỉa hè, ô tô đỗ thoải mái, nhà gần vườn hoa rất đẹp. + Khu vực đang nóng sốt lên cùng với đường vành đai 2.5 đang thi công, tương lai tuyệt vời, đi lại các hướng rất thuận tiện. + Liên hệ: Thành 0912525146",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828949.281306,,,,,,
"1,1 tỷ VNĐ",Thuỷ Xuân Tiên huyện Chương Mỹ TP.Hà Nội, 120m2,"CC cần bán LÔ GÓC 3MT ĐƯỜNG THÔNG Thuỷ Xuân Tiên Chương Mỹ.DT 120m/2,cạnh QL21a chỉ hơn 1 tỷ.- Diện tích 120m2/2 100% đất ở. Mặt tiền = hậu 6m vuông vắn. Đường ô tô tránh. - Vị trí đắc địa bậc nhất xã với trục chính liên xã thông QL6 và QL21A.Khu vực nằm trong quần thể KĐT vệ tinh Xuân Mai Chương Mỹ Hà Nội.- Xung quanh phát triển đô thị ven đô với đầy đủ các tiện ích như chợ, siêu thị, trường mầm non, tiểu học, THCS, THPT, các trường Cao đẳng, Đại học.- Khu vực dân trí cao, hàng xóm thân thiện, toàn bộ đội nên an ninh rất đảm bảo- Giá bán: 1,1 tỷ(Có thương lượng)- Sổ đỏ chính chủ.- Pháp lý rõ ràng. Sẵn sàng giao dịch.Liên hệ tư vấn: Em Dương/0914450004 (Miễn trung gian)",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828950.441203, 6,,,,, 6
"4,1 tỷ VNĐ","Bán nhanh 56,6m2 lô góc full thổ cư tại Thượng Thanh, Long Biên, 4,1 tỷ, 0982173738", 57m2,"Bán nhanh 56,6m2 lô góc full thổ cư tại Thượng Thanh, Long Biên, 4,1 tỷ, 0982173738  - Lô góc vị trí đẹp, sẵn nhà 4 tầng: ngõ 21, tổ 26, phố Thanh Am, Thượng Thanh.- Hướng Đông Nam mát mẻ, ô tô đỗ cửa. Đất thông thoáng. Giao thông thuận tiện- Nằm trong khu dân cư đông đúc, dân trí cao, an ninh trật tự tốt.- Sổ đỏ chính chủ, sẵn giao dịch. Khách mua sẵn nhà ở ngay. Giá bán: 4,1 tỷ (có thương lượng)Khách quan tâm liên hệ chủ đất – 0982173738 gặp Anh Thắng (miễn QC)       http://www.sanbatdongsanviet.com.vn",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828951.512338,,,,,,
"6,9 tỷ VNĐ","Đường Thái Hà, Đống Đa, Hà Nội", 39m2,"ĐƯỜNG THÔNG TRẢI NHỰA, ĐẲNG CẤP NHƯ KHU BIỆT THỰĐịa chỉ: Thái Hà, Đống Đa S = 39m, 5 tầng, giá 6.9 tỷ *Mô tả: +Vị trí đắc địa gần các trung tâm thương mại, giao thông thuận tiện Chùa Bộc, Láng Hạ, Yên Lãng,… +Thiết kế : 5 tầng, 4 ngủ, công năng hoàn hảo. +Sổ đỏ chính chủ, cần bán rất gấp. *Liên hệ:  Tôi Bình, 0345752279 để được tư vấn, xem nhà miễn phí. *Không tiếp môi giới.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828952.8248682, 4, 5,, 4, 5,
"3,7 tỷ VNĐ","LÔ GÓC – 2 MẶT Ô TÔ  * Đc: Lĩnh Nam – Hoàng Mai  * S = 36m, 5 tầng, giá 3.7 tỷ  +Lô góc, mặt ngõ thông, kinh doanh mọi mặt hàng, ô tô qua nhà, vào nhà.  +thiết kế: 5 tầng, 3 ngủ, phòng thờ, sân phơi.  +Sổ đỏ chính chủ, vuông đẹp, giao dịch ngay.  *Liên hệ: Tôi – Bình, 0345752279 để được tư vấn và xem nhà miễn phí.  *Không tiếp môi giới.", 36m2,"LÔ GÓC – 2 MẶT Ô TÔ * Đc: Lĩnh Nam – Hoàng Mai * S = 36m, 5 tầng, giá 3.7 tỷ +Lô góc, mặt ngõ thông, kinh doanh mọi mặt hàng, ô tô qua nhà, vào nhà. +thiết kế: 5 tầng, 3 ngủ, phòng thờ, sân phơi. +Sổ đỏ chính chủ, vuông đẹp, giao dịch ngay. *Liên hệ: Tôi – Bình, 0345752279 để được tư vấn và xem nhà miễn phí. *Không tiếp môi giới.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828954.2799335, 4, 5,, 3, 4,
"4,85 tỷ VNĐ","Nguyễn Đức Cảnh, Hoàng Mai", 60m2,"Chính chủ cần bán nhà số 86 ngõ 22 Nguyễn Đức Cảnh, ô tô đỗ cửa, nhỉnh 80 triệu/m2 Gia đình cần vốn đầu tư kinh doanh cần bán nhanh nhà số 86 ngõ 22 Nguyễn Đức Cảnh, nhà mặt ngõ thông sang Tân Mai, Lương Khánh Thiện. Vị trí ô tô đỗ cổng, 500m ra Hồ Đền Lừ. Nhà đẹp xây 5 tầng, 6 phòng ngủ, 2 mặt thoáng trước sau, trần ốp thạch cao thẩm mỹ. Sổ đỏ chính chủ, pháp lý sạch, nhà đã hoàn công 5 tầng. Diện tích 60m2 giá chào 4.85 tỷ tương đương 80 triệu/m2, đàm phán, thương lượng trực tiếp. Liên hệ chính chủ: 0396934336 (gọi điện trực tiếp, zalo) Gia đình không tiếp trung gian, Môi giới ngoài!!!",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828955.3510828, 5, 5,, 6, 4, 5
"4,2 tỷ VNĐ","Đại Từ, Đại Kim, Hoàng Mai", 40m2,"Chính chủ cần bán nhà số 1, ngách 41, ngõ 276 phố Đại Từ, diện tích 40m giá 4.2 tỷ, SĐCC Gia đình có kế hoạch mua nhà mới cần bán gấp nhà số 1 ngõ 276 phố Đại Từ, ngay gần đầu Đặng Xuân Bảng, hồ Linh Đàm. Nhà đã có sổ đỏ chính chủ, 2 mặt ngõ trước sau đều thể hiện trên sổ. Cách chợ Đại Từ 40m, gần công viên Chu Văn An, Khu đô thị Đại Kim, Linh Đàm và trường Đại học Thăng Long. Nhà hiện trạng 3 tầng 1 tum, tầng 1 xây 45m, 5m làm sân để xe, từ tầng 2 chia đôi 2 phòng đều có cửa sổ, 1 sàn 48m, nhà vệ sinh ở giữa. Giá cả thương lượng trực tiếp, đang cần bán gấp nên có giảm mạnh nếu khách thiện chí Liên hệ chính chủ: 0396934336 (gọi điện trực tiếp, zalo) Gia đình chỉ rao bán qua người thân, không tiếp trung gian, Môi giới ngoài!!!",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828956.5010078, 3, 4,, 4, 3, 4
"4,85 tỷ VNĐ","Tân Mai, Hoàng Mai, Hà Nội", 60m2,"Bán nhà phố Tân Mai, sổ riêng 60m2, mặt tiền 5m, ô tô đỗ cửa, giá chỉ 4.85 tỷ thương lượng + Bán gấp nhà phố Tân Mai, quận Hoàng Mai, ngõ thông Lương Khánh Thiện, Nguyễn Đức Cảnh, sổ đỏ riêng chính chủ 60m2. + Ngõ vào nhà rộng thoáng, trước nhà 5m ô tô dừng đỗ, gần hồ Đền Lừ mát mẻ. + Nhà xây 5 tầng, thiết kế cầu thang cuối tối đa diện tích sử dụng, thiết kế: Tầng 1: Phòng Khách, bếp, sân để xe Tầng 2+3+4: Tổng 6 phòng ngủ, vệ sinh riêng Tầng 5: Phòng thờ, sân phơi, bàn trà. + Sổ đỏ riêng chính chủ, sẵn sàng giao dịch. + Giá: 4.85 tỷ (có thương lượng) + Liên hệ: Quang Hưng 0396934336 Cam kết miễn phí 100% dịch vụ tới Khách hàng.",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828957.7885642, 5, 5,, 6, 4, 5
"13,5 tỷ VNĐ",Trần Phú- Mỗ Lao, 110m2,"HIẾM! Tòa CCMN 110m2*7T ,24PKK full đồ nội thất cao cấp gần BigC Hồ Gươm PLaza Trần Phú - Diện tích: 110m2, mặt tiền 5.8m. Nhà xây 7 tầng có 24PKK (Full đồ nội thất cao cấp), Có thang máy , giá cho thuê 3,8tr - 4tr/tháng. Doanh thu khủng 85tr/th ( cao hơn nhiều so với lãi suất ngân hàng). - Thiết bị vệ sinh cao cấp, hệ thống đèn chiếu sáng, có đồng hồ điện nước riêng từng phòng. Hệ thống bàn bếp, giường, tủ quần áo, điều hòa, nóng lạnh, quạt trần đầy đủ. - Vị trí:  cạnh hồ Mỗ Lao, gần ngay trục đường chính Trần Phú - Mỗ Lao, BigC hồ gương PLaza ngõ thông kinh doanh, Thông nối ra các trục đường lớn Nguyễn Trãi - Trần Phú, Tố Hứu, Quang Trung - Bà Triệu... Dân cư đông đúc, nhu cầu rất cao về thuê nhà trọ, đặc biệt là hộ gia đình nhỏ và sinh viên. -  Giao thông cự kỳ thuận tiện đi vào trung tâm thành phố bằng phương tiện công cộng: Xe bus, ga đường sắt trên cao... gần các trường đại học lớn: Học viện Công Nghệ Bưu Chính Viễn Thông, Kiến Trúc, Học viện Quân Y, Học viện An Ninh ... - Giá: 13.5 tỷ. (có thương lượng và hỗ trợ vay vốn ngân hàng 80% nếu khách có nhu cầu). - Liên hệ: Em Huyền ( 0965472910)- Chuyên Chung cư mi ni khu vực: Mỗ Lao, Văn Quán, Tân Triều, Triều Khúc, Yên Xá, Thanh Xuân phân khúc từ 5 đến 100 tỷ. - Trân trọng cảm ơn quý bạn đã đọc tin!",30/03/2022,Tin thường,batdongsan_so_com_vn_1673828958.770934,, 7,,,,
"6,8 tỷ VNĐ",Trần Phú- Văn Quán, 60m2,"HOT CCMN NHỈNH 6 TỶ, 18pkk, 7 TẦNG THANG MÁY, MẶT NGÕ THÔNG, FULL NỘI THẤT. Vị trí: thuộc phố Văn Quán trung tâm Quận Hà Đông, mặt ngõ rộng thông thoáng, ba bước chợ, 1 phút ra trường Đại học lớn: Học viện An ninh, Kiến Trúc, Công nghệ Bưu chính Viễn thông, Nhạc họa trung ương. Giáp Khu đô thị Văn Quán hưởng nhiều lợi ích. Diện tích: 60m2, nhà có 18 phòng khép kín đã cho thuê kín, 7 tầng thang máy hiện đại, doanh thu tối đa 50-60 triệu/ tháng, dòng tiền ổn định. Khu đông dân cư, nhiều sinh viên các trường Đại học, dân văn phòng nhu cầu thuê nhà cá nhân và gia đình rất nhiều. Nội thất: Điều hòa, thang máy, bình nóng lạnh, giường, tủ, rèm, tủ bếp, cục phát wifi, camera, cửa các phòng đều thiết kế hiện đại, đèn điện trần thạch cao, thiết bị nhà vệ sinh cao cấp, điện nước đầy đủ. Có ban công phơi đồ. Pháp lý đầy đủ, sổ vuông vắn. Giá: 6.8 tỷ ( có thương lượng). Liên hệ: Em Huyền ( 0965472910)- Chuyên Chung cư mi ni khu vực: Mỗ Lao, Văn Quán, Tân Triều, Triều Khúc, Yên Xá, Thanh Xuân phân khúc từ 5 đến 100 tỷ. Trân trọng cảm ơn quý bạn đã đọc tin!",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828959.9188635,, 7,,,,
