price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet,Hướng
"2,54 tỷ VNĐ",Phùng Hưng- Hà Đông, 37m2,"Bán nhà Phùng Hưng, Hà Đông, 37mx5 tầng, ngõ thoáng gần ô tô, nhỉnh 2 tỷ Cần bán gấp nhà trung tâm quận Hà Đông, nằm sát khu đô thị Văn Quán, xung quanh là các bệnh viện lớn, vài bước chân ra chợ, ngõ thoáng rộng, ô tô rất gần thuận tiện đi lại, xung quanh trường học các cấp, ngân hàng, siêu thị, không thiếu thứ gì. Nhà đẹp xây khung cột chắc chắn, các phòng mở cửa sổ thoáng sáng, nhà mới xây phong cách hiện đại, đầy đủ công năng sử dụng. Chỉ việc xách vali đến ở. Giao thông di chuyển các phố: Đa Sỹ, Tô Hiệu, Bà Triệu, Văn Quán, Xa La, Yên Xá, Nguyễn Trãi,....gần chợ lớn Hà Đông, chợ đầu mối 365 mua bán kinh doanh sầm uất. Chủ nhà nhiều bất động sàn bán bớt để mua máy móc sản xuất, gia lộc cho khách thực sự yêu nhà. Giá: 2.54 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian). ",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831555.0831728,, 5,,,,
"6,25 tỷ VNĐ",Văn Quán- Hà Đông, 60m2,"GẤP! Bán nhà phố 19-5 Văn Quán, Hà Đông, ô tô tránh, kinh doanh, ngõ thông, 60mx5T Cần bán gấp nhà đẹp kinh doanh đỉnh, 5 tầng rộng thoáng sáng, thiết kế hiện đại sang trọng, ô tô vào nhà, đường trước nhà ô tô tránh, dân cư đông đúc, kinh doanh tấp nập, khu văn minh đáng sống. Ngõ rộng thông, vừa ở- kinh doanh hoặc cho thuê văn phòng quá đẹp. Giao thông di chuyển các phố Chu Văn An, Vạn Phúc, Quang Trung, Yết Kiêu, Văn Quán, Thanh Bình, Phùng Hưng, Yên Phúc... gần bến xe bus,vài bước ra phố. Xung quanh đầy đủ tiện ích: Trường học, chợ, bệnh viện lớn, ngân hàng, siêu thị,... nằm cạnh Khu đô thị Văn Quán, gần hồ, môi trường trong lành, vị trí kinh doanh quá lý tưởng. Giá: 6.25 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",23/02/2022,Tin thường,batdongsan_so_com_vn_1673831556.0645483,, 5,,,,
"2,54 tỷ VNĐ",Kiến Hưng- Hà Đông, 37m2,"HIẾM! Nhỉnh 2 tỷ, Kiến Hưng, Hà Đông, ô tô gần, ngõ thoáng, 37mx 5 tầng Chủ nhà chuyển sang ở Biệt thự trong tháng giêng nên cần bán nhà đẹp, nằm vị trí trung tâm quận Hà Đông, giao thông vô cùng thuận lợi đi các hướng: Văn Quán, Phùng Hưng, Yên Xá, Xa La, Hà Trì, Tô Hiệu, Bà Triệu. Xung quanh là các bệnh viện lớn, an sinh đỉnh nhất khu vực. Chủ nhà xây tâm huyết, khung cột chắc chắn, phong cách hiện đại thoáng sáng, đầy đủ phòng ốc sử dụng, nhà rất đẹp nội thất xịn. Ngõ thoáng rộng, rất gần ô tô. Xung quanh đầy đủ tiện ích: trường học các cấp, ngân hàng, chợ, siêu thị, bệnh viện, trung tâm mua sắm,..vài bước chân ra phố hưởng trọn nhiều lợi ích, khu ít nhà bán, dân cư văn minh, nơi ở trong lành. Sổ đỏ vuông, pháp lý sạch. Giá: 2.54 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831557.3341515,, 5,,,,
,"mặt phố Phúc Tân, Quận Hoàn Kiếm, Hà Nội", 48m2,"Chính chủ cần bán nhà mặt phố Phúc Tân, Quận Hoàn Kiếm, Hà NộiDiện tích: 48m2 x 6 tầng - Mặt tiền: 3,2m- Nhà ngay ngã tư đường rộng 2 ô tô tránh nhau thoải mái.- Nhà xây chắc chắn, thiết kế hợp lý, đầy đủ công năng. Ngõ rộng, thoáng, giao thông thuận tiện+ Xung quanh nhiều trường học, UBND,  bệnh viện, siêu thị, rất nhiều Trường Cấp 1, Cấp 2 Hàng xóm đều là dân trí thức, thân thiện, hòa đồng. Khu vực đông dân cư, thuận tiện kinh doanh, đầu tư sinh lợi nhuận.+ Gần các trung tâm mua sắm bệnh viện lớn an ninh tốt, giao thông nội đô thuận lợi, Ngõ rộng hè thoáng đáng để đầu tưGiá bán: Thỏa thuận - Sổ đỏ chính chủLiên hệ chủ nhà: Chú Bính: 0913020990   Nguồn:  http://nhadathanoi.net.vn/nha-mat-pho/chinh-chu-can-ban-nha-mat-pho-phuc-tan-quan-hoan-kiem-ha-noi-3522.html",26/02/2022,Tin thường,batdongsan_so_com_vn_1673831558.546906,, 6,,,,
17 tỷ VNĐ,Hà Nội, 85m2,"Ô tô vào nhà - Đường thông - Thang máy đẹp - Ở, kinh doanh đều ngon - Dân trí cao - Sân chơi ngay cạnh nhà.Nguyễn Xiển 85m2*8 tầng *mặt tiền 7m giá chỉ 17 tỷ - SĐT: 0366 555 258.Mô tả: - Tầng 1: Gara ô tô + Kinh doanh - VS. - Tầng 2, 3, 4, 5, 6, 7: Các phòng - VS. - Tầng 8: Phòng thờ, sân phơi, trồng rau.Sổ đỏ chính chủ.Nhà có thể vừa ở vừa kinh doanh, cho thuê văn phòng, khu vực giao thông thuận lợi thông mọi ngả…Khách xem nhà LH - 0366 555 258.",26/02/2022,Tin thường,batdongsan_so_com_vn_1673831559.6140518,,,,,,
"5,1 tỷ VNĐ","ngõ 71 phố Tân Ấp, phường Phúc Xá, Quận Ba Đình", 35m2,"Chính chủ bán nhà ngõ 71 phố Tân Ấp, phường Phúc Xá, Quận Ba ĐìnhDiện tích: 35m2 xây 3,5 tầng gồm 4 ngủ 4 vệ sinh. Mặt tiền: 4m hướng Đông BắcNhà thoáng 2 mặt ngõ, đang kinh doanh tạp hoá 3,5 tầng - Ngõ trước oto vào được. Cách mặt phố chính có 50 m.Khu trung tâm, gần phố cổ rất thuận tiện giao thông sinh hoạt.Giá bán: 5,1 tỷ - Sổ đỏ chính chủ.Chính chủ: 0358167699
 
Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/chinh-chu-ban-nha-ngo-71-pho-tan-ap-phuong-phuc-xa-quan-ba-dinh-3520.html

",26/02/2022,Tin thường,batdongsan_so_com_vn_1673831560.7699594, 4, 4, 4,, 4, Đông bắc
15 tỷ VNĐ,Hà Nội, 88m2," + Mặt ngõ ô tô 7 chỗ vài bước ra mặt phố - SĐT: 0366 555 258. Thông với phố Hoàng Văn Thái, Cù Chính Lan, Nguyễn Ngọc Nại. Cách phố Trường Chinh 2 phút đi xe, gần Đại học Công Đoàn, Đại học Y Hà Nội, Đại học Kinh Tế Quốc Dân… + Nhà xây móng nhồi cọc chắc chắn hiện đại 8 tầng đầy đủ công năng. + Thang máy nhập khẩu, nội thất cao cấp. - Tầng 1: Gara, kinh doanh, bếp, WC. - Tầng 2: Phòng khách, phòng ăn, quầy bar. - Tầng 3, 4, 5, 6, 7: Các phòng, WC. - Tầng 8: Phòng thờ, sân phơi, tiểu cảnh.Diện tích 88m2, mặt tiền 8m.Sổ đỏ chính chủ.Thiện chí bán giá chào chỉ 15 tỷ thương lượng sâu.Liên hệ: 0366 555 258.",26/02/2022,Tin thường,batdongsan_so_com_vn_1673831561.8460805,,,,,,
"3,2 tỷ VNĐ",Hà Nội., 30m2,"NHÀ ĐẸP Ở LUÔN NGÕ THOÁNG. -Diện tích: 30m2, 5 tầng, mặt tiền 3.5m.  Mô tả: Mô tả chi tiết + Nhà đẹp chỉ việc xách vali về ở ngay, ngõ rộng, thông thoáng, rất gần Công Viên Hoà Bình, khu Ngoại Giao Đoàn...  + Nhà thiết kế 5 tầng: - Tầng 1: Khách + bếp + để xe. - Tầng 2,3,4: Mỗi tầng 1 phòng ngủ + vệ sinh - Tầng 5: Phòng thờ + sân phơi.  + Sổ đỏ vuông đẹp, chủ nhờ ngân hàng giữ hộ.  Giá 3.2 tỷ (có thương lượng) Liên hệ: Vân Anh nhà đẹp mặt phố: 0949 – 518 – 288 - Chuyên BĐS đất thổ cư. (Miễn Môi giới)",26/02/2022,Tin thường,batdongsan_so_com_vn_1673831562.930183, 3, 5, 3,, 3,
"16,8 tỷ VNĐ",Hà Nội, 120m2,"Phân lô quân đội - Oto vào nhà - Thang máy Nhật - Nội thất Châu Âu - LH: 0856 968 656.Chỉ 16.8 tỷ thương lượng sâu, bao sang tên, tặng nội thất xịn có nhà VIP đẳng trung tâm thủ đô Hà Nội.Mô tả: Diện tích 120m2, 7 tầng. + Vị trí thuộc khu phân lô quân đội, hàng xóm toàn tướng tá về hưu, ngõ thông gần phố, đường hai oto tránh nhau. + Nhà 2 mặt thoáng nên phòng nào cũng mở được cửa sổ đón gió và ánh sáng tự nhiên.* Thiết kế: - Tầng 1: Gara ô tô, phòng khách, phòng ăn, bếp, wc. - Tầng 2, 3, 4, 5, 6: Nhiều phòng và wc. - Tầng 5: Phòng thờ và sân phơi vườn hoa.Chủ nhà cô Hằng sinh năm 1966 đã về hưu, nay muốn bán nhà để về quê, nên để lại toàn bộ nội thất khách mua chỉ việc sẵn về ở.Sổ đỏ chính chủ sẵn sàng giao dịch.Liên hệ miễn phí 100% 24/7: Mr. Bình - 0856 968 656.",26/02/2022,Tin thường,batdongsan_so_com_vn_1673831563.9275134,,,,,,
"15,9 tỷ VNĐ",Hà Nội, 82m2,"Chính chủ gửi bán gấp nhà phố Hoàng Đạo Thành, lõi Hà Nội - LH: 0856 968 656.Đường vào nhà ô tô tránh ô tô, thông thoáng rộng rãi, vỉa hè hai bên (2.5 m) để xe máy ô tô thoải mái. - Khu dân trí cao, an ninh tốt, nhiều tiện ích, kinh doanh tuyệt đỉnh. - Phố Hoàng Đạo Thành thông các ngả Hoàng Văn Thái, Vành Đai 3, Nguyễn Xiển, Nguyễn Trãi, Trường Chinh, Ngã Tư Sở, khu đô thị Linh Đàm… - Diện tích 82m 2 x 7 tầng x mặt tiền 6m. - Chủ ở rất có lộc thiết kế hiện đại trang bị thang máy nhập khẩu và toàn bộ nội thất cao cấp chỉ việc vào ở luôn. - Ở sướng dễ dàng kinh doanh các loại hình văn phòng, spa, nhà hàng cao cấp… - Khu vực rất nhiều tiện ích xung quanh nhà từ trường điểm các cấp, bệnh viện Y Quân Đội, chuỗi chợ dân sinh, TTTM,  gần The Mannor Central Park… - Sổ đỏ chính chủ. - Giá chào chỉ 15.9 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ chính chủ Mr. Bình - 0856 968 656.",26/02/2022,Tin thường,batdongsan_so_com_vn_1673831564.8440604,,,,,,
