price,address,Diện tích,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"9,6 tỷ VNĐ",Sơn Đồng-Hoài Đức-Hà Nội, 86m2,,,,,,"Đón sóng hạ tầng Vành Đai 3.5 và Hoài Đức lên quận. Sở hữu liền kề 4.5 tầng - hỗ trợ lãi suất 0% trong 12 tháng.Trả trước 30% sở hữu ngay căn 4.5 tầng cùng gói vay lãi suất % /12 tháng.Chiết khấu 5.5% cho phương án thanh toán sớm.Vốn đầu tư thấp - Đòn bẩy ngân hàng dài hạn - Dự án tốt nhất Hà Nội hiện nay cho phương án giữ tài sản.-----------------------☑️✅Thông tin dự án.- Dự án: Khu đấu giá làng nghề Sơn Đồng, Hoài Đức.- Tên thương mại: Sơn Đồng Center.- Vị trí: Xã Sơn Đồng, H. Hoài Đức, Tp. Hà Nội.- Chủ đầu tư: MB Land Invest.- Tổng diện tích: 25.837m2.- Số lượng: 150 căn liền kề.- Diện tích từ: 70m2 - 103m2.- Xây dựng: 4.5 tầng.- Loại hình: Liền kề, Shophouse.- Bàn giao: Xây thô hoàn thiện ngoài.☑️✅ Dự án khu đấu giá Sơn Đồng Hoài Đức nằm trên mặt đường TL422 và đường quy hoạch Trịnh Văn Bô giúp cho việc kết nối tới các quận, huyện xung quanh như: Mỹ Đình, Từ Liêm, Hà Đông, Đan Phượng, Quốc Oai trở nên dễ dàng, thuận tiện.- Phía Bắc: Giáp tỉnh lộ 422B Sơn Đồng, Vân Canh.- Phía Nam: Giáp làng Lại Yên, đất dự phòng phía Bắc khu đô thị An Khánh, giáp đường trục huyện từ ngã tư Phương Bảng, theo đường Lại Yên An Khánh.- Phía Đông: Giáp khu dân cư 2 xã Vân Canh và Lại Yên.- Phía Tây: Giáp với trục đường Sơn Đồng Song Phương. ———--------------------------------✔️ Liên hệ Hotline: : 0779273787",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826010.3519468,
11 tỷ VNĐ,Tư Đình Long Biên Hà Nội, 99m2,,, 4,,,"+ Bán nhà tại Tư Đình, Phường Long Biên, DT 99m2, 4 tầng, MT 5m, trước nhà có vỉa hè, lòng đường rộng oto tránh. + Vị trí đắc địa thuộc khu phân lô Tư Đình, gần nhiều tiện ích Aeon, BigC, sân golf, sân đá bóng, tổ hợp TTTM Eco Smart City, trường học các cấp, rất phù hợp để ở và kinh doanh. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch ngay. + Liên hệ xem nhà hoàn toàn miễn phí: Dũng Chuyên BDS thổ cư 0948677782/ 0867502627.",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826011.4679604, 5
3 tỷ VNĐ,Phố Vũ Tông Phan - Thanh Xuân, 35m2,,, 5, 3,,"+ Chính chủ cần bán gấp nhà tại phố Vũ Tông Phan – Thanh Xuân, 35m2, MẶT TIỀN 4m, 5 Tầng, Nhỉnh 3 Tỷ, nội thất đầy đủ, tiện nghi đặc biệt chủ tặng toàn bộ nội thất cho khách.+ Căn nhà với vị trí đắc địa, thông ra nhiều tuyến đường lớn như: Nguyễn Trãi, Khương Đình, Nguyễn Xiển,…. Đặc biệt với trường Tiểu học và trường THCS Hạ Đình, trường Đại học Xã hội và Nhân văn, bệnh viện Thanh Xuân, hồ Hạ Đình, khu tập gym, chơ Kim Giang và có cả bãi đỗ xe.+ Căn nhà với thiết kế hiện đại, nội thất cao cấp, xây dựng kiên cố, chắc chắn, đầy đủ công năng sử dụng.+ khu dân cư hiện hữu: An ninh tốt, dân trí cao, hàng xóm hiền lành, thân thiện, không ngập nước, không ô nhiễm, không khí thoáng mát trong lành. Thích hợp cho hộ gia đình ở và cho thuê phòng kinh doanh mỗi tháng mang lại thu nhập cao.+ Giá thỏa thuận.+ Pháp lý chuẩn, sổ đỏ vuông đẹp, sang tên nhanh, sẵn sàng dao dịch.+ Liên hệ: Mr. Hoan – chuyên thổ cư Hà Nội, 0925088355, tư vấn hỗ trợ pháp lý, vay vốn, miễn phí xem nhà 24/7.",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826012.7076452, 4
"4,3 tỷ VNĐ",khương hạ, 40m2,,, 5, 4,,"- Vị trí cực đẹp trước nhà ngõ ba gác, thông thoáng, gần hồ, gần chợ, trường học, tiện ích bạt ngàn, vài bước ra mặt phố, cách ô tô tránh 20m, đi đâu cũng tiện… - Nhà xây khung cột chắc chắn, 2 mặt thoáng, các phòng đều có cửa sổ thoáng mát, thiết kế hiện đại, tặng toàn bộ nội thất. - Khu vực dân trí cao, đầy đủ tiện ích, an sinh đỉnh. - Sổ đỏ chính chủ, vuông vắn. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826013.8505864,
"5,3 tỷ VNĐ",Trần Quốc Vượng, 43m2,,, 5, 6, 4,"Nhỉnh 5 tỷ sở hữu ngay nhà  đẹp Trần Quốc Vượng - Gần phố - Khu vực đông sinh viên – Tiện ích đầy đủ . Diện tích 43m/5 tầng .   Vị trí : Đẹp giao thông thuận tiện các ngả  : Trần Quốc Vượng , Xuân Thuỷ , Trần Thái Tông . Khu vực tiếp giáp nhiều trường Đại học lớn . Nhà xây 5 tầng đẹp long lanh , số phòng ngủ lên tới 6 phòng Có sân phơi sáng Đường trước nhà xe ba gác tránh xe máy , gần chợ thuận tiện mua bán Thiết kế căn nhà : Tầng 1 : Phòng khách và bếp rộng rãi . Tầng 2 , tầng 3 , tầng 4 : Mỗi tầng 2 phòng ngủ và vệ sinh Tầng 5 : Phòng thờ + sân phơi siêu thoáng . Sổ hoa hậu , luôn sẵn sang giao dịch . Để biết thêm thông tin chi tiết , vui lòng  liên hệ qua sđt 0363255077 Mr Khải .",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826015.032425, 4
"5,2 tỷ VNĐ","Cự Lộc, Thanh Xuân, Hà Nội.", 40m2,,,,,,"+ Bán nhà phố Cự Lộc, Thanh Xuân, diện tích 40M2, 4 tầng, ngõ nông, thông thoáng.+ Nhà xây khung cột bê tông kiên cố, chắc chắn, đầy đủ công năng sử dụng, khu vực an sinh tốt, dân trí cao.+Nằm ngay trung tâm Ngã Tư Sở, đi lại các ngả thuận tiện, tiếp giáp phố lớn: Nguyễn Trãi, Quan Nhân, Chính Kinh, Nhân Hòa, Giáp Nhất, Nguyễn Ngọc Vũ. Xung quanh đầy đủ tiện ích trường học các cấp, chợ dân sinh, siêu thị to nhỏ đủ cả.+ Sổ vuông đẹp, sẵn sàng giao dịch.+ Liên hệ: Phùng Trang  0975124520.",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826016.2202468,
"4,4 tỷ VNĐ","Lê Đức Thọ, Nam Từ Liêm", 50m2,,, 5,,,"
    



- Thua bóng chủ cần bán gấp nhà mới khu Lê Đức Thọ, Nam Từ Liêm, S: 50m2 X 5 tầng, MT: 4.3m.
- Nhà 5 tầng thiết kế hiện đại, mỗi tầng 2 phòng ngủ, phòng rất thoáng, có ban công mỗi phòng.
- Vị trí đẹp, tiện ích bạt ngàn.
+ Ngay sát đường đua F1 và bến xe Mỹ Đình.
+ Rất gần siêu thị Big C Garden, KĐT Sông Đà, The Mannor và Tòa nhà Keangnam nổi tiếng.
+ Gần công viên Mễ Trì 14 ha và bệnh viên quốc tế Hồng Ngọc.
- Liên hệ em Đức Anh để xem nhà: 0975517689




",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826017.2614634,
"8,3 tỷ VNĐ",Hoàng Quốc Việt, 54m2,,, 4, 4, 3,"Cần bán gấp nhà Hoàng Quốc Việt gần phố, vị trí đẹp, ngõ thông, oto vào nhà, lô góc. +Thuộc khu phân lô Vip. +Chủ tặng toàn bộ nội thất tiền tỷ gắn tường. Thiết kế: + T1: Khách, bếp, vệ sinh. + T2,3: Mỗi tầng 2 ngủ, wc giữa. + T4: Phòng thờ, Sân phơi. LH:0962370591-Nguyễn Phúc Lộc",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826021.8952038,
"11,5 tỷ VNĐ",ngõ 26 Yên lạc, 85m2, Đông bắc, 4, 5, 5, 6,"Bán nhà khu phân lô cán bộ phố Yên Lạc, Kim Ngưu, Hai Bà Trưng,Hà Nội , DT 85m2x5 tầng, thang máy, ô tô vào nhà. Giá 11.5 tỷ Gia đình tự tay thiết kế và xây dựng theo phong cách hiện đại nên vô cùng chắc chắn, tối ưu công năng sử dụng, nội thất thiết bị toàn hàng chính hãng, cầu thang , cửa cính, cửa thông phòng đều được làm từ gỗ Lim nguyên khối, cửa sổ Nhôm Xingfa bản dày chất lượng cao, hệ thống đèn chùm, đèn chiếu sáng hiện đại tiết kiệm điện tối ưu…- Tầng 1: Gara ô tô, khu bếp ăn rộng rãi, thang máy và thang bộ được thiết kế giữa nhà để chia mỗi tầng 2 phòng rất hợp lý- Tầng 2,3 mỗi tầng thiết kế 2 phòng ngủ rộng,vệ sinh khép kín  _Tầng 4 1 phòng thờ,1 phòng ngủ, 1 vệ sinh - Tầng 5 là  sân trồng rau, sân phơi Vị trí nằm trọn trong khu phân lô cán bộ nên dân trí cực cao, an ninh đảm bảo, rất nhiều tiện ích đồng bộ như Trường đại học, bệnh viện, TTTM , đường trước nhà rộng rãi thoáng đãng, 2 mặt thoáng trước sau…Sổ đỏ chính chủ, giá 11.5 tỷ ( có thỏa thuận)liên hệ chị Yến ĐT:0702138238",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826025.4123843, 4
25 tỷ VNĐ,ngõ 48 Tạ Quang Bửu, 136m2, Tây, 8, 3, 6, 3," Cần bán nhà phân lô ngõ 48 Tạ Quang Bửu ,2 mặt thoáng trước và sau (hiếm có trong khu vực trung tâm), mặt ngõ 48 Tạ Quang Bửu (ngõ rộng như phố - đường 9m, vỉa hè 6.5m), khu phân lô giảng viên ĐH Bách Khoa, quận Hai Bà Trưng, Hà Nội.Diện tích đất 135m2, mặt tiền 6,5m, đã có nhà 3 tầng, hiện đang cho thuê kinh doanh thuận lợi.Vị trí đắc địa, nằm trong khu vực sầm uất: Tập trung nhiều trường Đại học như Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân,...; Các trường cấp 3: Thăng Long, Tạ Quang Bửu và cấp 1, 2 Lê Văn Tám; Gần chợ và các trung tâm thương mại. Giao thông thuận tiện.Khu đất phù hợp với việc đầu tư xây nhà văn phòng, trung tâm giáo dục, khách sạn, đặc biệt có thể đầu tư chung cư mini (vì nhu cầu nhà ở của dân cư trong khu vực rất cao), đảm bảo dòng tiền thu nhập ổn định, lợi nhuận cao.Giá bán: 25 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",05/05/2022,Tin thường,batdongsan_so_com_vn_1673826026.2391248, 6
