price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
"7,5 tỷ VNĐ","Đường Thạch Bàn, Thạch Bàn, Long Biên", 61m2, 6, 6,"Chủ nhà cần bán gấp căn nhà phố Thạch Bàn cực đẹp, ô tô, kinh doanh, diện tích 61 m2, 5 tầng, mặt tiền 6,1m, giá chỉ 7,5 tỷ. + Vị trí nhà rất đẹp, đường trước nhà ô tô tránh, chỉ 50m ra hồ Thạch Bàn, giao thông thuận tiện kết nối Quốc lộ 5, Cổ Linh, gần trường học cấp 1,2,3 Thạch Bàn, tiện ích đầy đủ không thiếu thứ gì. + Khu dân trí cao, anh ninh chất lượng. Nhà chủ tự xây mới được 3 năm vô cung chắc chắn, thiết kế kết cấu móng cho toà nhà 7 tầng, khách mua có thể lên thêm tầng nếu cần. Mỗi tầng 1 phòng rộng vệ sinh khép kín, nhà gần hồ vô cùng thoáng mát, an sinh quá đỉnh. + Sổ đỏ pháp lý rõ ràng, sẵn sàng giao dịch. Chủ nhà cần bán gấp nên rất thiện chí, giá chỉ 7,5 tỷ. Khách mua nhà thiện chí có thể thương lượng và gia lộc thông tin nhà hoàn toàn đầy đủ và chính xác.Anh/chị có nhu cầu mua nhà liên hệ em Phúc chuyên nhà đất thổ cư tại quận Long Biên để được tư vấn và xem nhà hoàn toàn miễn phí.Gọi ngay khi nhà còn chưa bán: Mr. Hoàng Phúc (Chuyên thổ cư).",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783781.0053916, 5, 3, 5
9 ngàn VNĐ,"Đường Thái Thịnh, Thịnh Quang, Đống Đa", 52m2, 5, 4,"+ Vị trí nhà 5 tầng phân lô VIP Phố Thái Thịnh sầm uất nhộn nhịp gần nhiều Trường Đại học, văn phòng...  + Thiết kế nhà xây mới 5 tầng đẹp long lanh thang máy hiện đại: + Tầng 1: Khách, bếp, WC. + Tầng 2, 3, 4: Mỗi tầng 2 phòng, WC, có ban công phòng trước và khe thoáng phòng sau. + Tầng 5: 2 sân phơi rộng. + Sổ đỏ chính chủ vuông đẹp phân lô. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7  ",12/12/2022,Tin thường,batdongsan_so_com_vn_1673783782.020876, 5, 5,
"2,2 tỷ VNĐ",Trần Đại Nghĩa - Hà Nội, 35m2,,,"Vị trí nhà đẹp như tiên giáng trần. Ngõ thẳng thông, thoáng gần phố, ba bước ra mặt phố, gần nhà có sân chơi rộng như sân đá bóng. Trẻ em trong khu chơi đùa thì hết ý. Có công có việc cũng chả lo. Hàng xóm xung quanh toàn trí thức doanh nhân, nhà lầu biệt thự đuề huề dân trí khỏi bàn. Khu vực kỳ trung tâm đắc địa ở ngay đoạn đẹp nhất nút giao Trần Đại Nghĩa – Đại La trung tâm của các trung tâm, gần bệnh viện Bạch Mai, Đại học Bách Khoa, Xây Dựng, Kinh tế Quốc dân…. Giao thông thuận tiện sang các quận trung khác như Đống Đa, Thanh Xuân, Hoàn Mai…., vài phút ra bờ Hồ, Tây Hồ, Time City…Ngôi nhà là tâm huyết bao năm của gia chủ tay trắng lập nghiệp dựng cơ đồ lập công ty tại gia. Nay công ty ngày một phát triển thịnh vượng đã mua nhà mặt phố lớn để làm trụ sợ nên đành dứt ruột bán đi.Giá chào 2.2 tỷ có thương lượng cho khách hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",20/07/2021,Tin thường,batdongsan_so_com_vn_1673783782.989286,,,
3 tỷ VNĐ,"Trương Đinh, Hà Nội", 45m2,,,"Bán gấp nhà đường Trương Định, nhà xây cực chắc chắn thiết kế hiện đại hợp lý trước chủ xây cho con trai về nước lấy vợ. Nay điều kiện kinh tế dư giả con trai quyết mua nhà mặt phố nên đành dứt ruột bán đi.   Ngõ to thông thoáng oto tải đỗ cửa mặt phố lớn, ngõ thông các ngả ra Đền Lừ, Nguyễn Đức Cảnh , Nguyễn An Ninh, Bạch Mai…. Quá ư tiện lợi đặc biệt gần các trường đại học lớn như Bách Khoa , Xây Dựng, Kinh Tế Quốc Dân… vài phút đi xe là ra bến xe Giáp Bát, Nước Ngầm…..+ Nhà đẹp lung linh chỉ việc xách valo về ở., không có căn thứ 2 ở khu vực này, tầm tiền này vị trí đẹp hơn căn này.+ Pháp lý sạch sẽ, giá 3.05  tỷ chủ nhà công chức về hưu cực kỳ dễ tính, có gia lộc cho khách mua hữu duyên.Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",12/07/2021,Tin thường,batdongsan_so_com_vn_1673783784.2359936,,,
31 tỷ VNĐ,"Đường Hồ Đắc Di, Nam Đồng, Đống Đa", 160m2, 7, 6,"Cần bán nhà mặt phố Hồ Đắc Di, một trong những con phố trung tâm quận Đống Đa, cạnh 4 trường đại học lớn là Thuỷ lợi, Công Đoàn, Ngân hàng, ĐH Y và một loạt các trường phổ thông từ tiểu học đến trung học như Tiểu học Khương Thượng, tiểu học Trung Tự, PTTH Kim Liên. Nhà ở vị trí đẹp, trước nhà vỉa hè rộng đỗ ô tô thoải mái, tiện đi ra Tây Sơn, Nguyễn Lương Bằng, Xã Đàn, Chùa Bộc, Nam Đồng, Phạm Ngọc Thạch...  Nhà lô góc mặt tiền 7m, trước nhà có vỉa hè rộng đỗ ô tô thoải mái, thửa đất vuông vức rất hợp lý để xây toà nhà văn phòng.  Nhà cũ chủ xác định bán đất. Giá quá tốt nhà mặt phố chưa đến 200tr/m.  +Liên hệ Nguyên 79 để xem ngay 0975648579  -GỌI NGAY TRƯỚC KHI NHÀ BAY-",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783785.126568, 2, 3, 4
"11,85 tỷ VNĐ","Đường Quốc lộ 32, Kim Chung, Hoài Đức", 145m2, 10, 6,"
    Cực Hiếm , Có 1 0 2 Chỉ 11,x tỷ Bán gấp BTLK KĐT Lideco Hoài Đức, Ô tô, Kinh doanh, 150m MT 10m giá người nhà.
- Vị trí cực đỉnh, Kinh doanh, Cho thuê, vỉa hè rộng thoáng. Đang phát triển từng ngày.
- Đầu tư sinh lời, Nhà hàng, Khách sạn, Nhà nghỉ.
-Giao thông thuận tiện, Đường Quốc lộ 32, Đường TL 422, Đường vành đai 3.5, Bến xe Phùng, Bến xe Mỹ Đình,
- Tiện ích Xung quanh Trường học cấp 1,2,3, Đại Học Thành Đô, Đại Học Công Nghiệp HN, chợ, Y tế,
- Sổ Hoa Hậu CC, Sang tên nhanh gọn.
- Giá thương lượng. Thiện chí
Xem nhà gọi Mr Đức Nhà Đẹp. Rất nhiều Nhà Đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783786.1717718, 4, 4, 3
65 tỷ VNĐ,Kim Ngưu Hai Bà Trưng Hà Nội, 187m2, 5,,"- Diện tích 187m2 X9 Tầng. Mặt tiền 5.3m Giá 65 tỷ ( có thượng lượng )  - Vị trí đẹp Nhà nằm chỗ đẹp nhất phố lưu lượng giao thông lớn, kinh doanh mọi mặt hàng.  - Toà Nhà mới, đẹp, vỉa hè 2 bên, ô tô dừng đỗ! - Thiết kế hiện đại 1 hầm 8 nổi thông sàn, nội thất sịn, thang máy nhập khẩu nguyên chiếc, điều hòa  âm trần!  - Giao thông kết nối : Trần Khát Chân, Kim Ngưu, Lạc Trung!  - Sổ đỏ chính chủ pháp lý chuẩn! Liên hệ em Quân để được tư vấn và xem nhà! 0385 94 1802Miễn ( TG Quảng Cáo )",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783787.3775856, 9, 8, 8
"2,35 tỷ VNĐ","Đường Trần Phú, Văn Quán, Hà Đông", 95m2,, 30,"💥 Chỉ 2.35 Tỷ-Chung cư Sông Đà Urban Tower 131 Trần Phú, 95m2 2PN+2WC, SĐCC 💥⭕️ LH NGAY 0982833366 (GIÁ RẺ NHẤT TÒA KHÔNG CÓ CĂN THỨ 2 )----------------------------CĂN HỘ TẦNG CAO CHUNG CƯ SÔNG ĐÀ URBAN TOWER 131 TRẦN PHÚ, HÀ ĐÔNG- Giá rẻ nhất tòa 24tr/m2 - 95m2 2 PN+2WC- Nhà không đồ, có sẵn 3 điều hoà, 2 nóng lạnh- Khu toà nhà Urban Sông Đà cực VIP mặt đường Trần Phú- Sổ đỏ lâu dài chính chủ, sẵn sàng giao dịch.----------------------------🚀 GIÁ BÁN CHỈ: 2.35 TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)----------------------------☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785(Chuyên chung cư, nhà tập thể Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%... ----------------------------DÀNH CHO ACE TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%LH: Mr. Phương_Nhà_Phố (1981) (FB/ZALO - 24/7)   - Tiếp khách có nhu cầu thực, khách xem cho vui hoặc không có quyền quyết xin phép không tương tác vì CV mình rất bận.- Phương_Nhà_Phố có thông tin hàng ngàn căn nhà với đủ phân khúc từ vài tỷ đến vài trăm tỷ, thông tin hình ảnh thật mô tả kỹ không làm mất thời gian công sức của ACE CÁC LĨNH VỰC BĐS ĐANG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô, Nhà liền kề5. Chung cư, tập thể, nhà ở theo từng phân khúc tài chínhLiên hệ ngay để được tư vấn và tham khảo BĐS phù hợp nhất. Xin cảm ơn!",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783788.521496, 1, 2, 2
"8,2 tỷ VNĐ","Đường Quan Hoa, Quan Hoa, Cầu Giấy", 60m2, 5, 4,"+ Vị trí. Gần ngay ngã tư Đào Tấn - Nguyễn Khánh Toàn, cách mặt phố 15m, 5 phút xe máy đến Công viên Thủ Lệ, hàng xóm xung quanh kinh doanh Hotel, Vị trí đi lại rất thuận tiện, khu vực nhu cầu thuê nhà rất cao, Khu vực dân cư đông đúc, dân trí cao, gần chợ lớn, siêu thị, cửa hàng, nhà trẻ, công viên và nhiều trường Đại Học... + Thiết kế: Nhà chủ tự tay xây tâm huyết, vô cùng đẹp và sang chảnh, với lối thiết kế Cổ điển và hiện đại lồng ghép tinh tế, tỷ mỉ, đặc biệt nội thất 100% gỗ Lim thượng đẳng, bền bỉ với thời gian và sang trọng với mọi thời đại. đáp ứng tất cả yêu cầu của khách khó tính. Đặc biệt rất phù hợp vừa ở vừa kinh doanh VP. - Tầng 1 phòng khách, phòng bếp, wc. có sân để xe rất thuận tiện. - Từ tầng 2, 3 và 4 gồm 6 phòng ngủ và wc. - Tầng 5 phòng thờ, kho và sân phơi. + Sổ đỏ vuông đét sẵn sàng giao dịch + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7    ",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783789.5338037, 5, 6,
"24,5 tỷ VNĐ",Nguyên Hồng Đống Đa Hà Nội, 50m2, 5,,"- Diện tích 50 X8 Tầng Mặt tiền 5.8mGiá 24.5 tỷ ( có thương lượng ) - Vị trí đắc địa tại trung tâm của Hà Nội vị trí đẹp an ninh cao nhất phố!  - Thiết kế 8 tầng thông sàn kinh doanh!  - Chủ nhà xây tâm huyết, sử dụng vật liệu cao cấp thang máy nhập khẩu!  - Giao thông kết nối : Huỳnh Thúc Kháng, Nguyễn Chí Thanh, Trúc Khê,  - Khu vực dân trí cao an ninh đảm bảo cực cao!  - Sổ đỏ chính chủ pháp lý chuẩn! Liên hệ em Quân để được tư vấn và xem nhà! 0385 94 1802Miễn ( TG Quảng Cáo )",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783790.8054492, 8,,
