price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền
"3,5 tỷ VNĐ","Oto đỗ cửa, đủ nội thất ở ngay Xuân Đỉnh, DT 47mx5 tầng, chỉ 3 tỷ 5.", 47m2,"Vị trí đẹp, ngõ thẳng nông thoáng, ngõ oto đỗ cổng, dừng đỗ ngày đêm. Nhà xây kiên cố khung cột chắc chắn, nhà đẹp về ở ngay. Phòng nào cũng thoáng sáng, tối đa công năng sửu dụng. Xung quanh tiện ích vô vàn không thiếu thứ gì, hàng xóm thân thiện, gần bãi gửi oto. Khu dân trí, an ninh tốt, gần Ủy ban, gần chợ đầu mối Xuân Đỉnh, gần trường Mần non, Tiểu học Xuân Đỉnh, ĐH lớn như: trường ĐH Nội Vụ, Ngoại Giao Đoàn, Đại Sứ Quán Hàn...Vài phút ra Công viên Hòa Bình, các tuyến phố lớn Phạm Văn Đồng, Võ Chí Công, Xuân La, Lạc Long Quân, Tây Hồ...Sổ đỏ vuông đẹp nở hậu, sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830984.1408374,,,,,
3 tỷ VNĐ,"Oto đỗ cổng, nhà đẹp đủ nội thất ở Xuân Đỉnh, DT 45mx5T, MT 4m, 3 tỷ hơn.", 45m2,"Vị trí đẹp, ngõ thẳng nông thoáng, ngõ oto đỗ cổng, dừng đỗ ngày đêm. Nhà xây kiên cố khung cột chắc chắn, nhà đẹp về ở ngay. Phòng nào cũng thoáng sáng, tối đa công năng sửu dụng. Xung quanh tiện ích vô vàn không thiếu thứ gì, hàng xóm thân thiện, gần bãi gửi oto. Khu dân trí, an ninh tốt, gần Ủy ban, gần chợ đầu mối Xuân Đỉnh, gần trường Mần non, Tiểu học Xuân Đỉnh, ĐH lớn như: trường ĐH Nội Vụ, Ngoại Giao Đoàn, Đại Sứ Quán Hàn...Vài phút ra Công viên Hòa Bình, các tuyến phố lớn Phạm Văn Đồng, Võ Chí Công, Xuân La, Lạc Long Quân, Tây Hồ...Sổ đỏ vuông đẹp nở hậu, sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830985.2947893,,,,,
"4,4 tỷ VNĐ",Thanh Nhàn Hai Bà Trưng Hà Nội, 42m2,"+ Cần bán nhà Phố Thanh Nhàn quận Hai Bà Trưng, vị trí rất đẹp, kinh doanh nhỏ. + DT 42m2 xây 5 tầng, mặt tiền chuẩn 4 mét. + Nhà xây cực kỳ chắc chắ, và tâm huyết, vị trí đẹp rất phù hợp vừa ở vừa kinh doanh tại khu vực trung tâm Quận Hai Bà Trưng. + Nhà thiết kế mỗi tầng 2 phòng, đầy đủ tiện nghi ( tặng toàn bộ nội thất ) khách về ở ngay. + Giá : 4 tỷ 400 triệu. + Ai thiện trí vui lòng LH trực tiếp: Minh Quang 0327085656 ( để biết thêm thông tin chi tiết )",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830991.7196858,, 5, 4,,
"15,2 tỷ VNĐ",Hà Nội, 69m2,"Nhà Đào Tấn, Ba Đình - SĐT: 0366 555 258. + Nhà hai mặt thoáng, diện tích 69 m2, mặt tiền 6.3 m. + Ngõ ô tô tránh ô tô, có gara, thang máy, nội thất nhập khẩu. + Thuận tiện giao thông đi Võ Chí Công, Hoàng Hoa Thám, Linh Lang, Cầu Giấy... + Gần khu vui chơi giải trí công viên Thủ Lệ. + Gần trường học, trung tâm thương mại. + Nhà chủ tự xây, chắc chắn, thiết kế cực đẹp. + Giá chỉ 15.2 tỷ thương lượng mạnh. + Liên hệ: Nguyễn Thanh - SĐT: 0366 555 258. + Miễn phí tư vấn, xem nhà 100%.",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830992.841501,,,,,
36 tỷ VNĐ,Nguyễn Xiển - Thanh Xuân - Hà Nội, 92m2,"Bán nhà mặt phố Nguyễn Xiển, Thanh Xuân 92m, 7 tầng 5.2m mặt tiền, chỉ 36 tỷ (thươn lượng). Vị trí: Vị trí đẹp nhất phố Nguyễn Xiển, kinh doanh đồng bộ, gần nút giao quan trọng bậc nhất Thủ đô Khuất Duy Tiến. Tiện ích: Tuyến phố kinh doanh sầm uất, hàng xóm các văn phòng công ty, cửa hàng kinh doanh có tiếng, kinh doanh cực đa dang như văn phòng, showroom trưng bày sản phẩm, vỉa hè cực rộng thoải mái đỗ xe, nhà 2 thoáng trước sau. Thiết kế: 7 tầng, thang máy hiện đại. Pháp lý: Sổ cất két, sẵn sàng thương lượng. Liên hệ: Minh Hoàng 0902253303. Miễn trung gian môi giới. Xin cảm ơn!",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830993.987835,,,,, 5
"6,3 tỷ VNĐ",Nguyễn An Ninh Hoàng Mai Hà Nội, 60m2,"+ Cần bán gấp nhà Phố Nguyễn An Ninh, vị trí đẹp, gần phố, nhà có sân cổng riêng, nên rất tiện ích. Hiếm có căn thứ 2 + Nhà xây 4 tầng, mặt tiền 4 mét. + Nhà tự xây rất chắc chắn và tâm huyết, thiết kế rất hợp lý mỗi tầng 2 phòng rộng rãi và thoáng mát. + Giá : 6 tỷ 300 triệu. + Ai thiện trí vui lòng LH trực tiếp: Minh Quang 0327085656 ( để biết thêm thông tin chi tiết )",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830995.285401,, 4, 4,, 4
46 tỷ VNĐ,KĐT Pháp Vân - Hoàng Mai - Hà Nội, 338m2,"Bán nhà biệt thự Ngọc Hồi, quận Hoàng Mai, 338m, 4 tầng, mặt tiền 38m, chỉ 46 tỷ. Vị trí: Siêu đẹp, lô góc 3 mặt tiền, view công viên, đường đôi. Tiện ích: Kinh doanh đa dạng các loại hình dịch vụ, làm văn phòng sang trọng, vừa ở vừa kinh doanh đẳng cấp. tiện ích bạt ngạt xung quanh, công viên Yên Sở chỉ vài phút, bến xe Nước Ngầm…vv. Thiết kế: Biệt thự 4 tầng, mỗi tầng 3 phòng, diện tích xây dựng 90m, còn lại sân vườn, bể cá xung bao xung quanh, chủ vừa ở vừa làm văn phòng công ty. Pháp lý: Sổ đỏ chính chủ, pháp lý chuẩn sẵn sàng thương lượng. Liên hệ: Minh Hoàng 0902253303. Các bạn môi giới xin không làm phiền, xin cảm ơn!",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830996.7395608,, 4, 9,,
"2,55 tỷ VNĐ",Mậu Lương- Hà Đông, 36m2,"Nhỉnh 2 tỷ, Mậu Lương, Hà Đông, ô tô gần, ngõ thoáng, 36mx 5 tầng Chủ nhà chuyển sang ở biệt thự nên cần bán nhà đẹp tâm huyết xây, nằm vị trí trung tâm quận Hà Đông gần các khu đô thị lớn: Xa La, Phú Lương, Văn Phú, Thanh Hà di chuyển sang Thanh Trì rất gần. Giao thông vô cùng thuận lợi di chuyển các hướng: Xa La, Phùng Hưng, Yên Xá, Đa Sỹ, Phú Lương, Văn Phú, .... Chủ nhà xây rất tâm huyết, khung cột chắc chắn, phong cách hiện đại thoáng sáng, đầy đủ công năng sử dụng, nhà rất đẹp nội thất xịn. Ngõ thoáng rộng, rất gần ô tô. Chỉ việc xách vali đến ở. Xung quanh đầy đủ tiện ích: trường học các cấp, ngân hàng, chợ, siêu thị, bệnh viện, trung tâm mua sắm,.. dân cư văn minh, nơi ở trong lành, hàng xóm thân thiện. Sổ đỏ vuông, pháp lý sạch. Giá: 2.55 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830997.9143872,, 5,,,
"2,55 tỷ VNĐ",Mậu Lương- Hà Đông, 36m2,"Nhỉnh 2 tỷ, Mậu Lương, Hà Đông, ô tô gần, ngõ thoáng, 36mx 5 tầng Chủ nhà chuyển sang ở biệt thự nên cần bán nhà đẹp tâm huyết xây, nằm vị trí trung tâm quận Hà Đông gần các khu đô thị lớn: Xa La, Phú Lương, Văn Phú, Thanh Hà di chuyển sang Thanh Trì rất gần. Giao thông vô cùng thuận lợi di chuyển các hướng: Xa La, Phùng Hưng, Yên Xá, Đa Sỹ, Phú Lương, Văn Phú, .... Chủ nhà xây rất tâm huyết, khung cột chắc chắn, phong cách hiện đại thoáng sáng, đầy đủ công năng sử dụng, nhà rất đẹp nội thất xịn. Ngõ thoáng rộng, rất gần ô tô. Chỉ việc xách vali đến ở. Xung quanh đầy đủ tiện ích: trường học các cấp, ngân hàng, chợ, siêu thị, bệnh viện, trung tâm mua sắm,.. dân cư văn minh, nơi ở trong lành, hàng xóm thân thiện. Sổ đỏ vuông, pháp lý sạch. Giá: 2.55 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830999.051339,, 5,,,
"2,55 tỷ VNĐ",Mậu Lương- Hà Đông, 36m2,"Nhỉnh 2 tỷ, Mậu Lương, Hà Đông, ô tô gần, ngõ thoáng, 36mx 5 tầng Chủ nhà chuyển sang ở biệt thự nên cần bán nhà đẹp tâm huyết xây, nằm vị trí trung tâm quận Hà Đông gần các khu đô thị lớn: Xa La, Phú Lương, Văn Phú, Thanh Hà di chuyển sang Thanh Trì rất gần. Giao thông vô cùng thuận lợi di chuyển các hướng: Xa La, Phùng Hưng, Yên Xá, Đa Sỹ, Phú Lương, Văn Phú, .... Chủ nhà xây rất tâm huyết, khung cột chắc chắn, phong cách hiện đại thoáng sáng, đầy đủ công năng sử dụng, nhà rất đẹp nội thất xịn. Ngõ thoáng rộng, rất gần ô tô. Chỉ việc xách vali đến ở. Xung quanh đầy đủ tiện ích: trường học các cấp, ngân hàng, chợ, siêu thị, bệnh viện, trung tâm mua sắm,.. dân cư văn minh, nơi ở trong lành, hàng xóm thân thiện. Sổ đỏ vuông, pháp lý sạch. Giá: 2.55 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",05/03/2022,Tin thường,batdongsan_so_com_vn_1673831000.2043004,, 5,,,
