price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet
"3,75 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 33m2, 3, 5, 3,"💐💐NGỌC THUỴ - LONG BIÊN - HÀ NỘI.+ Diện tích: 33m2, 5 tầng, mặt tiền = hậu: 3.5m.💐💐+ Đường ngõ rộng 2.8m, ngõ ngắn nông, 3 bước chân ra đường ô tô tải đỗ.+ Nội thất đầy đủ: Tủ bếp, bếp từ, hút mùi, đường chờ điều hoà, rèm cửa, thiết bị vệ sinh cao cấp, cửa kính trong, cửa cuốn ngoài.+ Ngôi nhà có vị trí cực đẹp, ô tô đỗ cổng, gần TTTM Mipec, cầu Long Biên, chợ ẩm thực Ngọc Lâm, an sinh đỉnh.+ Sổ đỏ vuông đẹp chính chủ, sẵn sàng giao dịch.+ Giá bán: 3,750 tỷ + Liên hệ : 0373968926 ( Miễn trung gian ).",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821013.5710795, 3, 4
"4,4 tỷ VNĐ",Hạ Đình - Thanh Xuân, 44m2,, 4, 4,"4 TẦNG 44M2 4.4 TỶ, BÁN NHÀ HỒ HẠ ĐÌNH – THANH XUÂN, SÁT Ô TÔ Nhà đẹp không lỗi phong thủy, thoáng trước sau, ô tô cách nhà 60m, 80m ô tô tải tránh, 1 phút ra hồ Hạ Đình lộng gió, không khí trong lành. Nhà xây dựng chắc chắn, có thể lên them tầng nếu muốn, ngõ phố văn minh, rộng rãi, hang xóm toàn cán bộ công nhân viên chức. Khu vực trung tâm, nhà nằm sát Công ty Động Lực, trường Liên cấp Sputnik, Trường Tiểu học – THCS Hạ Đình, thuận tiện di chuyển ra Hạ Đình, Nguyễn Trãi, Nguyễn Xiển, Khuất Duy Tiến, Ngã Tư Sở … Sổ đỏ vuông, chính chủ, sẵn sàng giao dịch. Thương lượng trực tiếp chủ nhà. Liên hệ: KS. Phương - 0918120568",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821014.6542342, 3, 4
"3,5 tỷ VNĐ","Trịnh Đình Cửu, Định Công, Hoàng Mai", 30m2,,,,"HIẾM CÓ KHÓ TÌM – PHÂN LÔ – TRỊNH ĐÌNH CỬU Nhà đẹp mê ly phân lô quân đội 6 tầng, trung tâm, ngõ ô tô, thông tứ tung. Vài chục mét ra đường to Trịnh Đình Cửu, Hoàng Mai. Đang cho thuê văn phòng tầng 1, đầu tư, kinh doanh đc rất nhiều món. Ở cũng cực ổn. Chủ sỹ quan đơn vị xây dựng của quân đội, xây tâm huyết để ở, chắc chắn, toàn bộ gỗ nội thất là gỗ hương thơm ngào ngạt. Nhà ở rất có lộc, Bán đi mua nhà to hơn. Chỉ bán cho người thiện chí, có duyên. Sổ đỏ trao tay ngay sau công chứng. Giá bán 3.5 tỷ. Liên hệ: 0362368485",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821015.8689854,,
"4,65 tỷ VNĐ",0962070005, 40m2,,,,"*Vị trí đẹp, đắc địa, gần phố, ngõ ô tô tránh, ô tô tải đỗ trước cửa nhà, ngõ thông tứ tung, thông thoáng mát - Nhà mình mặt trước và sau thoáng vĩnh viễn, chỉ cần vài bước đi bộ là ra đến chợ buôn bán ngày đêm. Gần trường học các cấp, tiện ích không thiếu thứ gì - Trong tương lai đường vành đai 2.5 sẽ hoàn thành và giải phóng mặt bằng, khi đó giá trị nhà mình sẽ tăng lên một cách chóng mặt - Giáp với các khu đô thị Linh Đàm, Đại Kim sầm uất, tấp nập. Giao thông thuận tiện gần với các trục đường chính như: Lê Trọng Tấn, Vành Đai 2.5, Bùi Xương trạch, Kim Giang, …. *Thiết kế: - Diện tích: 40m2, nhà chủ tự xây thiết kế khung cột chắn chắn - Chủ ở được vài năm nên nhà rất mới. Họ kinh doanh phát đạt nên chuyển sang nhà mới to hơn. Chủ mới chỉ cần xách va ly về ở luôn + Tầng 1: Bếp, phòng khách, WC + Tầng 2,3: 4 phòng ngủ + WC + Tầng 4: Phòng thờ, sân phơi  Sổ đỏ chính chủ, sẵn sàng giao dịch Giá chào: 4.65 tỷ ( THƯƠNG LƯỢNG SÂU) Liên hệ  Mr.Thành 0962070005 để xem nhà và tư vấn miễn phí",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821017.0627925,,
16 tỷ VNĐ,Hà Nội, 71m2,,,,"Bán nhà đường Văn Cao Ba Đình, kinh doanh vô địch.Diện tích 71 m2, 6 tầng thang máy, nội thất trang trí đẹp, sang trọng.Vị trí đắc địa, đường sáng thoáng 2 ô tô tải tránh nhau thoải mái.Khu vực có nhiều người nước ngoài lưu trú, an ninh dân trí cao.Sổ đỏ chính chủ.Giá chào chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay: 0856 968 656.",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821018.211767,,
"3,5 tỷ VNĐ",Đường Lê Đức Thọ phường Mỹ Đình 2, 135m2, 1, 16, 3,"
    
TÒA CHUNG CƯ CAO CẤP. TẦNG CAO VIEW CỰC ĐẸP. 

Bán căn CC 135M2 - LÔ GÓC - 3.5 tỷ 

- Căn góc. Dt 135m2.
- Thiết kế 3 phòng ngủ, 2 phòng vệ sinh, 1 phòng khách, 1 bếp.

 
View đep, các phòng đều có ánh sáng tự nhiên nên rất thoáng.

- Giá bán: 3,5 tỷ. Lh 
",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821019.2191515, 8, 2
29 tỷ VNĐ,Bán nhà mặt đường Lê Trọng Tấn Thanh Xuân Hà Nội 9 tầng thang máy, 78m2,,,,"Bán nhà mặt đường Lê Trọng Tấn Thanh Xuân Hà Nội 9 tầng thang máy  + 78m x 9 tầng thang máy, giá 29 tỷ có thương lượng + Toà toạ lạc mặt phố một phố VIP của Thanh Xuân - Hà Nội - tuyển phố huyết mạch - kết nối với khu - đô thị Định Công Lê Trọng Tấn, Trường Chinh, Tôn Thất Tùng, Đại Học Y, bệnh viện Bưu Điện, Bạch Mai… Giao thông tấp nập - vỉa hè rộng hai bên - kinh doanh đỉnh, đáp ứng mọi loại hình. + Nhà xây kiên cố, thiết kế nhà hiện đại, công năng sử dụng, đa dịch vụ/ + Thang máy Mitsubishi chạy êm du, mượt mà từng tầng, bảo hành 6 tháng 1 lần. + Sổ đỏ chính chủ, sẵn sàng giao dịch.  Liên hệ: Kim Hạnh 0946553655",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821020.4019904,,
"9,5 tỷ VNĐ",Đường Lạc Long Quân phường Bưởi, 65m2, 3, 4, 4,"
    Bán nhà Gara ôtô gần phố gần Hồ Tây 65m2 4 tầng mt 4.5m nhỉnh 9tỷ (4)
NGÕ TO ÔTÔ VÀO NHÀ - NHÀ ĐẸP DÂN XÂY Ở NGAY - GIÁ BÁN ĐẤT
- Vị Trí: Nhà gần phố Lạc Long Quân, Xuân La, Nguyễn Hoàng Tôn gần Hồ Tây, ngõ ngoài ôtô tránh, xe 16 chỗ đỗ trong nhà.
Nằm trong khu dân trí công chức ổn định, Xung quanh có rất nhiều tiện ích xã hội: Chợ, siêu thị, bệnh viện, chợ, trường học...
- Tầng 1:phòng khách, bếp, WC, sân để xe
- Tầng 2,3 : mỗi tầng 2 phòng ngủ + 1 vệ sinh
- Tầng 4: 1 phòng thờ, sân phơi., trên lợp tôn chống nắng
- Cửa gỗ, cầu thang gỗ, nội thất xịn...
- Pháp lý: Sổ đỏ chính chủ, mua bán chủ bao sang tên mọi chi phí!
Chú ý:
- Quý khách có thể ham khảo thêm trên fanpage: Bất Động Sản Hà Nội.
1. LH: A. Hoàng Anh 0393265766 (xem nhà miễn phí)
2. Giá niêm yết có thương lượng cho khách hàng thiện chí.
3. Hỗ trợ tài chính cho vay mua nhà đến 70% giá trị căn nhà, lãi suất thấp nhất thị trường.
4. Môi giới, trung gian, quảng cáo mạng miễn làm phiền dưới mọi hình thức xin chân thành cảm ơn!
",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821021.7753222, 4, 4
"11,999 tỷ VNĐ",Hà Nội, 60m2,,,,"Bán nhà Phố Láng Hạ Ba Đình, kinh doanh đỉnh. - Diện tích 60 m2, mặt tiền 4.8 m, 4 tầng chắc chắn, trang bị toàn bộ nội thất cao cấp. - Khu phân lô đường 2 ô tô tải tránh nhau thoải mái, vỉa hè cực to, an ninh dân trí cao. - Quanh nhà tràn ngập tiện ích an sinh VIP, đường thông tiện kinh doanh, làm văn phòng... - Sổ đỏ chính chủ đẹp, rất thiện chí bán.Giá chào chỉ 11.99 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay em Bình để được mua nhà - 0856 968 656.",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821023.247423,,
"3,57 tỷ VNĐ",Đường Việt Hùng phường Việt Hùng, 77m2,,,,"Bán đất đấu giá X1 Việt Hùng Đông Anh Hà Nội Lô A21 Lô A22 Lô A30 Lô A18 Lô A23 Vị trí lô đất Việt Hùng Đông Anh:   Vị trí đắc địa nằm ngay cạnh Đường trục chính của xã, Ngay cạnh UBND xã Việt Hùng   Cách trường mầm non Việt Hùng 200m, Tiểu học Việt Hùng 200m, trường THCS Việt Hùng 400m, chợ Dục Nội 400m, tiện ích rất đầy đủ Đất đấu giá X1 Việt Hùng cách cầu Nhật Tân 7p lái xe, cách sân bay Nội Bài 15p lái xe  Thuộc khu vực đang phát triển rất rầm rộ giá đất tăng lên từng ngày  Cách tổ hợp tiểu công viên – hồ điều hòa của xã 200m phục vụ vui chơi giải trí rèn luyện sức khỏe  Em Tùng 0979.090.313
– Tư vấn nhà đất Đông Anh miễn phí.
– Kiểm tra quy hoạch mới nhất giá rẻ.
– Hỗ trợ vay vốn ngân hàng
",08/06/2022,Tin thường,batdongsan_so_com_vn_1673821024.3694203, 5,
