price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Mặt tiền,Số toilet,Hướng,Lộ giới
"4,3 tỷ VNĐ","Bán nhà ngõ 176 Trương Định, Bán Nhà ngõ 383 Trần Đại Nghĩa Bán nhà ngõ 104 Nguyễn An Ninh", 40m2, 5,"Chuyển đổi tôi cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Tương Mai, Hoàng Mai,Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách phố 100m giao thông thuận tiện, ngõ trước nhà 2 xe tránh nhau thoải mái, SH quay đầu.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835574.2101607, 5, 3, 3, Tây, 3
"12,8 tỷ VNĐ","Chính chủ bán nhà ngõ 180 Mễ Trì Thượng, NTL,(nhà thứ 2 thẳng mặt đường vào), 0363304808", 107m2,,"Chính chủ bán nhà ngõ 180 Mễ Trì Thượng, NTL,(nhà thứ 2 thẳng mặt đường vào), 0363304808 - Diện tích: 107,3m2 x 4 tầng, nhà xây kiên cố. Hiện gia đình đang ở, đầy đủ nội thất - Hướng: Đông Nam, có 2 mặt tiền, Có thể xây hướng Đông Nam hoặc hướng Tây .Tây Nam đều được- Nhà gần trường cấp 1,2 Mễ Trì, chợ Mễ Trì, gần Trung tâm HN Quốc Gia,... giao thông thuận tiện, tiện sinh hoạt- Theo quy hoạch, tương lai đất sẽ ra mặt đường, đầu tư rất hợp lý- Sổ đỏ chính chủ.   Giá bán: 12,8 tỷ (có thỏa thuận với khách thiện chí)LH chính chủ: 036.330.4808       http://www.sanbatdongsanviet.com.vn",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835576.1716852,,,,,
34 triệu VNĐ/m2,"Cổ Nhuế, Bắc Từ Liêm", 87m2,,"NGUỒN CUNG KHAN HIẾM, ĐÂU LÀ DỰ ÁN ĐẦU TƯ TỐT NHẤT THỜI ĐIỂM NÀY Từ vị trí Đường Nguyễn Đình Tứ, phường Cổ Nhuế 2, quận Bắc Từ Liêm, Hà Nội, Quý cư dân của chung cư cao tầng, Biệt thự The Jade Orchid dễ dàng di chuyển đến các cơ sở hạ tầng trọng điểm tại khu vực, và trung tâm thành phố thông qua các tuyến đường huyết mạch: +Loại hình căn hộ 2PN, 3PN phù hợp mua để đầu tư hơn cả nhờ xu hướng gia tăng tỉ lệ lợi nhuận và tính thanh khoản, vừa dễ cho thuê, đầu tư dài hạn lại càng tuyệt vời -Diện tích đa dạng:          2PN từ 67,8 – 86.7m2 3PN 113m2 giá chỉ từ 35tr/m2 👉Hệ thống giáo dục liên cấp hàng đầu: + Chỉ 2 phút để đến Trường tiểu học, trung học cơ sở Đoàn Thị Điểm. + Chỉ 3 phút để đến Học viện Tài chính, Đại học Mỏ Địa chất, Học viện cảnh sát nhân dân,  + Chỉ 5 phút để đến Đại học  y tế công cộng. 👉Hệ thống y tế mới nhất: + Chỉ 2 phút để đến Bệnh viện Đa Khoa Phương Đông. 👉 Hệ thống khu đô thị, mua sắm, vui chơi giải trí: + Cần 1 phút để di chuyển ra đường Phạm Văn Đồng. + Cần 2 phút để đến Công viên Hòa Bình. + Cần 5 phút để đến Khu đô thị thành phố giao lưu. + 20 phút để di chuyển vào trung tâm thành phố + 30 phút để đến Sân bay quốc tế Nội Bài. 👉Không chỉ được thừa hưởng hệ thống tiện ích ngoại khu dự án, Quý cư dân The Jade Orchid còn được thừa hưởng trọn vẹn những tiện ích nội khu chỉ có tại các dự án mang thương hiệu BĐS Vifulland như: Hệ thống phòng khám đa khoa, Siêu thị thuốc mang thương hiệu Vimedimex.Cảnh quan sống xanh tại dự án, Các dịch vụ, tiện ích hiện hữu: vườn dạo bộ, vườn hồng, quảng trường nước, … đem lại một cuộc sống đủ đầy cho Quý cư dân! ----------------------------- NHẬN THÔNG TIN CHI TIẾT DỰ ÁN  ☎ Hotline: 086 8866 070",29/09/2021,Tin thường,batdongsan_so_com_vn_1673835578.3776338, 2,, 2,, 30
36 triệu VNĐ/m2,"cổ nhuế, bắc từ liêm", 129m2,,"Căn hộ cao cấp kiến trúc Tân Cổ Điển Châu Âu đầu tiên tại đường Phạm Văn Đồng, đối diện KĐT Ciputra, lối đi vào trường Liên cấp Đoàn Thị Điểm, ĐH Mỏ - Địa chất Vị trí: KĐT Bắc Cổ Nhuế - Chèm, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội Mặt đường Nguyễn Đình Tứ, tiếp giáp đường Phạm Văn Đồng KHÔNG GIAN SỐNG XANH GIỮA LÒNG HÀ NỘI – THỪA HƯỞNG KHÔNG GIAN THOÁNG MÁT CỦA CÔNG VIÊN HÒA BÌNH  Chỉ với 100 triệu đặt chỗ có ngay cơ hội sở hữu căn hộ đẹp nhất dự án Loại hình căn hộ đa dạng: 2PN: 67,8m2, 76,1m2, 81,3m2, 87,7m2 3PN: 113m2 4PN: 129,5m2 Quý khách mua tại thời điểm đầu của dự án được sở hữu giá tốt, tiềm năng tăng giá cao Điểm nổi bật của dự án Vimefulland Phạm Văn Đồng Được quy hoạch là KĐT VIP nhất quận Bắc Từ Liêm với 1275 căn hộ cao cấp, 104 lô shophouse lâu đài phố, 22 lô biệt thự lâu đài với diện tích 116m2 đến 303m2 Được hình thành từ 2 phân khu Michelia và Magnolia đối xứng nhau với tổng diện tích 8,9ha, mật độ xây dựng khoảng 38% Tiện ích đầy đủ 5* kiến tạo môi trường sống hoàn hảo: Trường tiểu học công lập do CĐT xây dựng, công viên cây xanh, bể bơi 4 mùa, phòng khám đa khoa, siêu thị thuốc, khu vui chơi trẻ em, sân tập thể thao…. Gần với KĐT Đại học, trường Liên cấp Đoàn Thị Điểm, Đại học Tài chính Ngân hàng, Đại học Mỏ - Địa chất, Học viện Tài Chính, Viện thi đua khen thưởng quốc gia, cách Công viên Hòa Bình 500m Dự kiến bàn giao: Dự kiến Quý III, 2023 – Tiến độ đóng tiền giãn. Chính sách chiết khấu và nhiều quà tặng hấp dẫn từ Chủ đầu tư khi ký HĐMB The Jade Orchid – Kiến tạo cuộc sống hoàn hảo!! ---------------------- Bấm “Nhận báo giá” để được tư vấn và tài liệu về dự án Hotline CĐT: 086 8866 070",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835580.1535506,,,,, 30
"17,988 tỷ VNĐ","96 Nguyễn Huy Tưởng, phường Nhân Chính", 68m2, 5,"CHÍNH CHỦ THIỆN CHÍ BÁN NHÀ LIỀN KỀ NGUYỄN HUY TƯỞNG - NỘI THẤT ĐẸP, GIÁ TỐT, LH 0866038182------------------------ Phân lô liền kề khu nhà ở cao cấp 96 Nguyễn Huy Tưởng, Thanh Xuân- Khu vực hiếm nhà bán, cơ sở hạ tầng đồng bộ xung quanh vô vàn tiện ích: trường học, bệnh viện, các khu giải trí- An ninh đảm bảo, môi trường trong sạch, thân thiện, nhiều cây xanh- Thiết kế tối ưu, công năng đầy đủ, phù hợp vừa ở, vừa kinh doanh văn phòng, hiệu suất cao (cho thuê nhẹ ~40 triệu 1 tháng)- Sổ đỏ đẹp giao dịch ngay-----------------------LH Mr Tùng - 0866038182 - tư vấn BĐS tận tâm",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835582.3400288, 4, 5, 4,,
"6,8 tỷ VNĐ",Quan Nhân, 52m2,,"+Vị trí siêu đẹp mặt ngõ to rộng, thông tứ tung, giao thông thuận tiện + Ô tô đỗ cửa kinh doanh văn phòng rất tiện lợi +Ngay cạnh hồ điều hoà, không khí thoáng đãng đi tập thể dục quanh hồ thì còn gì bằng + Thiết kế tầng 2 phòng đầy đủ công năng sử dụng, khách xem là mê phê là chốt + Sổ vuông đẹp – sẵn sàng giao dịch +Giá nhỉnh 6 tỷ - Có thương lượng. +Để được dẫn xem nhà các B Liên hệ : Ms Dung 0989558620 - Chuyên môi giới nhà đất thổ cư - nhà mặt phố Hà Nội hỗ trợ thủ tục pháp lý mua bán - chuyển nhượng miễn phí. ",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835584.1393404,,,,,
4 tỷ VNĐ,Hà Nội, 48m2,," - Tòa nhà tọa lạc tại Quận Đống Đa trung tâm nhất Thủ Đô, nhà thuộc vị trí đắc địa, trung tâm 3 Quận Đống Đa, Thanh Xuân, Hai Bà Trưng… - Nhà 4 tầng mới, 48m2, hưởng toàn bộ tiện ích của chung cư cao cấp gần nhà, trung tâm thương mại, siêu thị, rạp chiếu phim, sân chơi thiếu nhi… - Nhà thiết kế rất hợp lý, đầy đủ trang thiết bị, nội ngoại thất cao cấp cho Phòng ngủ, Phòng Khách, Phòng Bếp, … - Giá chỉ 4 tỷ cho một căn ở VIP, Kinh doanh đỉnh, tặng lại phần lớn nội thất do gia đình chuyển ra ở Biệt thự. - Sổ đỏ chính chủ.Liên hệ miễn phí: 0856 968 656 - Thanh Bình Giáo sư Thổ cư.",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835586.3597171,,,,,
"5,3 tỷ VNĐ",Nguyễn Văn Trỗi- Hà Đông, 64m2, 5,"Nhỉnh 5 tỷ, ngõ thông ô tô, Nguyễn Văn Trỗi, Hà Đông,64m2, 5 tầng, nở hậu Giới thiệu đến quý khách hàng một căn nhà tại vị trí Trung tâm Quận Hà Đông sát vách làng Châu Âu, nhà đẹp nhất khu, ngõ thoáng, giao thông di chuyển quá thuận lợi các phố: Quang Trung, Nguyễn Khuyến, Yết Kiêu, Nguyễn Trãi, Phùng Hưng,Chiến Thắng, Ao Sen, Mỗ Lao, Vạn Phúc... Tiện ích ngút ngàn: xung quanh là các ngân hàng, trường học các cấp, bến xe, siêu thị, việc đi lại quá dễ dàng nhanh chóng. dân cư luôn tấp nập ngày đêm. Nhà được chủ thuê thiết kế xây rất chắc chắn, ở giữ gìn bao năm sạch đẹp như mới, các phòng đều mở cửa sổ thoáng sáng với 5 tầng rộng đẹp, ngõ ô tô thông, khu hiếm nhà bán. Xung quanh hàng xóm toàn cán bộ, giáo viên cấp cao, an ninh tuyệt đối, ở rất văn minh và tĩnh. Sổ đỏ cất két, giao dịch ngay. Giá: 5.3 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",14/12/2021,Tin thường,batdongsan_so_com_vn_1673835588.0484598,,,,,
"5,6 tỷ VNĐ",Mậu Lương- Hà Đông, 50m2, 5,"Bán nhà Liền kề Mậu Lương, Hà Đông, 50mx5 tầng, vỉa hè, gara ô tô, kinh doanh Đỉnh Tôi cần bán Liền kề Mậu Lương, vị trí cực đắc địa trung tâm, khu vực đẹp nhất phố, bao quanh là trường học, tòa chung cư, sân bóng, chợ,...không thiếu thứ gì. Vỉa hè rộng thoáng, mặt tiền 5m, dân cư tập chung đông đúc, đường thông ô tô chạy vòng quanh tránh nhau, kinh doanh đa dạng các loại hình . Nhà xây rất kiên cố, nội thất sang đẹp, các phòng thoáng sáng, chỉ việc xách vali đến ở. Tiếp giáp các Khu đô thị lớn: Văn Phú, Thanh Hà, Phú Lương, Xa La, Văn Quán,...giao thông quá thuận lợi di chuyển các tuyến phố chính. Giá: 5.6 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý chuẩn. Liên hệ : 0965472910- 0363703491 ( miễn trung gian).",15/12/2021,Tin thường,batdongsan_so_com_vn_1673835590.5096974,,,,,
"4,24 tỷ VNĐ",Văn Quán- Hà Đông, 51m2, 4,"HOT! Văn Quán, Hà Đông, 51m2x 4 tầng, nhỉnh 4 tỷ, ô tô gần Giới thiệu đến quý khách hàng một căn nhà tại vị trí Trung tâm Quận Hà Đông, nhà đẹp nhất khu gần Hồ Văn Quán rất hiếm, ngõ thoáng, giao thông di chuyển quá thuận lợi các phố: Thanh Bình, Phùng Hưng, Phúc La, Quang Trung, Trần Phú, Nguyễn Trãi, Chiến Thắng, Nguyễn Khuyến,.... Tiện ích ngút ngàn: xung quanh là các ngân hàng, trường học các cấp, tàu điện, bến xe, siêu thị, việc đi lại quá dễ dàng nhanh chóng. Nhà được chủ là dân xây dựng chuyên nghiệp xây rất chắc chắn, ở giữ gìn bao năm sạch đẹp như mới, các phòng đều mở cửa sổ thoáng sáng với 4 tầng rộng đẹp, khu hiếm nhà bán. Sổ đỏ cất két, giao dịch ngay. Giá: 4.24 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835593.2694385,,,,,
