price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Hướng,Số toilet
"4,3 tỷ VNĐ","Bán nhà ngõ 176 Trương Định, Bán Nhà ngõ 383 Trần Đại Nghĩa Bán nhà ngõ 104 Nguyễn An Ninh", 40m2, 5,"Chuyển đổi tôi cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Tương Mai, Hoàng Mai, HN.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách phố 100m giao thông thuận tiện, ngõ trước nhà 2 xe tránh nhau thoải mái, SH quay đầu.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",30/12/2021,Tin thường,batdongsan_so_com_vn_1673833750.277044, 3, 3, 5, Tây, 3
,18 ngõ 169/41 Hoàng Mai, 30m2, 4,"🏡 Chính chủ bán nhà ngõ 169 Hoàng mai . Sổ đỏ 30,3m mặt tiền 4m , hướng Đông Nam , ngõ 3 gác tránh . 🏡 Nhà xây 4 tầng 1 tum , 3 ngủ lớn gần trường học , chợ , bệnh viện vv....💰 Giá bán 3,3 tỷ có thương lượng . ☎️ LH : 0975336685 để xem & mua nhà.",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833753.7631283,,, 3,, 4
"8,5 tỷ VNĐ","Đống Đa, Hà Nội", 85m2,,"Bán nhà trung tâm quận Đống Đa, khu vực Hồ Đắc Di, gần hồ, gần chợ, trường học các cấp, giao thông thuận lợi, tiện ích đỉnh cao. + Thông số: 85m x 4 tầng, MT 4.5 m. + Nhà Thiết kế 4 tầng, 2 mặt thoáng, phòng nào cũng có cửa sổ. - T1: Gara PK, Bếp, VS - T2+3: 4PN + WC - T4: Phòng thờ, sân phơi + Giá chào: 8.5 tỷ + Liên hệ anh Đức 0988484701",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833756.0022542, 4, 3,,,
,đại từ đại kim ha noi, 35m2,,"+Vị trí quá đẹp ! mấy bước ra chợ ra phố,sát cạnh AEON Hoàng Mai. +Ngõ xe 3 gác tránh xe máy,thông ,sạch,thoáng sáng.Đất lành,vượng khí. +Nhà chủ tự xây4tầng,4ngủ,xây xác định ở lâu dài nên thiết kế hợp lý,đẹp.Cửa,đồ dùng toàn bằng gỗ xịn. +Giá trị tăng cao khi AEON Hoàng Mai khánh thành +Phố Đại Từ rất nhiều tiện ích ,giao thông thuận tiện : đi bộ tới chợ,xung quanh nhiều trường MN,Tiểu học các cấp, view hồ Linh Đàm, KĐT Đại KIM ,KĐT Linh Đàm. +Gần vành đai3,bến xe Giap Bát , Nước Ngầm.cao tốc Pháp Vân-Cầu Giẽ. +Pháp lý chuẩn,đầy đủ giao dịch ngay ạ. +Gía 3.48 tỷ(có thương lượng) ạ LH Mr Phúc 097.8895.889zalo – 0912.338.038",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833758.568213,,,,,
12 tỷ VNĐ,"Lê Trọng Tấn, Thanh Xuân, Hà Nội", 86m2,,"Chính Chủ Cần Bán Nhà Phố Lê Trọng Tấn Thanh Xuân. DT 86m*5t giá 12 tỷ.+ Nằm trong khu phân lô quân chủng không quân, ngõ rộng ô tô vào nhà, thích hợp ở hoặc làm văn phòng công ty. Thiết kế hiện đại hợp lý.- Tầng 1: Gara ô tô, 1 phòng đa năng, vệ sinh.- Tầng 2: Phòng khách rộng, phòng bếp ăn.- Tầng 3, 4: Mỗi tầng 2 phòng ngủ rộng, vệ sinh chung.- Tầng 5: Phòng thờ sân phơi.+ Nội thất nhập ngoại hoàn toàn, sàn và cầu thang, cửa ra vào bằng gỗ lim nguyên khối, thiết bị vệ sinh cao cấp, điều hòa, bàn ăn...+ Vị trí rất đẹp nhất phố Lê Trọng Tấn, ô tô ra vào thuận tiện, gần các trường: Đại học Y, Bách Khoa, Kinh Tế, Xây Dựng. Kết nối các tuyến đường Trường Chinh, Hoàng Văn Thái, Tôn Thất Tùng Khu vực dân trí cao an ninh tốt.+ Liên hệ: Đức Thành 0912525146",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833760.8436654,,,,,
"4,65 tỷ VNĐ","Khương Đình, Hạ Đình", 34m2, 5,"Cần bán nhà có một không hai tại đường Khương Đình, phường Hạ Đình, quận Thanh Xuân. Vị trí đẹp đỉnh cao, 2 mặt thoáng, có giếng trời, ngõ rộng ô tô tránh thoải mái, thông nhiều ngả đường, nhiều người tìm mua. Khu vực trung tâm của các điểm tiện ích, gần chợ và trường học các cấp,... Nhà 5 tầng xây dựng kiên cố, khung cột bê tông chắc chắn, nội thất toàn đồ gỗ xịn và hiếm gặp. Tổng 6 phòng ngủ, đầy đủ công năng, nội thất long lanh khách chỉ việc xách vali về đón Tết. Diện tích 34m2, mặt tiền 3,4m, được bố trí như sau: Tầng 1: phòng khách, bếp rộng và WC Tầng 2,3,4: mỗi tầng hai phòng ngủ to rộng khép kín. Tầng 5: 01 phòng to rộng (có thể tách làm 02 phòng ngủ) + sân phơi. Sổ đỏ chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch. Giá: 4,65 tỷ VNĐ. Liên hệ: Mr. Ngọc – 0344.978.570 (có phí xem nhà, miễn môi giới, trung gian).",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833763.000707,,, 6,,
"27,5 tỷ VNĐ",Ba Đình, 96m2, 6,"Chủ ra nước ngoài định cư cần nhượng lại. Căn nhà 6 tầng mặt phố mới trung tâm Q. Ba Đình. Phố rộng 25m, vỉa hè mỗi bên 4m, đã quy hoạch ổn định. Oto đỗ cửa.\Nhà đầy đủ nội thất thang máy mớiDiện tích: 96m2 x 6 tầng, mặt tiền 6.5mGiá: 27.5 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)MẶT PHỐ MỚI, TRUNG TÂM BA ĐÌNH - VỈA HÈ RỘNG - OTO ĐỖ CỬA - TĂNG GIÁ VỐNLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887+ Nhà thiết kế đẹp tầng 1 khách, bếp, để ô tô thoải mái.+ Tầng 2: 2 phòng khép kín rộng rãi.+ Tầng 3,4: Với 6 phòng khép kín rộng.+ Tầng 5: 1 phòng ngủ và 1 phòng thờ.+ Tầng 6: Phòng thờ, sân phơi rộng.- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833765.5181494, 6, 25, 7,,
24 triệu VNĐ/m2,TÂN XÃ-THẠCH THẤT, 60m2,,"👉👉👉👉👉VỊ TRÍ - TIỀM NĂNG :🍁Giáp công nghệ cao🍁Giáp tỉnh lô 419 (mở rộng 30m)🍁Giáp đại học FPT 🍁Giáp 3 nhà máy của Vingroup🍁Đường nhựa ô tô tránh🍁Sổ đỏ sẵn, công chứng trong ngày🍁Diện tích từ 60-70m2, 🍁Tài chính chỉ từ 1.4- 2 tỷ🍁Chỉ đi bộ 3p ra bờ hồ Tân Xã🍁Đầu tư xây phòng trọ luôn                🔥🔥🔥  ĐẦU TƯ 100% THẮNG 🔥🔥🔥              💰💰💰💰💰Ngân hàng ht đến 70%💰💰💰💰💰📲📲📲📲📲 Trực tiếp chủ đầu tư :0966772113 (zalo,fb)📲📲📲📲📲",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833767.324804,,,,,
"4,65 tỷ VNĐ","Kim Giang, Đại Kim", 42m2, 5,"Cần bán nhà có một không hai tại đường Kim Giang, phường Đại Kim, quận Hoàng Mai giá chỉ 4,65 tỷ Nhà mới đẹp thiết kế hiện đại, nội thất cao cấp khách mua chỉ việc xách vali về ở đón tết. Khu vực trung tâm của các điểm tiện ích, gần chợ và trường học các cấp,... Nhà mới đẹp lung linh đón tết, khách mua chỉ việc xách vali về ở đón Tết. Nhà ngay đường Kim Giang, hai mặt thoáng, có giếng trời,  ngõ rộng ô tô tránh thoải mái, thông nhiều ngả đường, nhiều người tìm mua. Gần chợ Lủ, chợ Kim Giang, gần hồ điều hòa, gần trường học các cấp. Nhà 5 tầng, 42m2, xây dựng kiên cố, khung cột bê tông chắc chắn, thiết kế cẩn thận, nội thất toàn đồ gỗ xịn và hiếm gặp. Tầng 1: phòng khách, bếp rộng và WC Tầng 2,3,4: mỗi tầng hai phòng ngủ to rộng khép kín. Tầng 5: Phòng thờ to rộng (hoặc có thể chuyển đổi thành phòng ngủ) + sân phơi. Sổ đỏ chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch. Giá: 4,65 tỷ VNĐ Liên hệ: Mr. Ngọc – 0344.978.570 (có phí xem nhà, miễn môi giới, trung gian).",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833769.534416,,, 6,,
,kim giang hoàng mai ha noi, 50m2,,"+1 phút ra phố Kim Giang ,ô tô tránh. +Nhà đẹp,hướng đẹp,ở sướng ! xung quanh bạt ngàn tiện ích. +Tặng lại toàn bộ nội thất xin.cầu thang ốp gỗ + Nhà tự xây 5tầng,mặt tiền rộng,thiết kế rất đẹp,hiện đại,4 ngủ,phòng khách rộng ,khách mua về ở ngay. +Khu dân cư đông,môi trường sống thân thiện,dân trí cao +Vị trí thuận lợi khi kết nối với nhiều tiện ích : gần chợ,Trường MN,THCS cấp 1,2.KĐT Đại kim ,Linh Đàm , Kim văn Kim Lũ, gần bệnh viện. +Giao thông rất thuận tiện : đi Ngã Tư Sở,vành đai 3, bến xe,cao tốc Pháp Vân-Cầu Giẽ +Sổ đỏ chính chủ tiện sang tên ngay ạ +Giá 5.5 tỷ có thương lượng ạ +Lh Mr Phúc 097.8895.889zalo – 0912.338.038 ",03/01/2022,Tin thường,batdongsan_so_com_vn_1673833771.5383942,,,,,
