price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Lộ giới,Hướng,Số phòng ngủ,Số toilet
"6,6 tỷ VNĐ",Hàm Nghi, 108m2,"VỊ TRÍ cách đường Hàm Nghi 30m, cách bến xe Mỹ Đình 500m, hàng xóm Vincom Mỹ Đình. Mặt sau đất là khu biệt thự của Vincom lên 2 mặt thoáng vĩnh viễn. + Giao thông thuận tiện phố Hàm Nghi nối Nguyễn Hoàng, Lê Đức Thọ, Nguyễn Cơ Thạch, Lưu Hữu Phước. + Đất Phù hợp xây Tòa nhà 8 tầng Thông sàn thang máy vừa ở vừa cho thuê + Sổ đỏ vuông vắn, không lỗi phong thủy, có thương lượng. - Gọi ngay: Tâm Ngọc BDS Thổ cư nhà đất –0939446958 (Zalo , messenger ) để được tư vấn và giới thiệu miễn phí gần 1 nghìn căn nhà các loại cùng khu vực với tài chính từ 2 tỷ đến 1000",24/12/2021,Tin thường,batdongsan_so_com_vn_1673833570.8226135,,,,,,
"6,8 tỷ VNĐ",pHÚ DIỄN, 250m2,"SỐC!!!! hơn 30 triệu/m2 ĐẤT PHÚ DIỄN SỔ ĐỎ, NỞ HẬU 250M2, 2 MẶT PHỐ, Ô TÔ TRÁNH , KD SẦM UẤT SIÊU PHẨM ĐẤT VÀNG, LÔ GÓC, 2 MẶT PHỐ, Ô TÔ TRÁNH, XÂY TÒA NHÀ CAO TẦNG VỪA Ở CHO THUÊ -  ĐẦU TƯ KINH DOANH HÁI RA TIỀN!!!! + Đất Phù hợp xây Tòa nhà CAO TẦNG Thông sàn thang máy vừa ở vừa cho thuê KINH DOANH VĂN PHÒNG, BUÔN BÁN DỊCH VỤ HÀNG HÓA. HOẶC XÂY DỰNG TÒA NHÀ CHUNG CƯ CAO CẤP, CĂN HỘ CAO CẤP CHO THUÊ DÒNG TIỀN + Sổ đỏ vuông vắn, DT: 250 M2 NỞ HẬU, CHỈ 8 TỶ có thương lượng. Liên hệ: Ms. Ngọc 093.944.6958 Zalo Call (24/24) Để được Tư vấn và dẫn xem ĐẤT  hoàn toàn miễn phí! Cam kết và đảm bảo chắc chắn sẽ giúp Anh chị em tìm, lựa chọn được MẢNH  Đất theo như tiêu chí, nhu cầu mong muốn của Quý Anh chị trong thời gian ngắn nhất có thể!   ",26/12/2021,Tin thường,batdongsan_so_com_vn_1673833575.951666,,,,,,
6 tỷ VNĐ,ngõ 68 Đình Quán, 108m2,"Bán đất mặt phố Đình Quán, phường Phúc Diễn, quận Bắc Từ Liêm, Hà Nội. Vị trí đẹp, kinh doanh tốt, giao thông thuận tiện, cách đường Cầu Diễn (32) khoảng 50m, ô tô đỗ cửa, phù hợp kinh doanh, văn phòng, công ty,... cũng như sử dụng để ở.Diện tích: 108m2. Mặt tiền: 5m. 2 mặt thoáng trước, sau. SĐCC.Giá bán: 6 tỷ (có thương lượng cho khách hàng thiện chí).Liên hệ: 0939446958 Ngọc (miễn TG & QC) để được xem đất và mua được giá tốt nhất.",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833578.6089668,,,,,,
"3,7 tỷ VNĐ","Đống Đa,Hà Nội", 34m2,"TRUNG TÂM ĐỐNG ĐA - NHÀ ĐẸP Ở TẾT Mô tả: - Nhà xây 4 tầng + 1 gác lửng. - Tầng 1: Sân để xe + Phòng khách + Bếp. - Tầng lửng: Phòng khách nhỏ. - Tầng 2,3,4: Tổng 3 phòng ngủ + Wc + Sân phơi. * Sổ đỏ chính chủ nở Hậu. Sẵn sàng giao dịch. Liên hệ : 0966682624",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833581.560142, 5, 3,,, 3, 3
"4,1 tỷ VNĐ","Đống Đa,Hà Nội", 38m2,"Mô tả: ngõ rộng thoáng ba gác đỗ cổng, cực gần phố, giao thông thuận tiện đi lại khắp ngả. + Nhà mình bán là trong cùng lợi thế để được xe bên ngoài. + Nhà xây 5 tầng mới đẹp, khách mua chuyển vào ở luôn, không cần sửa chữa gì. + Tầng 1 phòng khách và bếp. + Tầng 2 là 1 phòng ngủ và 1 phòng tắm Master. + Tầng 3,4 mỗi tầng 2 phòng. + Tầng 5 phòng thờ và sân phơi. Vệ sinh từng tầng. Sổ đỏ vuông đét đẹp. Sẵn sàng giao dịch. Liên hệ : 0966682624",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833583.9996312, 5, 4,,, 5, 4
"3,98 tỷ VNĐ",Vạn Phúc- Hà Đông, 44m2,"Kinh doanh, ngõ thông, ô tô gần, 44m2x4 tầng, Vạn Phúc, Hà Đông Chủ nhà cần bán trước tết âm lịch nhà đẹp vị trí kinh lý tưởng, khu vực không có căn thứ 2, ngõ rộng thông muôn nơi, trước nhà sân chơi chung tuyệt đẹp, không gian lý tưởng vừa ở vừa kinh doanh, dân cư qua lại đông đúc, vài bước ra phố. Khu vực Vạn Phúc nổi tiếng với Làng Lụa, nhiều khách du lịch, nhà bán ngõ thông, gần các điểm du lịch , kinh doanh được đủ các loại hình, khu hiếm nhà bán. Giao thông di chuyển tuyến phố chính: Quang Trung, Tố Hữu, Thanh Bình, Yết Kiêu, Ngô Quyển, Văn Quán, Phúc La, Nguyễn Trãi,... Xung quanh đầy đủ các tiện ích, nhà đẹp , gia chủ làm ăn thịnh vượng, con cháu đuề huề rất có lộc. Giá: 3.98 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833586.2655883, 4,,,,,
100 triệu VNĐ/m2,Ngõ 43 Tô Vĩnh Diện, 43m2,"Bán căn góc, ngõ 43 Tô Vĩnh Diện, Thanh Xuân, 43 m2, 100 triệu/m2 Chính chủ cần bán gấp căn góc ngõ 43 Tô Vĩnh Diện trước Tết. - Lô góc - Vị trí: ngõ rộng 2m, cách ngõ ô tô đi vào 10m, cách mặt đường Tô Vĩnh Diện 20m. Riêng ngõ trước nhà có sân rộng 4m, thoải mái để xe. - Diện tích: 42,9 m2, vuông vắn, mặt tiền 3,7 m - Hướng: Đông Nam - Chính chủ bán đất tặng nhà cấp 4, đập đi xây lại đẹp long lanh. - Pháp lý rõ ràng: Sổ đỏ chính chủ. - Gia lộc cho khách thiện chí, giá thỏa thuận.",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833588.7313902,,,,,,
"1,28 tỷ VNĐ","Viên Ngoại ,Đặng Xá , Gia Lâm , Hà Nội", 43m2,"Đất Viên Ngoại chỉ 1ty28 đầu tư cực kì hấp dẫn .Lh : 0981752669+43,5m mặt tiền 4m2 hậu 4m2 vuông vức+ Vị trí đẹp , gần đường lớn , giá đang rẻ nhất khu vực , giờ bên Đặng Xá không còn lô nào dưới 30 ngoài lô này .+ 300m là tới con đường Ỷ Lan , con đường tạo nên ấn tượng trong mắt nhiều người khi nhắc tới Đặng Xá+ 400m là tới chợ Sủi , giao thương tấp nập , khu dân cư đông đúc nhất nhì Gia Lâm , hàng quán tập trung đầy đủ Liên hệ ; 0981752669 xem đất miễn phí , đặt cọc ngay .",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833592.276715,, 4, 3,,,
"2,79 tỷ VNĐ","vân canh ,hoài đức", 39m2,"Đường vào sạch sẽ, rộng rãi, ô tô đỗ cổng. Nhà sát ngay KĐT Hud Vân Canh, giao thông tiện đi khắp ngả 422B, Trịnh Văn Bô, Phương Canh, Xuân Phương, Mỹ Đình. Xung quanh tiện ích phong phú khi gần trụ sở chính quyền, trường học các cấp, chợ dân sinh. Nhà nổi bật với thiết kế hiện đại, thoáng trước sau và đầy đủ công năng với 4 phòng ngủ rộng. Hàng xóm thân thiện phần đông là công chức nhà nước. Là khu vực có tiềm năng lớn khi Hoài Đức sắp lên quận, Giá chào chỉ 2 tỷ 790 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn từ A->Z và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833594.2417407,,,,,,
"32,5 tỷ VNĐ",Ba Đình, 105m2,"Chủ ra nước ngoài định cư, cần nhượng lại căn liền kề 7 tầng găn góc oto đỗ cửa. 3 thoáng vĩnh viễn. Vừa ở vừa cho thuê vô cùng tiện lợi. Nhà nằm trên con Phố VIP Ba Đình, rất nhiều khách săn đón. Khu vực tập trung nhiều người nước ngoài sinh sống, giá cả cho thuê cao.Diện tích: 105m2 x 7 tầng, mặt tiền 5.5mGiá: 32.5 tỷ (còn thương lượng)NHÀ ĐẸP PHỐ TRUNG TÂM - BA ĐÌNH - THANG MÁY - OTO ĐỖ CỬA - CĂN GÓCLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887Thiết kế hợp lý, công năng sử dụng đầy đủ:Tầng 1: Gara, 1PN.Tầng 2: PK, Bếp.Tầng 3,4,5: 6PN.Tầng 6: Phòng sinh hoạt chung + Phòng karaoke.Tầng 7: Phòng thờ, sân phơi.- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833597.4194746, 7, 5, 9,, 8,
