price,address,Diện tích,Hướng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng
"11,39 tỷ VNĐ","Tần Vỹ, Mai Dịch, Cầu Giấy, Hà Nội", 46m2,, 8,,"+  Bán nhà phố Trần Vỹ, Cầu Giấy lô góc 46m2, 6 tầng, 6.8m mặt tiền, 2 mặt ngõ ô tô tránh, vỉa hè kinh doanh sầm uất, đang cho thuê 35tr/ tháng.- Nằm ngay gần ĐH Quốc gia tập trung nhiều trường ĐH. Khu vực tập trung đông dân cư và sinh viên.- Thiết kế 6 Tầng cực chắc chắn và kiên cố.- Nhà về ở ngay, có thể làm Gara để ô tô nếu không kinh doanh. Kinh doanh Spa, siêu thị mini, cửa hàng thuốc... đều rất phù hợp. - Vị trí nhà giao thông thuận lợi, thông ra nhiều đường lớn như Hồ Tùng Mậu, Phạm Văn Đồng, xung quanh là hệ thống các trường đại học cao đẳng. Tiện ích không thiếu gì.- Sổ đỏ chính chủ, vuông vắn trước sau như một, pháp lý sạch đẹp. Liên hệ: Em Đức Anh – 0975517689",10/04/2022,Tin thường,batdongsan_so_com_vn_1673827995.801187, 6,, 6
"3,7 tỷ VNĐ",phố khâm thiên - Đống Đa - Hà Nội, 35m2,, 3, 4,"Nhà Đẹp Đống Đa 5 Tầng –  Thoáng Trước Thoáng Sau – Mới Kính Koong – Giá Nhỉnh 3 tỷ  + Bán Nhà Khâm Thiên 35m – 5 Tầng – mt 4.5m – Giá Nhỉnh 3 tỷ            + Ngõ Trước Nhà Rộng 3 m , Gần phố. + Nhà mới đẹp lung linh, khung cột bê tông chắc chắn, nội thất sang trọng, thiết bị vệ sinh ngoại nhập.  - Tầng 1: Phòng khách, bếp và wc. - Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ và wc. - Tầng 5: Phòng thờ và sân phơi.  + Vị Trí : nhà nằm gần ngã tư Lê Duẩn - Khâm Thiên, gần hồ Thiền Quang, Công Viên LêNin, Rạp Xiếc Trung Ương… khu vực trung tâm tiện di chuyển nhiều nơi. Gần Nhiều Trường Đại Học Bách Khoa ,ĐH Kinh tế quốc dân , Bệnh Viện Bạch mai ..v.v.v...         + Sổ Đỏ đẹp , sẵn sàng giao dịch   + Lh : Em Trường zalo 0349 616 626 ! ",10/04/2022,Tin thường,batdongsan_so_com_vn_1673827996.9062684, 4, 3, 5
"6,4 tỷ VNĐ",LONG BIÊN, 31m2,, 3,,"Bán nhà 5T, đường Nguyễn Sơn, DT 31m2,MT 5.7m, ngõ rộng, ô tô vào nhà, giá hơn 6tỷ xíu. + Tọa lạc trên con ngõ huyền thoại chuyên hàng xách tay Nhật, Hàn Úc... + Vị trí cực đẹp, nổi bật nhất phố, ngay giữa ngã ba rộng thênh thang. + Mở kinh doanh hàng xách tay, mỹ phẩm, văn phòng... + Nhà xây mới tinh, thiết kế tiêu chuẩn phù hợp nhà mặt phố để vừa ở vừa kinh doanh. + Phù hợp khách mua giữ tiền, chạy dòng tiền hoặc có thể vừa ở vừa kinh doanh. + Sổ đỏ, pháp lý chuẩn. + Liên hệ: Anh Quân 0987353498 để được tư vấn và xem nhà miễn phí.",10/04/2022,Tin thường,batdongsan_so_com_vn_1673827998.1688945, 5, 4, 5
"8,6 tỷ VNĐ",162 Nguyễn đồng chi, 60m2,, 8,,"+ Vị trí nhà trong quần thể phân lô khu Liên Cơ. Ô tô thông chạy vòng quanh. Vài bước ra mặt phố Hồ Tùng Mậu, Nguyễn Cơ Thạch, Hàm Nghi... ngập tràn tiện ích. + Nhà thiết kế hiện đại với trang thiết bị nhập ngoại đẳng cấp. - Tầng 1: Phòng Khách + Gara 2 ô tô, WC. - Tầng 2: Phòng khách chính + bếp, WC. - Tầng 3, 4, 5, 6: Mỗi tầng 2 phòng ngủ + WC khép kín. - Tầng 7: Phòng thờ + sân phơi. + Sổ đỏ chính chủ sẵn sàng giao dịch. - Gọi ngay: Tâm Ngọc BDS Thổ cư nhà đất –0939446958 (Zalo , messenger ) để được tư vấn và giới thiệu miễn phí gần 1 nghìn căn nhà các loại cùng khu vực với tài chính từ 2 tỷ đến 1000 tỷ đô",16/12/2021,Tin thường,batdongsan_so_com_vn_1673827999.1861851,,, 7
"10,5 triệu VNĐ/m2",ĐÔNG YÊN  QUỐC OAI  HÀ NỘI, 257m2,,,,"Cần bán gấp lô đất tại ĐÔNG YÊN  QUỐC OAI  HÀ NỘI khu vực trung tâm Trục bìa làng Đông Yên cam kết không lỗi phong thủy+ Diện tích 257m+ Mặt tiền 10.10m+ Hậu 10.10m + Cách QL 21A 1km+ Cách TL421B 500m+ Cách DH09 đang thi công 300m+ cách Hà Nội 25km+ Đường rộng 2 ô tô tránh nhau + Trục chính làng, cạnh chợ có thể kinh doanh nhỏKhu vực dân trí cao, an ninh đảm bảo, gần nhiều tiện íchGiao thông thuận tiện thông các ngả.+ Sổ đỏ chính chủ, pháp lý rõ ràng.+ Giá bán 10.5tr/m.Quý khách quan tâm liên hệ Đỗ Vĩnh 0984845398 chuyên gia môi giới đất thổ cư Hà Nội.    Tư vấn miễn phí.    Hỗ trợ pháp lý.    Hỗ trợ đàm phán giá.    Hỗ trợ tài chính vay vốn ngân hàng.Xin cảm ơn!",10/04/2022,Tin thường,batdongsan_so_com_vn_1673828000.1635609, 10, 25,
"1,2 tỷ VNĐ",Thụy Hương - Chương Mỹ - Hà Nội, 47m2,,,,"Cần bán gấp lô đất ở TÂN MỸ - THỤY HƯƠNG khu vực trung tâm Trục bìa làng Tân Mỹ. Thụy Hương. Chương Mỹ. Cách chợ 100m. Kinh doanh được+ Diện tích 46.8m+ Mặt tiền 4m+ Hậu 4m + sâu 12m + cách Hà Đông 7km+ Đường rộng 2 ô tô tránh nhau thông tứ phía + Trục chính làng, cạnh chợ có thể kinh doanh nhỏKhu vực dân trí cao, an ninh đảm bảo, gần nhiều tiện íchGiao thông thuận tiện thông các ngả.+ Sổ đỏ chính chủ, pháp lý rõ ràng.+ Giá bán 1.2 tỷ có thương lượng.Quý khách quan tâm liên hệ Đỗ Vĩnh 0984845398 chuyên gia môi giới đất thổ cư Hà Nội.    Tư vấn miễn phí.    Hỗ trợ pháp lý.    Hỗ trợ đàm phán giá.    Hỗ trợ tài chính vay vốn ngân hàng.Xin cảm ơn!",10/04/2022,Tin thường,batdongsan_so_com_vn_1673828001.2556388, 4, 12,
"6,42 tỷ VNĐ",Xa La- Hà Đông, 60m2,,,,"NHỈNH 6 TỶ, KINH DOANH, VỈA HÈ, Ô TÔ TRÁNH, 60M TRUNG TÂM QUẬN HÀ ĐÔNG Do nhu cầu mua thêm máy móc sản xuất cần bán nhà đẹp thoáng sáng đầy đủ công năng sử dụng, chỉ việc xách vali đến ở. Nhà đẹp kinh doanh, văn phòng rất đẹp, ô tô vào nhà dừng đổ thoải mái. Xung quanh đầy đủ tiện ích Khu đô thị Xa La Ngân hàng, trường học , bệnh viện, trung tâm mua sắm, siêu thị,....giao thông di chuyển thuận lợi:, Phúc La, Mậu Lương, Đa Sỹ, Yên Xá, Phùng Hưng, Thanh Trì..... Chủ nhà con cái đuề huề, làm ăn thịnh vượng, nhà rất có lộc. Giá: 6.42 tỷ ( có gia lộc). Sổ vuông như tờ A4, sẵn sàng giao dịch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",10/04/2022,Tin thường,batdongsan_so_com_vn_1673828002.2100852,,,
"6,42 tỷ VNĐ",Xa La- Hà Đông, 60m2,,,,"NHỈNH 6 TỶ, KINH DOANH, VỈA HÈ, Ô TÔ TRÁNH, 60M TRUNG TÂM QUẬN HÀ ĐÔNG Do nhu cầu mua thêm máy móc sản xuất cần bán nhà đẹp thoáng sáng đầy đủ công năng sử dụng, chỉ việc xách vali đến ở. Nhà đẹp kinh doanh, văn phòng rất đẹp, ô tô vào nhà dừng đổ thoải mái. Xung quanh đầy đủ tiện ích Khu đô thị Xa La Ngân hàng, trường học , bệnh viện, trung tâm mua sắm, siêu thị,....giao thông di chuyển thuận lợi:, Phúc La, Mậu Lương, Đa Sỹ, Yên Xá, Phùng Hưng, Thanh Trì..... Chủ nhà con cái đuề huề, làm ăn thịnh vượng, nhà rất có lộc. Giá: 6.42 tỷ ( có gia lộc). Sổ vuông như tờ A4, sẵn sàng giao dịch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",10/04/2022,Tin thường,batdongsan_so_com_vn_1673828003.2603202,,,
16 tỷ VNĐ,Hà Nội, 76m2,,,,"Bán nhà giá rẻ đường Trần Hữu Tước - SĐT: 0366 555 258. + Diện tích 76 m2, 7 tầng thang máy, mặt tiền 5.2 m.Mô tả: + Đường phân lô, ô tô tránh, thuận tiện vừa ở vừa kinh doanh làm văn phòng hoặc phòng khám… + Nhà chủ tự xây đẹp long lanh, nội thất nhập khẩu châu Âu, khách mua về ở luôn.Vị trí cực đẹp, cực đỉnh so với tầm tiền. + Thiết kế đẹp tối ưu công năng. - T1: Gara - Khách - Bếp - Wc. - T2 - 6: Nhiều phòng - Wc. - T7: Phòng thờ - Sân phơi.Sổ đỏ đẹp, phân lô sẵn giao dịch.Giá bán nhanh chỉ 16 tỷ thương lượng mạnh.Liên hệ ngay: 0366 555 258.",10/04/2022,Tin thường,batdongsan_so_com_vn_1673828004.2940204,,,
"15,2 tỷ VNĐ",Hà Nội, 77m2,,,,"Bán nhà chính chủ phố Hoàng Cầu - SĐT: 0366 555 258.Vị trí đắc địa giao thông thuận tiện các phố Thái Hà, Láng Hạ, Trần Quang Diệu, Mai Anh Tuấn, Hào Nam...Nhà đẹp, kiểu dáng biệt thự, gara ô tô, nội thất cao cấp, thang máy nhập khẩu.Ngõ thông, vỉa hè rộng, khu văn minh, an ninh, dân trí cao, kinh doanh tốt.Diện tích 77 m2, 7 tầng, mặt tiền lớn 6 m.  - Đường trước nhà ô tô tránh. - Sổ đỏ vuông vắn cực đẹp. - Giá bán nhanh chỉ 15.2 tỷ thương lượng mạnh.Liên hệ ngay: 0366 555 258.",10/04/2022,Tin thường,batdongsan_so_com_vn_1673828005.2205422,,,
