price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Hướng,Số toilet
"4,2 tỷ /tháng",Nguyễn Hoàng Tôn, 40m2,"Bán nhà mặt phố Nguyễn Hoàng Tôn 5 tầng 4,2m MT 4.2tỷ Đường Nguyễn Hoàng Tôn thông ra các Phố Võ Chí Công, Phạm Văn Đồng,Hồ Tấy, Lạc Long Quân…     Diện tích: 40m2 5 Tầng . Kinh Doanh Mặt Phố Xe Container tránh nhau + Tiện ích đủ xung quanh. Bệnh Viện Nam Thăng Long, Chợ Đầu Mối Xuân Đỉnh, Sân Bóng Đá Xuân Đỉnh... + Trường : Đại Học Nội Vụ, THCS THPT Xuân Đỉnh. Giấy tờ dầy đủ. Liên hệ : Bác Hải  0366833145 Chính chủ.",20/02/2022,Tin thường,batdongsan_so_com_vn_1673831895.4582617,,,,,,
"9,2 tỷ VNĐ","Trường Chinh, Thanh Xuân, Hà Nội", 52m2,"Chính chủ bán nhà phân lô gần mặt phố Trường Chinh. DT 52m2*4 tầng, giá 9.2 tỷ.+ Nhà nằm trên mặt ngõ, mặt chính vào khu phân lô đường thông, gần nhà có bãi gửi xe, mỗi tầng 2 phòng ngủ, phù hợp ở hoặc làm văn phòng, khu văn minh dân trí cao, nhà mới xây, nội thất xây dựng hoàn thiện cao cấp, cửa, cầu thang làm bằng gỗ Lim cao cấp. Do có nhu cầu không sử dụng nên cần bán.+ Khu vực đi lại thuận tiện, gần các trường Đại học, Xây Dựng, Bách Khoa và Bệnh Viện Bạch Mai.+ Liên hệ: A Thành 0912525146",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831896.5493474,,,,,,
660 triệu VNĐ,"Ngõ 467/163 Lĩnh Nam, Quận Hoàng Mai, Hà Nội", 16m2,"Chính chủ bán nhà ngõ 467/163 Lĩnh Nam, Quận Hoàng Mai, Hà NộiDiện tích: 16,2m2, nhà cấp 4 hai tầng.Mặt tiền: 3,45m. Sổ đỏ chung trên thửa 200m2, có thể xây mới.Khu vực gần trường, chợ, thuận tiện sinh hoạt, an ninh đảm bảo.Giá bán: 660 triệu, có thương lượng. Miễn môi giới.Chính chủ: 0972144755
 
Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/chinh-chu-ban-nha-ngo-467-163-linh-nam-quan-hoang-mai-ha-noi-3516.html

",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831897.6374335, 3,,,,,
75 triệu VNĐ/m2,"Sơn Đồng, Hoài Đức, Hà Nội", 85m2,"DỰ ÁN TIỀM NĂNG NHẤT KHU VỰC TÂ Y HÀ NỘI KHI HOÀI ĐỨC LÊN QUẬN!Sơn Đồng Center SỨC BẬT TỪ HẠN TẦNG đưa các NHÀ ĐẦU TƯ đón sóng! ✨ Chiết khấu lên đến 5,5% ✨ Ân hạn nợ gốc 24 tháng ✨ Hỗ trợ lãi suất 0% trong 12 thángSơn Đồng Center - giải cơn khát shophouse, liền kề ở khu vực phía Tây Hà Nội với hệ thống hạ tầng đồng bộ đem đến tính thanh khoản cao, tỷ suất đầu tư lớn, an toàn và hiệu quả. Đề án lên Quận năm 2022 Cơ sở hạ tầng hoàn thiện, tập trung triển khai các nhiệm vụ hoàn thiện các tiêu chí thành lập quận trong đó có quy hoạch và mở rộng các tuyến đường - tạo sức bật cho BĐS trong tương lai gần",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831898.8422098, 6,, 4, 4, Đông bắc, 4
"3,1 tỷ VNĐ","Ngô Quyền, Hà Đông, Hà Nội.", 37m2," # Bán nhà Ngô Quyền, Hà Đông ô tô đỗ cửa, an sinh đỉnh, DT 37m2, 2T giá chỉ 3.1 tỷ. + Nhà 2 mặt thoáng trước sau, ô tô nhỏ đỗ của cả 2 mặt ngõ. + Gần trường học, chợ, Học viện Chính Trị cạnh KĐT Văn Khê, viện Đa Khoa Hà Đông, cách Bưu Điện Hà Đông, Cầu Trắng, Chợ Lớn Hà Đông khoảng 400m, trung tâm phố tiện ích, giao thông đi lại thuận lợi. + Khu phân lô dân trí cao, cơ sở hạ tầng ổn định, hàng xóm thân thiện, an ninh tốt. + Giá 3.1 tỷ. + Sổ đỏ vuông đẹp sẵn sàng giao dịch. # LH SĐT: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831899.941269,,,,,,
"3,5 tỷ VNĐ","Chính chủ bán CHCC tầng 8 Số 349 Vũ Tông Phan, Thanh Xuân, 3,5 tỷ; 0975114895", 85m2,"Chính chủ bán CHCC tầng 8 Số 349 Vũ Tông Phan, Thanh Xuân, 3,5 tỷ; 0975114895 - Căn hộ tầng 8, diện tích 85m2 gồm 2PN, 2WC, 1 đa năng; view đẹp, thoáng, nhiều ánh sáng; nội thất cơ bản.- Tiện ích: Bể bơi, spa, gym, trung tâm thương mại, nhà trẻ...- Hướng cửa: Đông Nam; hướng ban công: Bắc Tây Bắc- Sổ hồng chính chủ Giá bán: 3,5 tỷ đồng Liên hệ chính chủ: 0975114895       http://www.sanbatdongsanviet.com.vn",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831901.065264,,,,,,
"11,2 tỷ VNĐ",mặt ngõ Vương Thừa Vũ, 55m2,"Bán nhà PL Quân Đội Vương Thừa Vũ Thanh Xuân.Hà Nội Diện tích 55m2 x 6 tầng thang máy, ô tô vào nhà . full nội thất chủ nhà đã lắp hết điều hòa âm tường và bình nong lạnh, trước nhà đường rộng ô tô chạy thông qua nhàThiết kế hiện đại, phong cách Châu ÂuTầng 1:gara ô tô,phòng ngủ.Tầng 2 Phòng khách sang trọng, Phòng ngủ, vệ sinhTầng 3,4: Mỗi tầng 2 phòng, vệ sinh từng tầngTầng 5: 1 phòng ngủ rộng, bếp.Tầng 6: Phòng thờ, phòng máy, sân phơiVị trí đắc địa, nằm trong khu Phân lô Quân Đội, thông các ngả, sát Hoàng Văn Thái, Trường Chinh  Cách ngã tư Sở 500m, đường ô tô trải nhựa. SĐCC, Giá bán 11.2 tỷ có thương lượng, bao sang tên liên hệ chị Yến ĐT:0702138238",19/02/2022,Tin thường,batdongsan_so_com_vn_1673831902.0905197, 3, 5, 6, 6, Đông bắc, 5
"6,3 tỷ VNĐ",ngõ 136 Nguyễn An Ninh Tương Mai Hoàng Mai, 55m2,"Bán nhà Phân lô Cán bộ  Nguyễn An Ninh, thông sang Trần Đại Nghĩa, Hà Nội.Diện tích 55m2, 5 tầng mới đẹp, 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, chỉ nẹp gỗ, đèn led trang trí hiện đại, tiết kiệm điện- Tầng 1: Phòng Khách, vệ sinh, bếp ăn- Tầng 2,3,4: Mỗi tầng 2 phòng ngủ rộng có điều hòa, vệ sinh các tầng đã lắp bình nóng lạnh  - Tầng 5: Phòng thờ, sân phơi trước sau. Vị trí đắc địa mặt ngõ rộng ô tô gần nhà, cách phố Nguyễn an Ninh 50m, gần đường Trần Đại Nghĩa kéo dàiGiao thông thuận tiện, thông các ngả.Xung quanh có đầy đủ mọi tiện ích:  trường học. Cách Trường Bách Khoa, Xây Dựng, Kinh Tế 500m, gần nhiều bệnh viện lớn như Bạch Mai, Việt PhápSDCC, giá 6.3 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831903.2374508, 3, 3, 5, 6, Đông nam, 4
36 triệu VNĐ/m2,279 Hoàng Mai, 76m2,"💝Nhận vàng 9999 đón Tài Lộc quà Tân Gia, Năm Hổ giá nhà bùng Nổ.Vốn tự có 900tr-1 tỷ ký HĐMB căn 2PN- 3PN giá  chỉ từ 2,8 tỷ - 4 tỷ. #FELIZ_HOMES_HOANG_MAI 💎Chính sách bán hàng:👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ👉Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc 👉Vay 75% thời gian 25 nămBáo giá các căn hộ đẹp nhất dự án:💰Căn hộ 2PN – 77m2 giá từ 2,8 tỷCăn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền Lừ giá từ 3.6 tỷ🚙Liên Kết Vùng thuận lợi; Các trục đường vành đai 2 - 2,5 – 3 thuận tiện giao thông phát triển kinh tế+ Bệnh viện Bạch Mai: 5Km+ Hồ Hoàn Kiếm: 6Km+ Đại học Bách Khoa – KT Quốc Dân: 3Km+ Trường TH, THCS Mai động+ Công viên Thống Nhất: 4Km+ Bến xe Giáp Bát: 3Km+ TTTM Metro Hoàng Mai: 2Km🔥Đậm chất la tinh, kiệt tác nghệ thuật đầy xa hoa và sang trọng được lấy cảm hứng từ kiến trúc Bắc Âu. Phân khúc nhà chung cư đầy đủ tiện ích xanh bậc nhất của Thủ Đô nói chung và Hoàng Mai nói riêng. Bể bơi điện phân đồng, Vườn dạo bộ chân mây, Yoga, Vườn thiền. Các tổ hợp thư giãn Gym, hoạt động ngoài trời . 🏡Thiết kế căn hộ đề cao tính hữu dụng, tối ưu diện tích và công năng sử dụng. Toàn bộ không gian phòng ngủ đều được thiết kế cửa sổ kính và ban công rộng để đón ánh sáng tự nhiên và tận hưởng trọn vẹn làn gió mát lành từ hồ sinh thái thổi vào.💥Dự Án cạnh tranh bậc nhất khu vực Hoàng Mai và Thủ Đô🔑Nhận nhà: quý IV /2022 ☎️Hotline Phòng BH trực tiếp CĐT: 0983.223.911 – 0818.978.979#FelizHomes#Felizhomes279hoangmai#Felizhomes92maidong ",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831904.3066223,,,,,,
"3,35 tỷ VNĐ",Bạch Mai, 50m2,"Nhà nằm trung tâm quận hai bà trưng. Xe khách đỗ cửa thoải mái nên cực kỳ thuận tiện giao thông đi lại, gần nhiều bệnh viện trường học lớn: Bách Khoa ,Xây Dựng,Kinh tế quốc dân……,nhiều khu vui chơi mua sắm giải trí.  Ngõ trước nhà rộng dãi oto tô đỗ cửa từ nhà thuận tiện di chuyển khắp các ngả Thanh Nhàn , Phố Huế , Đại Cồ Việt, Lò Đúc ,…khu vực dân trí cao, yên tĩnh phù hợp với gia đình có trẻ nhỏ người già. Thuộc khu phân lô cán bộ cũ với diện tích vô cùng rộng rãi xây 3 tầng, khung cột bê tông chắc chắn, hiện đại tiện nghi chỉ việc xách va li về ở. Thoáng trước thoáng sau cực kỳ hiếm có.  Sổ đỏ giêng, gia chủ làm ăn phát đạt đã tậu được nhà mới nên cực kỳ  thiện chí. Giá chào 3.35 tỷ có thương lượng cho khách hữu duyên.Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý  ",27/01/2022,Tin thường,batdongsan_so_com_vn_1673831905.543822,,,,,,
