price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Lộ giới,Số toilet
"6,2 tỷ VNĐ/m2",25 Lê Văn Lương, 106m2,,"- Tặng Voucher quy đổi tiền mặt khi mua căn hộ từ 100tr-150tr- Ký HĐMB chỉ với 10%.- Miễn phí 01 năm gửi xe thứ nhất.* Chủ đầu tư: Công ty Cổ phần Dịch vụ và Kinh doanh bất động sản Hà Nội.- Vị trí dự án: 25 Lê Văn Lương, phường Nhân Chính, Thanh Xuân, HN (ngã tư Lê Văn Lương giao với Hoàng Đạo Thúy).- Căn hộ 2PN: 61m2 giá từ 3.7- 4.2 tỷ (chưa tính chiết khấu).* Tiện ích căn hộ BRG 25 Lê Văn Lương:- Khối đế trung tâm thương mại 5 tầng với nhiều thương hiệu thời trang và ẩm thực quốc tế, sảnh coffe Starbucks với diện tích 5002m2.- Bể bơi, vườn dạo bộ, sky bar, BBQ, khu vui chơi trẻ em, gym, spa tại tầng 5M.- Vườn thiền, khu đá massage, khu tâm linh, vườn yoga, sky coffee tại tầng mái.- Dịch vụ đưa xe xuống hầm cho cư dân, bác sĩ gia đình, giặt ủi, giúp việc theo giờ cũng được chủ đầu tư tích hợp..",19/01/2022,Tin thường,batdongsan_so_com_vn_1673832698.6443799,,,,
"2,65 tỷ VNĐ","Cầu Diễn, Nam Từ Liêm, Hà Nội", 32m2,,"Nhà cực chắc chắn khi được chủ nhà tự xây tâm huyết, tỉ mỉ. Đầy đủ công năng và chủ thiện chí để lại full nội thất nên chủ mới chỉ việc xách vali về ở. Vị trí đẹp gần hồ điều hoà, ngõ nông rộng, cách ô tô chỉ 20m. Nhà nằm ở trung tâm phường Phú Diễn gần các trụ sở chính quyền, trường học các cấp mới rộng đẹp, vài bước là chợ dân sinh. Tiện ích bạt ngàn cùng hệ thống hạ tầng hoàn thiện. Từ nhà đi Cầu Diễn, Nhổn, Hồ Tùng Mậu, Xuân Thuỷ, Mỹ Đình… nhanh chóng thuận tiện. Giá chào 2 tỷ 650 triệu (khách thương lượng trực tiếp với chủ). Sổ vuông đẹp cất két, sẵn sang tên ngay. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Gọi em Sơn (thổ cư) ngay để được tư vấn nhiệt tình và xem miễn phí thêm hàng nghìn căn nhiều mức giá ở Hà Nội: 0932382236",19/01/2022,Tin thường,batdongsan_so_com_vn_1673832699.803278,,,,
26 tỷ VNĐ,Phố Vă Phú, 126m2, 5,"++ Chính chủ cần bán nhà Shophouse Văn Phú, phường Phú La, Quận Hà Đông với diện tích 126m, nhà 5 tầng Lô góc 3 thoáng, Nội thất Châu Âu. ++ Liên hệ để biết giá tốt nhất. ++ Vị trí đẹp Lô góc 3 mặt thoáng, mặt tiền siêu rộng, vị trí ở hay kinh doanh đều vô địch, nhà nằm trên trục chính đường Văn Phú chạy thẳng ra mặt Phố Quang Trung đường, vỉa hè rộng 24m, nhà View vườn hoa sáng thoáng vĩnh viễn, nhà đã xây hết diện tích nên rất rộng thoáng. ++ Nhà thuộc dạng hiếm có khó tìm chủ nhà thuộc hàng Đại gia thiết kế nhà tuyệt đẹp, nội thất toàn đồ ngoại nhập đắt tiền, riêng trang thiết bị phòng bếp đã mất gần tỷ bạc, đèn treo trần phòng khách toàn trên 100tr 1 đèn, thiết bị vệ sinh toàn đồ cao cấp. ++ Nhà thiết kế 5 tầng. - Tầng 1. ga ra ô tô, thông sàn,vc. - Tầng 2. Phòng khách, bếp rộng, vc. - Tầng 3. Ba phòng ngủ, phòng tập gim, vc. - Tầng 4. 2 phòng ngủ, phòng thờ, ban công rộng. - Tầng 5. Sân rộng trồng cây ngắm cảnh. ++ Sổ đỏ chính chủ, sãn sàng giao dịch. ++ Giá chào 26 tỷ có thương lượng ++ Liên hệ xem nhà: 0902.0831.39",19/01/2022,Tin thường,batdongsan_so_com_vn_1673832701.0779512, 7, 5,, 5
"2,9 tỷ VNĐ","quang tiến ,nam từ liêm", 32m2,,"Nhà được chủ nhà tâm huyết xây dựng, thiết kế đẹp, hài hoà. Nội thất và trang thiết bị hiện đại đầy đủ, chủ thiện chí để lại phần lớn nên khách mua chỉ việc xách vali về ở. Từ nhà chỉ mấy chục mét là ra đến mặt đường Quang Tiến, bãi gửi xe cách nhà chưa đến 100m. Đi các hướng Đại Mỗ, đại lộ Thăng Long chỉ phút mốt, rồi qua hầm chui Trần Duy Hưng là vào nội thành còn qua cầu vượt Phú Đô đã sang Mễ Trì, Mỹ Đình... Xung quanh tiện ích từ nhỏ đến lớn không thiếu thứ gì. Chủ nhà làm ăn có lộc muốn bán ngay để mua nhà mặt phố. Giá chào chỉ 2 tỷ 900 triệu (khách thương lượng trực tiếp với chủ nhà). Sổ nở hậu sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để gặp chủ nhà ngay. Em còn rất nhiều nhà trong tầm giá ở khu vực Từ Liêm để anh chị tham khảo 0932382236",18/01/2022,Tin thường,batdongsan_so_com_vn_1673832702.1241536,,,,
,đường 23B-nội đồng- đại thịnh- mê linh- hà nội, 100m2,,"⛔ HUD MÊ LINH CENTRAL ⛔ 🏘 DỰ ÁN ĐẤT NỀN TỐT NHẤT VÀ TIỀM NĂNG NHẤT VEN HÀ NỘI THỜI ĐIỂM HIỆN TẠI. 🏘 🍀 Diện tích: 55,383 ha 🌻  Nhà chung cư gồm 1.466 căn hộ. ✅  Nhà ở thương mại: 436 căn ✅  Nhà ở xã hội: 1.030  căn ✅  Khu thấp tầng gồm 799 căn: Bao gồm: 🌻  Biệt thự đơn lập 150 căn ✅ Biệt thự song lập 256 căn ✅ Nhà vườn 393 căn 👉 DỰ ÁN ĐẤT NỀN TỐT NHẤT VÀ TIỀM NĂNG NHẤT VEN HÀ NỘI THỜI ĐIỂM HIỆN TẠI. ⭕ Mọi Thông tin liên hệ: 0989726892 Em phượng ",18/01/2022,Tin thường,batdongsan_so_com_vn_1673832703.2381718,,,,
9 tỷ VNĐ,Chùa Láng, 48m2,,"+Vị trí trung tâm siêu đẹp gần trường Đại học Ngoại thương, học viện Ngoại giao, ngõ ô tô tránh, chỉ vài bước ra mặt phố lớn. + Nhà lô góc 3 mặt ngõ, các phòng rất sáng thoáng. Xây 5 tầng khung cột chắc chắn. Chủ đang tự kinh doanh tại nhà. - T1,2: Thông sàn, Wc. - T3,4: Mỗi tầng 2 ngủ, Wc. - T5: Phòng thờ, sân phơi. + Sổ đỏ vuông đẹp – sẵn sàng giao dịch. +Giá chỉ 9 tỷ thôi các B ơi – Có gia lộc. +Để được dẫn xem nhà các B Liên hệ : Ms Dung 0989558620 - Chuyên môi giớI nhà đất thổ cư - nhà mặt phố Hà Nội hỗ trợ thủ tục pháp lý mua bán - chuyển nhượng miễn phí. ",21/12/2021,Tin thường,batdongsan_so_com_vn_1673832704.3152907,,,,
"2,05 tỷ VNĐ",Ngũ Hiệp, 40m2,,40,18/01/2022,Tin thường,batdongsan_so_com_vn_1673832705.3225958,,,,
"2,05 tỷ VNĐ",Ngu Hiep Thanh tri, 40m2,,40,18/01/2022,Tin thường,batdongsan_so_com_vn_1673832706.3727868,,,,
,Nguyễn Xiển, 75m2, 5,"NHÀ PHỐ THƯƠNG MẠI ĐẶC BIỆT TẠI BLOCK 15 - MỘT SẢN PHẨM CỦA TINH HOA THƯƠNG MẠI PHỐ⚜️ Là dòng sản phẩm giới hạn được quy hoạch nổi bật tại tâm điểm những giao lộ đắt giá bậc nhất The Manor Central Park, NHÀ PHỐ THƯƠNG MẠI ĐẶC BIỆT với hai lựa chọn: căn ĐẠI LỘ và căn QUẢNG TRƯỜNG là lựa chọn không thể hoàn hảo hơn khi mang đến cho chủ nhân những trải nghiệm sống xứng tầm song song với địa thế giao thương tỏa ra bốn phương.🔸 Với thiết kế được nâng cấp hoàn toàn mới cả về nội thất lẫn không gian bên ngoài tạo nên một kiến trúc độc bản chưa từng có. 🔸 Tiến độ thi công các hạng mục đang gấp rút hoàn thiện: Các tiện ích chuẩn 5* như công viên trung tâm, trường học liên cấp, clubhouse, bãi đỗ xe tập trung sau khi hoàn thiện sẽ khiến giá trị của KĐT cũng như các căn nhà phố gia tăng không ngừng.- Chính sách bán hàng hấp dẫn+ Hỗ trợ lãi suất 0% lên đến 36 tháng.+ Các voucher cao cấp trải nghiệm chuỗi tiện ích của Bitexco+ Miễn phí 2 năm phí dịch vụ (số lượng có hạn).☎ Liên hệ: 0917319899",18/01/2022,Tin thường,batdongsan_so_com_vn_1673832707.5675893, 5, 4,, 5
"3,8 tỷ VNĐ",Đê La Thành, 36m2, 5,"Bán nhà ngõ 164 Đê la Thành, phường Thổ Quan Đống Đa, 36m2x5T, nhà dân xây chắc chắn, vị trí thuận lợi giá 3,8 tỷThiết kế móng bè kiên cố, chắc chắn, đẹp và mới tinh thích hợp cho gia đình đến ở ngay. Chủ nhà rất cẩn thận tỉ mỉ từng chi tiết, tối ưu với mọi công năng sử dụng:- Tầng 1:, phòng khách, bếp, vệ sinh.- Tầng 2,3,4: 1 phòng ngủ vệ sinh khép kín.- Tầng 5: phòng thờ + sân phơiNội thất cao cấp, trần các tầng đều ốp thạch cao, sàn gỗ, tay vịn cầu thang mặt bậc cầu thang và cửa các phòng đều bằng gỗ Lim nguyên tấm, thiết bị vệ sinh nhập ngoại, vách tắm đứng, bình nóng lạnh... Vị trí trung tâm đắc địa, cách ngã tư Xã Đàn - Nam Đồng chưa đến 80m, Ngõ trước nhà rộng 2,5m xe máy thoải mái tránh nhau và quay xe.Cách trường Bách Khoa, Xây Dựng, Kinh Tế, bệnh viện Bạch Mai, Việt Pháp... Chỉ 1km, thuận tiện đi lên phố cổ, Hoàn Kiếm, Ba Đình... - Sổ đỏ chính chủ, giá 3,8 tỷ ( có thỏa thuận) Liên hệ xem nhà: E Hiếu 0967899918 ( Không tiếp trung gian môi giới )",18/01/2022,Tin thường,batdongsan_so_com_vn_1673832709.5024674, 4, 3, 3, 4
