price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng,Lộ giới
16 tỷ VNĐ,Hà Nội, 64m2,"Bán nhà phân lô phố Hoàng Cầu, quận Đống Đa - LH: 0856 968 656. - Vị trí đẹp đường trước nhà ô tô tránh, vỉa hè kinh doanh siêu đẹp, sát mặt phố, ngõ thẳng, hiện tại đang cho thuê kinh doanh. - Diện tích 64 m2, 6 tầng, mặt tiền 5.7 m, thiết kế đẹp trang bị thang máy nội thất xịn, chỉ việc ở luôn. - Nhà mới xây ít năm, khung cột chắc chắn, móng cọc nhồi. - Giao thông thuận tiện đường ô tô chạy ô bàn cờ vùng quanh, nằm phía sau Quận Ủy Đống Đa. - Thông với các tuyến phố Võ Văn Dũng, Trần Quang Diệu, Thái Hà, Mai Anh Tuấn, Yên Lãng, Xã Đàn, Hào Nam, Láng Hạ, Tôn Đức Thắng... - Sổ đỏ chính chủ, vuông vắn. - Giá chào chỉ 16 tỷ thương lượng mạnh, bao sang tên, tặng full nội thất xịn. - Liên hệ 24/7: 0856 968 656.",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830600.5886443,,,,,,
"4,1 tỷ VNĐ","Chung cư Udic Westlake, Võ Chí Công, Tây Hồ, Hà Nội", 116m2,"🔥 Bán Chung Cư Udic Westlake Tây Hồ giá chỉ từ 33tr/m2🌈 Căn 2PN: 84-86m2🌈 Căn 3PN: 116-168m2🌈 Căn 4N: 148m2🌈 Căn Duplex: 186-295m2➡️ Hỗ trợ vay 50% lãi suất 0% trong 24 tháng🎇 Trong thời gian hỗ trợ lãi suất 0%, khách hàng KHÔNG phải trả LÃI, Không phải TRẢ GỐC và được MIỄN PHÍ TRẢ NỢ TRƯỚC HẠN.🎁 Tặng 30tr tiền nội thất🎁 Đặc biệt, khách hàng trả thẳng sẽ được chiết khấu 4% GTCH---------------------------------------Liên hệ  ngay để nhận báo giá, thông tin chi tiết và xem thực tế căn mẫu.☎️ Hotline: 0977568223",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830601.638833,,, 3, 2, Tây nam,
17 tỷ VNĐ,Hà Nội, 67m2,"Bán nhà vị trí siêu đẹp phố Chùa Láng, quận Đống Đa - LH: 0856 968 656.Nhà mặt tiền khủng 6 m, ô tô 7 chỗ đỗ vào nhà thoải mái, 7 tầng lung linh.Nhà trang bị toàn bộ nội thất cao cấp và thang máy nhập khẩu.Giá chào 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Mô tả: - Nhà thuộc khu VIP quận Đống Đa, văn phòng công ty bạt ngàn, quá lý tưởng cho khách mua làm văn phòng công ty hoặc cho thuê. - Nhà lô góc lại được mặt tiền khủng quá hiếm. - Nhà ra mặt phố cực gần, ô tô tiến lùi vào nhà thoải mái. - Tuyến đường Huỳnh Thúc Kháng kéo dài hoàn thành có thể di chuyển thuận tiện giá trị đất càng tăng, phù hợp đầu tư đón đầu tương lai. - Thiết kế: + Tầng 1: Gara để xe, kinh doanh văn phòng, wc. + Tầng 2, 3, 4, 5, 6: Các phòng, wc. + Tầng 7: Sân phơi, phòng thờ. + Sổ đỏ pháp lý chuẩn, sẵn giao dịch. + Chi tiết liên hệ em Bình nhà đẹp: 0856 968 656.",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830602.67409,,,,,,
990 triệu VNĐ/m2,Xã Cổ Đông, 62m2,"Tổng quan: - Full thổ cư, sổ đỏ, pháp lý đầy đủ - Đường nội khu 8m, hạ tầng hoàn thiện - Gần các khu công nghệ cao, giáo dục Nội dung Về khu đất - Sổ đỏ, full thổ cư, pháp lý rõ ràng - Hưởng lợi từ quy hoạch phát triển thị xã Sơn Tây - Năm trong khu tổ hợp nghỉ dưỡng, sinh thái - Cách trường sĩ quan lục quân 1,5km - cách trường tiểu học Cổ Đông 500m - Cách tổ hợp các trường đại học 4km - cách quốc lộ 21 2km - cách chợ Hòa Lạc 3,5km - Cách Đồng Mô 4km - Cách trục Hồ Tây- Ba Vì 200m Nội khu - Hạ tầng HOÀN THIỆN - Dân cư xung quanh đông đúc, dân trí cao Tiềm năng - Tiềm năng phù hợp cho việc sinh sống rất cao khi xung quanh đầy đủ các khu kinh tế, giáo dục, y tế - Tiềm năng phát triển giá trị cho đầu tư từ 10-30%  (Liên hệ em Hoàng SĐT 0342615537/zalo 0342615537 để được tư vấn miễn phí và nhận ngay 2 chỉ vàng khi mua đất)",27/02/2022,Tin thường,batdongsan_so_com_vn_1673830603.853974, 6,,,,, 8
"1,45 tỷ VNĐ",To 25 Thi Tran Dong Anh, 56m2,"Mô tả: - Mảnh đất tọa lạc vị trí đẹp, đưởng rộng ô tô tải tránh, gần sân chơi tổ dân phố, gần nhiều dự án đang triển khai như dự án kè sông Quốc lộ 3, khu liền kề Happyland, có giá trị tăng trưởng cao khi lên Quận Đông Anh. - Thửa đất vuông vắn mặt tiền và mặt hậu bằng nhau đều như chia. - Bán kính 1km với đầy đủ tiện ích như: Chợ Lắp ghép, chợ Thiết Bị Điện, Siêu thị, trường mẫu giáo, trường cấp 1, 2, 3 Thị Trấn, bệnh viện, khu vực dân trí cao, an ninh tốt, rất đẹp xây để ở và đầu tư. - Sổ đỏ pháp lý chuẩn sẵn sàng giao dịch ngay. - Giá chào 1xx tỷ, có thương lượng. - Liên hệ: 0915126183 em Sơn để gặp chính chủ xem đất.",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830604.8981826, 4,,,,,
"8,5 tỷ VNĐ","Lê Hồng Phong, Hà Đông, Hà Nội", 45m2," # Có 102 bán nhà Lô Góc, mặt phố phường Nguyễn Trãi, Hà Đông, vỉa hè, ô tô tránh, kinh doanh sầm uất, nhà mới ở ngay, DT 45/70m. 4T, mt 14m. Giá chỉ 8.5 tỷ. + Vị trí  thoáng đẹp, đắc địa kinh doanh, gần chợ Hà Đông trung tâm phố cổ mở cửa là có tiền. + Hiên trạng nhà mới, 3 măt thoáng, khung cột chắc, thiết kế hiện đại đầy đủ công năng. T1 phù hợp kinh doanh nhiều loại hình. + Giá 8.5 tỷ. + Sổ vuông đỏ đẹp, chính chủ sẵn sàng giao dịch. + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 # LH SĐT: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830606.144846, 14, 4, 3,,, 8
"14,2 tỷ VNĐ","Yên Xá, Tân Triều, Thanh Trì, Hà Nội.", 120m2," # Cần bán đất khu phân lô, ô tô tránh, Yên Xá, Tân Triều, Thanh Trì. DT 120m, Giá chỉ 14.2 tỷ ( Có Thương Lượng ).  + Vị trí đắc địa kinh doanh, đẹp, hiếm, tiềm năng, tại đường Yên Xá, Tân Triều, Thanh Trì, Hà Nội.  +  Đường trước nhà ô tô tải tránh, dân trí cao, khu vực đang phát triển chóng mặt, giá trị ngày càng tăng cao.  + Gần ngay viện 103, viện Bỏng, viện K Tân Triều, rất tiện ích và tiềm năng, khi đường Phùng Hưng mở rộng chạy thẳng ra QL1. thông nối đường Xa La, Nguyễn Xiển ra trung tâm Thành Phố.  + Hiện trạng nhà như đất, Chủ mới mua về xây tòa nhà 7T làm Văn Phòng, hay CCMN vừa ở vừa cho thuê hái ra tiền.   + Chủ làm kinh doanh cần gấp số tiền lớn lên rất cần bán gấp, bán nhanh cho khách thiện trí.  + Giá 14.2 tỷ ( Qũy đất hạn hẹp, hiếm có khó tìm, giá bán linh động ).  + Sổ vuông đỏ chính chủ, pháp lý chuẩn, sang tên nhanh.  + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 tỷ.  # LH SĐT: 0906113879 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất ).",10/03/2022,Tin thường,batdongsan_so_com_vn_1673830607.2478971,,,,,, 10
"14,9 tỷ VNĐ",Võ Thị Sáu Hai Bà Trưng Hà Nội, 56m2,"+ Khu vip, đẳng cấp đại gia sống. + Cần bán nhà Võ Thị Sáu, quận Hai Bà Trưng, nhà view hồ vị trí rất đẹp, xây 5 tầng đẹp như khách sạn trên Hồ Tây. + Khu kinh doanh, ô tô dừng đỗ ngày đêm, ở hay kinh doanh đều sướng. + Thiết kế nhà mỗi tầng 2 phòng ngủ rộng rãi, tầng nào cũng có ban công, không gian chill cho mỗi ngày đi làm về cần thư giãn. + Giá : 14 tỷ 900 triệu. ( Thương lượng ) + Ai thiện trí vui lòng LH trực tiếp: Minh Quang 0327085656 ( để biết thêm thông tin chi tiết )",09/03/2022,Tin thường,batdongsan_so_com_vn_1673830608.3319962,, 5, 5,,,
"9,5 tỷ VNĐ",Kim Ngưu Hai Bà Trưng Hà Nội, 35m2,"+ Thiện chí cần bán nhà mặt phố Kim Ngưu, quận Hai Bà Trưng, vị trí gần Trần Khát Chân, đoạn đẹp nhất không có view sông. + Vị trí đẹp, kinh doanh sầm uất, được xây dựng 5 tầng, mặt tiền rộng 5 mét cực đẹp. + Giá : 9 tỷ 500 triệu ( có ra lộc ) + Ai thiện trí vui lòng LH trực tiếp: Minh Quang 0327085656 ( để biết thêm thông tin chi tiết )",09/03/2022,Tin thường,batdongsan_so_com_vn_1673830609.526799, 5, 5, 3,,,
"2,58 tỷ VNĐ",Trương Định - Hà Nội, 50m2,"NHÀ GÌ MÀ RẺ THẾ!!! MUA NHANH CÒN KỊPChủ là giảng viên đại học, bán để chuyển sang nhà to hơn,+ Ngõ trước nhà OTO đỗ rộng rãi, sạch đẹp, thông gắp ngả, cực thoáng sáng, sát nhà có sân chơi ngõ thông tứ tung thuận tiện đi mọi ngả + Nhà xây 3 tầng, thiết kế kiên cố vững chắc, thoáng sáng vô cùng.Vị  trí không thể đẹp hơn thuận tiện đi mọi ngả ra Đống Đa , Hai Bà Trưng, Hoàng Mai……..+Nhà thuộc khu phân lô dân trí cao sổ đỏ vuông đét cất két luôn sẵn sàng giao dịch giá chào 2.58  tỷ chủ nhà cực kỳ thiện trí gia lộc cho khách hữu duyên.Chi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Phương châm làm việc :- Bán nhà bằng cái tâm và cái tầm.- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",09/03/2022,Tin thường,batdongsan_so_com_vn_1673830610.6009269,,,,,,
