price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Lộ giới,Số toilet,Hướng
4 tỷ VNĐ,"Phường Văn chương, Đống đa", 66m2,,"+ Chính chủ cần bán đất gần Phố Tôn Đức Thắng, Đống Đa, Vị trí thoáng, vài bước ra hồ Văn Chương, diện tích 66m2, mặt tiền 4,m, . + Nhà Trung tâm quận Đống Đa,  thông phố Tôn Đức Thắng, tiện lợi ra Quốc tử Giám, ra ngã 5 Ô Chợ Dừa, đi đâu cũng tiện. + Gần chợ, siêu thị tiện ích, bệnh viện, hồ sinh thái, khu vui chơi, giải trí, thuận lợi kinh doanh online, Xây nhà cho thuê, cách trường học các cấp chỉ vài phút đi bộ. + Sổ đỏ đẹp, sẵn sàng giao dịch + Giá thoả thuận + Liên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7. ĐT: 0913 220 691.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825482.7780335, 4,, 2,,
"3,5 tỷ VNĐ",279 Hoàng Mai - Hoàng Văn Thụ - Hà Nội, 78m2,,"☄️☄️☄️ SIÊU PHẨM #ZEN_TOWER phong cách 5🌟 💎 Toà tháp căn hộ “Hàng hiệu“, #Đẳng_Cấp - #Sang_Trọng bậc nhất dự án Feliz Homes❗️ --------------🔹------------— ✅ 𝐃𝐢𝐞̣̂𝐧 𝐭𝐢́𝐜𝐡 𝐜𝐚̆𝐧 𝐡𝐨̣̂ đ𝐚 𝐝𝐚̣𝐧𝐠: 🏡 Căn Hộ 1PN: 45m2 GIÁ TỪ 1,9 TỶ 🏡 Căn Hộ 2PN: 64-73-78m2 GIÁ TỪ 2,7 TỶ 🏡 Căn Hộ 3PN: 90-114m2 GIÁ TỪ 4,1 TỶ --------------🔹------------— 🎁𝐔̛𝐔 Đ𝐀̃𝐈 Đ𝐀̣̆𝐂 𝐁𝐈𝐄̣̂𝐓 𝐂𝐇𝐈́𝐍𝐇 𝐒𝐀́𝐂𝐇 Đ𝐎̛̣𝐓 Đ𝐀̂̀𝐔: 💥Chiết khấu ngay 2% KPBT + 1 năm phí dịch vụ 💥Chỉ cần thanh toán trước 10%. 💥Hỗ trợ vay tới 75% GTCH, lãi suất 0% trong 18 tháng, ân hạn nợ gốc --------------🔹------------— ✨Vị trí đắc địa: ĐẤT VÀNG ""QUẬN HOÀNG MAI"": 🔻Sát kề đường Minh Khai sầm uất - Kết nối tuyến đường vành đai 2,5 Tân Mai, Kim Đồng, Tam Trinh 🔻Kế cận vành đai 2 - Bắt nhịp nhanh chóng với xu thế dịch chuyển tương lai. 🔻Phong cách Resort giữa lòng Hà Nội --------------🔹------------— ✨✨✨𝐃𝐢̣𝐜𝐡 𝐯𝐮̣ 𝐭𝐢𝐞̣̂𝐧 𝐢́𝐜𝐡 đẳng cấp! 🔰Thiết kế căn hộ cảm hứng 5 sao sang trọng. 🔰Sảnh lễ tân kiến trúc khách sạn. 🔰Bể bơi, hồ cảnh quan ngay chân tòa nhà 🔰Phòng tập Gym ngoài trời 🔰Lối dạo bộ, vườn cây 🔰Nhà đỗ xe cơ khí 6 tầng 🔰Khu vui chơi trẻ em, TTTM 5000m2 --------------🔹------------— 🌳FELIZ HOMES - XANH MÁT NGHỈ DƯỠNG – TRỌN VẸN TIỆN NGHI🌳 ☎️ 𝐇𝐨𝐭𝐥𝐢𝐧𝐞 𝐏𝐊𝐃 𝐂Đ𝐓: 090.22.69.222 / 0944570096 🏡 Địa ch",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825483.7155128,, 2,, 2, Tây
"1,9 tỷ VNĐ",Đường Hồng Mai phường Bạch Mai, 20m2, 4," Nhà xây 4 tầng chắc chắn,
 diện tích sổ 14m2, tầng 1 thực tại xây 16m2, từ tầng 2 đua 20m2/sàn, mặt tiền rộng 4.8m, sổ nở hậu.
 Ngõ vào nhà rộng, nông, cách mặt phố Hồng Mai chỉ 20m.
 Thiết kế tầng 1: Khu bếp + để xe.
 Tầng 2 + 3: Tổng có 2 phòng ngủ + WC.
 Tầng 4: Phòng ngủ, sân phơi.
",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825484.8564613,, 2, 2, 1,
33 triệu VNĐ/m2,"Khu Đô Thị Ciputra, Đường Võ Chí Công, quận Tây Hồ, Hà Nội", 168m2,,"CẦN BÁN GẤP CĂN HỘ 3PN2WC FULL ĐỒ LIỀN TƯỜNG ( CĂN GÓC CÓ THỂ ĐI XEM ĐƯỢC NHÀ LUÔN )Giá yêu thương chỉ 5,550 tỷ bao mọi chi phíDiện tích : 168,1mHướng : Đông BắcLiên hệ: 0977568223 hoặc ib trực tiếp để được hỗ trợ tư vấn và xem nhà",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825485.979462,, 3,, 2, Tây nam
"7,8 tỷ VNĐ",Tô Vĩnh Diện, 60m2, 4,"+ Vị trí cực đẹp, ngõ chính phân lô vỉa hè ôtô tránh. + Nhà cách mặt ngõ 20m, trước nhà ba gác đua, thông thoáng, văn minh. + Nhà 4 tầng mát mẻ, ở cực sướng. + Thiết kế mỗi tầng 2 phòng, tổng 4 phòng ngủ. + Cạnh Ngã Tư Sở giao thông vô cùng thuận lợi. + Sổ đỏ chính chủ, sẵn sàng giao dịch- gọi ngay em Đại-0963883403.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825487.0904841, 4, 4,,,
"15,8 tỷ VNĐ",Hà Nội, 86m2,,"Bán nhà Giảng Võ mặt tiền rộng, đường ô tô tải, thang máy rất tiện kinh doanh.Nhà gần chợ, trường học, bệnh viện, các phố Láng Hạ, Hào Nam, Cát Linh, Kim Mã, Liễu Giai... + Nhà sổ đỏ chính chủ, vuông vắn. + Chủ xây để ở nên xây dất cẩn thận, chắc chắn và bố trí rất hợp lý. + Diện tích 86 m2, 7 tầng thang máy, nội thất thiết kế hiện đại: - Tầng 1: Gara để xe, kinh doanh, vệ sinh. - Tầng 2, 3, 4, 5, 6: Nhiều phòng, vệ sinh. - Tầng 7: Phòng thờ, sân phơi.Giá chào chỉ 15.8 thương lượng rất nhiều.Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng sang tên.Chủ nhà rất thiện chí giao dịch.Liên hệ ngay em Thanh - 0366 555 258.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825488.1237206,,,,,
"4,7 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 47m2, 5,"Diện tích sổ đỏ: 47m2. Mặt tiền: 4.5m Nhà xây 5 tầng mới đẹp, thiết kế hiện đại, đầy đủ công năng. Chủ nhà lắp đặt nội thất toàn bộ đồ nhập khẩu sang trọng, long lanh. Khách mua về chỉ dọn đến ở ngay. + Tầng 1: Phòng khách + Bếp+ WC. + Tầng 2: Phòng rộng khép kín (làm văn phòng hoặc 1 phòng Master). + Tầng 3,4: Mỗi tầng 2 phòng ngủ + WC. + Tầng 5: Phòng thờ + Sân phơi. Nhà nằm ở vị trí cực đẹp, ngay sát chân Cầu Long Biên, cách Mipec Long Biên 300m. Lô góc 2 mặt thoáng vĩnh viễn. Không gian trước nhà cực thoáng.  Từ nhà ra chỗ đỗ ô tô chỉ 50m, ngõ thông thoáng xe 3 gác, xe chở vật liệu xây dựng đỗ cửa. Khu dân trí cao, an ninh đảm bảo. Giá: 4.8 tỷ (Có thương lượng -Miễn trung gian và quảng cáo). Liên hệ xem nhà miễn phí :Mr Hiếu- 0338922923",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825489.403297, 5, 3, 3, 4,
"3,4 tỷ VNĐ",ngõ 454 Minh Khai, 33m2, 3,"Bán nhà ngõ 454 Minh Khai, Vĩnh Tuy Hai Bà Trưng, Hà Nôị .DT 33mx4T , ô tô đỗ cách nhà 5m. được thiết kế bao gồm:- Tầng 1: Bếp+ khách+ wc khép kín-Tầng 2: tầng lửng 1 phòng ngủ -Tầng 3: 2 phòng ngủ vệ sinh giữa -Tàng 4: tum , sân phơiTrước nhà 2 xe máy tránh nhau thoải mái cách đường ô tô 5m gần Times city, sát Greenpeal, cách cụm các trường đại học lớn như ĐH Bách Khoa, ĐH Xây Dựng, KTQD, bệnh viện tuyến đầu như Bạch Mai chỉ 1 km - Sổ đỏ chính chủ, pháp lý rõ ràng.Giá chào 3.4 tỷ ( Có thương lượng cho khách thiện chí) liên hệ chị yến ĐT:0702138238",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825490.490389, 3, 3, 3, 1, Tây
4 tỷ VNĐ,Phố Hoàng Đạo Thành-Phường Kim Giang, 63m2, 4,"+Gia chủ đã mua nhà mới nên bán gấp nhà siêu hiếm tại Kim Giang - Thanh Xuân.+Vị trí đắc địa, thông thương sang nhiều tuyến đường lớn: Nguyễn Xiển, Khương Đình, Nguyễn Trãi.+Vị trí đỉnh, gần Royal City, gần các trường Đại học lớn và Trường học các cấp, bệnh viện, bãi xe ô tô cách gần 100m và rất gần chợ Kim Giang.+Nhà mới toanh, ngõ cực rộng, ba gác đua, dân trí cao, an ninh tốt, rất đáng sống.+Căn nhà với thiết kế hiện đại, nội thất cao cấp, nhà chủ xây để ở rất tâm huyết, kiên cố, chắc chắn.+Pháp lý chuẩn, sổ đỏ vuông đẹp, sang tên nhanh, sẵn sàng dao dịch.+Giá thỏa thuận.+LH: Mr. Hoan – chuyên thổ cư Hà Nội, 0925088355, hỗ trợ tư vấn pháp lý, phong thủy, vay vốn ngân hàng, miễn phí xem nhà 24/7.",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825491.4927108, 5, 4,,,
"4,6 tỷ VNĐ",460 Khương Đình - Thanh Xuân - Hà Nội, 35m2, 5,"CHÍNH CHỦ BÁN NHÀ NGÕ 460 KHƯƠNG ĐÌNH – THANH XUÂN, 5 TẦNG NGÕ THÔNG Ô TÔ, 4.6 TỶ Chính chủ bán nhà 5 tầng 3 ngủ, nội thất xịn, chỉ việc về ở Ngõ 460 Khương Đính to hơn phố. Ô tô nhỏ đỗ cửa. Nhà cách ô tô tránh, dừng đỗ ngày đêm 10m. Thông Hoàng Đạo Thành. Thuận tiện đi Nguyễn Xiển, Nguyễn Trãi, Ngã Tư Sở ... Khu vực tiện ích đầy đủ. Sát khu FiveStar Garden Kim Giang, trường Tiểu học, THCS Hạ ĐÌnh, hồ Hạ ĐÌnh, chợ Kim Giang Sổ đỏ chính chủ, sẵn sàng giao dịch, thương lượng trực tiếp Liên hệ: 0918120568",10/05/2022,Tin thường,batdongsan_so_com_vn_1673825492.645629, 4, 3,, 4,
