price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng
"15,2 tỷ VNĐ","Nguyễn Lương Bằng,Đống Đa,Hà Nội", 44m2,,,,,"Bán mặt phố Nguyễn Lương Bằng,DT 44m x 2 tầng,vỉa hè rộngCần bán gấp nhà mặt phố Nguyễn Lương Bằng,Đống ĐaDiện tích 44m x 2 tầng,mặt tiền 4.60m Vị trí miễn bàn nhà 2 tầng cũ xác định bán đất.Chẳng có gì miêu tả nhiều,nhà 2 mặt thoángSổ đỏ vuông vắn pháp lý sạch sẵn sàng giao dịch.Sổ đỏ chính chủ,giao dịch ngay Giá 15.2 tỷ có thương Liện hệ : Tùng BĐS 0981 669 144 - Chuyên nhà đất thổ cư Hà Nội",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827588.0294282,
"8,1 tỷ VNĐ","Ngọc Thụy,Long Biên,Hà Nội", 80m2,,,,,"Bán nhà riêng đường Ngọc Thuỵ,DT 80m x 3 tầng,ô tô vào nhàCần bán nhà mặt ngõ 78 Ngọc Thuỵ,Long Biên Diện tích 80m x ây 3 tầng ,mặt tiền 4m Vị trí cực đẹp đường trước nhà ô tô vào nhà, cách 100m ra mặt phố Ngọc Thụy Khu vực dân trí cao nên an ninh rất tốt, hàng xóm rất thân thiện. Diện tích sổ 80m, xây nhà 60m, trên đua ra 65m, để lại 20m làm sân trước, sân sau.Tầng 1: Sân, Phòng khách, bếp, và vệ sinh.Tầng 2: 02 phòng ngủ, 01 Vệ sinhTầng 3: 01 ngủ, sân phơi.Nhà xây để ở, khá đẹp, thoáng trước, thoáng sauSổ đỏ chính chủ,giao dịch ngay Giá 8.1 tỷ có thương lượng Liện hệ : Tùng BĐS 0981 669 144 - Chuyên nhà đất thổ cư Hà Nội",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827589.275104,
"7,5 tỷ VNĐ",Phố Quan Nhân, 55m2, 4, 5,,,"+ Mặt hồ an sinh đỉnh, ngõ thông ngõ, kinh doanh tốt. + Trước nhà ô tô tránh xe máy thoải mái. + Nhà 5 tầng chắc chắn, cầu thang giữa, mỗi tầng 2 phòng. + Sổ đỏ nở hậu sẵn sàng giao dịch. + Chủ thiện chí. Liên hệ e Đại 0963883403 để được tư vấn và xem nhà miễn phí.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827590.2554414,
"8,3 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 75m2, 6, 4, 3,,"""DUY NHẤT 150 CĂN SHOPHOUSE SƠN ĐỒNG CENTER - HOÀI ĐỨC Chỉ từ 75 triệu/m2 sở hữu Shophouse Hà Nội ĐÓN ĐẦU quy hoạch Hoài Đức lên Quận trước năm 2023 Tâm điểm vàng đường SONG PHƯƠNG Bàn giao 4 tầng hoàn thiện mặt ngoài Pháp lý minh bạch, SỔ ĐỎ lâu dài Hỗ trợ lãi suất 0% trong 12 tháng Tặng 5 chỉ VÀNG 9999 """,15/04/2022,Tin thường,batdongsan_so_com_vn_1673827591.312615, Đông bắc
"3,366 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 85.67m2,,, 2, 2,"Loại căn hộ: 2N, 3N, 4NGiá cam kết rẻ nhất khu vực Tây HồMiễn 2 năm phí dịch vụChiết khấu 3-4%Quà tặng nội thất 30tr",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827594.6082375, Đông nam
"1,3 tỷ VNĐ","MUA NHÀ LIỀN TAY, RINH NGAY TRỌN BỘ NỘI THẤT CƠ BẢN - 0522221993", 30m2,,,,,"MUA NHÀ LIỀN TAY, RINH NGAY TRỌN BỘ NỘI THẤT CƠ BẢN - 0522221993 Toàn bộ hơn 200 trăm căn nhà ven Hà Đông có giá chỉ từ 1,3 TỶ ĐỒNG sẽ được tặng kèm một bộ nội thất cao cấp CHỈ TRONG THÁNG 4 NÀY! -------------------------------- Cách trung tâm Hà Đông chỉ vài phút đi xe, các khu nhà EAGLE HOUSE ngày càng được săn đón nhiều hơn khi ra mắt bởi vị trí đẹp, đủ công năng nhưng giá thành cực kì dễ chịu. - Diện tích 30-45m, xây 3 tầng/ 4 TẦNG - Thiết kế hiện đại, trẻ trung - Công năng đầy đủ: phòng khách, bếp, 3 phòng ngủ, 2 phòng vệ sinh, phòng kho, sân phơi,… - Sổ đỏ chính chủ, sang tên ngay - Gần các tiện ích: trường học, chợ, uỷ ban, nhà văn hoá,.. - Oto đỗ ngay trước cửa hoặc cách nhà 5-10m (tuỳ khu nhà) - Giá chỉ từ 1,3 tỷ nhà đã hoàn thiện, chỉ cần mang đồ về ở (KHÔNG PHÁT SINH THÊM CHI PHÍ, BAO SANG TÊN) - Ngân hàng cho vay tới 60% giá trị nhà - Tặng ngay trọn bộ nội thất cao cấp  Hãy nhanh tay đăng kí để nhận tư vấn nhận khuyến mãi sớm nhất! ------------------------------ EAGLE HOUSE hứa hẹn là nơi an cư lý tưởng cho mọi gia đình Hotline: 0522221993      http://www.sanbatdongsanviet.com.vn",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827595.9636078,
"6,35 tỷ VNĐ",Quang Trung- Hà Đông, 58m2,, 5,,,"HÀNG ĐỘC! Quang Trung, Hà Đông, phân lô, vỉa hè, ô tô tránh, 58m, nhỉnh 6 tỷ Người thân gửi bán gấp nhà đẹp 5 tầng thoáng sáng đầy đủ công năng sử dụng. Nhà tự xây khung cột chắc chắn, khu vực văn minh, sầm uất. Đường thông hè thoáng ô tô chạy vòng quanh, vỉa hè kinh doanh, hoặc vừa ở vừa làm văn phòng quá tuyệt, xung quanh nhiều văn phòng, quán xá sầm uất như phố. Bán kính xung quanh các chợ, siêu thị, trường học, ngân hàng, khu vui chơi, bệnh viện,..không thiếu thứ gì, tiện ích ngút ngàn. Giao thông di chuyển các hướng: Yên Nghĩa, Lê Trọng Tấn, Văn Phú, Văn La, Phan Đình Giót, Ngô Thì Nhậm,.... nhà đẹp khu hiếm. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.35 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827596.8482037,
"6,4 tỷ VNĐ",Chiến Thắng- Hà Đông, 60m2,,,,,"GẤP! NHỈNH 6 TỶ, 60m, kinh doanh, văn phòng, ô tô tránh, vỉa hè, Chiến Thắng, Hà Đông Phố Chiến Thắng- Hà Đông khu vực sầm uất bậc nhất Hà Đông, dân đông, phố rộng hè thoáng, vài bước ra hồ, hưởng trọn lợi ích của Khu đô thị Văn Quán. Bán kính xung quanh tiện ích ngút ngàn: Siêu thị, chợ, trường đại học lớn, trục chính di chuyển thuận lợi: Nguyễn Khuyến, Nguyễn Văn Lộc, Mỗ Lao, Ao Sen, Trần Phú, Triều Khúc, Thanh Xuân, Đại An,.... Nhà có vị trí đắc địa hiếm có khó tìm, ô tô chạy vòng quanh, vỉa hè, phân lô hơn 6 tỷ tìm đâu ra phù hợp vừa ở vừa làm văn phòng, các tầng thoáng sáng, chủ tự xây tâm huyết bán đi rất tiếc. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.4 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827597.8944054,
"6,4 tỷ VNĐ",Chiến Thắng- Hà Đông, 60m2,,,,,"GẤP! NHỈNH 6 TỶ, 60m, kinh doanh, văn phòng, ô tô tránh, vỉa hè, Chiến Thắng, Hà Đông Phố Chiến Thắng- Hà Đông khu vực sầm uất bậc nhất Hà Đông, dân đông, phố rộng hè thoáng, vài bước ra hồ, hưởng trọn lợi ích của Khu đô thị Văn Quán. Bán kính xung quanh tiện ích ngút ngàn: Siêu thị, chợ, trường đại học lớn, trục chính di chuyển thuận lợi: Nguyễn Khuyến, Nguyễn Văn Lộc, Mỗ Lao, Ao Sen, Trần Phú, Triều Khúc, Thanh Xuân, Đại An,.... Nhà có vị trí đắc địa hiếm có khó tìm, ô tô chạy vòng quanh, vỉa hè, phân lô hơn 6 tỷ tìm đâu ra phù hợp vừa ở vừa làm văn phòng, các tầng thoáng sáng, chủ tự xây tâm huyết bán đi rất tiếc. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.4 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827599.0712693,
"6,35 tỷ VNĐ",Quang Trung- Hà Đông, 58m2,, 5,,,"HÀNG ĐỘC! Quang Trung, Hà Đông, phân lô, vỉa hè, ô tô tránh, 58m, nhỉnh 6 tỷ Người thân gửi bán gấp nhà đẹp 5 tầng thoáng sáng đầy đủ công năng sử dụng. Nhà tự xây khung cột chắc chắn, khu vực văn minh, sầm uất. Đường thông hè thoáng ô tô chạy vòng quanh, vỉa hè kinh doanh, hoặc vừa ở vừa làm văn phòng quá tuyệt, xung quanh nhiều văn phòng, quán xá sầm uất như phố. Bán kính xung quanh các chợ, siêu thị, trường học, ngân hàng, khu vui chơi, bệnh viện,..không thiếu thứ gì, tiện ích ngút ngàn. Giao thông di chuyển các hướng: Yên Nghĩa, Lê Trọng Tấn, Văn Phú, Văn La, Phan Đình Giót, Ngô Thì Nhậm,.... nhà đẹp khu hiếm. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.35 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",15/04/2022,Tin thường,batdongsan_so_com_vn_1673827600.1124716,
