price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới
20 tỷ VNĐ,Nguyễn Du - Hai Bà Trưng, 88m2,, 10, 10,,"Bán tòa nhà kinh doanh phố Nguyễn Du, Hai Bà Trưng 88m, 11 tầng, nhỉnh 20 tỷ. Vị trí: Phố Nguyễn Du – Hai Bà Trưng ngã 3 ba quận Hoàng Kiếm – Đống Đa – Hai Bà Trưng. Ưu điểm: Tòa nhà rộng cực đẹp với 88m, 11 tầng, 18 phòng, doanh thu trên 200tr/tháng, tất cả nội thất còn như mới, đầy đủ hiện đại, thang máy xịn, chủ mới tiếp tục khai thác vận hành. Tiện ích: Vị trí ngã 3 ba quận trung tâm Hai Bà Trưng – Đống Đa – Hoàn Kiếm, gần hồ Thiền Quang, gần công viên Thống Nhất, Ga Hà Nội, khạch sạn 5 sao du PARC HANOI, khách sạn 3 sao Công Đoàn Việt Nam, Cung hữu nghị Việt – Xô, chỉ 3 phút di chuyển đến Vincom Bà Triệu, di chuyển hồ Hoàn Kiếm chỉ 5 phút, Phố Cổ Hoàn Kiếm chỉ 8 phút…vv Giao Thông: Nguyễn Du, Trần Bình Trọng, Trần Nhân Tông, Lê Duẩn , Lý Thường Kiệt, Quán Sứ,…vv, Pháp lý: Sổ đỏ đẹp chính chủ sẵn sàng giao dịch. Lh: Mr Hoàng 0902253303. Miễn trung gian môi giới.",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833392.1551578,,
,Hoa lạc thạt thất hà nội, 150m2, Tây nam,,,,"Chính chủ cần bán lô đất đẹp vùng lõi công nghệ cao hòa lạc , hn. đất áp 2 đầu ve, mặt tiền 15m Diên tích 150m2 vuông vắn, vỉa hè 3m lòng đường 7m . Xây nhà ở , khách sạn, nhà hàng đều đẹp, đi vào nội đô oto chỉ mất 20 phút .Giá rẻ cho nhà đầu tư. 0917355226",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833394.113822, 15,
"11,5 tỷ VNĐ","KĐT Đinh Công, Hoàng Mai, Hà Nội", 82m2,,,,,"Chính Chủ Bán Nhà liền kề KĐT mới Định Công, Dt 82m*4t,  giá 11.5 tỷ.+ Đường trước nhà rộng, có 2 vỉa hè. Ô tô đỗ, tránh nhau thoải mái. + Nhà xây dựng chắc chắn, thiết kế hiện đại.- Tầng 1: Phòng khách, bếp & phòng ăn. - Tầng 2,3: Mỗi tầng 2 phòng ngủ rộng, wc khép kín. - Tầng 4: Phòng thờ, sân phơi. + Nhà gần bệnh viện Bưu Điện, trường học, chợ, gần đường 2,5, gần trục đường chính Giải Phóng, Trường Chinh, Lê Trọng Tấn, Đại Kim, Linh Đàm nên không bao giờ lo tắc.+ Liên hệ: Thành 0912525146.",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833396.574411,,
"3,35 tỷ VNĐ","VÂN canh ,hoài đức", 68m2,,,,,"Nhà 4 tầng rộng rãi xây trên diện tích 55m2, còn 13m2 làm sân để xe sạch sẽ, an ninh. Bố trí công năng hợp lý tạo sự thoải mái cho mọi sinh hoạt sống với 4 phòng ngủ rộng. Đường vào sạch sẽ, ngõ siêu rộng, cách ô tô chỉ mấy chục mét. Nhà rất gần đường 422B Vân Canh, giao thông thuận tiện khắp ngả Phương Canh, Xuân Phương, Trịnh Văn Bô, Mỹ Đình. Xung quanh tiện ích phong phú khi gần KĐT Vân Canh, trụ sở chính quyền, trường học các cấp, chợ dân sinh. Là khu vực dân cư đông đúc, tiềm năng lớn khi Hoài Đức sắp lên quận, Giá chào chỉ 3 tỷ 350 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn từ A->Z và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833398.5937915,,
"6,5 tỷ VNĐ","Bán nhà ngõ 299 Hoàng Mai, Bán nhà ngõ 158 Tân Mai, Bán nhà ngõ 120 Tân Mai", 72m2, Nam,,,,"Bán  mảnh đất   ngõ 299 Hoàng Mai, Hoàng Văn Thụ, Hà Nội DT 72 m2  mặt tiền 4.06m.chủ nhà đã xây xong móng và có giấy phép xây dựng 5 tầng có đầy đủ hồ sơ thiết kế .Khu phân lô ô bàn cờ, dân trí cao, an ninh tốt, hưởng đầy đủ tiện ích của khu đô thị đền lừ: hồ nước, công viên, trường học, khu vui chơi giải trí, nhà hàng ô tô đỗ cách nhà 30m gần nhiều trường Đại Học lớn như Bách Khoa, Xây Dựng, Kinh tế, gần nhiều bệnh viện lớn. khu dân trí caoSổ đỏ chính chủ, pháp lý rõ ràngGiá bán 6.5 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238 ",04/01/2022,Tin thường,batdongsan_so_com_vn_1673833400.6284635, 4, 3
"6,5 tỷ VNĐ","Bán nhà ngõ 299 Hoàng Mai, Bán nhà ngõ 158 Tân Mai, Bán nhà ngõ 120 Tân Mai", 72m2, Đông, 1, 1, 1,"Bán  mảnh đất ngõ 299 Hoàng Mai, Hoàng Văn Thụ, Hà Nội DT 72 m2  mặt tiền 4.06m.chủ nhà đã xây xong móng và có giấy phép xây dựng 5 tầng có đầy đủ hồ sơ thiết kế .Khu phân lô ô bàn cờ, dân trí cao, an ninh tốt, hưởng đầy đủ tiện ích của khu đô thị đền lừ: hồ nước, công viên, trường học, khu vui chơi giải trí, nhà hàng ô tô đỗ cách nhà 30m gần nhiều trường Đại Học lớn như Bách Khoa, Xây Dựng, Kinh tế, gần nhiều bệnh viện lớn. khu dân trí caoSổ đỏ chính chủ, pháp lý rõ ràngGiá bán 6.5 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238 ",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833403.0475543, 4, 2
"15,5 tỷ VNĐ","Bán nhà ngõ 128C Đại La, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 259 phố Vọng", 80m2, Nam, 7, 10, 10,"Bán tòa chung cư mini 7 tầng thang máy ngõ phố Trần Đại Nghĩa,Đồng Tâm Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ mini, mỗi căn hộ gồm 1 phòng ngủ + 1 phòng khách + 1 bếp + phòng tắm + ban công thoáng.Nội thất hoàn thiện đầy đủ 100%, khách chỉ cần xách vali đến ở: mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833405.5187252, 6, 3
"46,9 tỷ VNĐ",KĐT mới Cầu Giấy, 210m2,, 4,,,"Cực hiếm, chủ ra nước ngoài định cư. Nhờ bán căn biệt thự 4 tầng cực VIP. Biệt thự thiết kế thang máy, mặt tiền rộng. Oto đỗ cửaDiện tích: 210m2 x 4 tầng, mặt tiền 10m.Giá: 46.9 tỷ (còn thương lượng, làm việc trực tiếp chủ nhà).Biệt thự khu VIP - Gara oto - cạnh công viên cầu giấy - Gần đại sứ quan Mỹ -Liên hệ xem nhà và nhận thông tin chi tiết: 0981367887Giao thông kết nối : Trương Công Giai , Khúc Thừa Dụ . Cách Công Viên Công Giấy 500m , Cách Đại Sứ Quán Mỹ 500m . Nơi mà nhiều người đang săn tìm khu vực gần Đại Sứ Quán Mỹ .- Thửa đất vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch.",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833408.1669645, 10, 11
10 tỷ VNĐ,Phố Nguyễn Văn Trác, 75m2,, 6, 5, 5,"MẶT ĐƯỜNG 22M, VỈA HÈ RỘNG, THANG MÁY NHẬP KHẨU, KINH DOANH - ĐẦU TƯ TIỀM NĂNG + Chính chủ bán Shophouse KĐT Đô Nghĩa, phường Yên Nghĩa, quận Hà Đông, Hà Nội. + Liên hệ để biết giá tốt nhất : 0902.08.31.39 Diệ tích 75 m2 Nhà xây 6 tầng, Thang máy nhập. Mặt tiền rộng 5m, vỉa hè 3m. Vị trí Kinh Doang Đỉnh. + KĐT Đô Nghĩa đang phát triển mạnh trong 2 năm tới, nhà mặt đường 22m, vỉa hè kinh doanh tốt, nhà gần KĐT Dương Nội, trường đại học quốc tế PHENIKAA, KĐT Park City Hà Nội, AEON Hà Đông… + Nhà xây 6 tầng đẳng cấp, hiện đại, chủ nhà là chủ doanh nghiệp thiết kế nội thất dự án lớn, khách xem là mê: - Tầng 1: Kinh doanh - Tầng 2,3,4: Mỗi tầng 2 phòng. - Tầng 5: Phòng khách, bếp. - Tầng 6: Phòng thờ, sân vườn tiểu cảnh góc Cafe view toàn thành phố. + Pháp lý : Sổ đỏ chính chủ sẵn sàng giao dịch + Liên hệ xem nhà: 0902.08.31.39  ",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833410.377875, 5,
115 tỷ VNĐ,Hồ Tây, 350m2,, 6,,,"Chủ ra nước ngoài định cư, cần nhượng lại căn biệt thư siêu đẳng cấp mặt phố chính Q. Tây Hồ. Nhà 2 mặt phố, căn biệt tự 6 tầng thang máy, mặt tiền cực lớn.Biệt thự 6 tầng, Phong cách hiện đại hiện đang cho thuê tầng 1 và 2 làm nhà hàng cao cấp. Doanh thu 90 triệu/thángDiện tích: 350m2 x 6 tầng, mặt tiền 17mGiá: 115 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)BIỆT THỰ 2 MẶT PHỐ THÔNG NHAU - THANG MÁY - MẶT TIỀN LỚN - KINH DOANHLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất vuông đẹp nở hậu, sổ pháp lý chuẩn cất két chờ giao dịch",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833412.3893173, 17, 21
