price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Hướng
17 tỷ VNĐ,"Hào Nam, Đống Đa, Hà Nội", 50m2, 4,, 7,,"CHÍNH CHỦ NHÀ ĐẸP PHỐ HÀO NAM TRUNG TÂM ĐỐNG ĐA - MỚI KOONG - THANG MÁY - THÔNG SÀN - Ô TÔ ĐỖ CỬA - SÁT PHỐ - KD ĐỈNH.+ Vị trí cực đẹp, đường trước nhà ô tô tránh, vỉa hè, gần sát phố, ngay ngã tư Hào Nam - Cát Linh - Giảng Võ - Vũ Thạnh.+ Khu phân lô đất đẹp dân trí cao, an sinh đỉnh, đường trước nhà rộng 6m, 20 m ra phố Hào Nam, tiện ích ngập tràn, quy hoạch yên tâm.+ Nhà 7 tầng mới tinh vừa hoàn thiện xong, thiết kế hiện đại thông sàn, thang máy nhập êm ru, nội thất xịn sò, bếp tk trên tầng 6.+ Giá Chỉ Nhỉnh 17 Tỷ, Sổ Đỏ Chính Chủ Cần Bán Gấp.+ Liên Hệ Ngay 983438681, 0911609234 Phùng Diện – Chuyên Thổ Cư.",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808608.2635763,,
"5,5 tỷ VNĐ",Đường Kim Giang phường Đại Kim, 60m2, 5, 10, 4, 5,"
    Nhà Phố KIM GIANG với cơ hội kinh doanh cực lớn, có thể kinh doanh rất nhiều mặt hàng như siêu thị mini, hiệu thuốc, tiệm nail, quán ăn, nhà nghỉ...vv và mây mây đảm bảo dòng tiền hàng tháng. Nhà được xây với kết cấu chắc chắn, theo phong cách hiện đại, thoáng mát lung linh. Công năng sử dụng đảm bảo cho Gia đình 3 thế hệ quần tụ yêu thương. An ninh và dân trí nét căng, không bao giờ bị ngập lụt. Xung quanh là 1 loạt các trường học, các khu nhà cao tầng, bệnh viện y học cổ truyền, phi 6p ra bến xe. Tương lai đường kim giang sẽ càng đẹp và đắt giá khi ven sông có đã có dự án làm đẹp cảnh quan cực lớn. Hãy khẩn trương lên Bạn ơi.
",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808609.6249323, 6,
"1,2 tỷ VNĐ",Lĩnh Nam, 35m2, 5, 2, 1, 1,"+ Cần chuyển đổi nên bán gấp, nhà siêu rẻ.+ Ngõ ô tô tránh, nhà ở đầy đủ công năng.+ Đường Lĩnh Nam đang mở rộng thành 2 chiều.+ Gần chợ Lòng Thuyền, Chợ Nam dư, gần trường cấp 1,2,3.+ 5 Phút ra trường Đại học Kinh doanh, Time city, và công nghệ, Bệnh viện Thanh nhàn..+ DT 35m.+ Giấy tờ Pháp lý đầy đủ.+ Giá Nhỉnh 1 tỷ.+ Miễn Môi giới, Quảng cáo.+ Liên hệ: Mr Nguyễn Dương -0825920555.",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808610.838687, 2,
"3,88 tỷ VNĐ",Đường Khương Đình phường Hạ Đình, 53m2, 4, 3, 4, 4,"
    YÊU NGAY TỪ CÁI NHÌN ĐẦU TIÊN. Liên hệ ngay để yêu dài lâu một em nhà xinh như hoa hậu thể thao 2022. Một ngôi nhà chuẩn mực với đầy đủ công năng sử dụng, các phòng đều thông gió tự nhiên và đầy ánh sáng. Sàn lát gỗ cn cao cấp, Nội thất như phim Hàn quốc. Cầu thang là gỗ tự nhiên chắc chắn. Riêng cửa chính rộng rãi đón Lộc . AN ninh tuyệt đối, hàng xóm toàn cán bộ Phường. Ngay TT y tế quận Thanh Xuân, trường mầm non, tiểu học hạ đình, THPT Khương đình, TT thương mại, tiện ích bao xung quanh giúp bạn 5p vác cả Thanh Xuân về nhà. Liên hệ ngay trong vòng 5 ngày để được ưu đãi./.
",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808612.123249, 5,
"16,8 tỷ VNĐ",Trần Quốc Hoàn Cầu Giấy, 50m2,,,,,"NHÀ ĐẸP TRẦN QUỐC HOÀN, CẦU GIẤY - 50M2, 6 TẦNG THANG MÁY, NGÕ THÔNG, 3 Ô TÔ TRÁNH - KINH DOANH, 16,8 TỶ!  - Vị Trí nhà nằm trong khu phân lô dân trí cao, ngõ to như phố. Đường trước nhà 3 ô tô tránh, ô tô vào nhà.- Nhà thiết kế 6 tầng thang máy nhập khẩu đầy đủ công năng sử dụng! - Khu vực nhiều trường Đại học, gần chợ, trường học, siêu thị. - Giao thông đi lại thuận tiện Cầu Giấy, Đường vành đai 3 trên cao, Phạm Văn Đồng, Xuân Thủy, Phan Văn Trường, Phạm Tuấn Tài.- Sổ đỏ thi hoa hậu,  pháp lý chuẩn! - Giá 16,8 tỷ có thương lượng! Alo cho em để được tư vấn.0385941802Miễn TG Quảng Cáo! ",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808613.4347417,,
140 triệu VNĐ/m2,Quận Cầu Giấy, 60m2,,,,,"NHÀ ĐẸP Ở NGAY PHỐ TRUNG KÍNH 60M2*5, MT 4M 10M RA PHỐ . 0962745289+ GIÁ NHỈNH 8 TỶ. Vị trí mặt tiền ngõ thông rộng, 10m ra ô tô, khu vực hiếm nhà bán.Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+Nhà dân xây cực kỳ chắc chắn tâm huyết đầy đủ công năng sử dụng gần phố, hai mặt thoáng, dân trí cao, an ninh tốt, tiện ích vây quanh, quy hoạch ổn định, gần nhiều trường học các cấp..v..v..+ Sổ đỏ vuông vức trước sau như một. Chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808614.9736245,,
,"xã sài sơn, huyện quốc oai, thành phố Hà Nội", 86m2, 5, 11,,,"Chính chủ bán đất đấu giá mặt đường khu đấu giá 02 thôn Khánh Tân, Xã Sài Sơn, huyện Quốc Oai.- Diện tích 85.9 m2 tiếp giáp đường đôi 24 m và đường 14m, vỉa hè 3m. Phù hợp đầu tư hoặc xây nhà kinh doanh.- Gần khu du lịch sinh thái Tuần Châu.- Sunny Garden City.- Sát vách trường cấp 1 (mới được đầu tư xây dựng), cấp 2, cấp 3 - đường rộng, 3 ôtô tránh nhau.- Đường trục chính khu vực có xe bus 71 đi qua.- Cách Đại lộ Thăng Long 500m.- Cách chùa Thầy 500m.- Cách khu công nghiệp Thạch Thất 1000m.- Cách đường Phạm Hùng 15 phút đi ô tô.- Xung quanh có Chùa Thầy, khu đô thị Sunny, Bãi biển nhân tạo Tuần Châu Ecopark, Ngôi nhà mới, Baara Land. Các dự án bệnh viện nhi và phụ sản cơ sở 2. Sổ đỏ chính chủ GIÁ 3x triệu/m2 - Lh 098.525.1002 Mai Lê",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808616.2871096,, Tây bắc
"1,2 tỷ VNĐ",Lĩnh Nam, 35m2, 5, 2, 2,,"+ Cần chuyển đổi nên bán gấp, nhà siêu rẻ.+ Ngõ ô tô tránh, nhà ở đầy đủ công năng.+ Đường Lĩnh Nam đang mở rộng thành 2 chiều.+ Gần chợ Lòng Thuyền, Chợ Nam dư, gần trường cấp 1,2,3.+ 5 Phút ra trường Đại học Kinh doanh, Time city, và công nghệ, Bệnh viện Thanh nhàn..+ DT 35m.+ Giấy tờ Pháp lý đầy đủ.+ Giá Nhỉnh 1 tỷ.+ Liên hệ: Mr Nguyễn Dương -0825920555.",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808623.3198764, 1,
20 tỷ VNĐ,Vũ thạnh - Đống Đa - Hà Nội, 70m2, 5,, 5, 5,"+ Chính chủ bán nhà phố Vũ Thạnh, nhà nằm trong khu phân lô quy hoạch đẹp, 2 mặt thoáng.+ Nhà thuộc khu trung tâm quận Đống Đa, tiện ích xã hội, gần trường học bệnh viện.... không thieuse thừ gì, khu đất phân lô không thiếu thứ gì.+ Nhà xây 5 tầng mới đẹ, xây dựng có thiết kế hiện đại, công năng đầy đủ cho 1 gia đình nhiều thế hệ, kinh doanh văn phòng tốt.+ Vị trí nằm ngay 2 tuyến phố lớn Hào Nam và Giảng Võ, khu vực trung tâm quận.+ Giá chỉ nhỉnh 20 tỷ, sổ đỏ chính chủ cần bán gấp.+ Liên hệ ngay 983438681, 0911609234 Phùng Diện - Chuyên thổ cư.",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808624.5797272, 5,
"8,3 tỷ VNĐ",phố Minh Khai, 52m2,,,,,"Nhà phân lô trên phố Minh Khai, kinh doanh lõi Hai Bà Trưng. Gần các tuyến phố : Lạc Trung, Trương Đinh, Kim Ngưu Gần Time City, Cầu Vĩnh Tuy.. Oto vào nhà, Khu phân lô, an ninh tuyệt đối, ở rất thích.. Nhà mới, thiết kế hiện đại, nội thất sang trọng. Sổ đỏ đẹp, vuông vắn, sổ đỏ chính chủ, sãn sàng giao dịch. Giá: Nhỉnh 8 Tỷ. Lh: Chính chủ Mr. Dũng  094.567.6597",15/08/2022,Tin thường,batdongsan_so_com_vn_1673808625.8418121,,
