price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2,,,,"Hiện nay chúng tôi đang phân phối quỹ căn hộ Imperia Smart City với đa dạng các loại diện tích: Studio - 1PN - 2PN - 3PN và tầng, hướng, view công viên hồ trung tâm đẹp nhất dự án (đặc biệt có căn vip giá độc quyền đã bán hết trên bảng hàng chúng tôi đều có) với chính sách ưu đãi khủng: - Thanh toán 10% ký ngay hợp đồng mua bán. - Tặng tiền mặt lên đến 65 triệu/căn hộ. - Bốc thăm trúng 1,5 cây vàng SJC - có ngay 100 triệu. - Chiết khấu 19% khi thanh toán sớm. - Chiết khấu 10% khi thanh toán theo tiến độ thường. - Hỗ trợ vay lên đến 70 - 80% giá trị căn hộ. - Vay vốn lãi suất 0% trong 24 tháng. - Miễn phí dịch vụ trong 5 năm. Hotline: 0987808686. Thông tin dự án Imperia Smart City: - Chủ đầu tư: Công ty cổ phần HBI. - Chiều cao: 38 - 39 tầng. - Diện tích: Từ 28.3m2 đến 75.6m2. - Dự kiến bàn giao: T9.2023 - T5.2024. Tiện ích dự án: - Một bước chân tới ngay công viên hồ trung tâm 10.2 ha. - Gần sát nhà để xe 10 tầng đáp ứng nhu cầu của cư dân mà các phân khu khác chưa làm được. - Cạnh trường học VinSchool đã đi vào hoạt động. - Gần các tuyến ga metro số 5,6,7 dễ dàng di chuyển các khu vực trong và ngoài thành phố. - Gần trung tâm thương mại Vincom Mega Mall. - Tham quan vườn nhật lớn nhất Đông Nam Á hàng ngày mà không mất bất kỳ khoản phí nào. - Bể bơi hơn 1000m2 ngay chân tòa nhà. - Tổ hợp 15 công viên thể thao ngay trước mặt dự án. - Cư dân Imperia được hưởng tất cả quyền lợi của cư dân Vinhomes và được hưởng thêm quyền lợi riêng của CĐT. Liên hệ tư vấn, nhận bảng giá và chính sách mới nhất:0987808686",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808963.2287507, 10, 1, 1
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2,,,,"*SIÊU PHẨM - CHUNG CƯ HƯNG THỊNH TẠI LINH ĐÀM CHUẨN BỊ MỞ BÁN ️ Hanoi Melody Residences - Hưng Thịnh Tây Linh Đàm *Vị Trí Đắc Địa: tại trung tâm bán đảo Linh Đàm, dễ dàng kết nối nhiều trục đường huyết mạch *50 Suất trực tiếp từ CĐT - Giá gốc *1OO% căn hộ có 2 Logia đón nắng gió và ánh sáng tự nhiên. *Gồm 29 tầng nổi, 3 tầng hầm để xe. Tầng 1&2 là shophouse. Căn hộ ở từ tầng 3-29. Mỗi block 8 đến 12 căn hộ với 15 thang máy, có thang vận chuyển rác riêng *Mật độ ""Siêu Thoáng"". *Hỗ trợ vay đến 70% giá trị căn hộ *Pháp lý: minh bạch, sở hữu lâu dài. —-------------------------     *VỊ TRÍ VÀNG - 4 MẶT TIỀN TRUNG TÂM T.P HÀ NỘI: Chung cư hiếm hoi sở hữu vị trí trung tâm - Kết nối hoàn hảo các điểm tiện ích đắt giá nội thành Hà nội: *Cách bệnh viện Bạch Mai chỉ 20 phút đi xe. *Cách bến xe Giáp Bát chỉ 15 phút đi xe. *Cách bến xe Nước Ngầm chỉ 10 phút đi xe. *Cách trường Tiểu học Chu Văn An chỉ 2 phút đi bộ. *Cách chợ Đại Thanh, chợ Linh Đàm - 500m *TỔNG QUAN VỀ DỰ ÁN: - Chủ đầu tư uy tín: Hưng Thịnh - Phát triển dự án: Hưng Thịnh Corporation - Diện tích: 3.28 ha ( gồm 4 block căn hộ) - Quy mô: 29 tầng - Giao nhà: Dự kiến Quý 1/2024 *THIẾT KẾ THÔNG MINH - HƯỞNG TRỌN TIỆN ÍCH HIỆN ĐẠI Không gian linh hoạt: 68m2; 76m2; 82m2; 98m2; 121m²; 147m² (2-3 𝐏𝐍) Với thiết kế hình chữ L giúp tất cả các căn hộ đều có mặt thoáng tự nhiên. Không gian mát mẻ quanh năm, địa thế tự nhiên, không khí trong lành, mảng xanh tự nhiên, hồ điều hòa,... Hơn 200 Tiện ích nổi bật: Siêu thị, trung tâm thương mại, Gym, spa, nhà hàng, nhà trẻ, khu thể thao phức hợp, bể bơi vô cực, … Mọi thông liên hệ trực tiếp: 0987808686",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808964.4454603, 10, 2, 2
,Đường Đại Lộ Thăng Long phường Tây Mỗ, 51m2,, 5, 1,"   Khẳng định vị thế cùng Masteri West Heights tại Vinhomes Smart City - Mua ngay căn hộ U39.2.2521 với mức giá siêu hấp dẫn.
  - Nằm trong Masteri West Heights, đây là căn hộ cao cấp, chuẩn quốc tế. Lựa chọn định cư nơi đây sẽ nâng tầm vị thế đẳng cấp của chủ nhân và mang đến trải nghiệm phong cách sống wellness chuẩn quốc tế.
 Thông tin căn hộ
 Loại hình căn hộ: 1PN + 1
 Diện tích TT: 50,93 m2
 Hướng: Tây Nam
 Giá: 3 tỷ 029 triệu
 View: Bể bơi 1500m2, TTTM Vincom Mall, Thác nước - Vườn thiền Yoga

 QUÀ TẶNG SIÊU KHỦNG, khi mua hàng, Quý khách hàng sẽ được nhận những khuyến mãi siêu hấp dẫn. Bao gồm:
 Miễn phí 36 tháng gửi xe ô tô
 Miễn phí 36 tháng phí Dịch vụ
 1 lốt để xe ô tô, 2 lốt để xe máy

 Chính sách bán hàng
 TTTĐ CK: 7,8% GTCH
 Thanh toán sớm CK: 7,8% + 5,3% GTCH
 Hỗ trợ lãi suất 80% GTCH đến ngày 31/05/2024
 Cọc: 50 triệu
 7 ngày TT 10% ký HĐMB
 Ngân hàng giải ngân 80% GTCH
 10/09: Thanh toán 10 % GTCH
 Quý III?2023 nhận bàn giao

ĐÂY LÀ CƠ HỘI CHO NHÀ ĐẦU TƯ
 Giao dịch nhanh chóng – dễ dàng đầu tư ngắn hạn và dài hạn
 Khả năng tăng giá lên đến hơn 80%.
Hỗ trợ từ ngân hàng thủ tục nhanh chóng, hỗ trợ lãi suất 0% trong vòng 24 tháng.
 Cam kết giá tốt.
Căn hộ cao cấp Masteri West Heights cho cuộc sống đầy năng lượng và tinh thần được tái tạo mỗi ngày!
Liên hệ với chúng tôi nhận ngay chiết khấu cao nhất trong hôm nay nhé.
-----
 Mrs Thu Bích- SĐT: 0982268638 - Tư vấn và hỗ trợ khách hàng 24/7
",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808965.769918, 25, 1, 1
220 triệu VNĐ/m2,Quận Cầu Giấy, 40m2,,,,"NHÀ ĐẸP Ô TÔ 7 CHỖ VÀO NHÀ PHỐ HOA BẰNG CẦU GIẤY 40M2*5,MT 5.5M NHỈNH 8 TỶ. + Vị trí đep, khu vực hiếm nhà bán, đường lớn ô tô tránh, Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+ Nhà cực đẹp, phân lô ô tô 7 chỗ vào nhà, ngõ thông thoáng đẹp. , khu vực trung tâm sầm uất, tiềm năng tăng giá cao mỗi ngày.+ Thiết kế sang trọng, GARA Ô TÔ đầy đủ công năng, full nội thất ở ngay: + Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn. + Tư vấn 24/7. ",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808966.9437811,,,
16 tỷ VNĐ,Đường Bồ Đề phường Bồ Đề, 120m2,, 6, 6,"Chủ nhà cần vốn làm ăn muốn bán gấp căn biệt thự rất đẹp phố Bồ Đề.+ Nhà nằm ngay sau trường quốc tế Welspring, thông sang 2 hồ Bồ Đề, môi trường sống cực thoáng.+ Ngay cạnh là tuyến đường 17m nối phố Bồ Đề và Hồng Tiến, di chuyển cực kỳ thuận tiện.+ Nhà 5 tầng, xây tâm huyết để ở, tường 20cm, thang máy nhập khẩu xịn mịn, cầu thang bộ, hệ thống cửa, bàn ghế sử dụng gỗ Gõ Đỏ, tranh đá đặt hàng thửa, Nội thất hàng cao cấp nhập khẩu.+ Nhà có diện tích đất 110m2 + lưu không, mặt tiền rộng 6,5m, nhà vuông đẹp, cực kỳ thoáng.+ Giá rao bán 16,6 tỷ còn thương lượng. Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   0399.o.27.o.11.o.14.o",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808968.2702293, 5, 5, 4
7 tỷ VNĐ,Đường 1 phường Bồ Đề, 50m2,, 5, 3,"
    
NGÕ THÔNG- Ô TÔ ĐỖ CỬA- CHỦ TỰ XÂY- TẶNG TOÀN BỘ NỘI THẤT 
5 Phút qua Cầu Chương Dương, chợ Ngọc Lâm, tiện ích ngập tràn.

Bán nhà 4 tầng Nguyễn Sơn
Diện tích: 50 m2
 Giá: 7 tỷ (Có thương lượng)
Mô tả: 

- Nhà lô góc bề thế, chủ tự xây tâm huyết .Thiết kế hợp lý các phòng đều cửa sổ thoáng sáng 

Tầng 1 : Bếp+ WC+ Khu vực ăn+ Chỗ để xe
Tầng 2: PK+ 1 PN+ WC
Tầng 3: 2 PN+ WC
Tầng 4: Phòng thờ+ Sân phơi

- Sổ đỏ vuông đẹp, chính chủ, sang tên phút mốt
Gọi Em Lan Anh - Hỗ trợ pháp lý - Không thu phí người mua.
",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808969.5438678, 4, 3, 4
4 tỷ VNĐ,Ngọc Thụy, 35m2,, 3,,"- Vị trí rất đẹp, hàng xóm Khai Sơn, gần trường quốc tế Việt Pháp, chợ, UBND phường, trường học các cấp, ngõ trước nhà ô tô vào, vài bước ngõ ô tô thông, ô tô tránh, an sinh đỉnh. - Nhà xây mới, nhà thiết kế có tiếng long biên xây dựng, cực kỳ chắc chắn, thiết kế hiện đại, trang bị sẵn nội thất gồm: Sàn gỗ, rèm cửa, thiết bị vệ sinh, phòng bếp, chỉ việc kê giường tủ vào là ở ngay, giờ khách thiện chí mua có thể bảo thiết kế thêm hay bày trí cũng được, thiết kế sẽ lo. - Thiết kế: Tầng 1: PK, Bếp và WC Tầng 2,3,4: Mỗi tầng 1 PN khép kín Tầng 5: Phòng thờ và sân phơi. - Sổ đỏ cất két, chờ sang tên chủ mới. - Lh Mr Bách: 0795217103   ",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808970.70604, 5, 3,
7 tỷ VNĐ,Đường Nguyễn An Ninh phường Tương Mai, 60m2,,, 1,"Bán nhà cực hiếm Nguyễn An Ninh khu Sầm uất nhất Quận Hoàng Mai 2 Mặt tiền, 60m2, 4T, giá 7 tỷ. Khu vực hội tụ đủ các yếu tố dân sinh như gần Trường, Chợ, BV, khu vui chơi giải trí và 1 số tiện ích ngập tràn khác. Nhà chủ xây hiện đang ở, nên rất chắc chắn. + Sàn gỗ nhập khẩu full 4 Tầng + Cầu thang ốp kính cường lực, sang trọng hiện đại , giúp không gian nhà rộng hơn. + Cửa gỗ lim chắc chắn  Nhà thiết kế 4T  + T1 để xe , phòng khách, bếp  + T2 và T3 đều có 2PN với phòng nào cũng có ban công. +T4 là phòng thờ và sân phơi. ĐẶC BIỆT có ô CHỜ THANG MÁY. tiện lợi nếu GĐ mua về có ng già trẻ nhỏ, sẵn lắp luôn. Chủ thiện trí bán nên có ra lộc. LH 0962753326 Ngọc Bé để được hôc trợ xem nhà miễn phí",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808971.945724, 4,,
"2,95 tỷ VNĐ",Đường Kim Giang phường Kim Giang, 30m2,, 3, 3,"bán nhà DT 30 m2 . 4 tầng , giá hơn 2 tỷ  ngõ buôn bán sầm uất khỏng 100m , gần trường học cấp 1.2.3 gần hồ linh đàm , gần đường vành đai 3, ghần bến xe nước ngầm , bến xe mỹ đình , gần các trường đại học , gần đường trường chợ , giao thông thuận tiện  khách hàng thiện trí xem nhà liên hệ xuân hùng 1975 , không tiếp môi giới nhé ",13/08/2022,Tin thường,batdongsan_so_com_vn_1673808973.1335528, 5, 4, 4
"10,8 tỷ VNĐ",Đường Quang Trung phường Quang Trung, 55m2,, 5, 30,,13/08/2022,Tin thường,batdongsan_so_com_vn_1673808974.3631918, 5, 4, 4
