price,address,Diện tích,Mặt tiền,Lộ giới,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số tầng,Số toilet,Hướng
"6,1 tỷ VNĐ",Đường Lạc Long Quân phường Xuân La, 36m2, 3, 6, 4,"-Nhà nằm trong khu phân lô bộ công an,mặt ngõ thông,ô tô chạy vòng quanh,rất gần Hồ Tây. -Nhà 5 tầng thoáng trước sau,thiết kế hiện đại,tầng 1 thông sàn làm gara ô tô.Từ tầng 2  đua ra 42m2,mỗi tầng 2 phòng rộng. - Sổ phân lô nở hậu , pháp lý rõ ràng, chủ rất thiện chí bán. -Gọi ngay em Lan nhà đẹp :0975048581. -Hỗ trợ tư vấn miễn phí,giúp khách mua được căn nhà như ý, Cam kết thông tin thật 100%. ",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808406.8453648, 5, 5,
"6,8 tỷ VNĐ",quang trung, 50m2, 5,, 6," Bán Nhà, Lý Thường Kiệt . Hà Đông. Ô Tô Kinh Doanh 50m2 x 5 tầng. Mặt Tiền 5m Giá 6.8 Tỷ.    MẶT PHỐ - KINH DOANH ĐA DẠNG – NHÀ MỚI  + Nhà mặt phố Lý Thường Kiệt, cách đường Quang Trung vài bước chân giao với các đường Trần Phú, Ngã Tư Sở, đi Hoà Bình, Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần trường học các cấp, gần Bệnh Đa Khoa Hà Đông, gần ga tàu điện trên cao, bến xe Yên Nghĩa, gần Trung Tâm Thương Mại AON, Siêu Thị MêTro Hà Đông, Thiên Đường Bảo Sơn, nhà Thi Đấu Hà Đông cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an ninh an toàn. + Nhà nằm trên khu phố sầm uất nhất khu vực Hà Đông, Nhà mặt phố, kinh doanh, văn phòng các loại hình dịch vụ rất đa dạng.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5 : Phòng thờ, sân phơi. + Nhà khung cột bê tông chắc chắn. Chủ bán để mua biệt thự.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808408.05014, 5, 4,
"3,6 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 35m2, 6, 3, 3,"Bán nhà Bồ Đề, Long Biên, 3.6 tỷ 35Mx 5T, Ô tô đỗ cửa  gần phố, 0889388683.  + Gọi ngay cho tôi Mr Tính 0563263888 CHUYÊN NHÀ ĐẸP , BIỆT THỰ,NHÀ PHỐ, Hỗ trợ tư vấn mua bán pháp lý.  +Nhà thuộc Bồ Đề gần hồ 2, khu vực đáng sống, không gian thoáng, dân trí cao, đặc biệt rất gần phố Cổ, khu vực ưa chuộng của dân phố Cổ. + Vị trí gần ô tô, cách 40m ra mặt phố Bồ Đề, gần trường tiểu học Bồ Đề, trường quốc tế Wellspring, chợ Bồ Đề, Ủy ban Phường, Bệnh viện quốc tế Tâm Anh, di chuyển đi Lâm Du, Ái Mộ, Hồng Tiến, NVC đều rất tiện. +Nhà 5 tầng dân xây chắc chắn đầy đủ công năng cho một hộ gia đình. +Cam kết sổ đỏ chính chủ, không tranh chấp, quy hoạch. +Giá: 3.6 tỷ (có thương lượng - ra lộc). ",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808409.6499064, 5, 4,
"3,8 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 30m2, 3, 3, 3," + Đèn chùm trang trí, mành rèm cao cấp, bình nóng lạnh, tủ bếp, kệ bếp, mái tôn chuồng cọp., + Công năng sử dụng tối đa: , Tầng 5: phòng thờ, sân phơi., ",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808410.7173188, 5, 4,
"6,5 tỷ VNĐ",Đường Thụy Khuê phường Bưởi, 55m2, 4, 2, 4,"BÁN NHÀ THỤY KHUÊ DT55M2 NHÀ MỚI Ở NGAY - 2 THOÁNG CHỈ 6.5 TỶ 0976106636 Vị trí đắc địa, giáp ranh Hoàn Kiếm, Ba Đình, Cầu Giấy, giao thông thuận tiện. Hộ khẩu Tây Hồ, 2 phút đi bộ ra Hồ Tây. Ngõ trước nhà ba gác tránh xe máy, vài bước chân ra chợ Bưởi, ngõ thông Võng Thị, Trích Sài, khu vực dân trí cao, ở sướng, cực kỳ yên tĩnh. Nhà chủ tự xây mới được 2 năm, khung cột chắc chắn, khách về ở ngay không phải sửa chữa gì. Tầng 1: Khách + 1 phòng nhỏ Tầng 2: Bếp + 1 phòng rộng + Wc Tầng 3: 2 phòng + Wc Tầng 4: Phòng thờ + Sân phơi. Pháp lý: Sổ đỏ chính chủ, vuông vắn, giao dịch ngay. Giá chào: 6.5 tỷ (có thỏa thuận) Liên hệ: Mr Vượng thổ cư Tây Hồ để được tư vấn và xem nhà miễn phí (Miễn MG, ảnh M.Họa)",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808411.7629833, 4, 3,
"6,5 tỷ VNĐ",đường Đình Thôn, 55m2, 4,, 9,"CHUNG CƯ MINI 9 PHÒNG KHÉP KÍN, KHU VỰC ĐUỔI KHÔNG HẾT KHÁCH THUÊ, DOANH THU 45TR/THÁNG S = 55m2, 5 tầng, mặt tiền 4m, giá 6.5 tỷ + Khu vực cho thuê cực tốt, thuận tiện di chuyển Mễ Trì, Phạm Hùng, Châu Văn Liêm, ĐL Thăng Long, bến xe Mỹ Đình ... Tập trung nhiều sinh viên, người lao động, bên cạnh đó là các tiện ích sinh hoạt, nhiều KĐT với mức sống và dân trí cao. + Thiết kế:  - Tầng 1: 1 Phòng khép kín + khu để xe.- Tầng 2-3-4-5: Mỗi tầng 2 phòng khép kín. + Các phòng thiết kế hiện đại, đầy đủ giường tủ, điều hòa, nóng lạnh từng phòng, phòng nào cũng thoáng sáng, có cửa sổ. + Sổ đỏ chính chủ. * Gọi ngay em Bình, 0345752279 để xem nhà miễn phí, không tiếp môi giới. Xin cám ơn đã đọc tin! ",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808413.06949, 5, 9,
"4,5 tỷ VNĐ",Ngõ 20 Phan Đình Giót La Khê, 43m2, 7, 5, 4,"Bán nhà mới full nội thất Phan Đình Giót Hà ĐÔng 43m 4 tầng giá 4.5 tỷ  + Tuyến phố Phan Đình Giót là tuyến phố kinh doanh rất sầm uất, điểm đầu giao với trục chính đường Quang Trung thông sang Ngô Đình Mẫn và sang tuyến đường Lê Trọng Tấn.+ Nhà nằm trong khu dân trí cao, an ninh tốt, gần trường, chợ Bông Đỏ, Đình Bia Bà, khu đô thị Ngô Thì Nhậm, Part city..., tiện ích ngập tràn.+ Ngõ trước nhà rộng 2.3m, ngõ 20 thông sang khu đô thị Ngô Thì Nhậm, giao thông đi lai vô cùng thuận tiện.+ Nhà Phan ĐÌnh Giót Hà Đông được thiết kế full nội thất 4 tầng với 4 phòng ngủ, khách, bếp, 3 vệ sinh, phòng thờ, sân phơi.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ liên hệ trực tiếp cho Nguyên Anh: 0819508701 để biết thêm chi tiết, đi xem nhà miễn phí.",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808414.7979038, 4, 3, Đông nam
"2,1 tỷ VNĐ",KIM CHUNG-HOÀI ĐỨC-HÀ NỘI, 56m2,,,,"💥💥💥💥💥TIỀN ÍT MÀ VẪN HÍT ĐƯỢC ĐẤT THƠM !!!!!!! ✅ Đất nở hậu  để ở hay đầu tư đều sướng ✅ Ngõ nông, Ô TÔ gần 30m ✅ Liền kề KĐT Hinode Royal Park, tận hưởng không gian CÔNG VIÊN ĐÔ THỊ QUÁ ĐỈNH ✅ Cách đường QL32 khoảng 600m ✅ Khu vực dân cư đông đúc, tiện ích & an sinh đỉnh cao ✅ Phù hợp đầu tư dòng tiền, khu vực sắp lên QUẬN giá đất tăng chóng mặt 📕Sổ đỏ chính chủ sẵn sàng trao tay 📲Lh: Mr Huy 0982283891 để tư vấn xem  NHÀ & ĐẤT miễn phí!",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808417.0506814,,,
"8,6 tỷ VNĐ",Đường Tư Đình phường Long Biên, 90m2, 7,,,"+ PHÂN LÔ QUÂN ĐỘI, Ô TÔ TRÁNH NHAU, AN SỈNH CỰC ĐỈNH.+ Vị trí thuộc phân lô quân đội đằng sau dãy BIỆT THỰ Minh Tâm, ngõ đẹp, thông ô tô tránh an sinh đỉnh.+ Hàm xóm khu đô thị HIMLAM BC ( đang rao 250/m2 rồi).+ Hình thửa siêu đẹp, mặt tiền rất rộng xây toà nhà 8 tầng thì nhức nách. View khu biệt thự và eaon mall, sân golf luôn.+ Là khu vực rất nhiều hộ gia đình có nhu cầu tìm mua. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch ngay. + Giá chào: chỉ với 8,6tỷ (Có thương lượng).* Liên hệ: Đồng chí Chung (Chuyên tư vấn nhà đất/Thổ cư khu vực Long Biên) 0962.482.09MỘT để được hỗ trợ tốt nhất. Em gửi em 1 số căn cùng mức tài chính mời quý anh chị tham khảo thêm:  1. Nhà 5T 60m2 phố Bồ Đề, Long Biên - NGÕ TRƯỚC SAU Ô TÔ TRÁNH - SỔ ĐẸP - KINH DOANH 7,8tỷ.2. Nhà 55m2 phố Việt Hưng, Long Biên - THANG MÁY - 7 CHỖ VÀO NHÀ - 2 THOÁNG 7tỷ.3. Nhà 5T 70m2 LÔ GÓC phố Tư Đình, Cổ Linh, Long Biên - KINH DOANH - NGÕ THÔNG - Ô TÔ VÀO NHÀ 7,6tỷ.4. Đất khu a38-144 Tư Đình, Long Biên 90m2 MẶT TIỀN CỰC RỘNG - NGÕ Ô TÔ TRÁNH - PHÂN LÔ 8,6tỷ.5. Nhà 75m2 6T THANG MÁY phố Trạm, Long Biên - Ô TÔ VÀO NHÀ - NGÕ THÔNG - MẶT TIỀN RỘNG 8,9tỷ. 6. Nhà 95m2 phố Phúc Đồng 918, Long Biên - MẶT TIỀN RỘNG - Ô TÔ VÀO NHÀ - VỈA HÈ chào 8,5tỷ. 7. Nhà 5T 64m2 phố Hoàng Như Tiếp, Long Biên - NGÕ NÔNG - GARA - KINH DOANH chỉ 7,6tỷ. ",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808419.2616284,,,
8 tỷ VNĐ,Hoàng đọa Thành, 50m2,,,,"GARA Ô TÔ VỈA HÈ RỘNG - 6 TẦNG THANG MÁY - LÔ GÓC 2 MẶT TIỀN - KINH DOANH - NHỈNH 8 TỶ. + Trung tâm Phố Hoàng Đạo Thành - Thanh Xuân, tiện ích vây quanh. + Gara ô tô tránh 2 vỉa hè rộng, thang máy chạy êm ru. Nhà lô góc 2 mặt tiền vừa ở hoặc kinh doanh mọi mặt hàng. + Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Thanh Xuân, Đống Đa với nguồn nhà hơn 13 000 căn, miễn phí xem nhà 24/7.",16/08/2022,Tin thường,batdongsan_so_com_vn_1673808420.4975228, 6,,
