price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới,Số tầng
"2,75 tỷ VNĐ",Đường Quang Trung phường Quang Trung, 111m2,"Dự án Unimax Twin Tower cao 39 tầng. Có căn hộ 1 tầng: 8 căn/ tầng Với 3 thang máy. - Dự án có vị trí thuận lợi, ngay trên mặt đường Quang Trung - Hà Đông, cách trung tâm quận Hà Đông 1,5 km. Bên cạnh đó, bến ga tuyến đường sắt trên cao nằm ngay cạnh dự án, đảm bảo việc kết nối với trung tâm Hà Nội chỉ trong 10 phút di chuyển. - Dưới chân tòa tháp là hệ thống siêu thị, thương mại dịch vụ, đảm bảo nhu cầu sinh hoạt cho cư dân. Cách Mê Linh Plaza chỉ có 500m. - 02 tầng hầm dự án với tổng diện tích lên tới 11.400m2 đáp ứng tối đa nhu cầu đỗ xe của cư dân. - Diện tích thông thuỷ căn hộ: 111 m2 với 03 pn, 02 WC, 2 Lô gia. Chủ để lại full nội thất bàn ghế, giường tủ, bếp điều hoà, tủ lạnh.- Phí dịch vụ hàng tháng chỉ 3 nghìn/m2. Có chỗ để ô tô với 800nghìn/tháng. - Sổ hồng cất két giao dịch ngay.- Liên Hệ Ngọc Anh 0982832991",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795125.4825633, 3, 2,, 6,
205 tỷ VNĐ,Đường Lạc Long Quân phường Xuân La, 2120m2,"Đơn vị chúng tôi cần chuyển nhượng dự án  tòa nhà văn phòng, thương mại dịch vụ mặt phố Lạc Long Quân, quận Tây Hồ, TP Hà Nội. Tổng diện tích xây dựng dự án 2120m2, hai mặt phố, mặt tiền rộng 50m, vỉa hè rộng 5m, view hồ Tây. Hạ tầng đồng bộ, kinh doanh sầm uất ngày đêm, giao thông di chuyển thuận tiện.  Giá chuyển nhượng: thỏa thuận. Giá chuyển nhượng: thỏa thuận. Vui lòng liên hệ: 0903488382. Cảm ơn!                                                           ",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795126.6414642, 5, 5, 50, 40, 1
"7,5 tỷ VNĐ",Đường Quan Thổ 1 phường Ô Chợ Dừa, 72m2,"
    
BÁN NHÀ ĐỐNG ĐA THÁI HÀ HOÀNG CẦU HÀO NAM GIÁ RẺ NHƯ CHO NHANH TAY XÚC NGAY- MẶT ĐƯỜNG QUAN THỔ 1 - KINH DOANH SẦM UẤT - TRƯỚC NHÀ 3 Ô TÔ TRÁNH ĐẸP NHẤT NGÕ - GIÁ ĐẦU TƯ  

- Nhà mình vị trí mặt phố Quan Thổ 1, kinh doanh sầm uất
- Trước nhà ô tô tránh, đoạn đẹp nhất phố, - Nhà đã cũ, xây dựng chắc chắn, khách về sửa hoặc xây mới đều ok, - Sổ đỏ chính chủ, sẵn sàng mua bán
",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795127.720576, 2,, 4, 5, 3
"7,85 tỷ VNĐ","Nguyễn Lân, thanh Xuân, Hà Nội.", 60m2,"Nội Dung. + Bán Nhà Riêng Phố Nguyễn Lân, Phường Phương liệt, Thanh Xuân Ô Tô-Kinh Doanh 60m 3Tầng 7.85 Tỷ. + Chủ nhà xây tâm huyết, móng cột chắc chắn, lên 3 tầng nữa vô tư, nội thất đầy đủ. Nhà đang ở rất vượng phát, kinh doanh có lộc. Cách phố 15m, ngõ trước nhà 5.5m,ô tô vào nhà. + Tầng 1: 1Phòng khách,1 ngủ, 1Bếp, 1wc. + Tầng 2, 2phòng ngủ,1wc. + Tầng3: 1phòng thờ, khu phơi. +  Giao với các đường: Trường Chinh, Lê Trọng Tấn, Phan Đình Giót, Phan Kế Bính, …. Khu vực có nhiều cán bộ ở, an ninh cực tốt. Khách mua về ở ngay. Phù hợp cho gia đình có 4 đến 5 người ở. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Liên hệ; Mr Quân-0911303899. Tư vấn, xem nhà, miễn phí. Hỗ trợ cùng khách mua nhà với giá tốt nhất.",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795128.7558064, 3, 2, 5,, 3
8 tỷ VNĐ,Đường Nguyễn Chí Thanh phường Láng Thượng, 45m2,"  - Cách nhà vài bước chân kinh doanh cafe tấp nập. - Tầng 1: Gara, bếp, wc. - Tầng 4: Phòng thờ, sân phơi. + LH ",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795129.916253, 5, 5, 5, 5, 4
"5,99 tỷ VNĐ",Đường Kim Mã phường Ngọc Khánh, 40m2,"Chủ cần bán gấp căn KIM MÃ 40m-5 tầng-mt 3m1 GIÁ CHỈ 5T990Ô TÔ ĐỖ CỬA - NGÕ THÔNG KINH DOANH - NHÀ MỚI ĐẸP NHƯ KHÁCH SẠN 5 SAONhà gần phố, cách một dãy nhà ra mặt phố Kim Mã, ngõ thông kinh doanh cực tốt, nhà đẹp xây mới đầy đủ nội thất chủ để lại toàn bộ nội thất cho khách thiện trí, tiện ích không thiếu thứ gì.Phố Kim Mã con phố VIP nhất Hà Nội đi vài bước ra Lăng Bác.Thiết kế: Tầng 1 phòng khách kinh doanh và phòng bếp.Tầng 2,3 mỗi tầng 2 phòng. Vệ sinh giữa.Tầng 4: phòng thờ và sân phơi.Chủ thiết kế hiện đại, tâm huyết, nội thất nhập khẩu.Sổ đỏ chính chủ, sẵn sàng giao dịch.* Liên hệ: Em Nam 0977254122Miễn phí xem nhà Nhiệt tình tận tâm - Hỗ trợ 24/24.#QuậnBaĐình
",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795130.9824038, 4, 2, 3, 2, 4
245 triệu VNĐ,Đường Mễ Trì phường Mễ Trì, 50m2,"- Vị trí đẹp lung linh đường 8m ô tô tránh, 3' đi ra Bệnh viện Hồng Ngọc, Mễ Trì, Lê Quang Đạo- Tiện ích đầy đủ, trường học cấp 1, cấp 2 Phú Đô sát nhà rất thuận lợi cho con đi học- Thiết kế với tâm huyết phục vụ cho cuộc sống thoải mái của cả gia đình với 6 phòng ngủ rộng, thoáng mát- Khu vực giao thông ổn định, đường rộng, mưa không ngập úng Khách mua yên tâm và chọn lựa- Thông số: 50m2 - lô góc - nội thất đẹp đẳng cấp Liên hệ ngay bây giờ để nhận full thông tin hình ảnh, video, giá gặp chủ... THÔNG TIN LIÊN HỆ: Tùng Nhiệt (zalo, viber, sms, call...)",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795132.0106523, 6, 6, 1, 8, 6
"7,8 tỷ VNĐ",Đường Nguyễn Hoàng Tôn phường Phú Thượng, 44m2,"
    Bán nhà ngõ 110 Nguyễn Hoàng Tôn 
Diện tích 44m2
Nhà 3 tầng cũ - xác định bán đất
MT6.7m 
Giá bán 7.8 tỷ 
Ngõ 110 Nguyễn Hoàng Tôn là ngõ Vip, khu phân quân đội, ô tô vào nhà thoải mái, chạy vòng quanh thông ra ngõ 46 Nguyễn Hoàng Tôn.
Lô góc 2 mặt thoáng vĩnh viễn. View Khi đô thị Ciphutra đẳng cấp.
Nhà 3 tầng cũ xây dựng từ năm 1990, xác định bán đất.
Khu TT 678 Phú Thượng (Binh Chủng Đặc Công).
Đường trước nhà 6m. Ô tô đỗ cửa ngày đêm, ko cần cho vào nhà. 
Sổ đỏ chính chủ - sẵn sàng giao dịch
",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795133.034911, 3, 3, 6, 8, 3
"5,8 tỷ VNĐ",CẦU GIẤY HÀ NỘI, 45m2,"
    



Bán nhà ngõ 155 TT Cầu Giấy, ngõ nông, rộng, gần ô tô, DT 45m2 x 5 tầng, TC 5.8 tỷ

Nhà nằm ngay TT Cầu Giấy, ngõ nông, rộng vài bước chân là ra đường ôt tô chạy
 
Chủ nhà đang sử dụng mặt bằng tầng 1 làm văn phòng thiết kế nội thất với 6 nhân viên
 
Trước nhà có khoảng sân rộng để được 4 xe máy và lấy ánh sáng tự nhiên cho các phòng
 
Nhà chủ tự xây, khung BTCT chắc chắn vẫn sử dụng tốt, khách mua về là ở được luôn
 
Ngõ rộng thoáng, sạch sẽ, hàng xóm hiền hoà, thân thiện
 
Xung quanh đầy đủ tiện ích trường học, trung tâm TM, siêu thị, chợ truyền thống, công viên, khu vui chơi giải trí...
 
Sổ đỏ chính chủ, sẵn sàng giao dịch.

Liên hệ ngay 0914427333 Mr. Định BĐS thổ cư Cầu giấy
Tư vấn miễn phí - Không mất chi phí - Mua nhà NHƯ Ý
TRÂN TRỌNG !




",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795134.31349,,,,,
"3,8 tỷ VNĐ",Đường Nguyễn Sơn phường Ngọc Lâm, 77m2,"NGÂN HÀNG HỖ TRỢ 70% GIÁ TRỊ CĂN NHÀ. + Vị trí căn nhà ở tầng 1 của chung cư, có sân rộng thoáng mát nhiều cây, oto đỗ 20 chiếc. + Rất phù hợp làm phòng khám, nha khoa, viện thẩm mỹ, mở quán cafe... + Chỉ 3 bước chân ra tới công viên không khí trong lành, thể dục thể thao thoải mái. + Cách trường học cấp 1.2.3 chỉ 200m, các cháu tự đi học ko cần đưa đón. + Cách khu biệt thự chỉ 100m, hưởng trọn không khí trong lành, mát mẻ. + Khu nhà ở gần quận ủy trung tâm hành chính quận long biên, an ninh cực tốt. + Mặt tiền rộng có 2 cửa quay ra 2 sân rộng thoáng mát vô cùng + Vì gần mọi tiện ích nên kinh doanh rất tốt. Khu vực Vip nhất, gần các dãy biệt thự không khí và nhiều cây xanh rất tuyệt vời. Rất khó tìm ra một căn vừa ở vừa kinh doanh tại khu đô thị Việt Hưng - Long Biên này. + Nhà hiện được chia làm 2 căn có cửa thông. Gia chủ có thể ở 1 gian và cho thuê 1 gian giá 10 triệu / tháng. Thuê cả nhà 20 triệu/tháng. + Sổ đỏ lâu dài, chính chủ, sẵn sàng giao dịch. + Diện tích 77/150m2, mặt tiền 14m, giá 3.9 tỷ.( ngân hàng hỗ trợ 70 % giá trị căn hộ ) - Thiết kế: chia 2 căn rất hợp lý. + Hướng Tây Nam: 1 gian thông sàn có gác sép, nhà wc riêng mới toanh. Điều hòa, bình nóng lạnh... Nội thất đầy đủ. + Hướng Tây Bắc: 1 gian thông sàn, 1 phòng ngủ riêng, wc khép kín, điều hòa nội thất đầy đủ. * Rất khó tìm được một căn nhà mà có nhiều tiện ích như vậy... Hãy liên hệ ngay: Mr Khanh.",13/10/2022,Tin thường,batdongsan_so_com_vn_1673795135.6957927, 2, 2, 12, 20, 1
