price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
4 tỷ VNĐ,Phùng Hưng- Hà Đông, 37m2,,"Bán nhà Phùng Hưng, Hà Đông, 37m, 4 tầng, kinh doanh, ô tô, nhỉnh 4 tỷ Cần bán nhà đẹp kinh doanh Phùng Hưng, Hà Đông, diện tích 37m với 4 tầng hiện đại, gần các bệnh viện lớn Học viên quân y 103, Viện Bỏng, dân cư tập chung đông đúc ngày đêm, ngõ rộng thông thoáng, gần phố ô tô dừng đỗ. Nhà có thể kinh doanh nhiều mặt hàng rất đa dạng. Khu vực cực hiếm nhà bán mùa về vừa ở vừa kinh doanh, nhà mới chỉ việc đến ở. Quanh nhà đầy đủ tiện ích giáp Khu đô thị Văn Quán. Gao thông trục chính nối các tuyến phố quan trọng của Quận ra Quang Trung, đối diện Mỗ Lao, cạnh Yết Kiêu, vài bước ra Nhuệ Giang, gần Yên Xá và Khu đô thị Xa La. Chủ nhà là doanh nhân thành đạt ăn nên làm ra chuyển sang ở biệt thự rộng hơn cần tìm gấp chủ mới cho căn nhà tâm huyết. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 4 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814716.8605144, 4,,,
"3,95 tỷ VNĐ",Phúc La- Hà Đông, 38m2,,"Nhỉnh 3 tỷ Phúc La, Hà Đông, 38m, 4 tầng, ô tô, kinh doanh, ngõ thông Bán nhà chính chủ cực hiếm tại Phúc La, Hà Đông với thông số đẹp diện tích 38m có nhà 5 tầng hiện đại, ngõ nông thông, ô tô dừng đỗ, vừa ở kinh doanh đa dạng. Khu vực dân đông đúc, xung quanh là các toà chung cư cao tầng và các bệnh viện lớn Học viện Quân y 103, Viện Bỏng, bưu điện , vườn hoa,.. Giao thông di chuyển thuận lợi đi muôn nơi giáp Khu đô thị Văn Phú, gần Mỗ Lao, vài bước ra Yên Xá, xuống Xa La rất gần. Chủ nhà kinh doanh phát đạt chuyển sang nhà rộng hơn nên cần bán căn nhà có lộc này cho khách yêu thích nhà. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.95 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814718.1201453, 4,,,
"3,95 tỷ VNĐ",Phúc La- Hà Đông, 38m2,,"Nhỉnh 3 tỷ Phúc La, Hà Đông, 38m, 4 tầng, ô tô, kinh doanh, ngõ thông Bán nhà chính chủ cực hiếm tại Phúc La, Hà Đông với thông số đẹp diện tích 38m có nhà 5 tầng hiện đại, ngõ nông thông, ô tô dừng đỗ, vừa ở kinh doanh đa dạng. Khu vực dân đông đúc, xung quanh là các toà chung cư cao tầng và các bệnh viện lớn Học viện Quân y 103, Viện Bỏng, bưu điện , vườn hoa,.. Giao thông di chuyển thuận lợi đi muôn nơi giáp Khu đô thị Văn Phú, gần Mỗ Lao, vài bước ra Yên Xá, xuống Xa La rất gần. Chủ nhà kinh doanh phát đạt chuyển sang nhà rộng hơn nên cần bán căn nhà có lộc này cho khách yêu thích nhà. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 3.95 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814719.20225, 4,,,
4 tỷ VNĐ,Phùng Hưng- Hà Đông, 37m2,,"Bán nhà Phùng Hưng, Hà Đông, 37m, 4 tầng, kinh doanh, ô tô, nhỉnh 4 tỷ Cần bán nhà đẹp kinh doanh Phùng Hưng, Hà Đông, diện tích 37m với 4 tầng hiện đại, gần các bệnh viện lớn Học viên quân y 103, Viện Bỏng, dân cư tập chung đông đúc ngày đêm, ngõ rộng thông thoáng, gần phố ô tô dừng đỗ. Nhà có thể kinh doanh nhiều mặt hàng rất đa dạng. Khu vực cực hiếm nhà bán mùa về vừa ở vừa kinh doanh, nhà mới chỉ việc đến ở. Quanh nhà đầy đủ tiện ích giáp Khu đô thị Văn Quán. Gao thông trục chính nối các tuyến phố quan trọng của Quận ra Quang Trung, đối diện Mỗ Lao, cạnh Yết Kiêu, vài bước ra Nhuệ Giang, gần Yên Xá và Khu đô thị Xa La. Chủ nhà là doanh nhân thành đạt ăn nên làm ra chuyển sang ở biệt thự rộng hơn cần tìm gấp chủ mới cho căn nhà tâm huyết. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 4 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814720.5087557, 4,,,
13 tỷ VNĐ,Phố Yên Lãng, 61m2,,"- Nhà xây mới thang máy lên đến tầng 7, phía sau có khe nhỏ là đường ống thoát nước, mở cửa ra cả phía sau. Phía trước nhà là dãy tường cao gần 2 m của trường mầm non. Nhà phố Yên Lãng phường Thịnh Quang ngõ trước nhà rộng 5m ô tô thông đoạn trước nhà ô tô tránh nhau, thiết kế ô tô vào nhà. - Thiết kế & Diện tích: Nhà 61m2, mặt tiền 3.6m, 7 tầng. - Tầng 1 thiết kế để được 2 ô tô, thang bộ thang máy vệ sinh cuối nhà. - Tầng 2,3,4,5 mỗi tầng 1 phòng và vệ sinh. - Tầng 6 là bếp rộng không vệ sinh, - Tầng 7 phòng thờ vệ sinh và sân phơi. - Các tầng đã lắp đầy đủ điều hòa và quạt trần , đầy đủ tủ bếp. - Sổ đỏ là 50 m, nhưng nhà đã xây trên đất là 61 m2, chưa kể ban công đua phía trước. -  Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền... Sổ đỏ đẹp, sẵn sàng giao dịch. Liên hệ Mr Chính 079 212 2918 xem + đặt cọc + mua  nhà",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814721.856152, 7, 4,, 6
80 tỷ VNĐ,"lê trọng tấn thanh xuân, hà nội", 160m2,,"Mô tả Chính chủ cần bán nhà mặt phố Lê Trọng Tấn 160m2 + Vị trí cực đẹp, vỉa hè rộng, view cực đẹp, thoáng trước, sau. + Toà nhà xây mới chuẩn VP hạng A + Toà nhà thiết kế 1 hầm, 9 nổi, hầm để ô tô, xe máy. + Rất phù hợp làm trụ sở công ty, cho thuê làm VP, Ngân hàng. + Sổ đẹp, giao dịch ngay + Giá 80 tỷ Liên hệ: Nghĩa – 0868181683 – Để gặp trực tiếp chủ thương lượng.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814723.5645812,,,,
14 tỷ VNĐ,Đường Trịnh Văn Bô phường Phương Canh, 147m2, 8,"HOT HOT CHÍNH CHỦ BÁN ĐẤT TẠI NAM TỪ LIÊM - HÀ NỘI  - Đất bao đẹp hàng hoa hậu- Diện tích : 147m2 pháp lí rõ ràng.- Giá bán  : 14 tỷ (bao chi phí sang tên đổi chủ)- Mặt tiền 8m ( có thể chọn hướng hợp mệnh gia chủ )-  Phía trước nhà đã được quy hoạch công viên to, đẹp, thoáng. Đường oto vào, đậu cổng.- Cách ngã 4 Trịnh Văn Bô, xuân phương 20m, giao thông tiện lợi- Diện tích phù hợp cho xây nhà ở lâu dài, chung cư mini, hoặc có thể tách 2 thoải mái.- Sát ngay viện khoa học hình sư nên anh ninh được bảo đảm- Sổ đỏ chính chủ, sẵn sàng giao dịch giá cả có thương lượng lộc lá- Liên hệ :  0985475045 ( anh TRUNG )",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814724.931141,,,,
"3,2 tỷ VNĐ",Đường 1 phường Bồ Đề, 68m2, 6,"- Tọa lạc ngay khu đô thị Tây Nam Linh Đàm, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội (ngay cạnh trường Chu Văn An).- Diện tích: 3.28 ha. Mật độ xây dựng 30%.- Diện tích căn hộ: 68 - 76 - 83 - 95 - 121 - 147m2 (2 - 3 ngủ).- Thanh toán vô cùng hấp dẫn: 15 - 20 đợt (mỗi đợt 3 - 5%).Hotline: Phòng kinh doanh chủ đầu tư:2. + Chính sách bán hàng ưu đãi:- Miễn 50% phí dịch vụ trong 2 năm đầu và nhiều chính sách khác...3. + Tiến độ xây dựng:
",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814726.3654485, 10, 2, 15, 2
"10,5 tỷ VNĐ",Cầu giấy, 50m2,,"BÁN NHÀ PHỐ CHỢ XANH 50M 5T Ô TÔ NHỈNH 10 TỶ Kinh đô thời trang Tokyo giữa Trung tâm Cầu Giấy, Kinh doanh , Ở đều rất tốt. Phát triển cực đỉnh, kinh doanh sầm uất. Giao thông thuận tiên. Đường thông khắp các ngả Đường chính lớn Cầu giấy, Trần Quốc Hoàn, Nguyễn Phong Sắc, Tô Hiệu.., Gần các Trường học từ Mầm non đến Đại Học đều xịn xò. Thiết kế tuyệt vời, công năng tối đa. Sổ đẹp, pháp lý sạch, sẵn sang tên nhanh gọn. Thiện trí xem nhà gọi Em Đức 0898839292.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814727.6763458,,,,
"10,5 tỷ VNĐ",Cầu giấy, 50m2,,"BÁN NHÀ PHỐ CHỢ XANH 50M 5T Ô TÔ NHỈNH 10 TỶ Kinh đô thời trang Tokyo giữa Trung tâm Cầu Giấy, Kinh doanh , Ở đều rất tốt. Phát triển cực đỉnh, kinh doanh sầm uất. Giao thông thuận tiên. Đường thông khắp các ngả Đường chính lớn Cầu giấy, Trần Quốc Hoàn, Nguyễn Phong Sắc, Tô Hiệu.., Gần các Trường học từ Mầm non đến Đại Học đều xịn xò. Thiết kế tuyệt vời, công năng tối đa. Sổ đẹp, pháp lý sạch, sẵn sang tên nhanh gọn. Thiện trí xem nhà gọi Em Đức 0898839292.",13/07/2022,Tin thường,batdongsan_so_com_vn_1673814728.8522,,,,
