address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Pháp lý,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn']","
Chính chủ cần bán gấp nhà 83m² KĐT liền kề Geleximco B mặt tiền 5m giá 7.9 tỷ.Nhà xây mới, thiết kế theo phong cách hiện đại, View trước nhà thoáng.Vị trí nhà gần Công viên Thiên Đường Bảo Sơn.Vị trí nhà gần đường Lê Trọng Tấn, gần đường Đại Lộ Thăng Long....Đường rộng thông thoáng đi lại thuận tiện.Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem nhà.            ",83 m²,7.9 tỷ,,,5 tầng,4 phòng,4 phòng,27/11/2022,04/12/2022,Tin thường,35962578,batdongsan_com_vn_35962578,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Yên Phụ', 'Đường An Dương']","
- Nhà mặt phố, vỉa hè, kinh doanh sầm uất ngày đêm.- Gần Hồ Tây, phố cổ. Tây sống nhiều hơn ta.- Tương lai giá trị nhà tăng cao.- Thiết kế 5 tầng đầy đủ công năng.Tầng 1: Gara ô tô + khách + 1 phòng ngủ + WC.Tầng 2, 3, 4 mỗi tầng 2 phòng ngủ + WC.Tầng 5: Bếp + phòng ăn + phòng thờ, sân phơi + WC.- Sổ đỏ chính chủ.            ",55 m²,13 tỷ,4.1 m,10 m,5 tầng,7 phòng,5 phòng,19/11/2022,09/12/2022,Tin thường,35350998,batdongsan_com_vn_35350998,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Đường Cát Linh']","
+ Chủ nhà cần bán nhà phố Cát Linh - Đống Đa - Hà Nội. Diện tích: 40m² x 4 tầng x mặt tiền 3.7m. Giá: 5.5 tỷ ( có thương lượng ).+ Dân trí cao, hàng xóm thân thiện, an ninh tốt.+ Vị trí trung tâm quận Đống Đa, tiếp giáp Ba Đình. Nhà cách phố chỉ 10m, ô tô đỗ sát cửa. Kinh doanh tốt. Tiện ích đầy đủ, gần ga Cát Linh, hồ Hào Nam, Văn Miếu Quốc Tử Giám, di chuyển 5 phút lên Hồ Tây, phố cổ. Trường học, bệnh viện, chợ, sân vận động Hằng Đẫy cạnh nhà.+ Giao thông thuận tiện kết nối Cát Linh - Giang Văn Minh - Giảng Võ - Hào Nam - An Trạch - Tôn Đức Thắng.+ Nhà xây 4 tầng khung cột chắc chắn. thiết kế hiện đại, đầy đủ công năng.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Liên hệ: 0926 891 *** Mr Liệu            ",40 m²,5.5 tỷ,3.7 m,3 m,4 tầng,4 phòng,3 phòng,27/11/2022,07/12/2022,Tin thường,35962539,batdongsan_com_vn_35962539,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Dự án Việt Hưng']","
Gia đình cần bán nhanh căn hộ khu đô thị Việt Hưng thang máy, mật độ thấp.- Diện tích tim tường 77m².- Thiết kế 2 phòng ngủ 2wc.- Căn hộ thoáng mát, nội thất đầy đủ xịn xò chỉ việc xách vali về ở.- Thiết kế cực thoáng, 2 ban công rộng.- Là khu vip cư dân văn minh, tầng chỉ có 5 căn hộ, mật độ thấp, thang máy không bao giờ phải chờ, là khu thấp tầng, cả tòa chỉ có 20 căn hộ nên rất thích, yên tĩnh phù hợp với hộ gia đình.- Giao thông thuận tiện 1 bước xuống phố lớn, xung quanh tiện ích đầy đủ như trường cấp 1,2 Giang Biên, cấp 1,2 KĐT Việt Hưng, mầm non Tràng An, Giang Biên, cấp 1,2 Lê Quý Đôn, cấp 3 Phúc Lợi, đặc biệt là cấp 2 chất lượng cao Chu Văn An cạnh nhà, chợ Quán Tình, Diêm Gỗ chỉ 1 phút, vị trí vô cùng thuận lợi di chuyển đến các cây cầu chính, phố chính của Long Biên, Vincom 800m, Vinhome Riverside, cầu Vĩnh Tuy, Aeon mall chỉ 5p,...            ",77 m²,1.97 tỷ,,,,2 phòng,2 phòng,24/11/2022,01/12/2022,Tin thường,35749598,batdongsan_com_vn_35749598,Nội thất xịn xò.,Sổ đỏ/ Sổ hồng.,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy', 'Đường Ngọc Thụy']","
Bán nhà Ngọc Thuỵ, Long Biên, Hà Nội:* Nhà bán thuộc mặt ngõ nhưng to hơn phố, cách một nhà là ra mặt đê Ngọc Thuỵ, vỉa hè to, mặt tiền khủng, nhà rất thuận tiện cho làm VP, Kinh Doanh.Nhà dân xây để ở nên cực kỳ chắc chắn, lại được lợi thế lô góc nên vô cùng thoáng đãng, vị trí quá đẹp trong quần thể khu phân lô đấu giá, một vị trí có thể kết hợp để ở và Kinh Doanh.* Nhà dân xây 5 tầng, ga ra ô tô, 4 phòng ngủ, đầy đủ công năng sử dụng.* Giá: 7,5 tỷ (có thương lượng).* LH xem nhà: Em Uy: 0878 018 *** ",60 m²,7.5 tỷ,6 m,8 m,5 tầng,4 phòng,4 phòng,25/11/2022,02/12/2022,Tin thường,35330882,batdongsan_com_vn_35330882,,,,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Phố Gia Quất']","
Bán nhà Gia Quất, Thượng Thanh, Long Biên, Hà Nội:* Vị trí nhà bán thuộc khu tiện ích chỉ ba bước chân: Gần trường học các cấp từ mầm non cho đến cấp 1, cấp 2 Gia Quất; chỉ 3 phút đã ra chợ, bước chân ra khỏi nhà là tràn ngập tiện ích, mua sắm, quán xá nhà hàng, đồ ăn. Ngõ thông ô tô chạy vù vù, ô tô vào nhà.* Là hàng xóm của Khai Sơn, HimLam và trước nhà là chung cư HomeLand, nên thừa hưởng được mọi lợi ích và tiện dụng của khu mang lại, thuộc khu dân trí cao, an sinh đỉnh, mua được ở sướng.* Nhà dân xây 4 tầng, thiết kế hiện đại, thoáng mát.* Sổ đỏ chính chủ, giao dịch nhanh.* Giá: 5,4 tỷ.* LH xem nhà: Em Uy: 0878 018 ***miễn trung gian).            ",58 m²,5.4 tỷ,4 m,4 m,4 tầng,3 phòng,4 phòng,25/11/2022,02/12/2022,Tin thường,35465247,batdongsan_com_vn_35465247,,Sổ đỏ,,
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Dự án Valencia Garden']","
Chính chủ bán CHCC Việt Hưng tầng trung.- Diện tích tim tường 65m² (thông thủy, sử dụng 61m²).- Thiết kế 2 ngủ, 1wc.- Cửa chính Đông Nam.- Đồ đạc cơ bản.- Tòa nhà mới bàn giao vài ba năm còn như mới.Vị trí đắc địa nhất quận Long Biên:- Địa chỉ: Lô CT19B KĐT Việt Hưng - Long Biên.- Trường học, bệnh viện, khu giải trí & TTTM ngay trong khu đô thị.- Cộng đồng cư dân văn minh, hạ tầng đô thị mới đồng bộ, ngay sát khu nghỉ dưỡng Vinhomes Riverside.- Gần 2 cây cầu lớn: Vĩnh Tuy, Chương Dương.- 3 Khối nhà cao 9 - 15 tầng kết hợp với những con đường dạo bộ thơ mộng.+ Dự án là nơi quy tụ của gần 40 tiện ích cao cấp và đồng bộ nhất: Trung tâm thương mại; Gym; Spa; Khu vui chơi giải trí; Khu thể thao đáp ứng toàn bộ nhu cầu của cư dân.+ Nằm trong quần thể KĐT xanh, dự án được bao quanh bởi những con đường dạo bộ thơ mộng, khuôn viên cây xanh rộng lớn tạo nên một môi trường sống thoải mái tiện nghi và năng động, phù hợp với mọi lứa tuổi.- Nằm trọn trong khu đô thị Việt Hưng là một trong những dự án đẳng cấp và mới nhất Việt Hưng, kế bên là dự án Ecocity với khuôn viên nội khu, không gian cây xanh rộng rãi thoáng mát, đặc biệt là rất yên tĩnh và trong lành, đối diện là Vinhomes Riverside nên được hưởng rất nhiều tiện ích từ hạ tầng đến các tiện ích như trung tâm thương mại, siêu thị, vinmart, trường học khu đô thị, liên cấp Chu Văn An, bệnh viện Đức Giang, chợ, trung tâm hành chính quận.            ",61 m²,1.72 tỷ,,,,2 phòng,1 phòng,24/11/2022,01/12/2022,Tin thường,35846389,batdongsan_com_vn_35846389,Nội thất cơ bản.,,Đông - Nam,Tây - Bắc
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Ngô Gia Tự']","
Bán nhà Ngô Gia Tự, Đức Giang, Long Biên, Hà Nội:* Vị trí nhà bán giao nhau giữa Ngô Gia Tự với Vũ Đức Thận, gần vòng xuyến Nguyễn Văn Cừ giao với đường 5, là khu vực lý tưởng cho xe cộ qua lại, là nơi thuận tiện cho giao thương buôn bán. Nhà sổ phân lô, ô tô đỗ tránh ngày đêm, nhà thiết kế thông sàn tầng 1,2 dùng làm gara ô tô, kết hợp làm văn phòng, khách sạn, hay dùng để ở thì rất khó cưỡng lại được.* Nhà xây mới 6 tầng, thang máy nhập khẩu.* Sổ đỏ chính chủ, giao dịch nhanh.* Giá: 9,9 tỷ.* LH Mr Uy: 0878 018 *** ",55 m²,9.9 tỷ,4 m,7 m,6 tầng,4 phòng,4 phòng,25/11/2022,02/12/2022,Tin thường,34399570,batdongsan_com_vn_34399570,Nội thất xịn sò.,Sổ đỏ.,,
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Dự án Việt Hưng']","
Gia đình cần bán nhanh căn hộ chung cư KĐT Việt Hưng.- Diện tích 82m², nhà đã sửa, full nội thất chỉ về ở.- Thiết kế 1 phòng ngủ, 2wc, 2 ban công.- Căn góc cực thoáng thiết kế hiện đại, khu bếp riêng.- Là căn hiếm có 2wc, mật độ cực thoáng 4 căn 1 tầng có thang máy.- View công viên cực kỳ đẹp và thoáng, trước mặt hồ nước nhỏ.- Cửa chính đông bắc ban công tây nam.- Nằm ở vị trí vàng, trung tâm của KĐT Việt Hưng với một loạt các tiện ích ngay dưới chân tòa nhà như: Nhà hàng, siêu thị, làm đẹp, công viên, hồ điều hòa, và đặc biệt là rất gần trung tâm thương mại Vincom, bệnh viện Đức Giang và các khu hành chính công của quận như: Quận ủy, bảo hiểm xã hội, tòa án, chợ... Đến với Việt Hưng là đến với cuộc sống xanh không khí mát mẻ trong lành và yên tĩnh.- Đây thực sự là căn hộ tuyệt vời cho không gian sống của bạn.            ",82 m²,1.799 tỷ,,,,2 phòng,2 phòng,24/11/2022,01/12/2022,Tin thường,35859633,batdongsan_com_vn_35859633,Đầy đủ nội thất.,Sổ đỏ/ Sổ hồng,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Tư Đình']","
Bán nhà Tư Đình, Long Biên, Hà Nội:* Vị trí nhà bán cách cầu Vĩnh Tuy 300m, cách siêu thị Aeon Mall đi bộ chưa đến 5 phút, gần trường cấp 1,2 và cấp 3 Long Biên, rất thuận tiện cho con em đang độ tuổi đi học và về sau này.* Vị trí nhà bán ngõ thông tứ tung ô tô chạy vù vù, rất thuận tiện cho gia chủ đi vào trung tâm phố cổ; có thể đi từ hướng cầu Chương Dương hay cầu Vĩnh Tuy đều rất thuận tiện. Mua được ở sướng.* Nhà xây 5 tầng, thang máy nhập - gara ô tô.* Sổ đỏ chính chủ, giao dịch nhanh.* Giá: 8,5 tỷ (có thương lượng cho khách thiện chí).* LH xem nhà: Em Uy: 0878 018 ***miễn trung gian).            ",68 m²,8.5 tỷ,5 m,,5 tầng,5 phòng,5 phòng,25/11/2022,03/12/2022,Tin thường,35498779,batdongsan_com_vn_35498779,,,,
