address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Nội thất
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc']","
Bán gấp Triều Khúc 5 tầng ở ngay - phân lô - Ô tô tránh - Kinh doanh DT 35m² - Giá 6.1 tỷ. (có TL).- Vị trí trung tâm Triều Khúc thông sang Nguyễn Trãi, Nguyễn Xiển, Chiến Thắng, Văn Quán... Giao thông rất tiện, xung quanh không thiếu thứ gì.- Nhà 2 thoáng trước sau, trước nhà Ô tô tránh thoải mái. Thông thương kinh doanh.- Thiết kế khung cột bê tông chắc chắn, đầy đủ nội thất.+ Tầng 1: Kinh doanh, (gara) + bếp.+ Tầng 2: Phòng khách + phòng ngủ.+ Tầng 3,4: Tổng 4 ngủ, 2 wc.+ Tầng 5: Phòng thờ, sân phơi, vườn chill, view ngắm cảnh.- Sổ đỏ chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch.            ",35 m²,6.1 tỷ,3.8 m,6 m,,,5 tầng,5 phòng,5 phòng,24/11/2022,01/12/2022,Tin thường,35751884,batdongsan_com_vn_35751884,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.
"['Hà Nội', 'Thanh Xuân', 'Phường Kim Giang', 'Đường Kim Giang']","
Bán gấp nhà đẹp, ô tô đỗ cửa, 5 tầng ở ngay, 39m² Kim Giang - giá cực hợp lý 3.85 tỷ.- Vị trí đẹp, trung tâm Thanh Xuân. Thông ra Nguyễn Xiển, Khương Đình, Nguyễn Trãi...- Xung quanh đầy đủ tiện ích như đường xá sạch đẹp, trường chuẩn quốc gia ngay gần nhà, bệnh viện, bán kính 1.5 km rất nhiều trường đại học, trung tâm thương mại...- Nhà chủ tự xây mục đích để ở lên rất chắc chắn từ móng lên. Thiết kế đẹp, đủ công năng 4 ngủ. 4 WC, phòng thờ + sân phơi.- Sổ cực đẹp cất két, sẵn sàng giao dịch.- Nhà đẹp giá đầu tư, Ac quan tâm, nhanh tay gọi E để xem nhà.            ",39 m²,3.85 tỷ,3.8 m,2.5 m,,,5 tầng,4 phòng,4 phòng,21/11/2022,28/11/2022,Tin thường,35891872,batdongsan_com_vn_35891872,Sổ đỏ/ Sổ hồng,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Khuất Duy Tiến', '289A', 'Vinaconex 1']","
Chính chủ cần bán gấp căn hộ chung cư Vinaconex 1 289A Khuất Duy Tiến, diện tích 146m² thiết kế 3 ngủ, 2 vệ sinh, khách bếp, lô góc, ban công đông nam, tây bắc, cửa đông bắc, nhà mình tầng 16, để lại toàn bộ nội thất xịn. Giá nhỉnh 4 tỷ. Liên hệ chính chủ 0906 217 *** / 0985 752 ***chị Linh).            ",146 m²,4 tỷ,,,Đông - Bắc,Đông - Nam,,3 phòng,2 phòng,23/11/2022,30/11/2022,Tin thường,35145704,batdongsan_com_vn_35145704,,Nội thất xịn.
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'đường Tứ Hiệp', 'Dự án Tecco Garden']","
https://teccogardens.comPháp lý đầy đủ.- Đã có sổ hồng lâu dài.- Căn hộ 2PN: 88m².- Căn hộ 3PN: 112m, thiết kế tối ưu, 2 ban công rộng.- Căn hộ 4PN: 134m.- Căn hộ 4PN: 148m, hai ban công Đông Nam.- Tầng trung view đẹp thoáng mát.- Vị trí trung tâm hành chính kinh tế Thanh Trì.- Tiện ích xung quanh đầy đủ, trường học, bệnh viện, chợ, nhà thuốc, spa, các khu trung tâm thương mại.- Hạ tầng đồng bộ, khuôn viên cây xanh, dự án hồ điều hòa.- Nhận nhà vào ở luôn, pháp lý đầy đủ.- Căn hộ giá rẻ cho cuộc sống đẳng cấp.- Tổ ấm là nơi vun đắp, nơi kết nối, nơi nâng tầm giá trị gia đình.Liên hệ Đất Xanh Miền Bắc em Tú: 0346 130 ***Zalo, Viber).            ",88 m²,2.4 tỷ,,,Đông - Nam,Tây - Bắc,,2 phòng,2 phòng,23/11/2022,30/11/2022,Tin thường,35927271,batdongsan_com_vn_35927271,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hà Đông', 'Phường Nguyễn Trãi', 'Đường Lê Lợi']","
Phân lô vip - ôtô tránh ô tô vào nhà cực hiếm. Trung tâm phố cổ chỉ cách chợ Hà Đông 100m giao thông thuận tiện đi các ngả tiện ích vô vàn không thiếu thứ gì hàng xóm văn minh toàn quan chức thực sự giá cả không còn là vấn đề nữa 66m², 4 tầng mt 4m chỉ hơn 7 tỷ.+ Nhà tự xây, siêu thoáng.Thiết kế:- Tầng 1: Khách + bếp.- Tầng 2, 3: 2 phòng ngủ + WC.- Tầng 4: Phòng thờ, sân phơi. + ô tô đỗ cửa, tiện ích vô vàn.+ Sổ đỏ phân lô, sẵn sàng giao dịch.Quý khách quan tâm liên hệ Mr Thắng. ĐT 0916 569 *** xem nhà miễn phí.            ",66 m²,Thỏa thuận,4 m,8 m,,,4 tầng,4 phòng,4 phòng,25/11/2022,02/12/2022,Tin thường,34963204,batdongsan_com_vn_34963204,Sổ đỏ,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đồng Tâm', 'Phố Trần Đại Nghĩa']","
Bán gấp! Trần Đại Nghĩa 75m², MT 5m, 11,5 tỷ ô tô phân lô, cực vip.+ Vị trí nhà nằm mặt ngõ phân lô ô tô, dân trí cao, tập trung đông dân cư sinh sống kinh doanh hái ra tiền.+ Trung tâm quận Hai Bà Trưng, đại học Kinh Tế Quốc Dân 500m, Phố cổ Hoàn Kiếm 1,5km. Tiếp giáp quận Đống Đa, Trường Chinh.+ Nhà 3 tầng cũ, xác định bán vị trí.+ Giấy tờ pháp lý chuẩn.            ",75 m²,11.5 tỷ,5 m,4 m,,,3 tầng,3 phòng,3 phòng,27/11/2022,06/12/2022,Tin thường,35769698,batdongsan_com_vn_35769698,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Phạm Văn Đồng', 'Dự án The Nine']","
Chính chủ cần bán gấp căn hộ chung cư The Nine, Phường Mai Dịch, Cầu Giấy, Hà Nội.- Tầng 16 căn 11, diện tích 100,2m², thiết kế 3PN, 2VS, ban công Đông, cửa chính Tây view thành phố cực đẹp.- Tầng 18 căn 07, diện tích 109,3m², thiết kế 3PN, 2vs, ban công Tây - Bắc, cửa chính Nam, view công viên An Bình cực đẹp.- Tầng 15 căn 05, diện tích 87,5 m², thiết kế 3PN, 2VS. Ban công Tây, cửa chính Đông view Hồ Tùng Mậu cực đẹp.+ Nhà mình cần bán gấp với giá 48tr/m² (có chênh nhẹ).Liên hệ chính chủ Chị Linh: 0906 217 *** / 0971 085 ***MTG).            ",100.2 m²,48 triệu/m²,,,Tây,Đông,,3 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35602959,batdongsan_com_vn_35602959,,
"['Hà Nội', 'Quốc Oai', 'Xã Đại Thành', 'Đường 416']","
LK3 40m  1.98tỷ Quốc Oai LK4 40m 1.97tỷ Quốc OaiLK5 40m 1.96tỷ Quốc Oai Vị Trí: Ngõ Thông, gần chợ, trường.- Thiết kế: 3 tầng+ Tầng 1: Khách, bếp, WC+ Tầng 2: 2 ngủ, WC+ Tầng 3: PN, phòng thờ, sân phơi, wcSổ đẹp giao dịch ngay.liên hệ mr.tài 0964 266 *** thổ cư quốc oai            ",40 m²,40 triệu,,,,,,,,27/11/2022,07/12/2022,Tin thường,35957112,batdongsan_com_vn_35957112,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Chiến Thắng']","
50m ra mặt đường Chiến Thắng.150m ra đường Trần Phú.Phân lô ô tô tránh.Gara ô tô.Khu toàn quan chức.Sinh sống.Hướng Đông Nam.Mát rượi.+ Mặt sau thoáng vĩnh viễn.+ Nhà đẹp 5 tầng 4 ngủ đủ công Năng.+ Tầng 1 ga ra ô tô + 1 phòng có thể thiết kế phòng karaoke.+ Tầng 2 P khách + P bếp - vs.+ Tầng 3 + 4 tầng 2 phòng ngủ - vs.+ Tầng 5 phòng thờ - sân phơi.+ Sổ đỏ đẹp cất két giao dịch ngay.+ Vị trí đẹp. Đi lại thuận tiện Nguyễn Xiển, Nguyễn Trãi, Triều Khúc, Yên Xá, Trần Phú, Văn Quán...Liên hệ ngay Mr Thắng.Đt 0916 569 *** - để được xem nhà miễn phí.            ",50 m²,Thỏa thuận,4 m,6 m,Đông - Nam,,5 tầng,4 phòng,5 phòng,25/11/2022,02/12/2022,Tin thường,34412621,batdongsan_com_vn_34412621,Sổ đỏ,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Phùng Khoang']","
Gia đình cần bán căn nhà CCMN diện tích 90m² xây 6 tầng rất chắc chắn, thiết kế 22 phòng khép kín hiện đại, full nội thất giường tủ, nóng lạnh, điều hòa, máy giặt... Hiện đang cho thuê full phòng, gia chủ tự quản lý doanh thu 70tr/tháng.Nhà trọ có rất nhiều lối vào, cách mặt đường chỉ 25m, nằm ngay ngã 3 Trung Văn, Lương Thế Vinh, khu vực rất nhiều trường đại học lớn, nhu cầu thuê trọ luôn rất cao, luôn kín phòng. Khách mua về chỉ việc tiếp quản thu tiền hàng tháng hoặc cho 1 đơn vị thuê lại quản lý.Sổ đỏ chính chủ, sẵn sàng giao dịch.Chủ rất thiện chí bán nên giá bán chỉ 8,5 tỷ.Liên hệ xem nhà trực tiếp, miễn phí mr Điệp 0379 283 ***Cảm ơn quý khách đã đọc tin.            ",90 m²,8.5 tỷ,,,,,6 tầng,22 phòng,22 phòng,27/11/2022,04/12/2022,Tin thường,31955256,batdongsan_com_vn_31955256,Sổ đỏ/ Sổ hồng.,Đầy đủ
