address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Đường vào,Hướng nhà
"['Hà Nội', 'Hoàn Kiếm', 'Phường Trần Hưng Đạo', 'Phố Hàm Long']","
Trung tâm Hoàn Kiếm - nhà đẹp ở sướng, cho thuê tốt.Phố Hàm Long - Hoàn Kiếm 35m² x 5 tầng chính chủ bán 8,2 tỷ.Lh Mr Chiến 0904 684 *** ace nhé.+ Vị trí nhà 30m ra mặt phố, cách Bờ Hồ 5 phút đi bộ. Giao thông thuận tiện giao các tuyến phố lớn Bà Triệu - Trần Quốc Toản. Tiện ích không thiếu thứ gì.+ Nhà 5 tầng khung cột chắc chắn, nội thất đẹp, mỗi tầng 1 phòng khép kín, căn nhà đang cho thuê gần 30 triệu/ tháng. 5 phòng khép kín.+ Sổ đỏ vuông đẹp, sẵn sàng giao dịch.            ",35 m²,8.2 tỷ,4 phòng,4 phòng,Sổ đỏ sẵn sàng giao dịch .,Phun đồ,26/11/2022,03/12/2022,Tin thường,35065156,batdongsan_com_vn_35065156,3.8 m,5 tầng,3 m,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Trường Chinh']","
6 tầng - ngõ rộng nông - cách mặt phố Trường Chinh 10m (sau nhà mặt phố 1 nhà) - kinh doanh.Trường chinh sau nhà mặt phố ngõ nông rộng 39m² x6 tầng x 5,7m mặt tiền. Chính chủ bán 6,6 tỷ.Lh Mr Chiển 0904 684 *** ace nhé.+ Vị trí nhà 6 tầng mới long lanh Trường Chinh cực đẹp ngõ rất rộng, nông cách mặt phố chỉ 10m sau nhà mặt phố Trường Chinh 1 nhà.+ Nhà 6 tầng chủ thiết kế nội thất cực đẹp, cầu thang tay vị gỗ, mỗi tầng 1 phòng.- Tầng 1: Phòng khách.- Tầng 2: Gác xép.- Tầng 3, 4: Mỗi tầng 1 phòng + vệ sinh.- Thầng 5: 2 phòng ngủ + vệ sinh.- Tầng 6: Phòng thờ + sân phơi.+ Vị trí nhà vừa ở vừa kinh doanh hoạc làm văn phòng.+ Sổ đỏ chính chủ vuông vắn đẹp, pháp lý sạch.Sẵn sàng giao dịch.            ",39 m²,6.6 tỷ,4 phòng,4 phòng,Sổ đỏ sẵn sàng giao dịch .,Full đồ.,26/11/2022,03/12/2022,Tin thường,35166769,batdongsan_com_vn_35166769,5.7 m,6 tầng,3 m,
"['Hà Nội', 'Hoàng Mai', 'Dự án CT3 Tây Nam Linh Đàm']","
Căn hộ đẹp nhất trục 3 phòng ngủ ct3 HUD3 tây nam linh đàm. Nhà full đồ gỗ tự nhiên, chỉ việc ở Căn hộ đầu tay nên hai vợ chồng mình chọn từng vật dụng trong nhà từ giường tủ bàn ghê, cho đến tranh ảnh, bát đũa..... Nội thất gỗ tự nhiên ông bà đóng từ dưới quê mang lên, nên vừa đẹp vừa yên tâm ạ.Diện tích 82.6m², diện tích thông thủySổ hồng chính chủThiết kế 3 Phòng ngủ, 2 WC, 1 ban công, 1 lô giaHướng cửa Tây Nam, BC chính đông bắc, lô gia phụ Tây Bắcnội thất: sàn gỗ trần thạch cao, điều hòa, tủ quần áo gỗ thịt tủ bếp, ...Giá 3,4 tỷ bao tên Liên hệ 0982 475 *** ",82 m²,3.4 tỷ,3 phòng,2 phòng,,Đầy đủ,26/11/2022,03/12/2022,Tin thường,35961562,batdongsan_com_vn_35961562,,,,Tây - Bắc
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai']","
7 tầng thang máy - chủ tự xây - hiệu suất cho thuê cao - kinh doanh sầm uất - lô góc tầm tiền.Mặt phố Minh khai, 69m² x 7 tầng thang máy, chính chủ chào bán 23,9 tỷ.LH Mr Chiến: 0904 684 *** ACE nhé.Vị trí đẹp nhất phố, kinh doanh sầm uất, vỉa hè bát ngát, lô góc 3 thoáng nhà đẹp long lanh chủ tự xây như mới. Hiệu suất cho thuê cao. Chủ cho thuê 2 tầng dưới 45 triệu cả nhà 80 triệu.Thiết kế đẹp, hiện đại.Tầng: 1,2 thông sàn.Tầng: 3 - 6: Mỗi tầng 2 phòng.Tầng 7: 1 phòng.Sổ đỏ sẵn sàng giao dịch.            ",69 m²,23.9 tỷ,,,Sổ đỏ,,26/11/2022,05/12/2022,Tin thường,35250723,batdongsan_com_vn_35250723,,7 tầng,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Imperia Smart City']","
Căn hộ Studio giá tốt nhất thuộc đại đô thị Vinhome Smart City, Tây Mỗ - Đại Mỗ.Diện tích: 28m², 1 WC.Tầng trung, hướng mát.Rất thích hợp cho người độc thân, sinh viên.Tiện ích.- Trung tâm của đại đô thị, đối diện với hồ trung tâm rộng 10,2ha.- Nhà để xe 10 tầng nằm ngay bên cạnh.- Vườn nhật rộng 6,8 ha.- Trung tâm thương mại lớn nhất Việt nam.- Bệnh viện Vinmec.- Công viên thể thao với hơn 1000 máy tập ngoài trời...- Bể bơi nội khu 1000m².Giá bán: 1,1 tỷ.Liên hệ Hà Thuyết 0981 599 *** ",28 m²,1.1 tỷ,,,,,26/11/2022,03/12/2022,Tin thường,33727440,batdongsan_com_vn_33727440,,,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Đường Quang Trung']","
Chính chủ cần bán 2 mảnh đất dịch vụ Yên Nghĩa. Đất phân lô, vỉa hè 3m, đường nhựa cây xanh 2 bên.+ Diện tích sổ đỏ mảnh 55m², mặt tiền 4,35m.+ Diện tích sổ đỏ mảnh 53m², mặt tiền 4,5m.+ Đường rộng vỉa hè, dân cư đông đúc.+ Mảnh đất có thể đi vào từ Đường Quang Trung gần bến xe Yên Nghĩa hoặc đi thẳng đường Tố Hữu kéo dài tới chân cầu vượt là đến đất khu C Yên Nghĩa. Khu A,B thì ngay sát bến xe Yên Nghĩa, 2 bên thông sang nhau.+ Sổ đỏ vuông đẹp chính chủ tên 2 vợ chồng.+ Giá 4.5 tỷ có thương lượng.Ai thiện chí mua thì liên hệ mình.SĐT: 0986519520.(Các bạn Mg, báo mạng vui lòng ko làm phiền).            ",55 m²,4.5 tỷ,,,Sổ đỏ,,26/11/2022,03/12/2022,Tin thường,34540977,batdongsan_com_vn_34540977,4.5 m,,12 m,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Giáp Nhất']","
Diện tích sử dụng: 86m² (trên sổ 68m²).Mặt tiền 5.2m, ngõ thông ô tô qua nhà, Vào nhà thoải mái.Nhà xây 5 tầng đẹp được thiết kế hợp lý với đầy đủ ánh sáng, thoáng mát và vô cùng sạch sẽ.Nhà nở hậu có chừa chỗ để có thể làm thang máy, có thể thêm lầu nếu muốn.Tầng 1: Gồm 1 phòng ngủ, 1 wc, để ô tô.Tầng 2: Phòng khách, phòng ăn, bếp, wc.Tầng 3: 2 phòng ngủ, 2 wc.Tầng 4: 2 phòng ngủ, 2 wc.Tầng 5: 1 phòng thờ - sân phơi.Cầu thang + cửa sổ + của thông phòng làm toàn bộ bằng gỗ hương cao cấp, thiết bị vệ sinh Inax.Nhà nằm ở trung tâm của quận Thanh Xuân nơi tiếp giáp với quận Đống Đa, Cầu giấy thông ra nhiều tuyến đường lớn như Láng, Nguyễn Trãi, Nguyễn Ngọc Vũ, Quan Nhân, Nhân Hòa, Hoàng Ngân, gần trường gần chợ giao thông đi lại vô cùng tiện ích.Giá bán: 9.3 tỷ có thương lượng cho nguoi mua.Liên hệ chính chủ: 0981 599 *** ",86 m²,9.3 tỷ,,,Sổ đỏ/ Sổ hồng.,,26/11/2022,03/12/2022,Tin thường,35880144,batdongsan_com_vn_35880144,,5 tầng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hoàng Ngân']","
BÁN NHÀ MẶT PHỐ HOÀNG NGÂN THANH XUÂN PHỐ KINH DOANH 7TẦNG THANG MÁY. Diện tích: 43m²  7 tầng  mặt tiền 4m. Giá 12.2 Tỷ. Nhà mặt phố Hoàng Ngân xây mới 7 tầng thang máy, ở, cho thuê, kinh doanh đỉnh, giao thông thuận tiện công năng tiện ích ngập tràn Thiết kế:+ Tầng 1: Thông sàn, kinh doanh, thang máy, thang bộ, vệ sinh cuối.+ Tầng 2: Phòng khách, WC.+ Tầng 3: Phòng ngủ, phòng sinh hoạt chung, WC.+ Tầng 4,5: Phòng ngủ Master, WC. +Tầng 6: Bếp, phòng ăn, sân chơi, WC.+ Tầng 7: Phòng thờ, nóc tum.Sổ đỏ đẹp, sẵn sàng giao dịch Liên hệ:0888 928 ***Mr Sơn            ",43 m²,12.2 tỷ,,,,,26/11/2022,03/12/2022,Tin thường,35954063,batdongsan_com_vn_35954063,,,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Thạch Bàn']","
- Sát TTTM  Aeon, sát cầu Vĩnh Tuy, 5 phút sang Time city , hưởng trọn mọi tiện ích,  - Mặt ngách thông, ngõ thông khắp nơi vào được từ nhiều hướng- Sổ đỏ vuông vắn.cất khét chờ anh em mang về- Khu vực không có đất bán, cầu Vĩnh Tuy 2 hoàn thiện giá trị tăng gấp bội.bối cảnh lạm phát tăng cao mua giữ tiền. chất như nước cất-lh em Điệp.bết thêm về thủa đất.và mọi phân khúc khác 2tỏi -20tỏi            ",42 m²,3 tỷ,,,,,26/11/2022,06/12/2022,Tin thường,35961558,batdongsan_com_vn_35961558,3.8 m,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Phạm Hùng']","
BÁN NHÀ BIỆT THỰ KHU ĐÔ THỊ MỄ TRÌ THƯỢNG - NAM TỪ LIÊM - Ô TÔ TRÁNH - NHÀ ĐẸP - GIÁ HỢP LÝ SO VỚI KHU VỰC.+ Dt: 245m² x 3 tầng mặt tiền 12m+ Vị trí đẹp , nhà thiết kế hiện đại , công năng sử dụng hợp lý.+ Sổ đỏ đẹp sẵn sàng giao dịch.+ Giá: 31.5 tỷ có TL.+ Lh: E Trang 0984 516 *** ",245 m²,31.5 tỷ,5 phòng,5 phòng,,,26/11/2022,03/12/2022,Tin thường,35961557,batdongsan_com_vn_35961557,12 m,3 tầng,10 m,
