address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Pháp lý,Nội thất,Số tầng,Đường vào,Mặt tiền
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án The Pride']","
Chính chủ tôi cần bán gấp căn 3 ngủ tòa The Pride. Thông tin căn hộ nhà tôi như sau:Diện tích: 95m².Hướng cửa: Tây Nam, ban công: Tây Bắc.Thiết kế căn hộ: 3 phòng ngủ, 2 phòng vệ sinh + phòng khách, ban công thoáng mát.Nội thất để lại: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, hệ thống tủ bếp, bếp từ, hút mùi, điều hoà, nóng lạnh.Giá bán 2,25 tỷ có gia lộc cho khách thiện trí.Pháp lý: Sổ đỏ chính chủ.Liên hệ chính chủ tôi 0345 888 *** hoặc 0366 767 *** ",95.1 m²,2.25 tỷ,Tây - Bắc,3 phòng,2 phòng,25/11/2022,05/12/2022,Tin Vip 3,35949022,batdongsan_com_vn_35949022,Tây - Nam,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', '47', 'GoldSeason']","
Gia đình cần chuyển lên căn 3 phòng ngủ nên cần bán lại căn 2pn tại cc GoldSeason 47 Nguyễn Tuân.- Nhà nhận bàn giao tháng 6/2019.- Có slot xe, đồ đạc nội thất còn rất mới, gia đình giữ gìn.- Giá gi đình bán là 2,7 tỷ, bao phí.Anh chị chưa tìm được nhà và có nhu cầu mua ở ngay thì anh chị lấy căn nhà tôi, vị trí đẹp, giá thành hợp lý. Anh chị cần xem nhà ngay thì liên hệ tôi qua sđt: 0936 203 ***Xin cảm ơn.            ",60 m²,2.7 tỷ,Đông - Nam,2 phòng,2 phòng,25/11/2022,05/12/2022,Tin Vip 3,35949015,batdongsan_com_vn_35949015,Tây - Bắc,Đang chờ sổ,Full nội thất.,,,
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Đường Núi Trúc', '20', 'Lancaster Hà Nội']","
Chính chủ cần bán gấp căn hộ Lancaster 20 Núi Trúc, diện tích 94m².Do chuyển công tác và định cư tại Sài Gòn nên tôi chính chủ cần chuyển nhượng lại căn hộ Lancaster Hà Nội, dự án do chủ đầu tư tập đoàn Trung Thủy làm chủ đầu tư.- Căn hộ có diện tích 94m².- Thiết kế: 2 phòng ngủ 2 vệ sinh. Tất cả các phòng ngủ và phòng khách đều có ánh sáng và ban công rất đẹp.- Căn hộ full nội thất chỉ cần về ở.- Sổ đỏ đã đứng tên chính chủ chỉ cần công chứng sang tên.- Giá bán: 61 triệu/m².- Liên hệ chính chủ: 0936 386 ***MTG).            ",94 m²,61 triệu/m²,,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin Vip 3,35788709,batdongsan_com_vn_35788709,,Sổ đỏ/ Sổ hồng,Full nội thất.,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lãm', 'Đường Quang Lãm']","
Tôi chính chủ có mảnh đất 55m² lô góc nằm trên ngõ 3 đường Quang Lãm, thửa đất nhìn ra sân bóng trường Đại học Đại Nam cần bán.Sổ đỏ mới sang tên, thủ tục pháp lý chuẩn chỉ, rõ ràng. Đủ điều kiện cấp GPXD 4 tầng + tum (Nhà bên cạnh đã xin xong).Thửa đất nằm ngay gần UBND phường Phú Lãm, nhìn ra sân bóng trường Đại Nam, giáp trường ĐH Đại Nam và giáp khu KTX trường Đại Nam, 2 mặt thoáng, đường trước nhà rộng 5m, ngõ cạnh nhà rộng 1,5m. Diện tích 55m² vuông vắn xây nhà ở hoặc làm chung cư mini cho sinh viên thuê đều hợp lý. Khu vực đông dân cư, sần uất, gần các trường, chợ, siêu thị, khu hành chính phường, nhà văn hóa TDP, sân bóng Quang Lãm, nơi tập thể dục rất trong lành.Nay có nhu cầu bán lại cho nhà đầu tư có nhu cầu mua về xây ở hoặc làm chung cư mini cho thuê. Thiện chí bán!            ",55 m²,3.4 tỷ,,,,25/11/2022,02/12/2022,Tin Vip 3,35948935,batdongsan_com_vn_35948935,Tây - Bắc,Sổ đỏ/ Sổ hồng,,,5 m,3.65 m
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Trần Quang Diệu', '20 ngách 9 ngõ 8']","
Chính chủ bán nhà 20 ngách 9 ngõ 8 Trần Quang Diệu. Gần sát Ủy ban quận, ngõ ô tô vào nhà, diện tích 45m², mặt tiền 4,2m. Nhà mới xây 5 tầng, 4 phòng ngủ, 3 vệ sinh, hướng Đông Nam. (Xin lỗi không tiếp môi giới, trung gian, VP nhà đất).Giá 14 tỷ 2.Liên hệ anh Hoàng: 0812 298 *** ",44 m²,14.2 tỷ,,4 phòng,3 phòng,25/11/2022,02/12/2022,Tin Vip 3,35947583,batdongsan_com_vn_35947583,Đông - Nam,Sổ đỏ/ Sổ hồng,,5 tầng,,4.2 m
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Ngõ 189 =Đường Hoàng Hoa Thám']","
Chính chủ bán tòa nhà lô góc, 7 tầng thang máy tại địa chỉ: Ngõ 189 Hoàng Hoa Thám phường Liễu Giai, Ba Đình.Nhà nằm vị trí đắc địa, trung tâm quận Ba Đình ngõ rộng thông thoáng, view Hồ Tây.Diện tích 55m² mặt tiền 5m vuông như tờ A4, lô góc 2 mặt thoáng sáng tuyệt đẹp.Nhà xây 7 tầng thang máy, kết cấu kiên cố, kiến trúc hiện đại, công năng hợp lý tiện nghi.Trang bị full nội thất, thang máy tốc độ cao, thiết bị nhập khẩu cao cấp.Sổ đỏ chính chủ, cam kết không quy hoạch, không thế chấp sẵn sàng giao dịch.Giá bán 11. Xx tỷ.Liên hệ: 0978 132 ***anh Hà) để xem nhà và thông tin chi tiết.            ",55 m²,Thỏa thuận,,5 phòng,6 phòng,25/11/2022,05/12/2022,Tin Vip 3,35948906,batdongsan_com_vn_35948906,,Sổ đỏ/ Sổ hồng,,7 tầng,,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Phố Phùng Hưng', 'Dự án KĐT Xa La']","
Chủ nhà chuyển công tác về khu vực mới nên cần bán nhanh căn góc 2PN cho gia đình nào có nhu cầu. Căn góc vị trí rất thoáng, đón nhiều ánh sáng tự nhiên và vượng khí tốt tràn ngập căn hộ. Thông tin như sau:- Diện tích: 70 m².- Thiết kế căn hộ: 2PN, 2VS, 1 phòng khách, 1 bếp, 1 ban công thoáng.- Nội thất gồm những gì để lại: Sàn gỗ, tủ bếp, trần thạch cao, điều hòa, nóng lạnh, giường, tủ quần áo,... Khách mua chỉ việc đến ở.- Pháp lý: Sổ hồng chính chủ, sẵn sàng giao dịch.- Giá bán: 1,65 tỷ (Gia lộc mạnh cho khách thiện chí mua bán nhanh).- Hotline: 0376 685 ***Chị Linh).Miễn TG&QC. Xin cảm ơn!            ",70 m²,1.65 tỷ,,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin Vip 3,35948886,batdongsan_com_vn_35948886,,Sổ hồng chính chủ,Nội thất đầy đủ,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', 'Dự án Goldmark City']","
Cần tiền đầu tư các chủ nhà cần bán nhanh căn hộ tại khu đô thị Goldmark City Hồ Tùng Mậu.Thông tin các căn giá tốt cần bán như sau:- Căn Diện tích 78m², thiết kế 2PN, 2WC, 1 phòng khách, 1 bếp..Giá bán: 2,8 tỷ (có thương lượng).- Căn diện tích: 94m², Thiết kế 3PN, 2WC, 1 phòng khách và 1 bếp.Giá bán: 3,4 tỷ (có thương lượng).- Căn diện tích: 104m², 115m² thiết kế 3PN, 2WC, 1 phòng khách và 1 bếp.Giá bán: 3,8 tỷ (có thương lượng).- Căn diện tích: 135m, Thiết kế 3PN, 2WC, 1 phòng khách và 1 bếp.Giá bán: 4,8 tỷ (có thương lượng).- Căn diện tích: 135m, Thiết kế 3PN, 2WC, 1 phòng khách và 1 bếp.Giá bán: 4,8 tỷ (có thương lượng).- Căn diện tích: 160m, Thiết kế 4PN, 3WC, 1 phòng khách và 1 bếp.Giá bán: 5,5 tỷ (có thương lượng).Nội thất đầy đủ xách vali vào ở ngay, có thể giao dịch và nhận nhà ở ngay.Pháp lý rõ ràng, sổ đỏ chính chủ.Cam kết hỗ trợ khách hàng cho đến khi nhận nhà và sổ đỏ cầm tay.            ",115 m²,3.8 tỷ,Đông - Nam,3 phòng,2 phòng,25/11/2022,05/12/2022,Tin Vip 3,35948795,batdongsan_com_vn_35948795,Tây - Bắc,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường An Dương Vương', 'Tổ 25', 'Ngõ 209/22/12', 'SN 8']","
Nhà có sổ đỏ chính chủ pháp lý rõ ràng. Diện tích đất 33m², diện tích sử dụng 165m².Nhà thiết kế 5 tầng - Full Options.Tầng 1: Phòng khách, phòng bếp và phòng ăn, phòng vệ sinh.Tầng 2,3,4: Mỗi tầng gồm 1 phòng ngủ, nhà vệ sinh khép kín.Tầng 5: Gồm phòng thờ, sân phơi.Đã hoàn thiện. Nhà hướng Nam, thiết kế hiện đại, nhiều ánh sáng. Khu vực dân trí cao.Giao thông thuận tiện, môi trường sống lý tưởng.Thích hợp mua để ở hoặc ôm đầu tư. Chương trình ""chìa khóa trao tay"" hỗ trợ trọn gói đến khi khách hàng vào ở.Căn 1 + 2 đã bán.Căn 3 giá bán 3,7 tỷ.Căn 4 giá bán 3,6 tỷ.Liên hệ: C. Hương 0889 820 *** ",33 m²,3.7 tỷ,,3 phòng,4 phòng,25/11/2022,05/12/2022,Tin Vip 3,35948002,batdongsan_com_vn_35948002,,Sổ đỏ,,5 tầng,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Dự án Văn Khê']","
- Chính chủ cần bán nhanh toà nhà văn phòng đẹp nhất dự án KĐT Văn Khê - Hà Đông - LK19.04.- Lô góc, 2 mặt tiền rộng, đường trước nhà 19m, ô tô dừng đỗ thoải mái.- Diện tích 107m², 6 tầng thông sàn, thang máy hiện đại, chủ đầu tư tâm huyết, cẩn thận.- Vị trí trung tâm, nằm trên trục chính sầm uất nhất dự án thông thẳng ra đường Tố Hữu vào trung tâm thành phố hay đi các tỉnh rất tiện.- Tiện ích xung quanh không thiếu thứ gì.+ 3 bước chân ra đường Tố Hữu, trạm Bus BRT, Công Viên Thiên Văn Học 12ha. 5 phút ra đại siêu thị Aeon Mall Hà đông, Trường Quốc tế Việt Nam, Quốc tế Nhật Bản. 15 phút ra các Trường đại học lớn Bưu chính Viễn Thông, An Ninh Nhân Dân, Giao thông Vận tải, Đại học Hà nội... Và các Bệnh viện lớn như Quân y 103, Y học cổ truyền..+ Khu vực đang rất phát triển, xung quanh là các dự án lớn như Nam Cường, Geleximco, FLC, Louis.. Vành đai 3 và 4.- Sổ đỏ chính chủ, pháp lý chuẩn, chủ thiện chí bán vào việc nhanh.Quí khách hàng quan tâm vui lòng liên hệ: 0967 154 ***Mr Sơn).            ",107 m²,245 triệu/m²,,6 phòng,6 phòng,25/11/2022,05/12/2022,Tin Vip 3,35703600,batdongsan_com_vn_35703600,,Sổ đỏ,,6 tầng,,
