address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', ""Dự án Vinhomes D'Capitale""]","
Gia đình chuyển nhà lên phố, cần bán lại căn hộ chung cư cao cấp Vinhomes D'Capitale.Căn hộ đẹp nhất, 3 phòng ngủ, ban công hướng Đông Nam, view thẳng ra hồ & công viên Thanh Xuân.Nhà được trang bị đầy đủ nội thất sang, xịn & đẹp.Sổ đỏ CC.Giá 6 tỷ.LH: A. Thịnh 0936 031 *** ",100 m²,6 tỷ,,,Sổ đỏ/ Sổ hồng,23/11/2022,03/12/2022,Tin Vip 3,35828951,batdongsan_com_vn_35828951,,,Đông - Nam,3 phòng,2 phòng,Có đủ nội thất.
"['Hà Nội', 'Hoài Đức', 'Xã Sơn Đồng', 'Đường 422', 'Dự án Sơn Đồng Center']","
Đầu tư shophouse 4,5 tầng giá từ 8 tỷ/ căn (gồm nhà và đất).Cách Mỹ Đình 15 phút.Dự án shophouse Sơn Đồng Center: Sơn Đồng, Song Phương, Hoài Đức, Hà Nội.Sổ đỏ lâu dài.Tháng 9 - 2021: Bàn giao nhà nhận sổ đỏ ngay, có thể cho thuê kinh doanh dc ngay.Chủ đầu tư Geleximco.Giao thông thuận lợi mặt đường Song Phương 30m và mặt đường Trịnh Văn Bô 40m.Đóng 30%, ngân hàng hỗ trợ 65% miễn gốc, lãi 1 năm.Diện tích 65m², 75m², 85m², 90m²...Đón đầu đường Trịnh Văn Bô (Mỹ đình) kéo dài xong nốt thì chỉ cách Mỹ đình 5p di chuyển 5km.Đón Hoài Đức lên quận.Cách đường Vành đai 3,5 có 2km.Khu đất làng nghề giầu có sầm uất.Nhân 3 tài sản.            ",80 m²,8 tỷ,6 m,6 m,Sổ đỏ/ Sổ hồng,23/11/2022,03/12/2022,Tin Vip 3,35926867,batdongsan_com_vn_35926867,4 tầng,Đông,Đông,4 phòng,4 phòng,Hoàn thiện mặt ngoài 
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
Bán nhà Hoàng Quốc Việt - Võ Chí Công - Quận Cầu Giấy - nhà mới đẹp long lanh - lô góc - ô tô đỗ cửa. Tặng lại toàn bộ nội thất.60m² x 5 tầng, mặt tiền 4.6 m giá 6.95 tỷ.Sổ vuông đẹp nở hậu, không lỗi phong thủy, sẵn sàng giao dịch.* LH em 0963 558 *** ",60 m²,6.95 tỷ,4.6 m,,,23/11/2022,03/12/2022,Tin Vip 3,35926853,batdongsan_com_vn_35926853,5 tầng,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Cầu Bươu', 'Dự án Sails Tower']","
Gia đình chuyển sang căn 3 ngủ cùng toà cần bán gấp căn 2 ngủ tầng 10 tại toà B Sông Nhuệ - khu đô thị Xa La, Hà Đông cho bác nào có nhu cầu.Thông tin căn hộ:- Cửa Đông Bắc, ban công Tây Nam.- Thiết kế: 2 ngủ 1 vệ sinh.- Diện tích 62m².- Pháp lý: Sổ đỏ chính chủ sẵn sàng giao dịch.- Nội thất: Sàn gỗ, trần thạch cao, tủ bếp, điều hoà, bình nóng lạnh, sofa, giường ngủ, tủ quần áo...- Giá mong muốn: 1 tỷ 490 triệu có thương lượng.- Liên hệ chính chủ: Chị Tâm 0976 572 *** ",62 m²,1.49 tỷ,,,Sổ đỏ,23/11/2022,30/11/2022,Tin Vip 3,35926837,batdongsan_com_vn_35926837,,Đông - Bắc,Tây - Nam,2 phòng,1 phòng,"Sàn gỗ, tủ bếp, điều hoà, bình nóng lạnh, giường ngủ, tủ quần áo, sooffa,..."
"['Hà Nội', 'Hoài Đức', 'Xã Kim Chung', 'Đường Quốc lộ 32']","
Diện tích sổ đỏ 28m².Diện tích thực tế khoảng 33m².Mặt tiền 7.6m.Hướng Tây Nam.Giá bán 6 tỷ.Ai có nhu cầu liên hệ 0906 223 *** ",28 m²,6 tỷ,7.6 m,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin Vip 3,35560009,batdongsan_com_vn_35560009,,Tây - Nam,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án KĐTM Dương Nội']","
Chính chủ Cần bán căn hộ toà CT7 diện tích 56,5m² Tk 2 ngủ 1 vệ sinh khách bếp nhà mới như ảnh.Nhà tầng trung viu thoáng hướng đẹp!Nhà bán để lại nội thất: Bàn ghế, điều hoà, giường tủ, tủ lạnh, máy giặt..Sổ chính chủ!Giá cả thỏa thuận!LH 0984 503 ***chính chủ).            ",56.5 m²,1.55 tỷ,,,,23/11/2022,30/11/2022,Tin Vip 3,35701591,batdongsan_com_vn_35701591,,,,2 phòng,1 phòng,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mễ Trì', 'Dự án The Manor']","
Cần bán gấp 3 căn hộ rẻ nhất The Manor Mễ Trì:* Căn hộ 189m² thiết kế 3 phòng ngủ, 2 vệ sinh, 2 gác xép.View nhìn ra cung hữu nghị Việt Trung.Nhà full đồ đã sửa chữa đẹp. (có video căn hộ).Giá bán 7,7 tỷ bao toàn bộ chi phí sang tên.* Căn hộ 106m² thuộc khu B có thiết kế 2 phòng ngủ, 2 vệ sinh.Nhà full nội thất.Giá bán 5,1 tỷ.* Căn hộ 228m² (căn tròn) thuộc khu B thiết kế 3 phòng ngủ, 2 vệ sinh, ban công đông nam, các phòng ngủ đều có ánh sáng tự nhiên.Giá bán 10 tỷ.Cả 3 căn đều sổ đỏ chính chủ.LH: 0972 103 *** xem nhà 24/24.            ",189 m²,7.7 tỷ,,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin Vip 3,32354376,batdongsan_com_vn_32354376,,,,3 phòng,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Bạch Mai']","
Nhà bán vị trí cực phẩm: Trung tâm quận Hai Bà Trưng, ba gác vào nhà, 10 mét ra ô tô tránh, gần chợ, trường học, đại học Kinh Tế, Bách Khoa, Xây Dựng.Nhà dân xây để ở, 5T kiên cố. Khung cột chắc chắn.Diện tích 40 mét. Sổ đỏ chính chủ.Giá hơn 4 tỷ.Liên hệ xem nhà và gặp chính chủ 0935 612 *** ",40 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin Vip 3,35926612,batdongsan_com_vn_35926612,5 tầng,,,6 phòng,,Đầy đủ nội thất
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Trần Phú', 'Dự án Hồ Gươm Plaza']","
Cần bán căn hộ toà Hồ Gươm Plaza. Diện tích căn 145m², thiết kế 3pn, căn góc tầng đẹp, view thoáng, hoàn thiện cơ bản.Khu vực tiện ích xung quanh toà nhà, siêu thị, trường học, ngân hàng, gần ga tàu điện trên cao thuận tiện di chuyển vào trong nội đô.Sổ đỏ chính chủ.Giá bán: 36 triệu/ m².Vui lòng liên hệ Kiều Thuý 0949 170 *** ",145 m²,36 triệu/m²,,,,23/11/2022,30/11/2022,Tin Vip 3,35672430,batdongsan_com_vn_35672430,,,,3 phòng,2 phòng,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Chung cư cao cấp E5 nhìn ra hồ khu đô thị Nam Thăng Long. Diện tích 142m² 3 phòng ngủ 2WC, cửa vào Đông Nam. Ban công Tây Nam và Tây Bắc. Nội thất đẹp. Đang cho khách nước ngoài thuê 19 triệu/th.Giá bán 6,2 tỷ.Liên hệ 0983 223 *** ",142 m²,6.2 tỷ,,,Sổ đỏ/ Sổ hồng,23/11/2022,03/12/2022,Tin Vip 3,35926370,batdongsan_com_vn_35926370,,Đông - Nam,Tây - Nam,3 phòng,2 phòng,Nội thất đầy đủ.
