address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Hướng ban công
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
- Hàng hiếm có 1 0 2. Cô Kim bán đi chia cho con.- Vị trí trung tâm Xuân Đỉnh, cách 1 nhà ra mặt ngõ ô tô tránh, ngõ thông thẳng phố Lộc, công viên Hòa Bình... Đi lại cực thuận tiện.- Căn nhà hiếm dân xây còn sót lại. Chắc chắn kiên cố.- Diện tích 43m² 5 tầng MT 4m, thiết kế tầng 2 phòng.- Giá chào nhỉnh 4 tỷ (có thương lượng).* Sổ đỏ vuông sắc cạnh, pháp lý rõ ràng.* Nhanh tay liên hệ xem nhà 0911 141 *** ",43 m²,4.5 tỷ,4 m,3 m,,5 tầng,6 phòng,5 phòng,Sổ đỏ.,23/11/2022,30/11/2022,Tin thường,34326806,batdongsan_com_vn_34326806,,
"['Hà Nội', 'Nam Từ Liêm', 'Dự án Vinhomes Smart City']","
Do cần tiền để kinh doanh nên chính chủ cần chuyển nhượng căn 3PN-2WC tầng cao, tòa S2.02 Vinhomes Smart City.- Diện tích: 75m2- Cửa ĐN - ban công TN và TB- Tầng cao- Nội thất cơ bản, đã lắp thêm rèm và nóng lạnh.Liên hệ xem nhà miễn phí: Đặng Hải 0986 668 *** ",75 m²,2.9 tỷ,,,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin thường,35962819,batdongsan_com_vn_35962819,,Tây - Bắc
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh', 'Ngõ 205']","
- Vị trí cực đẹp - ngõ thông ô tô tránh.- Gần Phố Lộc, đi bộ công viên Hòa Bình thể dục.- Nhà nằm trong ngõ 205 gần với 323 Xuân Đỉnh. Cuối năm khởi công Quy hoạch bê tông hóa ngõ 323 sẽ cực đẹp.- Chủ nhà thiết kế tỉ mỉ, phong cách hiện đại, thoáng trước thoáng sau. Phòng nào cũng có cửa sổ, có ban công.- Chủ nhà xây tâm huyết, có sẵn ô chờ thang máy.- Diện tích 56m² MT cực rộng làm cho căn nhà càng trở nên rộng rãi, tha hồ sáng tạo thiết kế nội thất.- Nhà hiện đang hoàn thiện, chỉ khoảng 10ngay nữa là xong hết tất cả.- Giá chào nhỉnh 5 tỷ (có thương lượng).* Sổ đỏ pháp lý rõ ràng, nở hậu.* Nhanh tay liên hệ xem nhà 0911 141 *** ",56 m²,5.7 tỷ,4.3 m,2.5 m,,5 tầng,6 phòng,,Sổ đỏ,23/11/2022,30/11/2022,Tin thường,34682750,batdongsan_com_vn_34682750,,
"['Hà Nội', 'Phúc Thọ', 'Xã Hiệp Thuận', 'Đường 421']","
Bán lô đất tại làng Quế Lâm xã Hiệp Thuận.+ Diện tích 85m².+ Mặt tiền 5,3m, hậu 5,3m.+ Dài 16m.+ Hướng 16m.+ Hướng Tây Bắc.+ Ngõ trước đất 3m, ô tô nhỏ vào tận đất, ô tô to vào đến cách 15m,Cách cầu Phùng 1km.+ Đất sổ đỏ đầy đủ, ranh giới rõ ràng, mọi vấn đề đều đẹp.+ Gía bán 16tr/m², bao sang tên sổ sách.LH 0332 189 *** ",85 m²,16 triệu/m²,5.3 m,3 m,Tây - Bắc,,,,,27/11/2022,04/12/2022,Tin thường,31671683,batdongsan_com_vn_31671683,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Bùi Xương Trạch']","
- Nhà mặt ngõ thông từ Bùi Xương Trạch sang Vũ Tông Phan, ô tô tránh cách nhà chỉ 10m.- DT rộng rãi 70m², có nhà sẵn 3 tầng, đầy đủ công năng ở thoải mái.- Dân cư xung quanh khu cán bộ quân đội, tiện ích gì cũng có, kv trung tâm đi đâu cũng tiện.SĐCC, không chung đụng. Sang tên nhanh chóng.Giá trả trước 3.7 tỷ có thương lượng.- Nói không với tin ảo 0867 578 *** ",70 m²,Thỏa thuận,,,,3 tầng,,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,33879517,batdongsan_com_vn_33879517,,
"['Hà Nội', 'Thanh Xuân', 'Phường Hạ Đình', 'Đường Hoàng Đạo Thành']","
- Hoàng Đạo Thành - phố hot Thanh Xuân tiếp giáp Kim Giang, Nguyễn Xiển, Khương Đình... Khu vực cực ít nhà bán, đường ngõ phân lô ô bàn cờ, dân trí cực tốt, tiện ích giao thông thuận lợi.- Nhà bán tổng diện tích 87m², xây làm 2 nhà:1 nhà 36m2x5 tầng chủ để ở, phần còn lại cho thuê.Chủ nhà cần bán để về ở với con cháu.Giá thỏa thuận - 2 căn nhà vừa ở vừa cho thuê quá tiện lợi.LH 0867 578 *** - Ms Phương chuyên nhà đất Thanh Xuân Hoàng Mai.            ",87 m²,Thỏa thuận,,,,,,,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35933261,batdongsan_com_vn_35933261,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Đức Diễn']","
BÁN GẤP NHÀ ĐỨC DIỄN.20m RA Ô TÔ TRÁNH. 38m². X 4 Tầng.GIÁ 4.35 Tỷ .LH0963 161 ***Mô tả:+ Nhà rất gần đường ô tô tránh, gần mặt phố Đức Diễn.+ Ngõ rộng gần 3m cách đường ô tô đậu 20m.+ Vị trí Ngay Hồ Sen Đường Đức Diễn, hạ tầng tiện ích phát triển từng ngày, kết nối giao thông thuận tiện.+ Nhà dân xây kiên cố, thiết kế đẹp, thông thoáng, nội thất đầy đủ.+ Tầng 1: Phòng Khách, WC và Bếp+ Tầng 2,3: 2 Phòng ngủ và WC. Tổng 4 phòng ngủ.+ Tầng 4: Phòng giặt + Sân phơi.+ Sổ đỏ chính chủ.sẵn sàng giao dịch trong ngày + liên hệ: Em Tuy. 0963 161 ***. Để biết thêm thông tin            ",38 m²,4.35 tỷ,,,,4 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962816,batdongsan_com_vn_35962816,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Trãi']","
- Nhà tại Nguyễn Trãi KV trung tâm, xung quanh bạt ngàn trường ĐH lớn, tiện ích gì cũng có, rất thuận lợi cho gd trẻ có nhà ở trung tâm tiện làm việc và học hành cho con cái.Nhà mua giữ tiền cực kì tốt, thiết kế 5 tầng, tổng 7 phòng ngủ, giá cho thuê KV dao động 2.5-3. Tr/ phòng, mỗi tháng đều đều 20tr.- Nhà giấy tờ đầy đủ, giá chào 2.8 tỷ có thương lượng.LH Ms Phương 0867 578 *** ",32 m²,2.8 tỷ,,,,,7 phòng,,,23/11/2022,30/11/2022,Tin thường,35932239,batdongsan_com_vn_35932239,,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường An Hòa']","
Bán nhà tặng mảnh đất 65m², 2 mặt tiền trước sau, ô tô tránh vào nhà, kinh doanh tốt. Do cần tiền gấp nên hạ chào từ 9.6 tỷ xuống 8.4 tỷ bán nhanh.Nhà thiết kế cũ tầng 2 phòng, cầu thang giữa, mới tân trang lại, đủ công năng 4 PN, 1 Phòng thờ và sân phơi. Tầng 1 có thể cải tạo để làm Gara nếu khách mua muốn cho Ô tô vào nhà.Gđ đang tận dụng tầng 1 làm tiệm giặt là rất đông khách.Sổ đỏ chính chủ, pháp lý sạch, sang tên ngay.Quá rẻ, Ac đang tìm kiếm nhà khu vực này thì liên hệ ngay với còn, hiện tại chủ đang cần bán nhanh và giá đã giảm cả 1 tỷ.Chi tiết liên hệ ngay 0912 624 *** miễn trung gian.            ",65 m²,8.4 tỷ,4 m,6 m,,4 tầng,4 phòng,3 phòng,Sổ đỏ chính chủ,24/11/2022,01/12/2022,Tin thường,35945164,batdongsan_com_vn_35945164,Đầy đủ,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Định Công Thượng']","
Nhà mơi coong - gần phố - gần ô tô - full nội thất.Định Công Thượng 35m² x 5 tầng giá 3,75 tỷ Hoàng Mai.Mô tả:+ Chuỗi nhà xây mới, hiện đại, sang trọng mang lại ánh hào quang cho khu vực.+ Thiết kế:- Tầng 1: Phòng Khách + Bếp + WC.- Tầng 2, 3, 4: Phòng ngủ + WC.- Tầng 5: Phòng thờ và sân phơi.+ Đường Định Công Thượng sẽ mở to gấp 3, ngõ xe ba gác, chạy. Khu tập trung sầm uất giao thương giữa Định Công Thượng Định Công Hạ - Bùi Xương Trạch Khu vực gần trường, chợ, TTTM, bệnh viện.+ Sổ đỏ vuông vắn.            ",35 m²,3.75 tỷ,4.4 m,2.5 m,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,25/11/2022,05/12/2022,Tin thường,35947639,batdongsan_com_vn_35947639,Nội thất đẹp.,
