address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Phố Thái Thịnh']","
Mô tả:- Nhà cũ sát chợ Vĩnh Hồ, ngõ thông tứ tung.- Đường thoáng 7 chỗ đỗ cửa.- Nhà đã cũ chủ xác định bán đất, phù hợp để đầu tư xây CC mini hoặc văn phòng, hoặc kinh doanh các mặt hàng đều thuận lợi.- Nhà giá tốt nhất khu vực không có căn thứ 2.Aanh/chị đầu tư LH em Hùng: 0946 658 *** đi xem nhà - miễn trung gian.            ",54 m²,5.5 tỷ,,24/11/2022,01/12/2022,Tin thường,35945150,batdongsan_com_vn_35945150,7 m,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường 19/5']","
Mô tả: - Vị trí nhà Văn Quán Trần Phú Hà Đông, 500m ra Hồ Văn Quán mỏ vàng CHO THUÊ- Đắc địa gần phố, sát oto, bagac đỗ cửa. Không tìm được chung cư mini thứ 2 với vị trí và giá tiền tương đương. - Người thuê đi bộ vài bước ra đường lớn, lên tàu điện trên cao phút mốt là đến trung tâm.- Diện tích hơn 60m² và mặt tiền đẹp, mặt ngõ trước nhà to rộng, 16 Phòng full đồ cho thuê về tay 70tr/tháng - 840tr/ năm.- Dòng tiền hơn 10 năm là thu hồi vốn, chưa kể giá đất Thổ cư tăng ầm ầm, vừa ở vừa cho thuê, gà đẻ trứng vàng chưa bao giờ vượng đến vậy.Giấy phép xây dựng, bản thiết kế đầy đủ Thiết kế: + Tầng 1: Để xe, khu giặt đồ, + 1 phòng+ Tầng 2,3,4,5,6: 15 phòng-Sổ đỏ chính chủ nở hậu quá đẹp, sẵn sàng giao dịch.- Hiện trạng chủ cho thuê full phòngLh xem nhà 0946 658 *** em Hùng( Miễn trung gian)            ",60 m²,9.35 tỷ,,26/11/2022,03/12/2022,Tin thường,35962205,batdongsan_com_vn_35962205,,6 tầng,16 phòng,16 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Chương Mỹ', 'Xã Hoàng Diệu']","
Chính chủ bán 3510m² đất lúa nước Hoàng Diệu Chương Mỹ.- Vị trí đất đẹp không án ngữ nỗi phong thủy cách mương máng Bẩy đi thị trấn Chúc Sơn Hà Đông 30m.- Đường  đã đổ bê tông 4m.- Giá thì khỏi phải nói siêu rẻ.- Giá chỉ 95tr/1 sào 360m² (có thương lượng).- LH em hiện nay đang cầm sổ hồng chào bán LH 0971 186 *** ",3510 m²,Thỏa thuận,40 m,26/11/2022,03/12/2022,Tin thường,35637296,batdongsan_com_vn_35637296,4 m,,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Lê Trọng Tấn']","
- Đất mặt phố Vip quận Thanh Xuân giáp với Đống Đa, xung quanh là các tuyến phố lớn sầm uất như Trường Chinh, Lê Trọng Tấn, Tôn Thất Tùng, Nguyễn Trãi tập trung nhiều công sở, tòa văn phòng.- Khuôn đất đẹp, vỉa hè rộng, vị trí tuyệt vời để xây tòa văn phòng 9 tầng thang máy làm trụ sở công tay, cho thuê- Sổ đỏ pháp lý cực chuẩn. Chờ giao dịch.- LH: Anh chị vui lòng liên hệ trực tiếp qua SĐT 0912 865 ***Mr Hải) để trao đổi thêm thông tin và đi xem nhà.            ",180 m²,60 tỷ,6 m,25/11/2022,02/12/2022,Tin thường,35950582,batdongsan_com_vn_35950582,20 m,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Lê Trọng Tấn']","
- Nhà mới, phân lô cán bộ khu vực Lê Trọng Tấn, Trường Chinh, Hoàng Văn Thái, Nguyễn Ngọc Nại, Khu đô thị Định Công Đầy đủ các khu dịch vụ tiện ích mua sắm, giải trí, học tập, bệnh viện hàng đầu.- Nhà thiết kế hiện đại với 6 tầng thang máy, nội thất ngoại nhập;+ Tầng 1: Phòng Khách.+ Tầng2: Bếp + WC.+ Tầng 3.4.5: 3 ngủ vip, Vệ sinh khép kín.+ Tầng 6: Phòng thờ siêu rộng, Sân phơi.+ Sổ đỏ vuông đẹp cất két.- Phù hợp cho cả gia đình đông người, có nhu cầu mua nhà mới ở ngay, thang máy, khu vực gần trung tâm đi lại, sinh hoạt thuận tiện, khu dân trí cao, an ninh tuyệt đối đảm bảo.- LH: Anh chị vui lòng liên hệ trực tiếp qua Sđt 0912 865 ***Mr Hải) để trao đổi thêm thông tin và đi xem nhà.            ",42 m²,7.99 tỷ,5 m,25/11/2022,02/12/2022,Tin thường,35949668,batdongsan_com_vn_35949668,3 m,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Lê Trọng Tấn', 'Ngõ 192']","
Nhà mới, ngõ 192 Lê Trọng Tấn, Thanh Xuân - 35m² x 6 tầng, 4 ngủ - ngõ rộng, ô tô 7 chỗ đỗ cổng, cách mặt đường 20 mét, vị trí không thể đẹp hơn, nhỉnh 4 tỷ (thương lượng).- Nhà 6 tầng x 4 ngủ, chủ mới hoàn thiện cực kỳ đẹp, thiết kế hiện đại đầy đủ công năng cho cả gia đình đông người.- Khu vực ngõ 192 Lê Trọng Tấn ngay gần tuyến đường 2.5 đang hoàn thành, ô tô đỗ tận cổng, tương lại cực kỳ đẹp và tiềm năng.- Thông thương sang các tuyến phố Lê Trọng Tấn, Trường Chinh, Định Công, Bùi Xương Trạch, Vũ Tông Phan...- Liên hệ: 0912 865 ***Mr Hải) để trao đổi thêm thông tin và xem nhà.            ",35 m²,4.5 tỷ,4.5 m,21/11/2022,28/11/2022,Tin thường,35894487,batdongsan_com_vn_35894487,4 m,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Phố Khương Hạ']","
NHÀ MỚI ĐẸP Ở NGAY ĐÓN TẾT, Ô TÔ ĐỖ CỔNG, GẦN NGAY MẶT PHỐ KHU VỰC NGÃ TƯ SỞ, KHƯƠNG TRUNG, KHƯƠNG HẠ, KHƯƠNG ĐÌNH TRUNG TÂM THANH XUÂN GIÁP ĐỐNG ĐA, HOÀNG MAI. -  Gần phố, ô tô đỗ cổng, nhà thiết kế cực đẹp và hợp lý, đồ nội thất cao cấp, cực hiếm trong tầm giá chưa đến 4 tỷ.- Xung quanh tiện ích đầy đủ không thiều thứ gì từ trường học các cấp, chợ, siệu thị, trung tâm thương mại,... + Tầng 1 phòng khách + bếp. + Tầng 2, 3, 4 là phòng ngủ + vs. + Tầng 5 là phòng thờ sân phơi .-  Sổ đỏ chính chủ sẵn sàng giao dịch- Anh chị vui lòng liên hệ sđt 0912 865 *** để trao đổi thêm thông tin và xem nhà.            ",30 m²,3.9 tỷ,4 m,26/11/2022,03/12/2022,Tin thường,35960282,batdongsan_com_vn_35960282,5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Tây Hồ', 'Phường Yên Phụ', 'Phố Yên Hoa']","
Chính chủ nhờ bán mảnh đất mặt phố Yên Hoa, Tây Hồ. 100m² mặt tiền 18m. Giá: 39tỷ (còn thương lượng, làm việc trực tiếp chủ).Mảnh đất vị trí cực đẹp, mặt hồ Tây. Ngay gần CLub Hà Nội và 100m ra đường Thanh Niên.Thích hợp đầu tư, xây tòa căn hộ dịch vụ,...- Thửa đất vuông đẹp, sổ pháp lý chuẩn sẵn sàng giao dịch.Liên hệ xem nhà và nhận thông tin chi tiết: 0397 904 *** ",100 m²,39 tỷ,18 m,21/11/2022,28/11/2022,Tin thường,35914112,batdongsan_com_vn_35914112,13 m,,,,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Trung Kính']","
6 TẦNG THANG MÁY, VỈA HÈ 5M, KINH DOANH NHÀ HÀNG VĂN PHÒNG BẤT CHẤP KHU VỰC TRUNG KÍNH, VŨ PHẠM HÀM, TRUNG HOÀ, TRẦN KIM XUYẾN...+ Vị trí siêu đẹp cách phố lớn, sầm uất 30m. Ngõ phân lô vỉa hè to như phố thông tứ tung, thông ra Vũ Phạm Hàm, Trung Hoà, Trung Kính, Trung Yên...- Khu vực rất nhiều cty văn phòng, nhà hàng ăn uống cho người Hàn Quốc, kinh doanh tấp nập đa dạng mặt hàng...- Thiết kế 6 tầng thang máy, Nhà mới đẹp với các công năng sử dụng:+ Tầng 1,2,3: Thông sàn.+ Tầng 4: 3 phòng ngủ.+ Tầng 5: Thông sàn, Hiện đang làm bếp+ Tầng 6: Sân phơi. tum+ Sổ phân lô siêu đẹp, chủ thiện chí bán. - Anh chị vui lòng liên hệ trực tiếp qua sđt 0912 865 *** để trao đổi thêm thông tin và xem nhà.            ",100 m²,30 tỷ,,26/11/2022,03/12/2022,Tin thường,35960756,batdongsan_com_vn_35960756,10 m,6 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bách Khoa', 'Phố Đại La']","
Mô tả:Bán gấp nhà phố Đại La 56m², 5T, MT 6m.Vị trí:- Nằm ngay đầu đường Đại La, từ nhà ra Phố cách 50m, cách oto 20m. Ngoài Phố mở chân Cầu vượt trên cao thì vị trí quá đẹp.- Diện tích đất: 56m² x 5 tầng x mặt tiền 6m.- Nhà lô góc, hai mặt tiền, trước nhà SH quay thoải mái. Ba mặt đều thoáng. Nhà xây mới, thiết kế hiện đại sang trọng.- Diện tích đất 56m², 5T, MT 6m.Thiết kế:Nhà được thiết kế và xây dựng 5 tầng khung cột bê tông cực chắc chắn.- Tầng 1: Thông sàn chỗ để xe + phòng khách + khu bếp + WC.- Tầng 2,3,4: Mỗi sàn 2 phòng ngủ lớn và nhỏ + WC chung.- Tầng 5: Phòng thờ + sân phơi.- Hướng: Tây Nam và Nam.- Giá bán: 7.8 tỷ có thương lượng.- Sổ đỏ pháp lý chuẩn SSGD.Mọi chi tiết xin liên hệ:Tell: 0986 351 *** Em Huỳnh.            ",56 m²,7.8 tỷ,6 m,22/11/2022,29/11/2022,Tin thường,35345934,batdongsan_com_vn_35345934,2.5 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Nam,Tây - Nam
