address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Phố Trần Quốc Hoàn']","
Bán nhà phố Trần Quốc Hoàn 56m² MT 4.15m gara siêu đẹp.- Căn nhà ở vị trí đẹp nhất Cầu Giấy, giao thông thuận tiện, kết nối giao nhau Trần Quốc Hoàn, Nguyễn Phong Sắc, Cầu Giấy, Hoàng Quốc Việt.+ An sinh tuyệt vời gần nhiều trường đại học lớn, Sư Phạm, Báo Trí, Học Viện Quân Sự, và các trường liên cấp 1.2.3.+ Nhà thiết kế đẹp 5 tầng, chủ nhà xây chắc chắn kiên cố khách mua về chỉ việc ở.+ T1 gara khách bếp T2 trở lên mỗi tầng 2 phòng rộng đẹp.+ Sổ vuông đẹp sẵn sàng giao dịch.+ 0961 506 *** em Hải.            ",56 m²,12.8 tỷ,,,,05/12/2022,15/12/2022,Tin thường,35369960,batdongsan_com_vn_35369960,,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Đường Lê Trọng Tấn', 'Dự án Gemek Tower']","
+ Vị trí đỉnh mặt Lê Trọng Tấn đi lại quá thuận tiện view đẹp, Nằm vị trí giao thông thuận tiện giao đại lộ Thăng Long, đi vào trung tâm hội nghị Quốc Gia mất 4km rất tiện.+ Chủ nhà rất cẩn thận tỉ mỉ từng chi tiết nhỏ nhất. Nhà gần như mới chủ ở giữ gìn, nội thất xịn sò.+ Nhà có 2 phòng ngủ, phòng nào cũng thoáng sáng, xem nhà là mê luôn. Chủ bán chuyển đổi về gần chỗ làm tiện đi lại.+ Sổ đỏ chính chủ.+ Liên hệ E Nam: 0962 336 *** để được xem nhà và tư vấn miễn phí 24/7.            ",70 m²,2.1 tỷ,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36039926,batdongsan_com_vn_36039926,,,,,,2 phòng
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
Bán chung cư mini Cầu Giấy, dòng tiền cao ổn định an toàn cho nhà đầu tư 50m² 9phòng cho thuê dònăm tiền 600tr/năm giá 7.1tỷ.Tòa chung cư vị trí trung tâm Cầu Giấy nơi rất nhiều Trường Đại Học bao quanh, Sư Phạm, Ngoại Ngữ, Báo Trí, Giao Thông... Nơi vị trí vàng cho thuê sinh lời, đi bộ 2p ra ga tàu điện trên cao, vào phố chơi không lo tắc đường.Hiện trạng chủ đang cho thuê fun phòng, nhà đầu tư mua về chỉ việc thu tiền.Sổ vuông đẹp.0961506898 Em Hải.            ",50 m²,7.1 tỷ,9 phòng,,,05/12/2022,15/12/2022,Tin thường,35224322,batdongsan_com_vn_35224322,,,,,5 tầng,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Dương Khuê']","
Bán đất Phố Dương Khuê siêu đẹp 48m² mặt tiền rộng 4.7m khu vực không còn lô thứ 2.+ Vị trí trung tâm Cầu Giấy, nơi kinh doanh buôn bán, sầm uất nhất Cầu Giấy, xung quanh rất nhiều tổ hợp tòa nhà văn phòng, khách sạn, spa.+ Giao thông vô cùng thuận tiện đi bộ 2p ra ga Tàu Điện đường Hồ Tùng Mậu, con phố Dương Khuê giao cắt Nguyễn Hoàng, Lê Đức Thọ.+ Mảnh Đất Vuông vắn khách mua về xây lên tòa nhà 7 tầng thang máy cho thuê, hoặc kinh doanh luôn thì tuyệt vời, khu vực phát triển.+ Pháp lý chuần.+ 0961 506 *** ",48 m²,11.5 tỷ,,,,05/12/2022,15/12/2022,Tin thường,35422905,batdongsan_com_vn_35422905,4.7 m,93 m,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Dương Khuê']","
Bán nhà dương khuê vị trí đắc địa kinh doanh sầm uất trước mặt là công viên, đường rộng 15m ô tô đỗ cửa ngày đêm.+ Vị trí đắc địa con phố ẩm thực cạnh trường đại học thương mại, xung quanh là tổ hợp nhà hàng, khách sạn, và tòa nhà văn phòng cho thuê.+ Giao thông thuận tiện kết nối các tuyến đường lớn Hồ Tùng Mậu, Nguyễn Hoàng, Lê Đức Thọ.+ Nhà thiết kế 6 tầng 12p, xây dựng kiên cố có mố chờ thang máy, khách mua về có thể chuyển đổi thành văn phòng cho thuê hoặc khách sạn đều rất đẹp.+ T1 thông sàn gara kinh doanh từ t2 mỗi tầng 2 phòng.- Sổ đẹp phân lô.- 0961506898 Trọng Hải.            ",58 m²,17 tỷ,,Sổ đẹp phân lô.,,05/12/2022,15/12/2022,Tin thường,34823150,batdongsan_com_vn_34823150,,15 m,,,6 tầng,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hào Nam']","
Bán nhanh nhà ngõ Hào Nam, giá chỉ 6.2 tỷ, 70m2x4T, căn góc, nở hậu, KD được.Mô tả:Diện tích sử dụng rộng rãi là 70m². Nhà xây 4 tầng cơ bản. Vị trí nhà đẹp, lô góc 2 mặt thoáng vĩnh viễn. Mặt tiền rộng 4.2m. Hướng Nam.Nhà gần chợ dân sinh, quanh nhà kinh doanh buôn bán sầm uất, dân cư thân thiện. Ngõ Hào Nam rộng rãi, thông tứ tung: Thông ra ngõ Thổ Quan, Tôn Đức Thắng... Đi đường nào cũng tiện.Chủ mới về sơn sửa thiết kế lại là có thể ở + kinh doanh buôn bán được tốt.Pháp lý: Sổ đỏ.Giá 6.2 tỷ, có thương lương. Thiện chí bán nhanh cho khách.Liên hệ: 0888 638 *** 0931 866 ***.Miễn trung gian môi giới.            ",70 m²,6.2 tỷ,4 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,35752773,batdongsan_com_vn_35752773,4.2 m,,Nam,,4 tầng,4 phòng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Xuân Phương', 'Đường 70', 'Dự án Khu đô thị Xuân Phương']","
Chủ cần tiền bán gấp căn biệt thự tọa lạc tại khu đô thị chức năng Vigra Xuân Phương, lô góc kinh doanh siêu đẹp giá 12.5 tỷ.+ Khu vực dân trí cao phát triển mạnh căn nhà nằm ngay ngã ba, 2 mặt thoáng vĩnh viễn đường trước mặt là trục chính khu đô thị 2 ô tô tải tránh nhau.+ Nhà được chủ nhà xây kiên cố để ở chất lượng công trình cực tốt nhà xây 4 tầng bố trí hợp lý rất đẹp.+ Sổ đẹp pháp lý chuẩn.+ 0961 506 *** em Hải.            ",106 m²,12.5 tỷ,,,,05/12/2022,15/12/2022,Tin thường,35945828,batdongsan_com_vn_35945828,,,,,4 tầng,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Hoàng Văn Thái']","
Căn nhà có vị trí đẹp, nằm trong khu phân lô Quân Đội, trước nhà rộng rãi, ô tô ra vào thoải mái, cách phố chính chỉ vài bước chân.Diện tích 170m² x 3T, nhà được xây dựng, thiết kế theo kiểu biệt thự mini, đẹp long lanh, nhìn là mê, với thiết kế gồm:+ Tầng 1: Phòng khách và bếp, sân trước và sân sau.+ Tầng 2: 3 phòng ngủ + WC.+ Tầng 3: Phòng ngủ rộng đẹp thoáng mát.Khu vực dân trí cao, an ninh tốt, tiện ích khỏi phải suy nghĩ.Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá bán chỉ 30,5 tỷ, có thương lượng thêm.* Liên hệ A Hiếu 0932 596 ***cam kết thông tin thật 100%).            ",170 m²,30.5 tỷ,4 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36039912,batdongsan_com_vn_36039912,,,,,3 tầng,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Châu Văn Liêm']","
+ Chủ nhà bán hạ giá lần 1 mùa World Cup 2022.* Chính chủ cần tiền nhờ bán gấp tòa CCMN đường Phú Đô, Phú Đô quận Nam Từ Liêm Hà Nội - DT: 66m² - 8 tầng + 1 Hầm, Hướng Đông (ghé Nam) thang máy đang cho thuê 68tr/tháng.- Giá chào 16 tỷ (có TL).- Diện tích 66m² MT: 5,12m (nở hậu) x 8 tầng thang máy + 1 hầm xe (nội thất 3 - 4 sao). Đẹp ko tỳ vết.- Nhà phù hợp cho gia đình vừa ở vừa cho thuê(nhà vừa đưa vào sử dụng còn mới tinh).+ Tầng Hầm để xe.+ Tầng 1 - 2 để thông cho thuê VP (có wc thang bộ, thang máy).+ Tầng 3,4,5 mỗi tầng 2 phòng cho thuê khép kín (Điều hòa âm trần).+ Tầng 6: Phòng ăn rộng + bếp + Wc, thang máy, thang bộ.+ Tầng 7: Phòng thờ, Sân Chơi...- Các căn hộ full đồ gồm tivi, tủ lạnh, máy giặt, điều hòa Âm trần, nóng lạnh, giường tủ, bàn ghế, hút mùi...Phòng nào cũng ban công tràn ngập ánh sáng, kính sáng cường lực.- Người thuê chỉ xách vali đến ở.- Doanh thu 1 tháng 69r chưa kể dịch vụ.- Nhà Cách mặt đường Châu Văn Liêm k 60m, cách bệnh viện quốc tế Hồng Ngọc 100m, Keangnam 1km, Đại Lộ Thăng Long 100m giao thông rất thuận tiện.- Nhà cách Vin Tây Mỗ k 1km.- Đường chính thông tứ tung ra F1 và rộng 6m - oto 7 chỗ vào nhà thoải mái + Để được vài chục xe máy...A/c liên hệ: E Hùynh 0915 121 *** 0985 151 *** để được phục vụ nhiệt tình nhất.+ Cảm ơn A/c đã xem tin!(Bên VP em còn rất nhiều hàng đẹp hàng kín, hàng dự án Vin, Ecopark anh chị zalo e gửi thông tin tham khảo).            ",66 m²,16 tỷ,6 phòng,Sổ đỏ/ Sổ hồng,Full tiêu chuẩn 3 - 4 sao.,05/12/2022,12/12/2022,Tin thường,35833112,batdongsan_com_vn_35833112,5.12 m,8 m,Đông,Nam,8 tầng,9 phòng
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Cầu Giấy']","
- Do chuyển đổi mục đích nên gia đình cần bán gấp nhà ở Cầu Giấy 7T, thang máy.- Vị trí đắc địa, gần nhiều trường đại học, CV, chợ, siêu thị và rất nhiều các tiện ích khác xung quanh, cho thuê luôn kín phòng.- Thiết kế tầng 15p, khép kín, đầy đủ nội thất, khách mua chỉ việc xách va li đến ở và tiếp quản.- LH Mr Toàn 0941 444 *** chính chủ.            ",68 m²,10 tỷ,15 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36039909,batdongsan_com_vn_36039909,,5 m,,,7 tầng,15 phòng
