address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Đường vào
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ', 'Dự án Green Diamond 93 Láng Hạ']","
Chính chủ đầu tư chuyển nhượng nốt một số diện tích thương mại văn phòng tại dự án tổ hợp thương mại và văn phòng Green Diamond, 93 Láng Hạ.Đây là dự án có vị trí đặc biệt nút giao thông cầu vượt Láng Hạ, Thái Hà và Huỳnh Thúc Kháng giao thông thuận tiện.Bàn giao mặt bằng hoàn chỉnh khách mua không tốn tiền đầu tư.Có ưu đãi chỗ đỗ xe, các diện tích thương mại và văn phòng đều có view kính LE chống nóng chống ồn, ánh sáng tự nhiên.Diện tích chào bán: 153m², 240m², 420m², 530m², 800m², 1200m².Giá bán từ 35tr tùy từng vị trí.Chi tiết hơn về quy mô dự án Green Diamond 93 Láng Hạ.Được XD trên lô đất 500m² cao 27 tầng, trong đó có:6 tầng thương mại và văn phòng.4 tầng hầm rộng thoáng, bãi đỗ công nghệ cao.Quý khách có nhu cầu mua sở hữu văn phòng thương mại 93 Láng Hạ.Liên hệ theo Mobile Mr Nên 0988 431 ***Xin chân thành cảm ơn!            ",530 m²,Thỏa thuận,,,,24/11/2022,04/12/2022,Tin Vip 3,35940815,batdongsan_com_vn_35940815,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Cần bán biệt thự siêu vip khu C7 - giai đoạn 1 khu đô thị Ciputra, trước và sau nhà thoáng vĩnh viễn, sân golf và sân chơi tennis...Diện tích DT 350m², MT 12m xây dựng 4 tầng, full nội thất phong cách luxury Châu Âu, tỉ mỉ và tinh tế.Giá liên hệ trực tiếp 0902 201 *** tôi không làm việc qua MG và TG.Khu vực an ninh tốt khép kín dành cho khách hàng siêu vip. Thuận lợi đến Hồ tây, Quảng An, Quảng Khánh, Lạc long quân, Quảng Bá...            ",350 m²,Thỏa thuận,,Đã có sổ đỏ.,,24/11/2022,01/12/2022,Tin Vip 3,35349441,batdongsan_com_vn_35349441,12 m,,,4 tầng,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Quốc lộ 32', 'Dự án Hinode Royal Park']","
Bán nhanh biệt thự Hinode Royal Park. Em đang có 20 căn LK giá rẻ cho các nhà đầu tư sinh lời liên hệ SĐT 0974 938 ***DT 100m², mặt tiền 7,5m, 5 tầng 5PN, 5WC.Lý do sinh lời:1. Mua đươc giá rẻ hơn chủ đầu tư và giá đất trong dân so với thời điểm hiện tại. 20% đến 50%.2. Giá trị nhận song song lợi nhuận mua nhà dk nhận ngay có thể cho thuê hoạc kinh doanh.3. Vị trí năm trên các trục đường kinh tế chiến lược đường 32 và Vành Đai 3.5 kết nối với Đại Lộ Thăng Long và Vành Đai 4.5. Hoài đức lên quận trong năm tới.6. Khi khởi công phân khúc cao tầng giá trị được đẩy lên tầng cao mới.7. Sự mất đi của người này là cơ hội của người khác.Liên hệ 0974 938 *** để em gửi bán hàng và đi xem dự án trực tiếp.            ",100 m²,Thỏa thuận,5 phòng,Đang chờ sổ.,Cơ bản.,24/11/2022,04/12/2022,Tin Vip 3,35940751,batdongsan_com_vn_35940751,7.5 m,,,5 tầng,5 phòng,33 m
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', 'Dự án Goldmark City']","
Ảnh thực tế căn hộ tầng trung, toà S3, Goldmark City.Cần tiền bán gấp căn hộ 2PN 2VS.Diện tích 84m² tim tường.Nhà đã làm đầy đủ nội thất hiện đại, nhà đang ở nên làm rất tỉ mỉ, gia đình để lại toàn bộ nội thất.Hướng ban công Tây Nam - hướng cửa Đông Bắc.Căn hộ có đầy đủ slot để ô tô.Nhà đã có sổ đỏ.Bán nhanh cắt lỗ giá 2,39 tỷ.Liên hệ: 0977 126 *** E Huấn.            ",84 m²,2.39 tỷ,2 phòng,Minh bạch.,Đầy đủ.,24/11/2022,04/12/2022,Tin Vip 3,33125180,batdongsan_com_vn_33125180,,Đông - Bắc,Tây - Nam,,2 phòng,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', 'Dự án Goldmark City']","
Chính chủ cần bán gấp căn 3pn, 2vs toà s1 tầng 20 view Mỹ Đình siêu mát.Nội thất đầy đủ, sang trọng hiện đại.Diện tích 121m² tim tường, thông thủy 114m².Pháp lý: Sổ đỏ chính chủ, đang cất két.Gia đình rất thiện chí bán gấp, khách thiện chí qua xem trực tiếp liên hệ 0983 239 ***Giá 3.5 tỷ.Lh 0983 239 *** xem nhà, thông tin căn hộ.            ",121 m²,3.5 tỷ,3 phòng,,Full nội thất,24/11/2022,04/12/2022,Tin Vip 3,31311994,batdongsan_com_vn_31311994,,Đông - Bắc,Tây - Nam,,2 phòng,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', '136', 'Goldmark City']","
Bán nhanh trong tháng căn hộ 3 phòng ngủ 139m² Goldmark City, 136 Hồ Tùng Mậu, Bắc Từ Liêm, Hà Nội.- Diện tích: 139m² thông thủy.- Thiết kế: 3 phòng ngủ, 2 WC, 1 phòng khách, 1 lô gia ở bếp.- Hướng mát.- Nội thất cơ bản.- Giá bán: 4 tỷ bao thuế phí (có thương lượng).Liên hệ xem nhà trực tiếp qua SĐT: 0977 801 *** ",139 m²,4 tỷ,3 phòng,Sổ đỏ/ Sổ hồng,Để lại toàn bộ nội thất,24/11/2022,04/12/2022,Tin Vip 3,33214408,batdongsan_com_vn_33214408,,Đông - Nam,Đông - Nam,,2 phòng,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Phạm Hùng', 'Dự án Vinhomes Skylake']","
Cty bđs Thành Phát tổng hợp quỹ căn cắt lỗ 3 - 400tr, giá tốt nhất dự án Vinhomes Sky Lake - hỗ trợ vay ngân hàng, sang tên sổ đỏ,... Thủ tục từ A - Z với đội ngũ chuyên nghiệp - khách chỉ việc ký. Liên hệ: 0975 551 ***Có cả view hồ, view thành phố và View Keangnam:+ Căn 1PN + 1VS = 52m² - 2,6 tỷ - 3,1 tỷ.+ Căn 2PN + 2VS = 62 - 85 m² - 3,5 tỷ - 5 tỷ.+ Căn 3PN + 2VS = 84 - 132 m² - 4,2 tỷ - 7 tỷ.+ Căn 4PN + 3VS = 133 - 170 m² - 6,8 tỷ - 12 tỷ.- Penthouse 175m² đang hoàn thiện; penthouse hoàn thiện full: 11 tỷ - 12,6tỷ.- Sky villa: 380m - 400m² - 27 tỷ - 45 tỷ.- Shophouse: - 14,5 tỷ (cắt lỗ 1 tỷ).- Tất cả các căn đều có thể gặp trực tiếp chủ nhà thương lượng giá và hỗ trợ vay Ngân Hàng 70% GTCH.- Cam kết full căn hộ Vinhomes Skylake, Khách hàng check bất kỳ căn nào đều có - Gía sát nhất với chủ nhà đưa ra.- Hỗ trợ thủ tục pháp lý sang tên sổ đỏ cho quý khách đến khi ra tên khách hàng - Cầm sổ về tay mới thôi.Liên hệ em Nam: 0975 551 *** ",72 m²,3.75 tỷ,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,24/11/2022,04/12/2022,Tin Vip 3,35940486,batdongsan_com_vn_35940486,,Tây - Bắc,Đông - Nam,,1 phòng,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phương Canh', 'Đường 70', 'Ngõ 367']","
Gia đình bán nhà 5 tầng, DT 40m², MT 3.7m, vuông vắn tại ngõ 367 Xuân Phương, Nam Từ Liêm, Hà Nội.Ngôi nhà xây 5 tầng, có diện tích 40m², mỗi tầng chia 2 phòng, gồm:+ Tầng 1: Phòng khách và phong bếp, vs nhỏ.+ Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và vệ sinh.+ Tầng 5 phòng ngủ và sân phơi.Ngôi nhà đang xây dựng xong phần thô, đang hoàn thiện, ai có nhu cầu mua thì có thể thay đổi nội thất hoàn thiện theo ý mình và kiểm tra giám sát chất lượng.Vị trí: Ngôi nhà nằm ngõ 367 Xuân Phương, ngõ ô tô tránh nhau, gần khu đô thị Xuân Phương, ngôi nhà có ngõ chung rộng 50m, ngõ trước cửa rộng gần 3m, khu dân cư dân trí, văn minh.Pháp lý: Sổ đỏ chính chủ.Giá bán: 3.95 tỷ (có thương lượng).Liên hệ: A Hải 0975 529 *** ",40 m²,3.95 tỷ,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,24/11/2022,01/12/2022,Tin Vip 3,35741970,batdongsan_com_vn_35741970,3.7 m,Đông - Nam,,5 tầng,4 phòng,3 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Dự án The Emerald']","
Chính chủ cần bán 3 căn hộ toà CT8 Emerald Mỹ Đình. Thông tin cụ thể:E1.25.2 dt 80m², thiết kế 3 phòng ngủ 2wc, nội thất cơ bản, nhà đang trống, giá 3,6 tỷ.E1.28.1 dt 81m², thiết kế 2 ngủ 2wc, nội thất đẹp, đầy đủ đồ, giá 3,65 tỷ, căn này cho thuê lâu dài hoặc bán đều ok nhé ạ.E1. 2606 dt 81m², thiết kế 2 ngủ 2wc, full đồ, giá 3,6 tỷ.E1 Căn tầng 10 diện tích 110m² 3 ngủ 2wc, giá chỉ 4.050 tỷ.- Pháp lý: Sổ đỏ chính chủ, nhận nhà ở ngay.- Liên hệ chính chủ: Chị Nga 0978 353 *** ",81 m²,3.6 tỷ,3 phòng,Đã có sổ đỏ.,,24/11/2022,01/12/2022,Tin Vip 3,35940267,batdongsan_com_vn_35940267,,,,,2 phòng,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Nguyễn Xiển', '214', 'Legacy Garden']","
Liền kề - shophouse Legacy Garden 214 Nguyễn Xiển.Diện tích liền kề shophouse Legacy Garden Hạ Đình:Diện tích liền kề nội khu: Gồm các loại diện tích: 85m² 93m² 131m².Diện tích shophouse 1 mặt tiền đường: 93m² 104m² 124m² 139m² 147m².Diện tích shophouse 2 mặt tiền đường: 115m² 163m².Giàu từ đất - phất lên từ đầu tư.Mua nhanh thắng đậm - chậm chân mất chỗ.Vị trí vàng - chắc mua - chắc thắng.Quỹ đất vàng lợi thế về vị trí:- Cách ngã tư Khuất Duy Tiến chỉ 500m.Mặt đường kinh doanh rộng 30m.Diện tích xây dựng lên đến 90%.Tiện ích đầy đủ đáp ứng cho kinh doanh và cuộc sống: Chợ, các trường từ mầm non lên đại học, cơ quan hành chính, siêu thị... Chỉ cách nhà vài bước chân.Ngân hàng hỗ trợ giải ngân lên đến 70%.Hãy trở thành nhà đầu tư thông minh ngay hôm nay với với mức giá vô cùng hấp dẫn!Hotline: 0976 332 *** ",85 m²,230 triệu/m²,,Sổ đỏ/ Sổ hồng,,24/11/2022,04/12/2022,Tin Vip 3,35940263,batdongsan_com_vn_35940263,6 m,Đông - Nam,Đông - Nam,5 tầng,,21 m
