address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Pháp lý,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hoài Đức', 'Xã Kim Chung', 'Đường Đại Tự', 'Số 35 ngõ 88']","
Do gia đình muốn chuyển nhà nên cần bán nhanh căn nhà 4 tầng lô góc 2 mặt ngõ, số 35 ngõ 88 đường Đại Tự, Kim Chung, Hoài Đức Hà Nội.- Diện tích: 38m² x 4 tầng lô góc hai mặt ngõ ô tô tránh nhau.- Vừa ở, vừa buôn bán kinh doanh.- Giá bán 3,85 tỷ có thương lượng.- Gọi ngay cho tôi là chính chủ:Anh Công 0975 880 *** ",38 m²,3.85 tỷ,,,,18/11/2022,28/11/2022,Tin Vip 1,35065283,batdongsan_com_vn_35065283,,,4 tầng,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Cửa Đông', 'Phố Hàng Điếu']","
Chính chủ! Cần bán mặt phố Hàng Nón, Hàng Điếu Quận HK..- DT 215m² x 3T, MT 22m.- Vị trí đắc địa, lô góc 2 mặt phố chạy dài 22m, lô góc còn sót lại phố cổ, hiếm có vị trí thứ 2.- Thuận tiện khách mua, ở, xây khách sạn, building, showroom.- Hiện trạng nhà bán, 1 chủ duy nhất sở hữu.+ Liên hệ: Hoàng Tâm Thái Bình.SĐT 0973 639 **** Anh em môi giới xin không làm phiền! Cảm ơn anh em.            ",215 m²,Thỏa thuận,,,,18/11/2022,28/11/2022,Tin Vip 1,35286770,batdongsan_com_vn_35286770,22 m,,3 tầng,,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Quốc lộ 32', 'Dự án Hinode Royal Park']","
Kính gửi: Quý nhà đầu tư!Dưới đây là danh sách 9 căn liền kề, shophouse vị trí đẹp, đầu tư tiềm năng tăng giá cao.1. Căn liền kề khu Đông Dương.- Căn LK12-2x. Đường nội bộ 12m, cả vỉa hè rộng 18m. Hướng Tây Nam. DT 100m², MT 5m. Vị trí thuận tiện, gần các trục đường lớn.Giá đất 50tr/m².- Căn LK18 - 5X. Căn diện tích 90m², mặt tiền 5m, View vườn hoa, công viên. Gần hồ.Giá đất 57 tr/m².- Căn LK15 - 0x. Mặt đường 17m, đường thông, View biệt thự, gần hồ. Vị trí có thể kinh doanhGiá đất 61 tr/m².- Căn LK16 - 5x. Vị trí cực Vip, đường 24m, nhà đã hoàn thiện, vỉa hè 8m, kinh doanh đắc địa.Giá 89tr/m².---------------2. Khu Phố đi bộ:- Căn LK21 - 0x. Khu phố đi bộ, DT 90m², mặt tiền 5m, xây 5 tầng. Đường rộng 16.5m. Vị trí trung tâm, khu vui chơi, dịch vụ của dự án.Giá 71tr/m².- Căn LK- Căn LK29 - 4x. Mặt đường Hoàng Gia, rộng 30m. Kinh doanh sầm uất, gần hồ.Giá 91 tr/m².3. Khu Shop Thịnh Vượng - Shop 2 mặt tiền:- Căn LK36 - 2x. Mặt đường 30m, Shop 2 mặt tiền. Mặt tiền rộng 7.5m, xây 5 tầng. Vị trí đắc địa, tiềm năng tăng giá cao.Giá 120tr/m².- Căn LH36 - 3x. Mặt đường 12m, dãy Vip gần hồ, mặt tiền 7.5m, xây 5 tầng.Giá 73tr/m².- Căn LK35 - 0X. Mặt đường 12m, hướng đông. Shop 2 mặt tiền, xây phong cách Ý.Giá 73tr/m².Và còn rất nhiều các căn đẹp giá tốt. Quý khách vui lòng liên hệ trực tiếp để cập nhật các căn giá tốt:Hotline: 0979 885 *** Call/viber/zalo 24/24).-----------------------------Tiến độ thanh toán và chính sách bán hàng:Chính sách thanh toán:- Vay Ngân hàng 65% miễn lãi trong 2 năm.- Đặt cọc 200T.- Lần 1 - Thanh toán 15% trong vòng 7 ngày, ký hđmb.- Lần 2 - Thanh toán 15% trong vòng 30 ngày từ khi ký HĐMB. Ngân hàng giải ngân 65%.- Lần 3 - Thanh toán 5% khi nhận sổ đỏ.            ",100 m²,Thỏa thuận,,,,18/11/2022,28/11/2022,Tin Vip 1,35532545,batdongsan_com_vn_35532545,5 m,12 m,,,Tây - Nam,
"['Hà Nội', 'Long Biên', 'Phường Phúc Lợi', 'Đường Hoa Sữa 9', 'Dự án Vinhomes Riverside']","
Gia đình đi nước ngoài không có nhu cầu sử dụng cần bán chính chủ biệt thự đơn lập view sông căn HS9 - 01, Đường Hoa Sữa 9 - KĐT Vinhomes Riverside.+ Diện tích đất: 320.6m², tổng DTXD 521m².+ Lô góc 3 mặt tiền mặt sau view sông rất đắc địa đẹp nhất dãy.+ Cửa chính hướng ĐB, mặt tiền trước hướng TB, mặt sau view sông ĐN.+ Nội thất bàn giao full nội thất đồ rời chỉ xách vali về ở.+ Đã có sổ đỏ lâu dài sẵn sàng sang tên và bàn giao nhà cho khách mua ngay.+ Giá bán thỏa thuận.Liên hệ để xem thực tế biệt thự và thương lượng giá:Hotline: 0948 888 *** Mr Hoàng.Lưu ý: Miễn môi giới trung gian làm việc trực tiếp với khách mua.            ",320.6 m²,Thỏa thuận,5 phòng,4 phòng,Full nội thất đồ dời ,18/11/2022,28/11/2022,Tin Vip 1,35876400,batdongsan_com_vn_35876400,,,3 tầng,Sổ đỏ/ Sổ hồng,Đông - Bắc,Đông - Nam
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ', 'Đường Nguyễn Mậu Tài', 'Dự án Highway 5 Residences Gia Lâm']","
Dự án TQ5 Trâu Quỳ Gia Lâm Group với quy mô 8,38ha gồm 300 lô liền kề, nhà phố, biệt thự đẳng cấp. Trong bối cảnh khan hiếm nguồn cung như hiện nay, Highway5 Residences là ngôi sao sáng. Cơ hội đầu tư sinh lời, lãi vốn lên đến 100%/năm tại Trung tâm Phía Đông Hà Nội. Với giá bán cạnh tranh nhất trong khu vực. Sở hữu Liền kề Biệt thự Highway5 Residences TQ5 Thiên Minh Đức Group là đáng mơ ước.Chính sách Vượt trội tối ưu dành cho khách hàng:+ Chiết khấu lên tới 9% GT.+ Hỗ trợ vay 0% trong 18 tháng.+ Tặng quà tân gia có thể lên tới 150 triệu.+ Sổ đỏ sở hữu lâu dài.Bên cạnh đó dự án Highway5 residences đang có chính sách MỚI + CAM KẾT SINH LỜI cho các nhà đầu tư tài chính nhỏ lẻ:+ CHÍNH SÁCH SUẤT MUA CHUNG Dự án HIGHWAY5 RESIDENCES SUẤT ĐẦU TƯ 36 TRIỆU.Giá bán công bố Shophouse Highway5 Residences 75m² đất (515) xây dựng 5 tầng, diện tích Sàn Xây dựng ~ 300m²: 12 tỷ 14 tỷ.Chiết khấu đặc biệt tháng 11/2022: 13%.Số lượng suất đầu tư mua chung: 300 suất đầu tư/Shophouse.Giá trị mỗi suất đầu tư: 36 triệu 44 triệu.Đặt cọc: 3 triệu/suất đầu tư mua chung.Ký kết Hợp đồng Hợp tác Kinh doanh suất đầu tư mua chung TQ5: 7 ngày thanh toán 100% giá trị hợp đồng.Chi tiết dự án:Tên dự án: Xây dựng hạ tầng kỹ thuật và nhà ở thấp tầng để bán TQ5(1) Trâu Quỳ, Gia Lâm, Hà Nội.Tên thương mại: Dự án Highway5 Residences TQ5.Vị trí: Thị Trấn Trâu Quỳ, Gia Lâm, Hà Nội. Tọa độ trung tâm hành chính mới của quận Gia Lâm trước 2025.Diện tích lô đất TQ5 Trâu Quỳ: 8,38 ha.Sản phẩm nhà thấp tầng như:Nhà phố liền kề shophouse 5 tầng: 285 lô diện tích 75 - 120m².Biệt thự song lập 3 tầng: 16 lô diện tích 193 - 250m².Tiện ích: Trung tâm thương mại, bể bơi ngoài trời, spa, gym, nhà hàng, cafe, công viên, bãi đỗ xe nổi.Tiện ích xung quanh 1km: Hồ điều hòa, trường đại học, bệnh viện, công viên, nhà thi đấu, nhà văn hóa, UBND Gia Lâm.Thời điểm khởi công: 2021.Bàn giao vận hành: Dự kiến Quý I /2023.Pháp lý Dự án: Giấy chứng nhận Quyền sử dụng đất ở lâu dài tại đô thị.Hotline PKD CĐT: 0982 195 ***Mr Mạnh Để).Bất động sản Highway5 Residences TQ5 Gia Lâm sở hữu vị trí Vàng liền kề Công Viên 29ha. Dự án Thiên Minh Đức Group ưu đãi với tuyến phố Nguyễn Mậu Tài nối thẳng ra UBNĐ Gia Lâm cũ và mới. Liền kề, Biệt thự Dự án TQ5 Trâu Quỳ chính xác là bom tấn thị trường bất động sản phía Đông.Xung quanh dự án TQ5(1) Gia Lâm có trường Đại Học Nông Nghiệp Việt Nam, Đại học VinUni, Vincom Megamall, nhà văn hóa Gia Lâm, bệnh viện Đa khoa Gia Lâm, 2 hồ điều hòa rộng lần lượt 19ha và 9ha, khu đô thị Vinhomes Ocean Park với đầy đủ các tiện ích khu vui chơi, mua sắm, trường học quốc tế, bệnh viện Vinmec.+ Liên hệ trực tiếp PKD chủ đầu tư để nhận thông tin ưu đãi : 0982 195 *** Mr Mạnh Để )            ",75 m²,Thỏa thuận,,,,18/11/2022,28/11/2022,Tin Vip 1,35876998,batdongsan_com_vn_35876998,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam', 'Đường Lĩnh Nam', 'Dự án Chung cư X203 Lĩnh Nam']","
Bán chung cư X203 do Bộ Quốc Phòng cực kỳ chắc chắn.Thiết kế 75m² rộng rãi: 3PN, 2 WC.- Sổ đỏ chính chủ, ban công Đông Nam cực mát.- Căn đã có nội thất cơ bản.Vị trí trung tâm với nhiều tiện ích xung quanh: Gần trường học, khu vui chơi, chợ,...Giá: 2.1 tỷ.Liên hệ chính chủ: 0978 092 ***chị Nhài).            ",75 m²,2.1 tỷ,3 phòng,2 phòng,Cơ bản,18/11/2022,28/11/2022,Tin Vip 1,35876627,batdongsan_com_vn_35876627,,,,Sổ đỏ/ Sổ hồng.,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Chính Kinh']","
Nhà đẹp hai thoáng trước sau, ô tô đỗ cổng, 6 tầng thang máy.+ Chỉ 7 tỷ bạn đã sở hữu ngay cho mình 1 căn nhà đẹp như mơ giữa lòng thủ đô.+ Nhà chủ mới xây đẹp long lanh, thiết kế hiện đại, 6 tầng thang máy chay vèo vèo.+ Hai mặt thoáng trước sau.+ Vị trí ô tô đỗ cổng, cách 5m.+ Gần thiên đường mua sắm Royal City, Ngã Tư Sở, chợ búa, trường học và vô vàn tiện ích khác.+ Sổ vuông vắn như tờ A4 đang chờ chủ nhân mới.+ Liên hệ em Ngọc Anh 0966 154 *** để được tư vấn miễn phí. Rất vui nếu được hợp tác cùng anh/chị ạ.            ",45 m²,7 tỷ,4 phòng,4 phòng,Đầy đủ,18/11/2022,28/11/2022,Tin Vip 1,35876821,batdongsan_com_vn_35876821,4.5 m,,6 tầng,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Dự án Golden Field Mỹ Đình']","
Chính chủ bán căn hộ chung cư Gold Field tầng 25. Diện tích 65m². 2 ngủ 2 vệ sinh. Hướng tây nam. Nhà đầy đủ full nội thật lẫn thiết bị điện tử. Để lại hết cho khách mới. Giá bán 46tr/m² thu về. Có thương lượng chút cho khách nhiệt tình và nhanh gọn.Điện thoại: 0829 926 ***Duy).Chấp nhận cả môi giới làm việc.            ",65 m²,3 tỷ,2 phòng,2 phòng,Đẩy đủ giường chiếu điều hòa nóng lạnh tủ bếp,18/11/2022,28/11/2022,Tin Vip 1,35875669,batdongsan_com_vn_35875669,,,,Sổ đỏ/ Sổ hồng,Tây - Nam,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Dự án Sunshine City']","
Chung cư Sunshine City - Bắc Từ Liêm - Ciputra.* LH: 0983 929 *** - phòng kinh doanh Sunshine City. 24/7 (có Zalo).Cam kết giá tốt nhất! (tư vấn mọi thủ tục sổ đỏ + ngân hàng).Bảng hàng hot 20 căn ngoại giao chiết khấu sâu 25% từ CĐT có chính sách vay 0% trong 12 tháng. (vào tên trực tiếp hợp đồng chủ đầu tư).- Chiết khấu 25% nếu thanh toán sớm 95%.- Chiết khấu 20% nếu khách hàng thanh toán sớm 50%.Những căn hộ được cập nhật tới ngày 18.11.2022 (cam kết còn hàng, giá chuẩn).Danh sách trong quỹ 20 căn ngoại giao giá sau chiết khấu 21% đã gồm KPBT và 100% VAT.- S2 - 10 (góc 98m² view sông 3PN giá 4.3 tỷ).- S1 - 01 (căn 98m² view sông 3PN giá 4.1 tỷ).- S3 - 06 (căn 116m² view sông 3PN giá 4.74 tỷ).- S3 - 12 (góc có ban công 105m² view sông giá 5 tỷ).- S3 - 01 (góc có ban công 105m² view thành phố giá 5.1 tỷ).- S3 - 11 (góc có ban công 105m² view thành phố giá 5 tỷ).- S4 - 08 (căn 116m² view sân golf sông Hồng giá 5.1 tỷ).- S4 - 09 (căn 100m² view nội khu 3PN giá 3.9 tỷ).- S4 - 12 (góc 105m² view sân golf giá 5.3 tỷ).- S4 - 10 (mẫu dài đẹp hiếm 105m view sân Golf giá 5.1 tỷ).- S4 - 01 (mẫu góc ban công 105m² view thành phố giá 5 ỷ).- S4 - 11 (góc ban công 105m² view thành phố giá 5.2 tỷ).- S5 - 10 (góc view 98m² view sân golf đẹp 4.89 tỷ).Còn nhiều căn hộ giá đa dạng + hấp dẫn khác.Giá căn hộ: 100% GTCH + 2% KPBT + (bao phí) - Nhận nhà ở ngay.+ Đầy đủ tiện ích 5* vườn treo, rạp chiếu phim, bể bơi, shophouse, trung tâm thương mại, tàu điện đi qua các tòa nhà, vườn cây xanh chạy thông từ tòa S1 đến S6...+ Bàn giao cao cấp: Điều hòa âm trần 2 chiều, tủ bếp, bếp từ hút mùi Hafele, sàn gỗ, thiết bị vệ sinh Kohler có bồn tắm và bệt thông minh, cửa chống cháy Porta Door,...(Tư vấn mọi thủ tục - vay ngân hàng mọi trường hợp - nhanh gọn - uy tín).Liên hệ PKD Sunshine: MS Hà 0983 929 *** - 0962 639 186 để xem nhà 24/7 (Zalo).            ",102 m²,38 triệu/m²,3 phòng,2 phòng,Nội thất 100% nhập khẩu Châu Âu,18/11/2022,28/11/2022,Tin Vip 1,35876407,batdongsan_com_vn_35876407,,,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Trương Công Giai']","
Tôi chính chủ đang cần bán nhà 5 tầng tại Trương Công Giai, Cầu Giấy.- Diện tích sổ 60m² (34.2m² sử dụng riêng).- Nhà 5 tầng chắc chắn thiết kế hiện đại đầy đủ nội thất, cầu thang gỗ Lim Nam Phi.- Nhà lô góc 3 mặt thoáng mỗi tầng 1 phòng.- 100m ra phố ngõ 3 gác vào tận cửa.- Vị trí thuận lợi, ngay trung tâm Cầu Giấy, gần các chợ, trường học, siêu thị, công viên,...Miễn trung gian, môi giới.Liên hệ chính chủ: 0388 289 ***A Đông).            ",60 m²,5.3 tỷ,3 phòng,4 phòng,Đủ nội thất điều hoà bếp từ tivi.,18/11/2022,28/11/2022,Tin Vip 1,35876102,batdongsan_com_vn_35876102,4 m,3 m,5 tầng,Sổ đỏ/ Sổ hồng,Tây - Nam,Tây - Nam
