address,gen_descrip,Diện tích,Mức giá,Số tầng,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Nội thất,Mặt tiền,Đường vào
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Đường Phan Đình Giót']","
Bán nhà riêng 4 tầng phố Phan Đình Giót, Phương Liệt, Thanh Xuân.Thiết kế mỗi tầng 2 phòng ngủ, wc khép kín.Vị trí trung tâm 4 quận nội thành, ô tô vào cách 10m, ngõ thông thoáng giao thông dễ dàng.Cách nhà hơn 50m là hồ sen Phương Liệt trong lành, mát mẻ, ở thích.Tiện ích đầy đủ, gần các siêu thị lớn, bệnh viện Bạch Mai, viện Đại học Y trong bán kính 1.5 km, Aeon Mall Hoàng Mai sắp mở, bến xe phía Nam đi tỉnh thuận tiện.Đặc biệt gần trường học các cấp, khối trường ĐH Bách Khoa - Kinh Tế - Xây Dựng, HV Ngân Hàng, HV Quản Lý Giáo Dục,...Nhà còn mới đẹp vào ở ngay, sổ đỏ cất két.Giá 4.3 tỷ có thương lượng.Liên hệ: 0378 292 *** ",42 m²,4.3 tỷ,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 3,35942564,batdongsan_com_vn_35942564,,,4 phòng,Đầy đủ,,
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Nguyễn Cao Luyện', 'Dự án Việt Hưng']","
Chỉ 1,8 tỷ có ngay căn hộ 2PN diện tích, full nội thất cực xịn ở cạnh ủy ban quận Long Biên. Vị trí tâm điểm giáo dục.Chung cư CT9A Đường Nguyễn Cao Luyện KĐT Việt Hưng.Diện tích 73m² 2PN + 2WC - hướng TN đón sinh khí - Tầng 14 view trọn thành phố.Chủ nhà tâm huyết: Đã thiết kế lại từng phòng, nội thất bàn giao xịn xò: Sàn gỗ, điều hòa, tủ bếp, thiết bị vệ sinh, đèn...Một bước chân tới trường học, Vincom, chợ đầu mối lớn nhất khu vực, UBND quận, Hồ kim quan. Chỉ 10p tới Vincom, Big C, Aeon mall...Sổ đỏ chính chủ, sẵn sàng giao dịch ngay, mật độ rất thoáng, phí dịch vụ rẻ, hàng xóm thân thiện.Do chuyển lên căn 3PN nên gia đình ưu tiên bán cho khách thiện chí nhu cầu ở thực.Liên hệ em ngay để xem thực tế căn hộ: Ms. Lan: 0904 754 *** ",73 m²,1.8 tỷ,,2 phòng,Sổ đỏ/ Sổ hồng.,24/11/2022,04/12/2022,Tin Vip 3,35942529,batdongsan_com_vn_35942529,Đông - Bắc,Tây - Nam,2 phòng,"Full nội thất liền tường cao cấp. Nội thất bàn giao xịn xò: Sàn gỗ, điều hòa, tủ bếp, thiết bị vệ sinh, đèn...",,
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Bán nhanh chung cư Vinhomes Gardenia - Hàm Nghi.+ Thiết kế: 2 phòng ngủ + 2WC, diện tích: 76m², giá: 3.3 tỷ.+ Tầng đẹp, view đẹp, thoáng mát, nhận nhà ở luôn.Khách hàng quan tâm vui lòng liên hệ.Mr. Hoàng: 0868 277 ***Để được đến xem trực tiếp ạ.            ",76 m²,3.3 tỷ,,2 phòng,Sổ đỏ/ Sổ hồng.,24/11/2022,01/12/2022,Tin Vip 3,35541270,batdongsan_com_vn_35541270,,,2 phòng,,,
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Phố Kim Mã', '251']","
CC bán gấp nhà 2 mặt thoáng Giảng Võ, phố Kim Mã, Ba Đình gần ngã 3 Núi Trúc, DT 77m² x 2 tầng. Giá 10,5 tỷ. Nhà 2 mặt thoáng đẹp tiện kinh doanh.+ Nhà tôi xây 2 tầng 77m² giá 10,5 tỷ. LH: 0983 776 ***+ Địa chỉ: ngõ 251 Phố Kim Mã+ 10m ra mặt phố Kim Mã.+ Đường trước nhà rộng 3m, dân cư văn minh, thân thiện.+ Đối diện Đại Sứ Quán Thụy Điển, Nhật, Bỉ...+ 100m ra Vincom Liễu Giai Metropolis.+ 300m ra Hồ Giảng Võ.+ 600m ra Lotte Đào Tấn.+ 1,5km ra Công viên Thủ.+ Sổ chính chủ - diện tích 77m² mặt tiền 5,1m nhà 2 mặt thoáng tiện kinh doanh, xây nhà nghỉ, khách sạn, chung cư mini.+ Giá: 10,5 tỷ - chính chủ bán gấp có thương lượng gia lộc nếu mua trong tháng này.+ Liên hệ xem nhà điện thoại: 0983 776 *** - Quang Nghĩa (Không có phí môi giới, không phí trung gian, quảng cáo tránh làm phiền).            ",77 m²,10.5 tỷ,2 tầng,,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 3,35730245,batdongsan_com_vn_35730245,Tây - Bắc,Tây - Nam,,,5.1 m,3 m
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Bán nhanh căn hộ 3PN và Duplex tại Vinhomes Gardenia - Hàm Nghi.+ Căn hộ 3 phòng ngủ, diện tích: 100m², giá: 4.8 tỷ.+ Căn hộ duplex, diện tích: 100m², giá: 4.8 tỷ.+ Tầng đẹp, view đẹp, thoáng mát, nhận nhà ở luôn.Khách hàng quan tâm vui lòng liên hệ.Mr. Hoàng: 0868 277 ***Để được đến xem trực tiếp ạ.            ",100 m²,4.8 tỷ,,2 phòng,Sổ đỏ/ Sổ hồng.,24/11/2022,04/12/2022,Tin Vip 3,35541479,batdongsan_com_vn_35541479,,,3 phòng,,,
"['Hà Nội.', 'Ba Vì', 'Xã Ba Trại']","
Bán lô đất nghỉ dưỡng, trang trại, huyện Ba Vì, Hà Nội. Dt 29300m² mặt hồ Suối Hai - giá 1,2tr/m².+ Liên hệ xem: 0983 333 *** - Quang Nghĩa (Không có phí môi giới, môi giới tránh làm phiền).- Lô đất nghỉ dưỡng, nằm trong quần thể khu du lịch sinh thái quốc gia Hồ Suối Hai - Ba Vì.- Lô đất có độ cao dưới là view hồ đẹp nhất, phong thủy hữu tình, phù hợp làm khu du lịch sinh thái, homestay, nghỉ dưỡng.- Địa chỉ: Xã Ba Trại, Huyện Ba Vì, Hà Nội.- Vị trí đất nằm trong khu vực trung tâm của khu du lịch.- Diện tích: 29300 m², có 3000m² đất xây dựng, hiện đang trồng hơn 200 cây ăn quả, mít, gỗ xưa... Được 5 năm.- Giá bán: 1,2tr/m².+ Liên hệ xem: 0983 333 *** - Quang Nghĩa (Không có phí môi giới, môi giới tránh làm phiền).            ",29300 m²,1.2 triệu/m²,,,Đang chờ sổ,24/11/2022,04/12/2022,Tin Vip 3,34295172,batdongsan_com_vn_34295172,,,,,320 m,5 m
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Cầu Bươu', 'Dự án Sails Tower']","
Gia đình không có nhu cầu sử dụng vì đã chuyển sang căn 3 ngủ cùng toà cần bán nhanh căn 2 ngủ tầng 10 toà B Sông Nhuệ, full nội thất đẹp cho bác nào có nhu cầu.Thông tin căn hộ:Diện tích: 62m².Hướng cửa: Đông Bắc, ban công: Tây Nam.Thiết kế căn hộ: 2 phòng ngủ, 1 vệ sinh.Nội thất gồm: Sàn gỗ, tủ bếp, điều hoà, bình nóng lạnh, giường ngủ, tủ quần áo, sofa, kệ tivi, thiết bị vệ sinh, thiết bị đèn điện...Giá: 1.4x tỷ có thương lượng.Pháp lý: Sổ đỏ cất két sẵn sang giao dịch.Liên hệ chính chủ: 0976 572 *** ",62 m²,1.429 tỷ,,1 phòng,Sổ đỏ,24/11/2022,01/12/2022,Tin Vip 3,35942306,batdongsan_com_vn_35942306,Đông - Bắc,Tây - Nam,2 phòng,Đầy đủ,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Dự án The Emerald']","
Tôi chính chủ cần bán gấp 2 căn hộ DT 80m² và 100m² CC The Emerald giá 2.9 tỷ, thông tin căn hộ như sau:+ Căn 80m² toà E2. Thiết kế 2 ngủ 2 vệ sinh, cửa Nam ban công Bắc, nội thất đầy đủ giá 2.9 tỷ.+ Căn 100m² toà E3. Thiết kế 3 ngủ 2 vệ sinh, cửa Tây Bắc ban công Đông Nam, nội thất cao cấp giá 3.6 tỷ.+ 2 căn hộ sổ đỏ chính chủ.+ Giá có thương lượng.Xem nhà 24/7 liên hệ: 0339 980 *** E Hoan.            ",81 m²,2.9 tỷ,,2 phòng,,24/11/2022,04/12/2022,Tin Vip 3,35942068,batdongsan_com_vn_35942068,Tây - Bắc,Đông - Nam,2 phòng,,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Cổ Linh', 'Dự án Elegant Park Villa Thạch Bàn']","
Là một trong các dự án đẳng cấp và chất lượng top 1 tại Long Biên, Elegant Park Villa là một sản phẩm của CĐT MIK dành riêng cho các cư dân thông thái với số lượng chỉ 86 căn. Nằm giữa 3 hồ, 50% diện tích cho cảnh quan, tiện ích...Bán căn BT dãy cạnh hồ 216m², cạnh cổng chính dự án.- Nhà xây thô 4 tầng, CĐT MIK xây dựng chất lượng tốt, thiết kế hợp lý.- Có sân để xe riêng, vỉa hè cạnh nhà rất rộng.- Diện tích xây dựng 130m, còn lại là sân vườn cực thoáng.- Đã có sổ đỏ, sẵn sàng giao dịch ngay.Liên hệ em để nhận thông tin và xem nhà 24/7: 0988 585 *** ",216 m²,175 triệu/m²,4 tầng,6 phòng,Sổ đỏ/ Sổ hồng.,24/11/2022,04/12/2022,Tin Vip 3,35408847,batdongsan_com_vn_35408847,Đông - Nam,Đông - Nam,7 phòng,,12 m,12 m
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy', '122', 'Mipec Rubik 360']","
LH em để được hỗ trợ em Thanh 0968 191 ***Mipec Rubik 360 - 122 Xuân Thủy - Cầu Giấy - HN hiện nay đã 90% căn hộ đã có chủ và cư dân bắt đầu nhận bàn giao nhà từ ngày 25.9.2022 đến cuối năm.Cư dân đã bắt đầu về an cư, tiện ích đầy đủ, sầm uất.* Xin giới thiệu để quý khách tham khảo một số căn đáp ứng tiêu chí:Ở Mipec Rubik 360 - 122 Xuân Thủy: Có 2 tòa gồm tòa A và S.Cao 35 tầng, có 1 tầng nổi làm trung tâm thương mại và khu tiện ích, 34 tầng căn hộ, 3 tầng hầm chung nhau toàn bộ khối đế. Tổng 976 căn hộ với các diện tích khác nhau: 2PN, 3PN, 4PN.Tổng diện tích khu đất: 4.1 ha. Mật độ xây dựng 36.2%.- 1. Căn hộ có diện tích nhỏ 53.3m², thiết kế căn 2PN + 1WC, mỗi một mặt sàn của tòa nhà bố trí 2 căn hộ. Vậy 1 tầng cả tòa A và S là 4 căn có thiết kế tương đương nhau.Giá bán chỉ từ 2,7 tỷ xx/căn hộ.- 2. Căn hộ có diện tích vừa vừa: 66.8m², 70.3m². Thiết kế căn hộ 2PN + 2WC, 1 ban công.Giá bán chỉ từ 3 tỷ 2xx/ căn hộ.- 3. Căn hộ có diện tích rộng vừa: 75.8m², 76.3m², 82m², 83.5m².Thiết kế căn hộ 2PN + 2WC, 2 ban công.Giá bán chỉ từ 3 tỷ 4xx/ căn hộ.- 4. Căn hộ có diện tích rộng: 93.6m², 107.9m², 110.2m². Thiết kế căn hồ 3PN + 2WC, 2 ban công.Giá bán chỉ từ 6 tỷ 2xx/ căn hộ.- 5. Căn hộ có diện tích 124m², căn duy nhất có s to nhất tại khu Mipec Rubik.Thiết kế gồm: 4PN + 2WC, 2 Ban công. Căn có thiết kế độc nhất, đẹp nhất, hịn nhất khu.Giá bán chỉ từ 8 tỷ xx/ căn hộ.Liên hệ em, xem nhà mọi lúc: 0968 191 ***Nội thất chủ đầu tư bàn giao gồm:Điều hoà 2 chiều âm tường, thiết bị phòng tắm vệ sinh đầy đủ, xịn, mẫu mới nhất thị trường, bếp từ, hút mùi, tủ bếp, sàn gỗ, trần thạch cao, cửa chống cháy, đèn led chiếu sáng, cửa khóa từ đầy đủ 4 chức năng, bình nóng lạnh, vách kính ngăn phòng tắm...- Phân bổ căn hộ/ tầng của tòa nhà tại 2 toà của chung cư Mipec Rubik 360.- Tầng 2 - tầng 31: 15 hộ căn/sàn.- Tầng 32: 13 căn hộ/ sàn.- Tầng 33: 11 căn hộ/sàn.- Tầng 34: 7 căn hộ/sàn.- Tầng 35: 5 căn hộ/sàn.+ Tiện ích được sử dụng khi an cư tại Mipec Rubik 360.- 10 Skygarden trên mái với 5 phong cách khác nhau. Chụp hình, check in, hít thở không khí trong lành, nhiều cây xanh với 4 mùa Xuân - Hạ - Thu - Đông.- Các căn hộ điều có slot ô tô ở hầm.- Miễn phí dịch vụ trong 2 năm đầu khi an cư tại đây.- Phòng sinh hoạt cộng đồng.- Nhà trẻ và trường học liên cơ.- Khu vui chơi trẻ em.- Kết nối thuận tiện để vào trung tâm thành phố, ra sân bay hoặc cao tốc thuận tiện.- Bể bơi trong nhà.- Trung tâm thương mại.- Sát các trường THPT, đại học Quốc gia, Sư phạm, HV báo chí.- Nhà hàng, cafe.- Phòng tập gym, spa, yoga.- Cạnh chợ sinh viên, nơi mua sắm sầm uất nhất Hà Nội.- Cạnh tuyến phố thương mại Xuân Thủy, Cầu Giấy...Hàng xóm có nhu cầu vui lòng liên hệ em.Để tìm hiểu mua căn hộ 1 cách đầy đủ pháp lý, rõ ràng minh bạch.Nhắc máy lên gọi cho em /zalo em.0968 191 ***ĐT 0987 065 ***/ 0968 191 *** ",80 m²,Thỏa thuận,,2 phòng,,24/11/2022,04/12/2022,Tin Vip 3,35411286,batdongsan_com_vn_35411286,,,3 phòng,Nội thất đầy đủ,,
