address,gen_descrip,Diện tích,Mức giá,Số tầng,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Mặt tiền,Đường vào
"['Hà Nội', 'Tây Hồ', 'Dự án Ciputra Hà Nội']","
Bán biệt thự khu K và khu Q tại khu đô thị Ciputra Hà Nội, quận Tây Hồ.- Biệt thự 385m giá bán 240tr/m.- Biệt thự 415m giá bán 240tr/m.- Biệt thự 330m giá bán 250/m.- Biệt thự 324m giá bán 220tr/m.- Biệt thự 400m giá bán 220tr/m.- Biệt thự 336m giá bán 350tr/m, mặt đường Nguyễn Văn Huyên.- Biệt thự 450m giá bán 400tr/m, lô góc, mặt đường Nguyễn Văn Huyên.Xây dựng 3 tầng, mặt tiền từ 12m trở lên.Vị trí đẹp, kết nối giao thông thuận tiện.Liên hệ: 0931 981 *** ",320 m²,220 triệu/m²,,,26/11/2022,06/12/2022,Tin Vip 2,35957364,batdongsan_com_vn_35957364,,,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án The Sakura - Vinhomes Smart City']","
Quỹ căn độc quyền 1PN + 1 giá 1,9 tỷ siêu hót, ký HĐ trực tiếp CĐT có thể thiết kế thành căn 2 phòng ngủ như ảnh trên.Hotline phòng kinh doanh: 0383 993 *** Em Bảo Vinhomes.- Mã căn SA3.0x19.- Hướng BC: Đông Nam.- View: Ngoại khu ra tuyến Metro Số 6 và cầu dạo bộ Hinoki.- Nhận nhà: Dự kiến bàn giao tháng 01/2023.- Ngân hàng hỗ trợ 70% ân hạn + lãi 0% đến 15/12/2023.* Quà tặng và chiết khấu:1. Quà mùa thu trị giá 100tr.2. Miễn phí 5 năm dịch vụ hoặc trừ vào giá 700k(S).3. Bảo lãnh ngân hàng 0,8%.4. Chiết khấu 6% khi thanh toán tiến độ.Hotline KD2 Vinhomes Smart City: 0383 993 ***.Website: https://vinhomesland.org/vinhomes-smart-city/ ",52 m²,1.9 tỷ,,,26/11/2022,06/12/2022,Tin Vip 2,35731598,batdongsan_com_vn_35731598,Tây - Bắc,Đông - Nam,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'đường Tứ Hiệp', 'Dự án Tecco Garden']","
Chương trình đồng giá căn hộ 4PN từ 127m².Áp dụng mức giá 24 triệu/m².Căn hộ 4PN chưa đến 3 tỷ.Đúng chất sống sang, sống rộng, thông thoáng.Căn hộ không có điểm chê, đến thực tế trải nghiệm đảm bảo ưng ý chốt ngay.Tiện ích đồng bộ - sổ đỏ vĩnh viễn - nhận nhà ở ngay.Chi tiết anh/chị liên hệ em hoàng thảo để được tư vấn cụ thể.Hotline: 0941 897 *** ",127 m²,23.5 triệu/m²,,Cơ bản,26/11/2022,03/12/2022,Tin Vip 2,35840711,batdongsan_com_vn_35840711,,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Em Tiến sàn BĐS Homeland đang có 199 căn hộ thuộc Vinhomes Gardenia, quỹ căn hộ đa dạng, nội thất đẹp, hướng ưng ý. Phục vụ với sứ mệnh uy tín - tận tụy - vì mong muốn tìm ngôi nhà hài lòng nhất cho mỗi gia đình.- Thông tin dự án: Vinhomes Gardenia tọa lạc tại Đường Hàm Nghi, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội gồm 3 tòa A1, A2 và A3.Em xin gửi quý khách hàng bảng giá bán các căn hộ tại Vinhomes Gardenia:+ Căn hộ 2 phòng ngủ: Diện tích 52m, 73m, 77m giá từ 3 tỷ 500 triệu đến hơn 3 tỷ 800 triệu (tùy từng nội thất).+ Căn hộ 3 phòng ngủ: Diện tích 96m, 106m, 112m, 116m giá từ 4 tỷ 900 triệu đến 5 tỷ 700 triệu (tùy nội thất).+ Căn hộ Duplex (3 phòng ngủ): Diện tích 93m đến 100m giá từ 4 tỷ 500 triệu đến 5 tỷ (tùy nội thất).+ Căn hộ 4 phòng ngủ: Diện tích 122m đến 137m giá từ 6 tỷ đến 6 tỷ 500 triệu (tùy nội thất).Bên em cam kết báo giá chủ nhà đưa ra, xem nhà 24/7, hỗ trợ tư vấn trả góp ngân hàng, tư vấn nhiệt tình và hình ảnh thực tế chính xác nhất, hỗ trợ thủ tục pháp lý đến lúc ra sổ mới.Anh chị cô chú có nhu cầu vui lòng liên hệ 0902 736 ***em Tiến) để được tư vấn và xem nhà mọi ngày trong tuần.- Ngoài ra em chuyên chuyển nhượng các chung cư khác nữa tại khu vực Nam Từ Liêm và Bắc Từ Liêm với rất nhiều căn giá tốt chính chủ gửi bán.            ",111 m²,Thỏa thuận,,,26/11/2022,06/12/2022,Tin Vip 2,34262460,batdongsan_com_vn_34262460,,,3 phòng,2 phòng,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công']","
Chính chủ mở bán chung cư HC1 Võ Chí Công - Xuân La - Hồ Tây - Sổ hồng - Full nội thất.Tòa mới uư đãi cao - Tặng xe - Tặng vàng 9999.Chung cư xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay.Gần các trường đại học - chợ - siêu thị - trường học các cấp - đi lại thuận lợi.Giá: 620tr - 750tr - 860tr - 930tr - 1 tỷ - 1 tỷ 1 - 1 tỷ 250 - 1 tỷ 350.DT: 32m² - 36m² - 45m² - 50m² đến 58m².Nội thất: Thiết bị vệ sinh đầy đủ, gạch men, tủ bếp trên dưới, bếp hút mùi, bếp âm, bình nóng lạnh, đầu chờ điều hòa, internet.Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Liên hệ chính chủ xem căn hộ miễn phí 24/24.Ad Zalo nhận video căn hộ.            ",32 m²,620 triệu,,,26/11/2022,06/12/2022,Tin Vip 2,35841908,batdongsan_com_vn_35841908,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Nguyễn Khánh Toàn']","
SIÊU PHẨM CẦU GIẤY -NGUYỄN KHÁNH TOÀN HÀNG XÓM BA ĐÌNH - DÒNG TIỀN 600 TRIỆU/NĂM - PHỐ VIP - SỔ ĐỎ THI HOA HẬUDT 95m² MT MH =6m  + Con phố HOT nhất quận Cầu Giấy cho loại hình kinh doanh phòng trọ, CCMN, giâ thuê cao ngất ngưởng. + Nhà gần ô tô, khổ đất thông số vàng. + Xây dựng: 7 tầng, tầng 3 phòng, tổng 16 phòng khép kín có gác xép, full nội thất. + Nhà để sẵn ô chờ thang máy.  Thiết kế:+ Tầng 1: Phòng để xe và 1 phòng bảo vệ + Tầng: 2,3,4,5 Mỗi tầng 3 Phòng ngủ rộng + Phụ.+ Tầng 6: 4 Phòng +Tầng 7: Sân phơi, máy giặt, Cho thuê lắp cột sóng của Vinaphone 8tr/ tháng. Sổ đỏ đẹp, sẵn sàng giao dịch.+ Hiện chủ nhà đang cho bên vận hành thuê hợp đồng 55 triệu/tháng thời hạn 3 năm. Tự vận hành bảo đảm 75 - 80 triệu/tháng, khách mua lắp thêm thang máy giá trị càng khủng.                + GIÁ ĐẦU TƯ . LH: 0972 586 *** ",95 m²,12.8 tỷ,7 tầng,,26/11/2022,03/12/2022,Tin Vip 2,35956335,batdongsan_com_vn_35956335,,,16 phòng,17 phòng,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Bồ Đề']","
Khu vực cực hiếm, đất mặt hồ UBND Phường Bồ Đề, sang phố nhanh chóng, thông các ngả.Nhà gần công viên, đỗ xe tại cửa tiện ích bệnh viện, chợ, trường học các cấp chuẩn quốc gia, trường quốc tế Wellspring, bệnh viện Tâm Anh bán kính 100m.Sổ đỏ chính chủ.Diện tích 80m².Giá bán 130 triệu/m².Ưu tiên khách mua hết diện tích đất.            ",80 m²,130 triệu/m²,,,26/11/2022,06/12/2022,Tin Vip 2,35947808,batdongsan_com_vn_35947808,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,
"['Hà Nội', 'Đống Đa', 'Phường Nam Đồng', 'Phố Xã Đàn']","
Khu nhà có vị trí thuận lợi, gần trường học cấp 1 - 2 - 3, gần chợ, gần hồ Nam Đồng. Mặt tiền rộng 7m. Có gara ô tô.Liên hệ: 0917 682 *** ",46.5 m²,Thỏa thuận,4 tầng,Cơ bản,26/11/2022,06/12/2022,Tin Vip 2,35951745,batdongsan_com_vn_35951745,,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,7 m,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai', '296/86']","
Vợ chồng mình cần bán nhà phố Minh Khai - Hai Bà Trưng - Hà Nội.- Sổ đỏ chính chủ ở 296/86 Minh Khai.- Cách Times City 2 phút, cách Hồ Gươm 7 phút, cách ĐH Bách Khoa - Kinh Tế 4 phút, cách Aeon Long Biên 10 phút đi xe.- Đường Minh Khai giờ mở rộng to đẹp, phóng xe máy ô tô vèo vèo, không lo ùn tắc như trước đâu ạ.- Nhà cao 4 tầng, rộng 41m², nhà 2 mặt thoáng, cả phía trước và phía sau đều nhìn ra vườn.- Buổi chiều mở cửa trước cửa sau cứ phải gọi là lồng lộng gió, giờ ở HN nhà phố khó kiếm được view cây xanh thoáng mát như vậy lắm ạ.- Về công năng sử dụng:+ Tầng 1: Bao gồm 1 phòng khách, 1 phòng bếp.+ Tầng 2 - 3 mỗi tầng 2 phòng ngủ.- Tổng cộng có 4 phòng ngủ tất cả, phù hợp với gia đình 2 vợ chồng, 2 con sống chung cùng ông bà hoặc người nhà. Các phòng ngủ đều có cửa sổ to.+ Tầng 4 gồm phòng thờ, sân phơi.+ Tầng tum gồm 1 sân rộng trồng rau.- Nhà xây mới hoàn thiện, thiết bị WC Inax, cầu thang đá, tay vịn - lan can gỗ, cửa gỗ thông phòng, lát gỗ các tầng.- Nhà đầy đủ đồ chỉ việc xách vali về ở ạ.- Giá chào có thương lượng mạnh cho khách nhiệt tình: 4 tỷ xíu.- Liên hệ: Vũ Long (Chính chủ) 0976 450 *** ",41 m²,4 tỷ,4 tầng,Nội thất đầy đủ.,16/11/2022,29/11/2022,Tin Vip 2,35652658,batdongsan_com_vn_35652658,,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Vũ Phạm Hàm']","
Cần bán tòa nhà Văn phòng phố Vũ Phạm Hàm, Cầu Giấy: Diện tích 95m x 6 tầng thang máy, mặt tiền 5.5m, nhà ở kết hợp kinh doanh đỉnh cao.Thông tin chi tiết:- Tòa nhà tọa lạc trong KĐT Nam Trung Yên nơi kinh doanh sầm uất, vị trí đắc địa cách mặt phố Vũ Phạm Hàm 20m.- Khu vực tập trung rất nhiều công ty, văn phòng, nhà hàng ăn uống cho người nước ngoài = phù hợp với nhiều loại hình KD đa dạng: Nhà hàng, khách sạn, văn phòng, phòng khám, thẩm mỹ viện.- Đường trước nhà 3 ô tô tránh, vỉa hè 2 bên rộng 3m.- Xung quanh tiện ích gì cũng có: Chợ, siêu thị, ngân hàng, trường mầm non, TH, THCS, THPT.- Giao thông thuận tiện, đi các ngả, đường Vũ Phạm Hàm giao với các tuyến phố lớn: Trung Kính, Trung Hòa, Mạc Thái Tông, Nam Trung Yên, Trần Duy Hưng, Trần Kim Xuyến...- Sổ đỏ chính chủ, vuông đẹp, pháp lý sạch, giao dịch ngay.- Chủ để lại toàn bộ nội thất cho KH thiện chí.- Giá: 31 tỷ (có thương lượng).            ",95 m²,31 tỷ,6 tầng,Đầy đủ,25/11/2022,05/12/2022,Tin Vip 2,35954372,batdongsan_com_vn_35954372,,,,,Sổ đỏ/ Sổ hồng,5.5 m,10 m
