address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Hướng nhà,Pháp lý,Nội thất,Đường vào,Mặt tiền
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Green Pearl 378 Minh Khai']","
Do 2 vợ chồng chuyển công tác nên cần bán căn hộ để mua gần cơ quan:- Cửa chính Tây Bắc, ban công Đông Nam.- View đẹp thoáng mát.- Khuyến mãi KPBT.* Đã có sổ, ký văn bản chuyển nhượng tại VPCC.Liên hệ chi tiết: 0976 809 *** để biết thêm thông tin.            ",96.77 m²,3.999 tỷ,,3 phòng,2 phòng,05/12/2022,12/12/2022,Tin thường,36037646,batdongsan_com_vn_36037646,Đông - Nam,Tây - Bắc,,Bàn giao cơ bản,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Dự án KĐT Linh Đàm']","
Chí chủ bán chung cư CT4B - Bắc Linh Đàm Đại Kim, Hoàng Mai Hà Nội.Diện tích: 78m².Gồm 1 phòng khách, 2PN, 1VS. Ban công thoáng đẹp nhìn sang công viên Linh Đàm, buổi tối view đẹp lung linh.Nội thất: Sàn gỗ, trần thạch cao, nóng lạnh, điều hòa, tủ bếp, đồ gắn tường, bếp, tivi, tủ lạnh, bể cá to, giường tủ bàn phấn,...Gần chợ, trường học, bệnh viện và rất nhiều quán cafe, quán ăn ngon nổi tiếng ngay dưới chân tòa nhà, rất tiện cho sinh hoạt và mọi nhu cầu khác.Giá: 1,9 tỉ bao tên.Sổ đỏ chính chủ sẵn sàng giao dịch.LH: Em Giỏi: 0374 406 *** để đến xem nhà trực tiếp (tuyệt đối không tiếp trung gian).            ",78 m²,1.9 tỷ,,2 phòng,1 phòng,05/12/2022,12/12/2022,Tin thường,36036479,batdongsan_com_vn_36036479,Bắc,Nam,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công']","
Dòng tiền 120tr/th cần bán gấp tại quận Tây Hồ - Võ Chí Công thông Xuân La, Lạc Long Quân, ngõ ba gác tránh xe máy thông mọi ngả, gần phố, gần Hồ Tây, Khu Ngoại giao đoàn, trường học, tiện ích đầy đủ.85m² 7T 17p - 11.9tỷ - Full sổ, full nội thất chỉ việc xách vali vào ở - Bán bất chấp giá nào cũng vào việc - chủ quá mót bán.Lh Ms. Hằng - Tin thật ảnh thật - Congrats.            ",85 m²,11.9 tỷ,7 tầng,17 phòng,17 phòng,05/12/2022,12/12/2022,Tin thường,35879121,batdongsan_com_vn_35879121,,,Đã có sổ,Full nội thất.,3 m,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', '203', 'Imperia Garden']","
Tôi cần bán căn hộ tại chung cư Imperia Garden 203 Nguyễn Huy Tưởng.Căn hộ diện tích 93m²; Nhà thiết kế 3 phòng ngủ, 2 vệ sinh rộng rãi, sang trọng.Cửa hướng Tây Nam, ban công Đông Bắc (view căn hộ nhìn ra nội khu rất đẹp và thoáng).Tất cả các phòng đều có ánh sáng, bố trí vô cùng hợp lý. Tôi đã làm nội thất đồng bộ theo 1 gam màu chủ đạo, đã có nội thất đầy đủ, người mua chỉ cần xách vali vào ở tôi sẽ tặng lại hết.Muốn bán gấp nên rất mong gặp được khách thiện chí làm việc.Cần xem nhà liên hệ trước: 0979 098 *** ",93 m²,4 tỷ,,3 phòng,2 phòng,05/12/2022,12/12/2022,Tin thường,35639809,batdongsan_com_vn_35639809,Đông - Bắc,Tây - Nam,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án La Casta Văn Phú']","
Chủ đầu tư Hibrand Việt Nam (Phòng bán hàng và giới thiệu dự án tại tầng 1 - Tòa A chung cư La Casta Tower - ngã ba phố Văn Khê và phố Phúc La) bán những căn hộ cuối của chung cư cao cấp La Casta Tower, Văn Phú, Hà Đông, Hà Nội tại vị trí trung tâm, đắc địa còn lại duy nhất của quận Hà Đông, nằm trên 250m mặt tiền phố Văn Khê và phố Phú La, mặt sau hướng vườn hoa nội khu rộng 10.000m², là phần đẹp nhất của khu đô thị Văn Phú rộng 94,3ha. La Casta Tower cách BRT chỉ 50m, cách UBND quận 500m, cách trường chuyên Nguyễn Huệ, Ban Mai, Tiểu học, THCS Phú La 300 m, trường Marie Curie cơ sở Hà Đông 200m; giáp trụ sở UBND và Công an phường Phú La...Đặc biệt, do chỉ cách ga La Khê đường tàu điện trên cao Cát Linh - Hà Đông có 200m nên từ dự án chỉ mất 23 phút đã có mặt tại Cát Linh; 15 phút có mặt tại Ngã tư Sở...La Casta Tower được xây dựng theo công nghệ hiện đại nhất của Hàn Quốc (đúc bê tông cả tòa nhà, các phòng không có cột nên các phòng đều vuông);Chủ đầu tư đang hoàn thiện gần xong nội thất, đã hoàn thiện sơn và nắp kính toàn bộ tòa nhà và bắt đầu hoàn thiện ngoại khu; sẽ bàn giao cho khách hàng bắt đầu từ ngày 15 tháng 6 năm 2022.Các căn hộ có 1 PN, 2 PN và 3PN với diện tích thông thủy từ 47,32m² - 68,44m² - 77,91m² - 84,01m² - 85,55m² - 87,79m² - 100,89m² - 111,76m² - 117,36m².Căn hộ bàn giao nội thất cao cấp, đầy đủ bao gồm: Sàn gỗ và hệ thống cửa thông phòng nhập khẩu; khóa từ thông minh; điều hòa âm trần; thiết bị vệ sinh ToTo; tủ bếp và thiết bị bếp nhập khẩu; tủ quần áo, tủ giày liền tường; hệ thống ánh sáng được bố trí khoa học với các thiết bị cao cấp...Tiến độ thanh toán và chính sách bán hàng (giá bán hàng của khách hàng vay ngân hàng và không vay ngân hàng là như nhau) của Chủ đầu tư dự án nước ngoài như sau:A) đối với khách hàng vay ngân hàng: Ngân hàng hỗ trợ lãi suất 0% và ân hạn nợ gốc đến 31/12/2022.Đợt 1: 25% ký HĐMB (Ngân hàng hỗ trợ 70%, khách hàng nộp 30% của 25%).Đợt 2: 25% (sau 30 ngày kể từ ngày ký HĐMB - Ngân hàng hỗ trợ 70%, khách hàng nộp 30% của 25%).Đợt 3: 45% khi nhận nhà (Ngân hàng hỗ trợ 70%, KH nộp 30% của 45%); dự kiến 30/5/2022.Đợt 4: 5% khi cấp sổ.B) đối với khách hàng không vay ngân hàng:Đợt 1: 20% ký HĐMB.Đợt 2: 10% (sau 30 ngày kể từ ngày ký HĐMB).Đợt 3: 20% (sau 60 ngày từ ngày ký HĐMB).Đợt 4: 45% khi nhận nhà - dự kiến 30/5/2022.Đợt 5: 5% khi cấp sổ.Khách hàng đến Phòng bán hàng của Chủ đầu tư Hibrand Việt Nam tại tầng 1, Tòa A chung cư La Casta (ngã ba phố Văn Khê và phố Phúc La) để được tư vấn mua những căn hộ cuối cùng của dự án và tham quan nhà mẫu tại tầng 4 Tòa A.Mời khách hàng xem đánh giá về chung cư La Casta Văn Phú của Bất động sản.com tại địa chỉ https://batdongsan.com.vn/tin-thi-truong/danh-gia-du-an-la-casta-tower-van-phu-ar108270Liên hệ Phòng bán hàng dự án, hotline: Mrs Nguyễn Thị Tú Anh: 0917 681 *** ",111.76 m²,38 triệu/m²,,3 phòng,2 phòng,16/11/2022,16/12/2022,Tin thường,30054158,batdongsan_com_vn_30054158,,,"Sổ đỏ lâu dài; Ngân hàng MB - Chi nhánh Phùng Hưng, Hà Đông bảo lãnh tài chính và tiến độ dự án theo đúng quy định của pháp luật.","Nội thất cao cấp, đầy đủ bao gồm: Sàn gỗ và hệ thống cửa thông phòng nhập khẩu; khóa từ thông minh; điều hòa âm trần; thiết bị vệ sinh Toto; tủ bếp và thiết bị bếp nhập khẩu; tủ quần áo...",,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá']","
Vợ chồng tôi chuyển công tác cần bán nhà sổ đỏ chính chủ tại Yên Xá - Tân Triều - Thanh Trì. Ngay khu tổng cục 5 Tân Triều và Đại Lộ Chu Văn An thông với Nguyễn Xiển và Vành Đai 3...Công năng tiện ích:Diện tích: 38m², mặt tiền 4m,Tầng 1: Phòng Khách + Bếp + WC.Tầng 2 + 3: Mỗi tầng 1 PN + 1 WC.Tầng 4: 1 Phòng Ngủ + Phòng Thờ.Nhà xây dựng kiên cố, sổ đỏ chính chủ pháp lý đầy đủ, nội thất cơ bản chỉ việc dọn đến ở.Liên hệ ngay 0886 814 ***Mr Tuyển) để xem nhà trực tiếp và được tư vấn miễn phí.            ",38 m²,2.75 tỷ,4 tầng,3 phòng,3 phòng,05/12/2022,12/12/2022,Tin thường,36037610,batdongsan_com_vn_36037610,,,Sổ đỏ/ Sổ hồng,Cơ bản,2.8 m,4 m
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Đường Giải Phóng', '360', 'Imperial Plaza']","
Nhà mình chuyển căn to cần bán gấp căn hộ chung cư gần tòa Imperia Plaza 360 Giải Phóng, diện tích 63.4m² thiết kế 2 phòng ngủ, 2 vệ sinh, ban công Đông Nam, căn góc hai mặt thoáng, tầng 16, cần bán gấp với giá nhỉnh 2.5 tỷ (có thương lượng).Liên hệ 0979 098 *** ",63.4 m²,2.5 tỷ,,2 phòng,2 phòng,05/12/2022,12/12/2022,Tin thường,35664550,batdongsan_com_vn_35664550,Đông - Nam,,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Cổ Bi', 'Đường Quốc Lộ 5', 'Dự án Green Oasis Cổ Bi']","
Tên thương mại: Khu đô thị Green Little Town Cổ Bi Gia Lâm (Khu đô thị Green Oasis Gia Lâm).- Chủ đầu tư: Công ty Cổ phần Tập đoàn Videc.- Tổng diện tích: 3,2 ha.- Bao gồm 198 shophouse và nhà ở thấp tầng, công viên cây xanh, trung tâm thương mại, trường mầm non mẫu giáo. Đường 42m nối thông sang đường Cổ Bi và đường chính trong khu đô thị Đặng Xá.- Cách mặt đường Quốc lộ 5 800m - đường chính vào khu Đô thị rộng 40m - kết nối sang Đường Cổ Bi - Làng Vàng - Gia Lâm. Cách Vin Ocean Park Gia Lâm 1,5km.- Diện tích liền kề: 80m² - 100m² - mặt tiền 4,6m - 5m - đường nội khu rộng 11m và 13m - 1 khối nhà thương mại 5 tầng. Hiện trạng thông sang khu đô thị Đặng Xá.- Hình thức sở hữu: Sổ đỏ lâu dài.- Ngân hàng hỗ trợ vay 70%..- Hiện đã hoàn thành hệ thống hạ tầng.Vào tên hợp đồng trực tiếp với chủ đầu tư - tiến độ nộp tiền ưu đãi. LH: 0976 933 ***Thông tin pháp lý: Hình thức sở hữu: Sổ đỏ lâu dài.            ",100 m²,Thỏa thuận,,,,05/12/2022,04/01/2023,Tin thường,32465483,batdongsan_com_vn_32465483,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', '47 Đường Nguyễn Tuân', 'Dự án GoldSeason']","
Chính chủ cần bán căn hộ 3PN GoldSeason 47 Nguyễn Tuân.Gia đình không có nhu cầu sử dụng nên muốn bán lại căn hộ 100m² tòa S2 GoldSeason.Thiết kế: 3PN, 2WC, cửa hướng Tây Nam, ban công Đông Bắc.Giá bán: 3,85 tỷ (bao phí) có thương lượng khách thiện chí.Liên hệ chính chủ: 0979 098 *** ",100 m²,3.85 tỷ,,3 phòng,2 phòng,05/12/2022,12/12/2022,Tin thường,23820479,batdongsan_com_vn_23820479,Đông - Bắc,Tây - Nam,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Nguyễn Xiển', 'Dự án Eco Dream']","
Vì chuyển công tác về quê nên gia đình tôi muốn bán gấp căn hộ chung cư Eco Dream, chung cư nằm trong khu đô thị Tây Nam Kim Giang rất đẹp.Thông tin căn hộ 1617, căn 3PN, 2WC, cửa Tây Bắc, ban công Đông Nam thoáng mát, trong nhà mình đã có nội thất cơ bản, khách hàng có thể về ở được ngay.Bán nhanh giá 2,750 tỷ (bao phí sang tên chuyển nhượng).Liên hệ trực tiếp xem nhà và giấy tờ căn hộ 0979 098 *** ",98 m²,2.75 tỷ,,3 phòng,2 phòng,05/12/2022,12/12/2022,Tin thường,31265683,batdongsan_com_vn_31265683,Đông - Nam,Tây - Bắc,Có sổ.,,,
