address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Nội thất,Mặt tiền,Đường vào,Hướng nhà
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Hoàng Văn Thái']","
BÁN NHÀ PHỐ HOÀNG VĂN THÁI - THANH XUÂN - PHÂN LÔ ÔTÔ - RẤT GẦN MẶT PHỐ - NHÀ ĐẸP - SỔ ĐỎ ĐẸP - GIÁ THIỆN CHÍ.   - DT: 42/45m² x 5Tầng x MT: 4m.  - Giá Chào 5.5Tỷ ( Thương Lượng Sâu )   Mô Tả : Thiết kế thông sàn cầu thang cuối, giếng trời tràn ngập ánh sáng, các phòng rộng đẹp, thoáng mát.  + Tầng 1: Để xe, bếp, phòng khách, vệ sinh. + Tầng 2,3,4: Mỗi tầng 1 phòng ngủ vệ sinh khép kín.  + Tầng 5: phòng Thờ, sân phơi.  + Nhà đẹp, thiết kế không gian sống thoáng mát, nội thất cao cấp, đầy đủ mọi công năng.  + Khu vực phân lô Quân Đội, dân chí cao, hàng xóm thân thiện, gần trường học, chợ, bệnh viện an sinh, tiện ích không thiếu gì. + Phố giao với các phố Lê Trọng Tấn, Vương Thừa Vũ, Tô Vĩnh Diện, Nguyễn Ngọc Nại..giao thông đi lại vô cùng thuận lợi.   Mọi Chi Tiết Xin Liên Hệ Gia Luân.   ĐT: 0916 060 ***.  Giao Dịch Chính Chủ.  Giảm Sâu Cho Khách Thiện Chí.            ",45 m²,5.5 tỷ,5 tầng,3 phòng,4 phòng,Có Sổ Đỏ,26/11/2022,03/12/2022,Tin thường,35962026,batdongsan_com_vn_35962026,,Cao Cấp,4 m,3.5 m,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Bông', 'Phố Hàng Bông']","
Cực hot - đẳng cấp nhất phố cổ - chỉ 1 căn duy nhất - thiết kế phong cách độc & lạ.Chủ nhà là một kiến trúc sư nổi tiếng thả hồn và chăm chuốt từng cen ti mét của ngôi nhà. Do điều kiện công việc nên phải chuyển chỗ ở nên bán đi chủ nhà rất tiếc.Vị trí thì miễn bàn chỉ 5 phút đi bộ ra hồ Hoàn Kiếm, nằm trong 36 phố phường xưa và nay. Nhà thuộc trung tâm quận Hoàn Kiếm tiện ích ngập tràn, kinh doanh buôn bán sầm uất bậc nhất thủ đô.Giao thông thuận lợi ra Hàng Trống, Lương Văn Can, Hàng Đào, Cầu Gỗ, Đinh Tiên Hoàng..* Mô tả chi tiết.Thiết kế 4 tầng, nở hậu, mặt tiền lớn không gian thoáng mát, khách xem là mê, hệ thống khoá toàn bộ vân tay từ tầng 1 lên tầng 4.- Diện tích: 52m² x 4 tầng.- Mặt tiền: 8.3m.- Rộng: 4.7m.- Tầng 1: Phòng khách, bếp + wc.- Tầng: 2,3 phòng ngủ vs khép kín.- Tầng 5: Có bể bơi, sân vườn, phòng đa năng.- Tặng lại 90% nội thất, thiết bị gắn tường.Giá chào 17 tỷ có gia lộc cho khách thiện chí.Lh Mr Công 0988 458 ***chuyên gia bds số 1 thổ cư & nhà mặt phố khu vực Hà Nội).            ",52 m²,17 tỷ,4 tầng,4 phòng,4 phòng,Sổ đỏ chính chủ,22/11/2022,29/11/2022,Tin thường,35332645,batdongsan_com_vn_35332645,,Đầy đủ tiện ích,8 m,4 m,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Huỳnh Thúc Kháng']","
Chuyển sang Đức ở nên gia đình quyết định giảm giá 400 triệu bán nhanh trước tết. Nhà đẹp ô tô phố vip Huỳnh Thúc Kháng - Đống Đa 45m² x 5 tầng x 7,6 tỷ thương lượng. Lh 0355 823 ***- Vị trí giao thông thuận lợi, kết nối các quận Đống Đa, Ba Đình, Thanh Xuân, Hai Bà Trưng, Cầu Giấy.- Nhà nằm ngay trung tâm quận Đống Đa, cách mặt phố Huỳnh Thúc Kháng, Yên Lãng chỉ hơn trăm mét, gần các phố Thái Hà, Tây Sơn, Ngã Tư Sở, Xã Đàn, Nguyễn Chí Thanh, Láng Hạ, Giảng Võ, Hoàng Cầu, Yên Lãng.- Khu vực vip nhất nhì quận Đống Đa, ngõ ô tô tránh, trước nhà ô tô 7 chỗ quay đầu, khu vực tập trung rất nhiều văn phòng, trường học, dân trí cao, an sinh tốt. Tiện ích nhiểu: Gần trung tâm thương mại Mipec Tây Sơn, Royal City, Vincom, Lotte Center Nguyễn Chí Thanh, rạp chiếu phim, trường đại học Y Hà Nội, Công Đoàn, Thủy Lợi, Kinh Tế, Thương Mại, Giao Thông Vận Tải.- Nhà thiết kế 5 tầng thông sàn phù hợp vừa ở vừa làm văn phòng kinh doanh.- Sổ đỏ chính chủ.- Giá chỉ 7,6 tỷ.- Liên hệ trực tiếp 0355 823 *** ",45 m²,7.6 tỷ,5 tầng,4 phòng,3 phòng,Sổ đỏ chính chủ,26/11/2022,03/12/2022,Tin thường,35417794,batdongsan_com_vn_35417794,,,4.5 m,,
"['Hà Nội', 'Đống Đa', 'Phường Khương Thượng', 'Đường Tôn Thất Tùng']","
Bán nhà phố Tôn Thất Tùng Đống Đa 5 tầng giá chỉ 3,89 tỷ.- Phố Tôn Thất Tùng cắt ngang Trường Chinh, Chùa Bộc, Phạm Ngọc Thạch, thông ra Lê Trọng Tấn, Ngã Tư Sở, Tây Sơn, Thái Hà, Xã Đàn... Gần bệnh viện đại học Y Hà Nội, Đại Học Thủy Lợi, Công Đoàn, Học Viện Ngân Hàng, Vincom Phạm Ngọc Thạch, Big C Lê Trọng Tấn, Royal City...- Hiện tại đang cho thuê cả nhà tổng 6 phòng dòng tiền cho thuê hơn 20 triệu/ tháng.- Diện tích 35m².- Sổ đỏ chính chủ.- Giá chỉ 3,89 tỷ bao sang tên sổ đỏ.- Liên hệ trực tiếp anh Bắc 0355 823 *** ",35 m²,3.89 tỷ,5 tầng,,,,26/11/2022,03/12/2022,Tin thường,35878495,batdongsan_com_vn_35878495,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Phương Mai', 'Phố Phương Mai']","
Bán nhà phố phường Mai ngõ rộng, taxi đỗ cửa ngay gần bệnh viện Bạch Mai, bệnh viện Việt Pháp khu vực gần nhiều trường các cấp của quận Đống Đa, gần chợ, TTTM... Được hưởng trọn các tiện ích của khu vực trung tâm quận Đống Đa.Nhà có DT 35m², thiết kế 5 tầng cầu thang ở cuối nhà.Tầng 1: Để xe, bếp, phòng khách.Tầng 2,3,4: Mỗi tầng 1 PN rộng.Tầng 5: Phòng thờ sân phơi.Nhà phía sau còn một khoảng không lên nhà rất thoáng ngập tràn ánh sáng.Sổ đỏ pháp Lý rõ ràng sẵn sàng giao dịch.Xem nhà LH: 0342 042 *** ",35 m²,4.8 tỷ,5 tầng,3 phòng,4 phòng,Đã có sổ,26/11/2022,03/12/2022,Tin thường,35849134,batdongsan_com_vn_35849134,,Cơ bản,3.5 m,3.5 m,
"['Hà Nội', 'Đống Đa', 'Phường Văn Miếu', 'Phố Tôn Đức Thắng']","
+ Cần bán nhà mặt phố Tôn Đức Thắng - Đống Đa.+ Mặt tiền: 7.5m.+ Diện tích: 75m² x 4.5 tầng.+ Trục đường đôi.+ Ô tô tránh.+ Ô tô dừng đỗ.+ Kinh doanh bất chấp.+ Vỉa hè.+ Đường rộng.+ Rất gần Văn Miếu.+ Ra Hồ Tây gần.+ Xuống Cầu Giấy gần.+ Nhà vuông vắn, không lỗi phong thủy vỉa hè rộng.+ Nhà rất đẹp hàng siêu hiếm, thích hợp kinh doanh.+ Nhà xây 5 tầng BTCT chịu lực mới xây.+ Phong cách kiến trúc hiện đại, thang máy, thang bộ đầy đủ.+ Khu dân trí cao, gần trường học, gần chợ, gần siêu thị, gần sân vận động, gần khu kinh doanh nhu cầu về cuộc sống: Cafe, vật tư, vật liệu.+ Sổ đỏ chính chủ. Chủ nhà rất thiện chí muốn bán gấp.+ Hỗ trợ vay ngân hàng.+ Giá thỏa thuận..Liên hệ:Anh minh thổ cư 0961 318 *** để đi xem nhà sớm không là bị mua mất.(xem nhà miễn phí, nhiệt tình tận nơi, tư vấn pháp lý 24/7 để giao nhà nhanh. ).            ",75 m²,35 tỷ,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,26/11/2022,03/12/2022,Tin thường,34119779,batdongsan_com_vn_34119779,,Đầy đủ.,7.5 m,8 m,
"['Hà Nội', 'Đống Đa', 'Phường Khâm Thiên', 'Phố Khâm Thiên']","
+ Cần bán nhà gấp mặt phố Khâm Thiên Đống Đa Hà Nội.+ Mặt tiền: 4.5m,+ Diện tích: 65m² x 8 tầng.+ Thang máy.+ Tầng hầm.+ View khu vui chơi.+ Gần bệnh viện.+ Gần sân vận động.+ 2 vỉa hè rộng gần 20m.+ Bất chấp kinh doanh: Văn phòng, cafe, spa, tóc, phòng khám.+ Đang cho thuê văn phòng dòng tiền.+ Ô tô tránh các loại.+ ô tô dừng, đỗ ngày đêm.+ Nhà đẹp.+ Nhà vuông vắn, không lỗi phong thủy.+ Phong cách kiến trúc hiện đại, thang máy, thang bộ đầy đủ.+ Khu dân trí cao, gần trường học, gần chợ, gần siêu thị, gần sân vận động, gần khu kinh doanh nhu cầu về cuộc sống: Cafe, vật tư, vật liệu.+ Sổ đỏ chính chủ. Chủ nhà rất thiện chí muốn bán gấp.+ Hỗ trợ vay ngân hàng.+ Giá thỏa thuận.Liên hệ:Anh Minh thổ cư 0961 318 *** để đi xem nhà sớm không là bị mua mất.(Xem nhà miễn phí, nhiệt tình tận nơi, tư vấn pháp lý 24/7 để giao nhà nhanh... ).            ",65 m²,28 tỷ,8 tầng,8 phòng,8 phòng,,26/11/2022,03/12/2022,Tin thường,35645179,batdongsan_com_vn_35645179,,Đầy đủ.,4.5 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Thành Thái', 'Dự án The Park Home']","
Căn hộ 3 phòng ngủ DT: 86,54m².Căn hộ góc ban công hướng ĐN và ĐB.* Vị trí dự án: Tọa lạc ngã tư Thành Thái và Trần Thái Tông, thuộc phường Dịch Vọng, Quận Cầu Giấy, Hà Nội. Gần công viên Cầu Giấy.* Nội thất nhập khẩu cao cấp: Sàn gỗ, trần thạch cao, thiết bị vệ sinh đầy đủ, tủ bếp trên, bếp dưới...* Tiện ích ngoại khu: Dự án The Park Home - C22 sở hữu vị trí kim cương, trung tâm quận Cầu Giấy, xung quanh là các văn phòng hạng A. Đặc biệt là các trường học quốc tế, liên cấp chuẩn quốc gia, cư dân ở đây có thể dắt con đi bộ đi học. Chợ dân sinh rất nhiều thuận tiện trong cuộc sống hàng ngày. Cạnh trung tâm chính trị như Bộ Nội Vụ, Bộ Tài Nguyên và môi Trường, Tổng Cục Hải Quan, Kiểm Toán Nhà Nước Khu mua sắm. Vui chơi giải trí Indochina Plaza, The Garden, Discovery Complex. Bệnh viện 198, viện Huyết học.* Tiện ích nội khu: Gym, spa, siêu thị, Roptop tầng mái là nơi thư giãn lý tưởng sau mỗi ngày làm việc vất vả, tiểu cảnh nội khu, đường dạo bộ, khu vui chơi trẻ em.* Pháp lý dự án: Sổ hồng lâu dài.Liên hệ xem căn hộ thực tế: 0868 179 *** ",86.54 m²,5.7 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35863463,batdongsan_com_vn_35863463,Đông - Nam,"Nội thất nhập khẩu cao cấp: Sàn gỗ, trần thạch cao, thiết bị vệ sinh đầy đủ, tủ bếp trên, bếp dưới...",,,Tây - Bắc
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Phố Bà Triệu']","
+ Cần bán nhà Bà Triệu - Hà Đông - Hà Nội.+ Diện tích: 35m² x 6 tầng.+ Ngõ ô tô.+ Nhà mới, đẹp.+ Đầy đủ công năng: Điều hòa, Bình nóng lạnh, Bóng điện sửa.+ Chỉ việc xách vali về ở.+ Cách ô tô tránh 10m.+ Gần trường học: Mầm non, cấp 1, cấp 2, cấp 3, học nghề.+ Gần chợ Hà Đông.+ Gần phố Bà Triệu.+ Thông thoáng.+ Khu dân trí cao, an ninh cực tốt, gần trường học, gần chợ, gần siêu thị, gần sân vận động, gần khu kinh doanh nhu cầu về cuộc sống: Cafe, vật tư, vật liệu.+ Sổ đỏ chính chủ. Chủ nhà rất thiện chí muốn bán gấp.+ Hỗ trợ vay ngân hàng.+ Giá thỏa thuận.Liên hệ: Anh Minh thổ cư để đi xem nhà sớm không là bị mua mất.(Xem nhà miễn phí, nhiệt tình tận nơi, tư vấn pháp lý 24/7 để giao nhà nhanh).            ",35 m²,4.7 tỷ,6 tầng,6 phòng,6 phòng,Sổ đỏ,26/11/2022,03/12/2022,Tin thường,34774534,batdongsan_com_vn_34774534,,Đầy đủ.,4 m,4 m,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Dự án Văn Khê']","
+ Cần bán nhà biệt thự Văn Khê, Hà Đông, Hà Nội.+ Mặt tiền 5m.+ Diện tích: 100m² x 6 tầng.+ Thang máy.+ Vỉa hè rộng 6m.+ View hồ, chung cư, trường học, khu vui chơi. View vườn hoa.+ 2 vỉa hè rộng.+ Bất chấp kinh doanh: Văn phòng, cafe, spa, tóc, phòng khám.+ Đang cho thuê văn phòng dòng tiền 150 triệu/tháng.+ Ô tô tránh các loại.+ Ô tô dừng, đỗ ngày đêm.+ Thông thoáng.+ Khu dân trí cao, an ninh cực tốt, gần trường học, gần chợ, gần siêu thị, gần sân vận động, gần khu kinh doanh nhu cầu về cuộc sống: Cafe, vật tư, vật liệu.+ Sổ đỏ chính chủ. Chủ nhà rất thiện chí muốn bán gấp.+ Hỗ trợ vay ngân hàng.+ Giá thỏa thuận.Liên hệ: Anh Minh thổ cư để đi xem nhà sớm không là bị mua mất.(Xem nhà miễn phí, nhiệt tình tận nơi, tư vấn pháp lý 24/7 để giao nhà nhanh).            ",100 m²,18.5 tỷ,7 tầng,5 phòng,5 phòng,Sổ đỏ,26/11/2022,03/12/2022,Tin thường,35038285,batdongsan_com_vn_35038285,,ĐẦY ĐỦ.,5 m,,
