address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số toilet
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc']","
Chính chủ cần bán căn nhà 4 tầng 1 tum, hướng Đông Nam, diện tích đất 50m² (mặt tiền 5m), tại Khu dịch vụ Vạn Phúc - Hà Đông - Hà Nội.- Tầng 1: Linh hoạt (để các loại xe, kinh doanh, văn phòng... ).- Tầng 2: Phòng khách, phòng bếp, vệ sinh, ban công.- Tầng 3: 2 phòng ngủ, 1 vệ sinh, ban công.- Tầng 4: 2 phòng ngủ, 1 vệ sinh, ban công.- Tầng tum: Giặt phơi, sân sau, sân trước (trồng rau, thể dục, nướng BBQ).Giá bán: 9.9 tỷ (thỏa thuận).Nhà được xây rất chắc chắn, cẩn thận, hợp phong thuỷ, nhiều lộc - chủ nhà vô cùng tâm huyết.Vị trí rất đắc địa, nhiều tiềm năng, khu đông dân, kinh doanh tấp nập, đường trước nhà và vỉa hè rộng, rất gần nhiều đường lớn xung quanh, kết nối giao thông thuận lợi: Sau dãy shop Him Lam Vạn Phúc, gần rất nhiều trường học, gần chợ - siêu thị - trung tâm thương mại (Aeon, Vincom... ), gần công viên - hồ điều hoà...Khách thiện chí mua nhà, chủ nhà có thể tặng toàn bộ nội thất.Vui lòng liên hệ chị Nhung: 0975 613 *** không qua môi giới, trung gian.            ",50 m²,Thỏa thuận,5 m,,5 tầng,4 phòng,Sổ đỏ.,,20/11/2022,30/11/2022,Tin Vip 2,35888895,batdongsan_com_vn_35888895,Đông - Nam,,4 phòng
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Đường Hòa Bình']","
Chính chủ bán nhà riêng, sổ đỏ đầy đủ:- Hai mặt ngõ thông, bốn hướng đi vào nhà.- Ô tô nhỏ vào được.- Diện tích 52.4m², nở hậu.- Nhà C4 thiết kế khá hiện đại, cao ráo 4.7m, cửa to rộng, có 1 phòng khách rộng, 2 phòng ngủ, 1 phòng bếp, 1 kho...- Cách chợ, trường học, Nhà văn hóa bán kính 500m.Liên hệ chính chủ 0949 793 *** ",52.4 m²,2 tỷ,4.84 m,2.8 m,2 tầng,2 phòng,Sổ đỏ/ Sổ hồng,"Tủ bếp, đảo bếp.",20/11/2022,30/11/2022,Tin Vip 2,35889201,batdongsan_com_vn_35889201,Tây - Nam,,1 phòng
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Gia đình cần bán căn 3PN - 2WC góc, tặng lại full nội thất hoàn thiện chất lượng cao như hình.------------------------------1/. Thông tin chi tiết căn hộ:- Diện tích tim tường-thông thủy: 81-75m2- Hướng: Đông Nam.- View: - Tặng lại toàn bộ nội thất: Tivi, tủ lạnh, sàn gỗ, hệ giường tủ chất lượng cao,...- Sổ đỏ cất két, sẵn giao dịch.- Giá mua ban đầu 2,7 tỷ + 350tr hoàn thiện nội thất - Nay do cần tiền tôi chấp nhận bán cắt lỗ 2,55 tỷ.------------------------------2/. Anh chị có nhu cầu vui lòng nhắn tin hoặc gọi điện: 0967 666 *** để nhận thông tin cụ thể về căn, hình ảnh thực tế và đi xem bất cứ lúc nào.            ",75 m²,2.55 tỷ,,,,3 phòng,Sổ đỏ/ Sổ hồng,"Nội thất đầy đủ, sẵn Vali vào ở",20/11/2022,30/11/2022,Tin Vip 2,35889022,batdongsan_com_vn_35889022,,,2 phòng
"['Hà Nội', 'Thanh Oai', 'Xã Thanh Văn']","
Chính chủ bán mảnh đất tại Thôn Quan Nhân, Xã Thanh Văn, Huyện Thanh Oai.Diện tích 110.6m².Mặt tiền 5mĐường trước đất rộng 5m, cách đường trục phía Nam 500m.Giao thông thuận tiện.Lô đất rất phù hợp để xây nhà hoặc đầu tư sinh lời.Pháp lý sổ đỏ chính chủ.Giá thỏa thuận và ra lộc cho khách thiện chí.LH chính chủ 0368 856 *** ",110.6 m²,Thỏa thuận,5 m,,,,,,20/11/2022,30/11/2022,Tin Vip 2,35888692,batdongsan_com_vn_35888692,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
Hiện tại, tòa nhà đang được bệnh viện Thu Cúc thuê hợp đồng 10 năm (110 tỷ) đã thuê được gần 4 năm.- Tòa nhà văn phòng mặt phố Cầu Giấy 275m² x 10 tầng nổi, 2 tầng hầm, doanh thu 1 tỷ/tháng.- Vị trí đắc địa, mặt tiền siêu lớn 30m, vỉa hè 5m.- Tương lai tăng giá khi đường tàu điện trên cao đi vào hoạt động.- Sổ đỏ 1 chủ rõ ràng, nói không với quy hoạch.Giá: 210 tỷ.Liên hệ ngay em Mạnh 0965 358 *** để cung cấp thêm thông tin cần thiết.Ngoài ra, kho hàng nhà mặt phố Cầu Giấy bên em còn có:- Cầu Giấy 180m² x 9 tầng, mặt tiền 4m, giá 58 tỷ, doanh thu 250 triệu/tháng.- Cầu Giấy 152m² x 2 tầng, mặt tiền 6.6m, giá 76 tỷ, vị trí cực đẹp, doanh thu 180 triệu/tháng.- Cầu Giấy 106m² x 1 tầng, mặt tiền 6.5m, giá 59 tỷ, doanh thu 130 triệu/tháng.- Cầu Giấy 50m² x 5 tầng, mặt tiền 3.8m, giá 26.5 tỷ, doanh thu 65 triệu/tháng.- Cầu Giấy lô góc 41m² x 5 tầng, mặt tiền 6x7m, giá 20 tỷ, doanh thu 70 triệu/tháng.- Cầu Giấy 40m² x 1 tầng, mặt tiền 3m, giá 18 tỷ, doanh thu 25 triệu/tháng.Mọi thông tin của từng căn nhà rất chuẩn xác, quý khách hàng cần cung cấp thông tin chi tiết liên hệ ngay em Mạnh 0965 358 ***.            ",275 m²,210 tỷ,30 m,20 m,10 tầng,12 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,20/11/2022,30/11/2022,Tin Vip 2,35888284,batdongsan_com_vn_35888284,Tây - Nam,,
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Phố Giảng Võ']","
- Trung tâm quận, mặt phố lớn, mặt ngõ, thang máy 7tầng.- Nhà mặt phố, kinh doanh sầm uất, thang máy 7 tầng. Khung cột chắc chắn, kinh doanh nhiều loại hình.- Thiết kế:- Tầng 1,2,3: Thông sàn kinh doanh, có cửa phía sau đi ngõ nhỏ 1.3m.- Tầng 4,5: Mỗi tầng 3 phòng + vs khép kín.- Tầng 6: Khách + bếp + vs.- Tầng 7: Tum.* Liên hệ em Tuấn Anh * SĐT/Zalo * 0866 680 *** để xem nhà miễn phí ạ.            ",95 m²,33 tỷ,4.5 m,20 m,7 tầng,8 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp,20/11/2022,30/11/2022,Tin Vip 2,35887876,batdongsan_com_vn_35887876,,,9 phòng
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn', 'Dự án The Mansions']","
Do nhu cầu nên gia đình cần bán gấp căn biệt thự Mansions.Căn hộ 3 tầng 154m², đã sửa sang và làm nội thất.Hướng: Tây Bắc.Sổ đỏ chính chủ.Giá bán 32 tỷ.Lh: 0392 110 *** ",154 m²,32 tỷ,,,3 tầng,5 phòng,Sổ đỏ,Nội thất đầy đủ,19/11/2022,27/11/2022,Tin Vip 2,35887292,batdongsan_com_vn_35887292,Tây - Bắc,Đông - Nam,4 phòng
"['Hà Nội', 'Thạch Thất', 'Xã Thạch Hòa', 'Dự án KĐT Phú Cát City']","
Chính chủ bán lô đất Phú Cát tại dự án Phú Cát City, Xã Thạch Hoà, Thạch Thất, Hà Nội.Diện tích: 215 m² (đã nhận nhà, hoàn thiện mặt ngoài).Lô đất BT12, vị trí đẹp, thoáng.Đầu tư sinh lời cao.Giá bán: Thỏa thuận.LH: 0912 041 *** ",215 m²,Thỏa thuận,,,,,,,19/11/2022,29/11/2022,Tin Vip 2,33006913,batdongsan_com_vn_33006913,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Chính chủ cần bán gấp căn 3PN - ban công ĐN chung cư Vinhomes Green Bay Mễ Trì.- Diện tích 92.2m², thiết kế 2 mặt thoáng - góc nhìn ra Hồ điều hòa.- Nội thất hoàn thiện và bàn giao theo nguyên bản của CĐT: Tủ bếp, hệ thống điều hòa âm trần, TB vệ sinh Toto và 1 số đồ mua ngoài.- Hướng nhà: Cửa TB, BC ĐN.- Tầng 19.- Giá bán: Thỏa thuận (rẻ hơn thị trường 300 triệu).Các anh chị xem nhà liên hệ chính chủ: 0934401288.(các bác liên hệ bằng cách SMS hoặc call ạ, e không dùng Zalo, xin cảm ơn ạ).            ",92.2 m²,Thỏa thuận,,,,3 phòng,,"Nội thất bàn giao cơ bản CĐT: Tủ bếp, vệ sinh Toto và điều hòa âm trần Mitsubishi. (Nhà mới chưa có người ở).",19/11/2022,29/11/2022,Tin Vip 2,30981869,batdongsan_com_vn_30981869,Tây - Bắc,Đông - Nam,2 phòng
"['Hà Nội', 'Chương Mỹ', 'Thị trấn Xuân Mai', 'Đường Quốc lộ 6']","
Chính chủ cần bán nhà máy mỹ phẩm nằm trên mặt đường QL6 thị trấn Xuân Mai, Chương Mỹ.- Địa chỉ: Nằm trên mặt đường QL6 thị trấn Xuân Mai đi Sơn Tây.- Cách Xuân Mai 6km, diện tích đất 14.000 m².- Có nhà văn phòng 2 tầng cũ và 2.000 m² xưởng Mỹ Phẩm mới đầu tư (Chưa hoạt động).Xưởng Mỹ Phẩm đã trang bị đủ 100% máy móc sản xuất sẵn sàng hoạt động, nhà xưởng xây dựng đạt tiêu chuẩn CGMP.- Giá xin liên hệ trực tiếp chủ đầu tư: Mr Sỹ Anh.SĐT: 0941 296 ***ib or zalo).            ",14000 m²,Thỏa thuận,,,,,,,19/11/2022,29/11/2022,Tin Vip 2,35661122,batdongsan_com_vn_35661122,,,
