address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'đường Tứ Hiệp', 'Dự án Tecco Garden']","
Do cần thu hồi vốn làm ăn, chủ nhà gửi bán gấp căn hộ 4pn, các phòng đều có ánh sáng tự nhiên và không khí tươi, diện tích 127m² dự án Tecco Garden. Giá ngang lúc mua chỉ 24 triệu/m². Đặc biệt: Đã có sổ đỏ.Ngoài ra, bên em còn có các căn hộ 4PN khác cũng hot không kém:* Chính sách bán hàng Phá Đảo thị trường.- Hỗ trợ vay 65% gtch, lãi suất 0% trong 18 tháng.- Thanh toán 100% gtch, chiết khấu ngay 8%.- Lần đầu tiên trên thị trường có Chính sách giải ngân song song, chỉ 10% là ký HĐMB, cơ hội quá tốt cho những khách hàng tài chính chưa dồi dào mà vẫn muốn sở hữu ngay căn hộ rộng rãi, đẳng cấp.Tecco Garden là dự án chung cư hiếm hoi mang đến cuộc sống chuẩn xanh, văn minh & hiện đại bậc nhất khu vực Thanh Trì.- Tọa lạc tại vị trí vàng, trung tâm hành chính, kinh tế phía Nam Hà Nội.Tecco Garden giáp với các tuyến đường quốc lộ huyết mạch như Quốc lộ 1A, Pháp Vân - Cầu Giẽ, vành đai 3,.. Đồng thời được hưởng lợi từ quy hoạch đường vành đai 3,5.- Thiết kế thông minh, tối ưu công năng sử dụng, tất cả các phòng đều có 2 mặt thoáng, 2 logia rộng.Tecco Garden là chung cư hiếm hoi có mật độ căn hộ thấp, chỉ 8 căn/sàn cùng với hệ thống 4 thang máy hiện đại và hành lang rộng 3,5m đem lại không gian sống, sinh hoạt chung thoáng rộng.Hàng loạt cửa hàng, siêu thị, trường mầm non,... Xung quanh chung cư đã đi vào hoạt động. Trong thời gian gần, ngày càng nhiều tiện ích nội ngoại khu được bổ sung và hoàn thiện nhằm đáp ứng nhu cầu ngày càng cao của cư dân.* Đặc quyền khi mua căn hộ qua Em Trung Thực.- Ký hđmb trực tiếp chủ đầu tư, được hỗ trợ mọi giấy tờ, thủ tục.- Cam kết giá tốt nhất.- Bảng hàng độc quyền, hỗ trợ 24/7.- Hỗ trợ nếu khách hàng có nhu cầu chuyển nhượng.Em Trung Thực 0968 452 ***Chân thành cảm ơn quý khách hàng đã lựa chọn.            ",82 m²,24 triệu/m²,,,,,,22/11/2022,29/11/2022,Tin thường,35830315,batdongsan_com_vn_35830315,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Lê Quang Đạo', 'Dự án The Matrix One']","
""Bán chung cư The Matrix One diện tích 114 m² - 3 ngủ 2wc, full nội thất sang trọng, tầng cao, view vô cực, rất thư giãn, không khí tầng cao trong lành, ít bui, yên tĩnh. Cộng đồng dân cư văn minh, dịch vụ tiện ích đầy đủ, là nơi đáng sống, giao thông kết nối đi các nơi thuận tiện.Giá 50 tr/1 m².Lh: 0911 361 ***"".            ",114 m²,50 triệu/m²,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,13/11/2022,13/12/2022,Tin thường,35820164,batdongsan_com_vn_35820164,,Tây - Bắc,Đông - Nam,Full.
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt']","
Bán nhà phân lô ô tô tránh, phố Hoàng Quốc Việt 40m, 5 tầng, mặt tiền 4m, ô chờ thang máy, 2 làn ô tô chạy vòng quanh, an sinh đỉnh cao, kd văn phòng, nhỉnh 8 tỷ.+ Vị trí siêu đỉnh, trước nhà ô tô tải lớn chạy vòng quanh. Ô tô 7 chỗ vào nhà, 2 làn ô tô chạy vòng quanh, thông 2 mặt phố Hoàng Quốc Việt, Phạm Văn Đồng.+ Tương lai sau quy hoạch sát đường 8 làn xe, hưởng thụ mọi tiện tích cao cấp.+ Thiết kế tâm huyết với 4 phòng ngủ sáng thoáng, gara ô tô, 1 phòng khách lớn, bếp, phòng thờ, sân vườn tiểu cảnh.+ Sổ đỏ hoa hậu cất két sẵn sàng giao dịch.            ",40 m²,Thỏa thuận,4 m,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,03/12/2022,Tin thường,35833322,batdongsan_com_vn_35833322,8 m,,,Sang trọng
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Phố Phương Liệt']","
Chủ nhà cân bán gâp căn họ tập thể ,ngõ 136 phương liệt ,gần ngã tư vọng,giải phóng,trường chính.Căn họ tâng 3 ,thoáng đẹp,sách sẽ,.mới sửa và cải tạo lại ,nhà cô diện tích sư dụng khoảng 50m.gôm 3 phòng ,1khách,1ngủ1bếp rông rãi thoáo mái,phòng khách to,có thẻ kết hợp làm thêm phong ngủ đc ,bếp rông rãi, khép kín,về sinh hiện đại,nội thât cơ bản, điện nước đây đủ,riêng biệt,tât cả đã sẵn sàng chờ đón chủ nhân mơi vê ở ngay .nhà trên tâng 3 câu thang thấp,đi lại dễ dàng, oto đỗ chân câu thang,gân ngay chợ dân sinh,trường học.gần bến xe giáp bát,bệnh viện bạch mai,đã liễu..gân đại học kinh tê,bách khoa,xây dựng .Nhà đã có sổ đỏ chính chủ,sang tên ngay trong ngày .cân bán gấp giá rẻ 1ti450 trieu.liên hệ chủ nhà 0913 571 ***miễn tg.            ",50 m²,1.45 tỷ,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin thường,35962728,batdongsan_com_vn_35962728,,,,Cơ bản
"['Hà Nội', 'Đông Anh', 'Xã Bắc Hồng', 'Đường Bắc Hồng']","
Cần bán lô góc 2 mặt thoáng thiết kế xây nhà tuyệt vời mua ở hoặc đầu tư đều đẹp.Vị trí: Thôn Quan Âm, Bắc Hồng, Đông Anh, Hà Nội.DT; 78m², đường ô tô vào tận nhà.------------------------------- Lô góc vị trí đẹp, dân cư đông đúc, đầy đủ tiện ích.- Cách hồ điều hòa thôn Quan Âm 200m.- Gần trung tâm xã Bắc Hồng, cách chợ và trường học bán kính chỉ hơn 500m.- Cách Sân Bay Nội Bài Khoảng 4km.- Chỉ mất 15 - 20 phút để sang khu vực Hồ Tây, Cầu Giấy.------------------------------Nằm trong khuôn viên các dự án lớn xung quanh như:Khu đô thị sinh thái và hồ điều hòa Sơn Du;Công viên Kim Quy;Tổ hợp bệnh viện Quốc Tế TH;Công viên Phần Mềm Vingroup;Giá bán: 26 triệu/m² - giá rẻ nhất khu vực.(Quý khách quan tâm LH chính chủ để mua được giá tốt).ĐT: 0986.82.82.92.------------------------------            ",78 m²,26 triệu/m²,,,,,Sổ đỏ/ Sổ hồng,19/11/2022,29/11/2022,Tin thường,33638154,batdongsan_com_vn_33638154,3.5 m,Bắc,,
"['Hà Nội', 'Đông Anh', 'Xã Bắc Hồng']","
Bán mảnh đất 43m² đất Bến Trung, Bắc Hồng, Đông Anh, Hà Nội.Đường ô tô 5 chỗ vào nhà.Mảnh đất ở vị trí đẹp sát vỏ làng thoáng mát, cách 500m ra chợ Bắc Hồng sầm uất xung quanh trường cấp 1,2 ủy ban dân cư đông đúc.Giá bán: 1.230 tỷ.ĐT: 0986 828 *** quý khách quan tâm LH (chính chủ).            ",43 m²,1.23 tỷ,4 m,,,,Sổ đỏ/ Sổ hồng,19/11/2022,29/11/2022,Tin thường,33523441,batdongsan_com_vn_33523441,3 m,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Đường Xuân La', 'Dự án Kosmo Tây Hồ']","
Chủ cần bán căn hộ tại chung cư cao cấp Kosmo Tây Hồ 118 m², 3 ngủ, 2WC, 1 ban công và 1 logia. Căn hộ thiết kế phòng nào cũng có ánh sáng, không gian thoáng đãng, tầng cao lên không khí trong lành, ban công Đông Nam tầm nhìn vô cực, cực thư giãn.Ảnh đăng là ảnh nhà thật, không đăng ảo.Dân trí cao, nếp sống văn minh, không khí trong lành, dịch vụ cao cấp, bể bơi, siêu thị, 3 tầng hầm gửi xe, giao thông thuận tiện.Giá bán: 8,3 tỷ full nội thất (làm việc trực tiếp với chủ nhà).LH: 0911 361 *** ",118 m²,8.3 tỷ,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,09/11/2022,09/12/2022,Tin thường,35778825,batdongsan_com_vn_35778825,,,Đông - Nam,Full
"['Hà Nội', 'Đông Anh', 'Xã Tiên Dương', 'Đường 23B']","
Tôi cần bán gấp lô đất biệt thự hướng Nam cách cổng trường Archimedes 50m đất hướng Nam thoáng mát.Diện tích: 198 m² mặt tiền rộng 11m.Đường rộng: 7m có vỉa hè rộng. Cách trường mầm non Quốc Tế Time Way, trường Quốc Tế TH, THCS, THPT Archimedes Đông Anh: 50m, đường 23B: 120m, đường Võ Nguyên Giáp (cao tốc Nhật Tân - Nội Bài): 500m, trung tâm thương mại Đông Anh: 800m. Đây là khu đô thị trục Nhật Tân - Nội Bài, Thành Phố Thông Minh được quy hoạch hiện đại vào bậc nhất Thành Phố Hà Nội, nên nơi đây có mức dân trí cao, an ninh tốt. Cách Quận Tây Hồ, Quận Bắc Từ Liêm: 18 phút chạy xe, sân bay Quốc Tế Nội Bài: 10 phút chạy xe.Giá bán: Thỏa thuận trực tiếp chủ đất - rẻ nhất cho nhà đầu tư.ĐT 0986 828 *** ",198 m²,Thỏa thuận,11 m,,,,Sổ đỏ/ Sổ hồng,19/11/2022,29/11/2022,Tin thường,35722474,batdongsan_com_vn_35722474,7 m,Nam,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Nguyễn Chí Thanh']","
Chính chủ nhờ bán nhà phố Nguyễn Chí Thanh, Đống Đa:- Diện tích: 105m² x 5T.- Mặt tiền: 5m.Phân lô, ô tô đỗ cửa, gara ô tô, gần phố, an sinh đỉnh cao, kinh doanh, văn phòng, nhỉnh 22 tỷ.+ Vị trí:Gần ngã tư Nguyễn Chí Thanh - Láng. Cách mặt phố Nguyễn Chí Thanh vài bước chân.+ Nhà 2 mặt thoáng vĩnh viễn trước sau. Tiện ích khỏi bàn, trung tâm của Quận Đống Đa, gần các trường đại học lớn, TTTM...+ Khu phân lô, hiếm nhà bán, an ninh tốt, dân trí cao, hàng xóm toàn quan chức, bên cạnh là nhà Phó giám đốc Viện 108.+ Nhà 5 tầng, xây lệch tầng, 2 giếng trời có thể cải tạo làm thang máy, chủ thiết kế cực kỳ tâm huyết với 4 phòng ngủ khép kín sáng thoáng vô cùng.+ Sổ đỏ hoa hậu cất két sẵn sàng giao dịch.+ Liên hệ em Tuấn Anh: 0976 968 *** ",105 m²,22 tỷ,5 m,5 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,04/12/2022,Tin thường,35861893,batdongsan_com_vn_35861893,6 m,,,Vip.
"['Hà Nội', 'Đông Anh', 'Xã Tiên Dương', 'Đường 23B']","
Cần bán đất Cổ Dương, Tiên Dương, Đông Anh, Hà Nội.DT: 43 m² mảnh đất vuông đẹp khổ đất hiếm có tại cổ dương hiện nay.Mặt tiền rộng 4,2m hướng Đông Nam thoáng mát.Vị trí: Đắc địa cách 300m là 2 trường Quốc tế, mầm non, Time Way, và trường liên cấp Archimedes, cách công viên Kim Quy, công viên phần mềm 1 km khu bệnh viện công nghệ cao 1,5km.Cách trục 23B và đường Võ Nguyên Giáp dự án thành phố thông minh 500m.Vào trung tâm huyện 1,5km, sang Tây Hồ 10 phút chạy xe, giao thông cực kỳ thuận tiện.Giá bán: 1.4 tỷ.Rất phù hợp cho nhà đầu tư.ĐT: 0986 828 *** ",43 m²,1.4 tỷ,4.48 m,,,,Sổ đỏ chính chủ,27/11/2022,04/12/2022,Tin thường,24378243,batdongsan_com_vn_24378243,2.6 m,Đông - Nam,,
