address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Hướng nhà,Số tầng,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Số phòng ngủ,Số toilet,Nội thất,Đường vào,Hướng ban công
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Gia đình tôi hiện ko còn nhu cầu sử dụng nên cần bán gấp căn hộ góc, 2 phòng ngủ 2 WC diện tích 69m².Tôi đầu tư nội thất thông minh rất đẹp, Tivi Samsung 55inch, tủ lạnh Samsung 400l.Căn nhà tôi là căn góc, tầng 9 nhìn xuống công viên, buổi tối gió rất mát.Trước tôi vẫn cho thuê 11tr/tháng, nhiều người hỏi lắm.Nay ko có nhu cầu nên tôi để giá tốt cho anh chị nào thiện chí, tôi sẽ ra lộc hoan hỉ nhé.            ",69 m²,2.3 tỷ,,Đông - Nam,,24/11/2022,01/12/2022,Tin thường,35310728,batdongsan_com_vn_35310728,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,Nội thất đầy đủ.,,Tây - Bắc
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Thịnh']","
Nhà xây 6 tầng, mặt tiền 4.2m, diện tích 65m², Đang cho thuê 65tr/1 tháng.Khu vực kinh doanh sầm uất, đông đúc, vị trí nhà đoạn đẹp nhất phố, rất nhiều Spa Thẩm Mỹ Viện, Salon Tóc, Nail. Khu vực tập trung nhiều các thương hiệu làm đẹp.Phố đẹp không quy hoạch, nằm giữa phố Láng Hạ, Yên Lãng, Tây Sơn.Pháp lý chuẩn, sổ đỏ cầm tay. Chủ cần bán gấp giá rất tốt.Giá bán 18 tỷ có thương lượng.Liên hệ: 0866 168 *** Tuấn mặt phố, dòng tiền, khách sạn, văn phòng.Chuyên bất động sản triệu đô Hà Nội.            ",65 m²,18 tỷ,4.2 m,,6 tầng,19/11/2022,29/11/2022,Tin thường,35765040,batdongsan_com_vn_35765040,Sổ đỏ/ Sổ hồng,6 phòng,6 phòng,,20 m,
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã']","
- 300m đến khu công nghệ cao.- Cư dân đông đúc, xung quanh đã xây trọ cho thuê.- Đường rộng 2 ô tô tránh nhau thoải mái.- Gần chợ, trường học.            ",60 m²,800 triệu,,Tây - Nam,,26/11/2022,03/12/2022,Tin thường,35297892,batdongsan_com_vn_35297892,Sổ đỏ/ Sổ hồng,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Quán Thánh', 'Đường Quán Thánh']","
Mặt phố Quán Thánh, Ba Đình, hiếm, giá 50 tỷDT 275m².            ",200 m²,50.5 tỷ,11 m,,4 tầng,27/11/2022,10/12/2022,Tin thường,34336607,batdongsan_com_vn_34336607,Sổ đỏ sẵn sàng giao dịch,8 phòng,8 phòng,Full.,14 m,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại Mỗ']","
Vị trí:- Chủ làm ăn có lộc chuyển đổi mua Liền kề khu đô thị Nam An Khánh. Muốn bán mảnh đất tại địa chỉ đường Đại Mỗ, hàng xóm Vinhome smart city với diện tích 280ha thuộc địa phận của cả 2 phường Tây Mỗ và Đại Mỗ. - DIỆN TÍCH : 40m².  MT: 4m Thửa đất lô góc 2 mặt tiền, ôtô dừng đỗ, ngày đêm. *GIÁ: nhỉnh 3 tỷ tí ti.+ Sổ đỏ đẹp giao dịch chính chủ. LH: Em Vân 0978 685 *** để được xem đất gặp chủ đàm phán.            ",40 m²,3.15 tỷ,,,1 tầng,27/11/2022,04/12/2022,Tin thường,35962431,batdongsan_com_vn_35962431,Sổ đỏ/ Sổ hồng,1 phòng,1 phòng,,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Phố Sài Đồng']","
Chủ cần bán gấp nhà đẹp ở luôn phố Sài Đồng, Tân Thụy, quận Long Biên với thông số như sau:+ Diện tích: 85m², 5 tầng.+ Mặt tiền: 4.5m.- Nhà xây 5 tầng chắc chắn, thiết kế hiện đại, sân gara để 2 ô tô tiện ích, nội thất nhập khẩu, với 6 phòng ngủ đủ công năng sử dụng, chủ mới chỉ việc xách vali về ở.- Đường trước nhà thoáng sáng, ô tô vào nhà, gần phố, hàng xóm Vinhomes Riverside, KĐT Việt Hưng, KĐT Sài Đồng, 3 phút ra tới sân golf Long Biên, AEON Long Biên, BigC Long Biên, cầu Vĩnh Tuy.- Khu vực an ninh, an sinh đỉnh, tiện ích đầy đủ không thiếu thứ gì như TTTM, chợ, bệnh viện, trường học các cấp.+ Pháp lý: Sổ đỏ cất két, sẵn sàng giao dịch.+ Giá: 7.85 tỷ (có thương lượng).Liên hệ: Em Hồ 0975 849 ***gọi/inbox - 24/24h) để được xem nhà miễn phí, hỗ trợ pháp lý.Cảm ơn quý anh/chị đã dành thời gian xem tin.            ",85 m²,7.85 tỷ,4.5 m,,5 tầng,24/11/2022,01/12/2022,Tin thường,35613275,batdongsan_com_vn_35613275,Sổ đỏ/ Sổ hồng.,6 phòng,5 phòng,Nội thất cao cấp.,5 m,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Liễu Giai']","
Nhà đẹp ngay sát phố Liễu Giai, phân lô, an sinh đỉnh cao, trên ở dưới làm văn phòng hoặc cho thuê.+ Khu vực trung tâm phố, kinh doanh nhộn nhịp, bên cạnh là các phố: Văn Cao, Vạn Bảo, Vạn Phúc, Đào Tấn, Linh Lang, ngay tòa nhà Lotte, gần cầu vượt Nguyễn Chí Thanh.+ Chủ nhà là ""Dân kiến trúc"" nên thiết kế và thi công tỉ mỉ phát huy tối đa công năng của toàn nhà trên vuông đất 100m², 5 tầng. Nhà 2 mặt thoáng, nhà có giếng trời rộng, thang máy nhập khẩu.+ Tầng 1, trước nhà là sân để xe rất tiện; bên trên là các phòng rộng; kết thúc là sân phơi và nơi trồng cây cảnh.+ Nhà đẹp thiết kế linh hoạt thỏa mãn mọi nhu cầu ở, vừa ở vừa làm văn phòng công ty, kinh doanh,..+ Nhà phân lô, ngõ thông, sổ đỏ chính chủ, chủ nhà chuyển công tác nên thiện chí bán nhanh.+ A/C quan tâm liên hệ trực tiếp để được tư vấn và tham quan miễn phí ngôi nhà đẹp này.(MG và xem mua nhà hộ miễn làm phiền).            ",100 m²,18.5 tỷ,7.5 m,Nam,5 tầng,20/11/2022,30/11/2022,Tin thường,34986559,batdongsan_com_vn_34986559,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,Cao cấp.,7 m,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Imperia Smart City']","
Bán căn shophouse 66.9m² ở trung tâm Vinhomes Smart City.Vị trí mặt đường Ánh Sáng 52m. Ký hợp đồng trực tiếp với chủ đầu tư.Vay tối đa 80%, ân hạn gốc lãi 0% 30 tháng. Nhận nhà 1 năm mới hết ân hạn vay.Chiết khấu lên tới 14% GTCH.10% ký HĐMB trực tiếp với chủ đầu tư.Bàn giao tháng 5/2024. Tiềm năng tăng giá cực lớn vì số lượng còn rất ít.Liên hệ hotline để được tư vấn tận tâm.            ",66.9 m²,160 triệu/m²,,,,21/11/2022,01/12/2022,Tin thường,35642338,batdongsan_com_vn_35642338,Đang chờ sổ.,,,,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Nguyễn Văn Linh']","
+ Vị trí ngõ ô tô, cách Vinhomes Riverside 1.2km, cách cầu Vĩnh Tuy, Aeon Mall 2km.+ DT 100m² x 3 tầng, mặt tiền 6.2m, có gara ô tô.+ Thiết kế:- Tầng 1: Gara ô tô, khách, bếp, WC.- Tầng 2: Sân tiểu cảnh, 2 ngủ khép kín.- Tầng 3: 1 ngủ khép kín, 1 phòng trống (có thể làm p. Ngủ), 1 phòng thờ.+ Sổ đỏ vuông vắn, sẵn sàng giao dịch.+ Chào 9.6 tỷ có thương lượng.LH: Toàn Thắng 0976 669 *** ",100 m²,9.6 tỷ,6.2 m,,3 tầng,25/11/2022,02/12/2022,Tin thường,35952202,batdongsan_com_vn_35952202,Sổ đỏ/ Sổ hồng,3 phòng,,Đầy đủ,,
"['Hà Nội', 'Sơn Tây', 'Phường Quang Trung', 'phố Chùa Thông', 'Dự án HUD Sơn Tây']","
Chính chủ cần bán căn liền kề, phân lô, gara ô tô tránh, kinh doanh!Nhà mới full nội thất chỉ việc xách va ly đến ở luôn. Khu đô thị HUD thị xã Sơn Tây.Khu đô thị bậc nhất thị xã Sơn Tây dân cư tập trung đông đúc an sinh đỉnh cao kinh doanh bất chấp. Giá đầu tư hoặc ở kinh doanh tiềm năng sinh lời cực cao.LH: 0868 228 *** để xem nhà!Miễn trung gian!            ",100 m²,4.95 tỷ,5 m,Tây - Nam,5 tầng,25/11/2022,25/12/2022,Tin thường,35580004,batdongsan_com_vn_35580004,Sổ đỏ chính chủ !,6 phòng,5 phòng,Full nội thất,5 m,Đông - Nam
