address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Đường vào,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Thổ Quan', 'Đường Đê La Thành']","
Căn hộ dịch vụ đa chiều - doanh thu tới 70tr/tháng - ngõ thẳng tắp!Nhà nằm trong khu vực an sinh cực tốt, hàng xóm toàn cán bộ cao cấp, ngõ rộng rãi, khu vực trung tâm Quận, di chuyển thuận tiện các quận trung tâm Ba Đình - Đống Đa - Thanh Xuân - Hai Bà Trưng - Hoàn Kiếm, tiện ích bạt ngàn.Xung quanh rất nhiều văn phòng trường học: Đại học văn hoá hà nội, học viện âm nhạc, trung tâm thành phố đi đâu cũng gần.Thiết kế:Tầng 1: Để xe + 1 ngủ.Tầng 2: Chung cư 2 ngủ + 2 W. C + Khách + Bếp, sàn 79m như Times City.Tầng 3 + 4: Tổng 6 ngủ + Bếp.Tầng 5: 2 ngủ + Bếp + Sân phơi rộng.Phương án: Khách về ở căn hộ tầng 2 như dạng mô hình chung cư căn hộ trong căn hộ, chìa khóa kép, còn lại 9 phòng cho thuê dòng tiền 55tr/tháng, nếu cho thuê full nhà + phí dịch vụ hàng tháng sẽ ra dòng tiền 70tr/ tháng.Liên hệ để đi xem ngay và luôn: 0913 321 *** ",78 m²,9 tỷ,,5 tầng,10 phòng,,29/11/2022,06/12/2022,Tin thường,35980410,batdongsan_com_vn_35980410,Sổ đỏ/ Sổ hồng,,Nội thất đầy đủ,,
"['Hà Nội', 'Ba Đình', 'Phường Quán Thánh', 'Phố Đặng Dung']","
Chính chủ bán CHTT (Tầng 2) Đặng Dung giá 2,39 tỷ, 85m². SĐCC.Diện tích sử dụng 85m².Hướng Bắc.Căn hộ nằm ngay trên tầng 2 đã cải tạo rộng rãi, thiết kế 3 ngủ, 1 vệ sinh, khép kín. Nội thất cơ bản, đủ tiện nghi.- Ưu điểm ngõ thông thoáng xe ba gác đỗ tránh xe máy thoải mái. Khu VIP Trung tâm Ba Đình đi lại thuận tiện ra hồ Tây lăng bác mất vài phút gần bệnh viện, trường học, lên phố cổ đi bộ mất 5 phút..- Dân cư sống yên tĩnh, văn minh.- Sổ đỏ công chứng nhanh gọn.Giá bán 2,39 tỷ, có thương lượng.LHCC 0989 536 *** hoặc 0945 998 ***Miễn TG, MG làm phiền.            ",85 m²,2.39 tỷ,,,3 phòng,1 phòng,29/11/2022,06/12/2022,Tin thường,35981484,batdongsan_com_vn_35981484,Sổ đỏ/ Sổ hồng,,Đầy đủ,Nam,
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Đường Cát Linh']","
Bán nhà riêng phố Cát Linh giá 3.1 tỷ, 25mx2 tầng. SĐCC.Mô tả:Diện tích xây dựng: 25mx2 tầng.Hướng: Bắc.Ngõ xe máy tránh nhau. Nhà hiện trạng 2 tầng trên phố Cát Linh, thoáng mát... Vị trí trung tâm, gần chợ, bệnh viện, sân vận động, tuyến đường sắt trên cao...Không gian sống thoáng đãng, phù hợp với gia đình mua về xây dựng theo ý muốn của bản thân.Điện nước đã kí HĐ với NN.Giá bán 3.1 tỷ. Giao nhà ngay.LH chủ nhà: 0945 998 *** hoặc 0989 536 *** ",25 m²,3.1 tỷ,,2 tầng,2 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35981593,batdongsan_com_vn_35981593,Sổ đỏ/ Sổ hồng,,Đầy đủ,Bắc,
"['Hà Nội', 'Đống Đa', 'Phường Quang Trung', 'Đường Trần Quang Diệu']","
Gia đình cần bán gấp nhà Phố Trần Quang Diệu giá 12.9 tỷ, 60m2x6 tầng, Mới đẹp.Nay gia đình có nhu cầu chuyển đổi nên bán nhanh nhà nằm trên phố Trần Quang Diệu, Đống Đa.Diện tích 60m2x6 tầng.Hướng chính Nam.- Nhà xây khung cột bê tông kiên cố chắc chắn, vuông vắn, thiết kế hiện đại, thoáng trước sau, nội thất tân cổ điển theo thiết kế riêng, hệ thống điện thông minh + cửa cuốn điều khiển bằng điện thoại, camera tất cả các phòng có pass riêng biệt, thang máy nhập chạy êm ru, công năng tối đa, Tivi, Tủ Lạnh, Điều Hoà, Nóng Lạnh, Giường, Tủ, đồ đạc. Tặng lại hết cho khách thiện chí, chỉ việc xách Vali tới ở luôn.- Vị trí khu vực rất Vip, Quan Chức sinh sống, đường thông Ôtô bàn cờ, tránh nhau dừng đỗ ngày đêm, tiệm ích xung quanh, Hồ Hoàng Cầu, Vườn Hoa Trần Quang Diệu, Vườn Hoa 1/6, Chợ Thái Hà, các Trường Đại Học, giao với các phố Đằng Tiến Đông, Yên Lãng, Hoàng Cầu, Hào Nam, an sinh, tiện ích, không thiếu gì, giao thông đi lại vô cùng thuận lợi.- Sổ đỏ công chứng nhanh chóng.Giá bán 12.9 tỷ, có thương lượng.LH chính chủ 0988 796 ***Miễn TG - MG làm phiền.            ",60 m²,12.9 tỷ,4 m,6 tầng,6 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35981675,batdongsan_com_vn_35981675,Sổ đỏ/ Sổ hồng,5 m,,Nam,
"['Hà Nội', 'Thanh Xuân', 'Phường Hạ Đình', 'Phố Hạ Đình']","
Chính chủ bán gấp nhà mặt hồ Hạ Đình giá 26 tỷ, 110m². MT 5,5m. Đầu tư XD.Nay gia đình có nhu cầu chuyển đổi mục đích đầu tư nên sang tên nhanh nhà mặt hồ Hạ Đình, Thanh Xuân.Diện tích 110m². Mặt tiền rộng 5,5m. Hướng chính Nam an lành, thoáng mát.Nhà 1 mặt phố hồ Hạ Đình, 1 mặt ngõ Khương Đình rộng 4m ô tô đỗ.. Có hè rộng thênh thang, view thoáng đãng, trong lành.- Hiện trạng nhà xây 2 tầng quay ra mặt hồ kinh doanh sầm uất. Khách mới về có đập đi xây nhà 7 tầng thông sàn thang máy kinh doanh gì cũng tiện. Chưa có thì vẫn có nhà ở tạm và cho thuê kinh doanh ra dòng tiền hàng tháng bao giờ có tiền thì xây. Dễ dàng xây building, khách sạn, nhà hàng...Sổ đỏ giao dịch sang tên ngay, thửa đẹp vuông vắn trước sau như một.Giá bán 26 tỷ, có thương lượng.LH chủ nhà 0967 611 *** - 0908 886 ***.Miễn TG - MG làm phiền.            ",110 m²,26 tỷ,5.5 m,,,,29/11/2022,06/12/2022,Tin thường,35981705,batdongsan_com_vn_35981705,Sổ đỏ chính chủ.,,,Nam,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
Gia đình cần bán gấp nhà Phố Thái Hà giá 13 tỷ, 45m2x6 tầng, mới đẹp, oto đỗ.Nay gia đình có nhu cầu chuyển đổi nên sang tên nhanh nhà nằm trên phố Thái Hà, Đống Đa.Diện tích 45m2x6 tầng. Hướng Tây Nam. Nhà xây khung 6 tầng bê tông chắc chắn, vuông vắn, thiết kế hiện đại, nhà còn thơm mùi sơn, nội thất cao cấp, nhập khẩu, khách mua về dễ dàng ở, cho thuê văn phòng, chi nhánh, trung tâm Anh Ngữ...- Nhà nằm trong ngõ VIP nhất phố Thái Hà, thông sang Đặng Tiến Đông. Ngõ ô tô tránh, vỉa hè kinh doanh sầm uất hơn mặt phố.- Sổ đỏ chính chủ vuông đẹp, sẵn sàng giao dịch.Giá bán 13 tỷ, có thương lượng.LH chính chủ 0988 796 ***Miễn TG - MG làm phiền.            ",45 m²,13 tỷ,5 m,6 tầng,4 phòng,5 phòng,29/11/2022,06/12/2022,Tin thường,35981772,batdongsan_com_vn_35981772,Sổ đỏ/ Sổ hồng,5 m,,Tây - Nam,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ', 'Dự án Green Diamond 93 Láng Hạ']","
Sở hữu căn hộ hạng sang Green Diamond 93 Láng Hạ, trung tâm Đống Đa, Ba Đình chỉ 74.5tr/m² - Căn hộ 5 Sao có bể bơi lớn nhất HN - nhận nhà ở ngay nội thất cao cấp.Thiết kế độc đáo, mỗi căn hộ có một thiết kế khác nhau.Tầm view Panorama - view trọn thành phố.Tòa nhà Xanh trên cao - Sống xanh giữa lòng phố.Vườn trên cao Sky Gaden.Hotline Đăng ký thăm quan nhà mẫu:Thông tin tổng quan dự án.- Tên dự án: Tổ hợp thương mại dịch vụ và căn hộ cao cấp Green Diamond.- Vị trí: Số 93 Láng Hạ, P. Láng Hạ, Q. Đống Đa, Hà Nội.- Chủ đầu tư uy tín: Vinaconex.- Quy mô dự án: Gồm 4 tầng hầm, 27 tầng nổi với 314 căn hộ và 10 căn penthouse cao cấp.- 4 tầng hầm sử dụng làm bãi đỗ xe và các khu kỹ thuật.- Loại hình căn hộ: Từ 1 - 4 phòng ngủ diện tích 47m² - 70m² - 95m² - 118m² - 136m² - 142m². Penthouse từ 342 - 353m².Vị trí trung tâm quận Đống Đa.- 2 phút đến Rạp chiếu phim Quốc Gia.- 10 phút đến Hồ Tây.- 10 phút đến Ga Hà Nội.- 15 phút đến Hồ Hoàn Kiếm.- 20 phút đến Trung tâm Hội nghị Quốc Gia.- 25 phút đến Sân vận động Mỹ Đình.Tiện ích đẳng cấp 5 sao.- Dự án có 3 tầng thương mại dịch vụ phục vụ cư dân cùng 2 tầng văn phòng tại tầng 4 và 5.- Bể bơi 4 mùa trong nhà giữa tầng 5 và tầng 6 rộng 820m².- Hệ thống trường Quốc tế.- Vườn trên cao Sky Gaden.Quý khách hàng vui lòng liên hệ hotline VPBH để đặt lịch xem căn hộ mẫu.            ",70 m²,74.5 triệu/m²,,,2 phòng,2 phòng,29/11/2022,09/12/2022,Tin thường,35612047,batdongsan_com_vn_35612047,Sổ đỏ/ Sổ hồng,,,,Đông - Nam
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao']","
Cần bán nhanh căn hộ 142m² cửa hướng Đông Bắc, ban công Tây Nam.Gồm 3 phòng ngủ, 2 vệ sinh, phòng khách rộng, 3 ban công thoáng.Nội thất full: Giường, tủ, tủ bếp, nóng lạnh, điều hòa, bàn ghế...Sổ đỏ chính chủ, sử dụng lâu dài.Giá: 4.5 tỷ.Liên hệ để nhận thông tin 0961 015 *** ",142 m²,4.5 tỷ,,,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35821526,batdongsan_com_vn_35821526,,,,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', 'Dự án Chelsea Park']","
Mình chuyển xuống liền kề ở nên cần bán nhanh căn hộ 2PN phòng ngủ chung cư Chelsea Park Trung Kính, Cầu Giấy.Căn góc các phòng đều đầy đủ ánh sáng.Diện tích 100m².Thiết kế gồm 2PN 2WC.Hướng cửa Tây Bắc, hướng ban công Đông Nam.Nhà mình đã đầy đủ nội thất, khách mua chỉ việc về ở.- Toàn bộ nội thất cao cấp.+ Thay toàn bộ cửa bằng cửa gỗ lim.+ Hệ thống điện thông minh điều khiển từ xa.+ Đồ điện và điện tử nhập khẩu của Đức và Nhật. Sofa da thật.Giá 3.7tỷ.Liên hệ xem nhà chính chủ: 0932 392 ***miễn trung gian).            ",100 m²,3.7 tỷ,,,2 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,34300555,batdongsan_com_vn_34300555,Sổ đỏ/ Sổ hồng,,,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Lạc Long Quân', 'Ngõ 175']","
Chính chủ bán lại căn nhà ngõ 175 Lạc Long Quân Nghĩa Đô 115m² x 4 tầng ô tô vào nhà giá 179tr/m.- Vị trí: Ngõ 175 Lạc Long Quân, đối diện phố Võng Thị sang, ngõ rộng ô tô tránh nhau. Đường trước nhà ô tô qua lại thoải mái, để được 2 xe trong nhà. Ngõ thông sang Võ Chí Công, ngõ 89 và ngõ 235.- Hiện trạng nhà 4 tầng xây cũ, dạng biệt thự vườn nhỏ. Có khoảng sân rộng 40m². Diện tích đất 114m², mặt tiền rộng thênh thang 7,5m.- Gia đình cần bán gấp để định cư nước ngoài.- Nhà thích hợp ở gia đình hoặc đầu tư căn hộ, dòng tiền cho thuê.- Giá bán: 179tr/m².LH: Em Khánh: 0888 486 *** or 0983 814 *** ",114 m²,179 triệu/m²,,4 tầng,5 phòng,5 phòng,29/11/2022,06/12/2022,Tin thường,35469017,batdongsan_com_vn_35469017,Sổ đỏ/ Sổ hồng,,,,
