address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Pháp lý,Nội thất
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', 'Dự án Royal City']","
Do chuyển về quê ở hẳn nên tôi cần bán căn 2 phòng ngủ, Vinhomes Royal City:Thông tin mô tả:- Diện tích: 109m².- Cửa: Tây Bắc.- Ban công: Đông Nam.- Thiết kế: 2 ngủ, 2 vệ sinh, 1 bếp, 1 khách.- Nội thất: Gia đình tôi đã sửa lại toàn bộ, nội thất nhập khẩu Ý, nên ai nhiệt tình tôi sẽ để lại nội thất.- Sổ đỏ chính chủ.- Miễn phí 10 năm phí dịch vụ.Khách thiện chí liên hệ: 0972 980 *** ",109 m²,4.7 tỷ,,2 phòng,2 phòng,27/11/2022,04/12/2022,Tin thường,31059199,batdongsan_com_vn_31059199,,,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ nhập khẩu Ý.
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 2', 'Đường Phạm Văn Đồng', 'Dự án Resco Cổ Nhuế']","
Cần bán nhanh căn hộ chung cư Resco Cổ Nhuế, đường Phạm Văn Đồng, đối diện công viên Hoà Bình, Cổ Nhuế 2, BTL, Hà Nội.- Căn góc 2PN diện tích 70m², có 1 pk, 1 bếp, 1 ban công.- Nhà đang ở, nội thất có sẵn. Vào ở ngay.Sổ đỏ chính chủ.- Cửa Đông Nam, ban công Tây Bắc view khuôn viên cây xanh và bể bơi đẹp.Khu dân trí cao, an ninh tốt, gần trường, chợ, bệnh viện vv.Mật độ xây dựng rất thấp, không gian cây xanh tràn ngập.Bán gấp giá 2,05 tỷ.Liên hệ: 0988 296 ***. Mình tên Chuyên.            ",70 m²,2.05 tỷ,,2 phòng,2 phòng,27/11/2022,04/12/2022,Tin thường,35750653,batdongsan_com_vn_35750653,,,Đông - Nam,Tây - Bắc,Sổ đỏ/ Sổ hồng,Full đồ
"['Hà Nội', 'Đống Đa', 'Phường Thổ Quan']","
Chính chủ đã mua nhà to hơn gửi bán gấp nhà ngõ 1Thổ Quan Khâm Thiên nhà đẹp ở ngay Mô tả:+ Nhà đẹp Trung tâm quận Đống Đa, cách vài chục mét ra mặt phố Khâm Thiên, gần phố Tôn Đức Thắng, Xã Đàn, Trung Phụng, gần trường mầm non, cấp1 23, gần chợ dân sinh, siêu thị,   ngõ  ba gác chạy vù vù. Xung quanh hàng xóm hiền lành, dân trí cao. Tiện ích không thiếu thứ gì.+ Thiết kế nhà 5 tầng 4 phòng ngủ đầy đủ công năng + Sổ đỏ chỉnh chủ sẵn sàng giao dịch+ Giá 3,17 tỷ+ Liên hệ Mr Sáng điện thoại Zalo 0778 488 *** để được xem nhà miễn phí 24/7            ",38 m²,3.17 tỷ,5 tầng,4 phòng,5 phòng,27/11/2022,04/12/2022,Tin thường,35962424,batdongsan_com_vn_35962424,4 m,3 m,,,Sổ đỏ chính chủ sẵn sàng giao dịch,Đầy đủ
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Phan Đình Giót']","
DT: 5 tầng, mt 4.5m, giá chỉ 3.15 tỷ.+ Nhà xây 5 tầng chắc chắn đẹp, khách mua đến ở luôn.+ Trước nhà có sân rộng 27.2m² tha hồ để xe, trẻ nhỏ vui đùa.+ Cách 10m là ra ô tô đỗ, khoảng 30m là ra phố Phan Đình Giót ô tô tránh.+ Ngõ thông ra đường Lý Tự Trọng đang kè sông tương lai phát triển mạnh, không gian tuyệt vời.+ Gần chợ Bông Đỏ, Bia Bà, tiểu học Văn Khê...+ Sổ đỏ vuông đẹp, không lỗi chủ đang cất két.Liên hệ: Tôi Công 0931 706 ***Miễn trung gian.            ",40 m²,3.15 tỷ,5 tầng,6 phòng,5 phòng,19/11/2022,29/11/2022,Tin thường,33935042,batdongsan_com_vn_33935042,4.5 m,3 m,,,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất ở luôn
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phúc Diễn', 'Đường Kiều Mai']","
Khu tái định cư Kiều Mai - phân lô - ô tô tránh - 2 thoáng trước sau - vỉa hè rộng.+ Vị trí đắc địa đường rộng, kinh doanh mọi loại hình, tiềm năng tăng giá mạnh.+ Giao thông thuận tiện: Kiều Mai, Cầu Diễn, Hồ Tùng Mậu, Văn Tiến Dũng...+ Khu vực dân trí cao, tiện ích sống ngập tràn. Phù hợp xây nhà ở hoặc xây toà nhà văn phòng 7 tầng.+ DT: 70m².+ Giá chỉ 8 tỷ. Mua bán chính chủ, không qua chung gian.+ Pháp lý: Sổ đỏ nở hậu, sẵn sàng giao dịch.+ Lh: Mr Tuân 0979 400 ***để làm việc chính chủ).            ",70 m²,8 tỷ,,,,25/11/2022,02/12/2022,Tin thường,35818616,batdongsan_com_vn_35818616,5.5 m,7 m,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lãm', 'Phố Xốm']","
Vị trí nhà:- Cách cây xăng Xốm 2km, sát QL21b chỉ 7 phút ra Ba La, 10 phút ra Văn Phú, tàu cao tốc Cát Linh - Hà Đông.- Nhà gần chợ, gần siêu thị, gần khu đô thị Thanh Hà các trường đại học, cao đẳng, trường cấp, cấp 1, 2, 3.- Nằm trong khu vực dân cư đông đúc, giao thông đi lại thuận tiện đời sống cực kỳ văn minh đáng sống. Giá đất sinh lời cao.- 10m ra đường ô tô đỗ, 3 gác vào hẳn nhà.Chi tiết Nhà:- Diện tích: 40m², mặt tiền 5m, sổ vuông.- Nhà 4 tầng thiết kế hiện đại gồm: 5 Phòng Ngủ.- Full nội thất cơ bản như hình.Pháp lý nhà:- Pháp lý rõ ràng, SĐCC không tranh chấp quy hoạch.- Hỗ trợ vay vốn ngân hàng lên tới 70%.- Giá: Nhỉnh 1,9 tỷ (bao phí sang tên sổ đỏ).SĐT & zalo: 0981 261 ***Miễn trung gian môi giới).            ",40 m²,Thỏa thuận,4 tầng,5 phòng,3 phòng,25/11/2022,02/12/2022,Tin thường,35634110,batdongsan_com_vn_35634110,,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường 5A', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chính chủ cần tiền bán gấp gấp căn shophouse hải âu 02 - 35 tại Vinhomes Oceanpark Gia Lâm.- Diện tích đất 100m².- Mặt tiền 5m.- Nhà 3 tầng 1 tum.- Đã hoàn thiện full nội thất luxury chỉ việc mang quần áo về ở.- Giá chỉ 17x tỷ.- Cam kết ko có căn thứ 2.- Ưu tiên khách thiện chí có thương lượng.- LH: 0984 094 *** E Tài xem nhà 24/24 hoàn toàn miễn phí.            ",100 m²,17.5 tỷ,4 tầng,4 phòng,3 phòng,27/11/2022,04/12/2022,Tin thường,35873939,batdongsan_com_vn_35873939,5 m,30 m,Đông - Nam,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ.
"['Hà Nội', 'Hà Đông', 'Phường Phú Lương', 'Đường Văn Nội']","
Vị trí nhà:- Nhà thuộc tổ dân phố Phú Lương, thuộc trung tâm Ba La cách trường Đại Học Đại Nam 600m, cách QL21B 300m, giáp chợ dân sinh Văn Nội, xung quanh là các trường Mầm non, tiểu học, trung học cơ sở, khu vui chơi, bãi gửi ô tô ngay gần chỉ cách khoảng 100m cực kỳ thuận tiện cho các hộ gia đình có ô tô.- Ngõ ba gác đỗ cửa - cách đường ô tô 15m.Chi tiết Nhà:- Diện tích: 35m², sổ vuông.- Nhà dân xây 5 tầng thiết kế hiện đại: 3 Phòng ngủ + phòng thờ, sân phơi.- Nội thất: Đầy đủ nội thất cơ bản gồm tủ bếp gỗ xoan, cầu thang gỗ, sàn gỗ, thiết bị vệ sinh nhập khẩu, thiết bị đèn led, đèn điện đầy đủ,Pháp lý nhà:- Pháp lý rõ ràng, SĐCC không tranh chấp quy hoạch.- Hỗ trợ vay vốn ngân hàng lên tới 70%.- Giá: 2,45 tỷ (Bao phí sang tên sổ).SĐT & Zalo: 0981 261 ***Miễn trung gian môi giới).            ",35 m²,2.45 tỷ,5 tầng,3 phòng,4 phòng,23/11/2022,03/12/2022,Tin thường,35934459,batdongsan_com_vn_35934459,,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu']","
ĐỐNG ĐA - MẶT PHỐ - VỈA HÈ 6M - KINH DOANH - NGAY NGÃ TƯ THÁI HÀ - YÊN LÃNG- HÒANG CẦU + Mặt phố Đống Đa, ngay ngã tư Thái Hà, Yên Lãng, Hoàng Cầu.+ Khu vực kinh doanh sầm uất, nhà hàng, khách sạn, văn phòng+ Vỉa hè lớn, ô tô dừng đỗ cực thuận tiện+ Sổ đỏ chính chủ+ Mọi thông tin chi tiết liên hệ( em toán)để có sự hỗ trợ tốt nhất + chuyên biệt thự bất động sản nhà phố Hà Nội            ",100 m²,34 tỷ,1 tầng,2 phòng,2 phòng,27/11/2022,04/12/2022,Tin thường,35962510,batdongsan_com_vn_35962510,6.3 m,30 m,,,Sổ vuông vắn,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lương', 'Phố Phú Lương']","
Vị Trí Nhà:- Nhà thuộc tổ dân phố Phú Lương - Thuộc trung tâm Phú Lương khu vực kinh doanh sầm uất gần chợ Bắc Lãm, chợ dân sinh, khu đấu giá và các trường mầm non, cấp 1, 2. Phù hợp kinh doanh các mô hình tạp hóa, hiệu thuốc, mỹ phẩm, sửa chữa điện thoại...- Vị trí nhà cách trường Đại Học Đại Nam 800m, cách cây xăng Xốm 300m, Ngõ thông tứ tung ô tô qua nhà, chỉ 50m ra trục chính Phú Lương.Chi tiết Nhà:- Diện tích: 35m², Sổ Vuông.- Nhà xây 5 tầng thiết kế hiện đại: 3 Phòng ngủ + Thờ Sân Phơi.- Tầng 1: Thông sàn, Tầng 2: Bếp + Phòng khách.- Nội thất: Đầy đủ nội thất cơ bản gồm tủ bếp gỗ xoan, cầu thang gỗ, sàn gỗ, thiết bị vệ sinh nhập khẩu, thiết bị đèn led, đèn điện đầy đủ,Pháp Lý Nhà:- Pháp lý rõ ràng, SĐCC không tranh chấp quy hoạch.- Hỗ trợ vay vốn ngân hàng lên tới 70%.- Giá: Nhỉnh 2,9 tỷ (Bao phí sang tên).SĐT & Zalo: 0981 261 ***Miễn trung gian môi giới).            ",35 m²,2.9 tỷ,5 tầng,3 phòng,4 phòng,25/11/2022,05/12/2022,Tin thường,35949973,batdongsan_com_vn_35949973,,,,,Sổ đỏ/ Sổ hồng,
