address,gen_descrip,Diện tích,Mức giá,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Phố Chính Kinh']","
Gia đình cần bán lại nhà để lại nội thất cơ bản.Vị trí: Khu vực trung tâm, đi nhanh ra mặt phố Chính Kinh, gần ga tàu điện.- Gần các trục đường lớn Nguyễn Trãi, Lê Văn Lương, Đường Láng, Vũ Trọng Phụng, Quan Nhân, Chính Kinh, Khuất Duy Tiến.- 100m ra chợ tiện đi lại- Bán kính 300m có trường Mẫu giáo, Tiểu học, THCS, THPT- Gần Đại học Tự Nhiên, Nhân Văn, Thủy Lợi, Luật, Y Hà NộiNgõ to, ô tô rất gần.Nhà diện tích sổ 40m², thiết kế đẹp, đầy đủ công năng, Nhà 2 thoáng, có VIEW đẹp.Thiết kế đầy đủ công năng: phòng khách, bếp, 4 phòng ngủ, 1 phòng đa năng, sân phơiSổ đỏ chính chủ, sẵn sàng giao dịch ngay. Giá bán 5.2 tỷ. Có thương lượng cho khách thiện chí.Liên hệ xem nhà Mr Hoàng SĐT 0964 005 *** ",40 m²,5.2 tỷ,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962251,batdongsan_com_vn_35962251,4 m,3 m,,5 phòng,3 phòng,Cơ bản,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Nhân Hòa']","
7 tầng thang máy - nhà đẹp - đang kinh doanh rất tốt - 15m ra phố.Thông số: 59m² - 7 tầng - MT 5m - giá chào 11.2 tỷ.Mô tả:+ Nhà nằm vị trí cực đẹp, trước nhà 2 ba gác tránh nhau thoải mái, ngõ thông, 15m ra mặt phố to.+ Nhà mới ở được vài năm còn rất mới, khách mua chỉ chỉ việc về ở và Kinh doanh luôn.Chủ nhà tự xây dựng nên anh chị em tự tin về vấn đề chất lượng.Tầng 1 + 2: Thông sàn chủ đang Kinh doanh..Tầng 3: 2 ngủ + vệ sinh giữa.Tầng 4: 2 ngủ khép kín.Tầng 5: Phòng khách + bếp.Tầng 6: Phòng thờ + sân phơi.Tầng 7: Tum.+ Sổ đỏ nét căng, pháp lý rõ ràng.* LH Mr Hà 0336 552 ***Tư vấn và xem nhà miễn phí. Nguồn nhà phong phú.            ",59 m²,11.2 tỷ,7 tầng,Sổ đỏ/ Sổ hồng,21/11/2022,28/11/2022,Tin thường,35387461,batdongsan_com_vn_35387461,5 m,3.5 m,,4 phòng,5 phòng,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Ngô Thì Nhậm']","
Ngô Thì Nhậm, trung tâm Hà Đông - phân lô ôtô 7 chỗ vào nhà - dân trí cao - tiện ích ngập tràn - nhà mới long lanh.40m², 4T, MT 4m, giá chào 6.25 tỷ.+ Vị trí đẹp, cạnh phố Quang Trung, giáp nhà thi đấu quận Hà Đông, giao thông đi lại cực kỳ thuận tiện, đường xá cực kỳ đẹp.+ Khu dân trí cao, an ninh tốt, hàng xóm thân thiện.+ Phân lô ô tô 7 chỗ vào nhà, ở sướng.+ Tiện ích bạt ngàn, hưởng trọn dịch vụ của khu đô thị...+ Thiết kế 4 tầng mới đét. Chỉ việc xách vali về ở.- T1: Thông sàn.- T2, T3: Mỗi tầng 2 phòng + wc.- T4: Phòng thờ + sân phơi giặt đồ.* Sổ đỏ phân lô, pháp lý chuẩn.* LH: Mr Hà. Nguồn nhà phong phú, tư vấn miễn phí. (không ba ba sáu, năm năm, hai hai, ba ba).            ",40 m²,6.25 tỷ,4 tầng,Sổ đỏ,25/11/2022,02/12/2022,Tin thường,35138599,batdongsan_com_vn_35138599,4 m,6 m,,4 phòng,4 phòng,,
"['Hà Nội', 'Thanh Trì', 'Dự án Chung cư Đại Thanh']","
Cần tiền để hoàn thành nội thất bên căn hộ mới mua, vì vậy, chính chủ quyết định bán nhanh căn hộ lộc lá cho gia đình nào có nhu cầu. Thông tin căn hộ như sau:- Diện tích: 55m vuông- Thiết kế căn hộ: 2 phòng ngủ, 1 vệ sinh, 1 phòng khách, 1 ban công thoáng, 1 khu vực bếpHướng cửa chính: Tây bắc, BC đông Nam- Nội thất: Gia đình để lại toàn bộ nội thất trong nhà gồm điều hòa, nóng lạnh, tủ bếp, tủ lạnh, giường, tủ quần áo, bàn ghế,... khách mua chỉ việc về ở- Pháp lý: Sổ hồng chính chủ, sang tên nhanh chóng- Giá bán: 1,14 tỉ (Có thương lượng sâu cho khách thiện chí)Liên hệ xem nhà trực tiếp hoặc Zalo em 0365 999 ***. em cảm ơn ạ            ",55 m²,1.14 tỷ,,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin thường,35962133,batdongsan_com_vn_35962133,,,Tây - Bắc,2 phòng,1 phòng,Đầy đủ,Đông - Nam
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Giải Phóng']","
Bán chung cư H2 Định Công - Giải Phóng - Hoàng Mai.Liên hệ Trường chủ đầu tư 0971 846 ***Tòa nhà xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay.Giá bán: 595tr - 805tr - 943tr - Hơn 1 tỷ.Diện tích: 46m² - 48m² - 49m² - 50m² - 55m².Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Liên hệ trực tiếp chủ đầu tư để mua nhà - Add Zalo để nhận video căn hộ.            ",48 m²,805 triệu,,Sổ đỏ/ Sổ hồng.,25/11/2022,02/12/2022,Tin thường,35953114,batdongsan_com_vn_35953114,,,Đông,2 phòng,2 phòng,Nội thất đầy đủ.,Đông - Nam
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đống Mác', 'Đường Nguyễn Cao']","
Bán nhà Nguyễn Cao - khu vực lõi Hai Bà Trưng, hiếm nhà bán, diện tích 32,5m², ngõ thông, kinh doanh sầm uất, tiện ích đỉnh.Ô tô đỗ cách nhà 30m, 5 phút lên Hồ Hoàn Kiếm.Giá 3 tỷ 3.- Miễn môi giới, trung gian.Liên hệ: Cô Thành 0962 987 *** ",32.5 m²,3.3 tỷ,,,27/11/2022,04/12/2022,Tin thường,34449416,batdongsan_com_vn_34449416,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung', 'Ngõ 2']","
Phân lô - ô tô đỗ cửa ngày đêm - hơn 100m ra phố Quang Trung, Hà Đông - nhà 2 mặt ngõ an ninh an sinh tuyệt đỉnh. Nhà cực hiếm giá siêu đẹp.Ngõ 2 Quang Trung: 51m², 6 tầng, mt 4.1m, giá chào 5.6 tỷ.+ Ngõ rộng, Quang Trung, ô tô tránh dừng đỗ ngày đêm, nhà nằm trong khu dân cư đông đúc, toàn cán bộ công nhân viên chức cấp cao, an sinh tuyệt đỉnh.+ Hiện trạng chủ xây thành 2 nhà trên cùng 1 mảnh đất 51m².- Phía trước chủ xây nhà 4 tầng, 31m² xác định để gia đình ở, ô tô đỗ cửa.- Phía sau chủ xây 6 tầng, 4 phòng cho thuê doanh thu 6 đến 7 triệu/tháng.+ Nhà xây chắc chắn, móng ép cọc bê tông, giếng trời thông thoáng từ tầng 1 đến tầng 4, chủ mới mua về thêm nước sơn đẹp long lanh, có thể đập thông sang 2 bên nếu muốn sử dụng rộng hơn.+ Thiết kế:Tầng 1: Phòng khách, wc, bếp.Tầng 2: 1 phòng ngủ, wc, ban công.Tầng 3: 1 phòng ngủ, wc, ban công.Tầng 4: Phòng thờ, sân phơi rộng.Nhà phía sau thiết kế: Tầng 1 để xe, tầng 2,3,4,5 mỗi tầng 1 phòng + wc, tầng 6 tum, sân chơi.- Sổ đỏ hoa hậu, chính chủ, giao dịch ngay.* Liên hệ: Mr Hà. Tư vấn và xem nhà miễn phí.            ",51 m²,5.6 tỷ,6 tầng,Sổ đỏ,22/11/2022,29/11/2022,Tin thường,33964375,batdongsan_com_vn_33964375,4.1 m,8 m,,3 phòng,7 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
- Nhà chủ tự xây và thiết kế rất hợp lý, lô góc, ô tô 7 chỗ vào nhà, tặng nội thất xịn xò, xây 5 tầng, 5 phòng ngủ.- Ngõ thông kinh doanh, gần ngõ 7 Phùng Trí Kiên, toà chung cư Tràng An Complex.- Gần công viên Nghĩa Đô, trường cấp 1 FPT, trường THCS Lê Quý Đôn, trường cấp 3 Cầu Giấy.- Thông các tuyến phố Hoàng Sâm, Phố Đông Quan, đường Hoàng Quốc Việt, đường Nguyễn Đình Hoàn, Đường Nguyễn Phong Sắc, Đường Nguyễn Khánh Toàn...- Sổ đỏ vuông đẹp, pháp lý chuẩn.Liên hệ xem nhà gấp 0965 785 *** Thanh Tâm.            ",56 m²,13 tỷ,5 tầng,Sổ đỏ vuông đẹp.,22/11/2022,29/11/2022,Tin thường,34432127,batdongsan_com_vn_34432127,5 m,5 m,,5 phòng,6 phòng,Cao cấp,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', 'Phố Láng Hạ', 'Dự án BRG Grand Plaza']","
Duy nhất căn hoa hậu số lượng giới hạn dành cho khách VIP.- Diện tích thông thủy 201m².- Thiết kế được 4 - 5 phòng ngủ.- Tầng 16 tầng trung thoáng và đẹp.- Nhà hướng Đông Nam.- Bàn giao thô, chủ nhà được tự hoàn thiện, thiết kế theo sở thích.- Liên hệ xem thực tế: 0968 828 *** ",201 m²,Thỏa thuận,,,23/11/2022,30/11/2022,Tin thường,35829674,batdongsan_com_vn_35829674,,,Đông - Nam,4 phòng,4 phòng,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Bạch Mai']","
Chung cư H1 Bạch Mai - Đại Cồ Việt - Hai Bà Trưng.Nhận bàn giao căn hộ luôn - căn hộ rất thoáng sáng.Liên hệ Trường chủ đầu tư 0971 846 ***Ô tô đỗ trước cửa chung cư.Giá bán: 600tr - 755tr - 860tr - 900tr - 1 tỷ.Diện tích: 46m² - 47m² - 48m² - 49m² - 50m² - 55m².Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led.Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Liên hệ trực tiếp chủ đầu tư để mua nhà.            ",48 m²,800 triệu,,,22/11/2022,29/11/2022,Tin thường,34066296,batdongsan_com_vn_34066296,,,Đông,2 phòng,1 phòng,Nội thất cơ bản đầy đủ về ở được ngay,Đông - Nam
