address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng ban công,Nội thất
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Đình Thôn']","
Chính chủ cần bán gấp 129m² đất mặt đường Đình Thôn mặt tiền 8m, kinh doanh sầm uất giá 16,3 tỷ.Vị trí đất phù hợp xây tòa nhà 8 tầng.Vị trí đất gần đường Phạm Hùng, gần Phố Thiên Hiền, Đường Mỹ Đình...Đường trước nhà rộng đi lại thuận tiện.Vị trí nhà phù hợp kinh doanh: Nhà hàng cửa hàng trưng bày giới thiệu sản phẩm...Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem đất.            ",129 m²,16.3 tỷ,,,,,24/11/2022,04/12/2022,Tin thường,35945000,batdongsan_com_vn_35945000,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai']","
NHÀ DÒNG TIỀN MỚI 14 PHÒNG FULL ĐỒ - CÁC PHÒNG THOÁNG SÁNG VÔ CÙNG - 7 TẦNG THANG MÁY, DOANH THU GẦN 100TR/THÁNG.+ Diện tích 65m2x7T thang máy, ngõ rộng xe 3 gác đỗ cửa , nhà bán cách ô tô tránh chỉ 20m.+ Lợi thế 2 mặt thoáng Vĩnh Viễn trước và sau( phía trước mặt ngõ và phía sau và trường ĐH), các phòng đều có cửa sổ nên không gian trong nhà luôn thoáng sáng, dễ chịu.+ Nhà mới chủ xây dựng cẩn thận, dùng toàn đồ tốt, thang máy xịn.+ Gần các trường ĐH lớn: ĐH Bách Khoa, ĐH Xây Dựng. ĐH Kinh Tế, ĐH Kinh Tế - Kỹ Thuật - Công Nghiệp, ĐH Kinh Tế - Kỹ Thuật.......- T1: Để xe, Wc +1 phòng- T2,3,4,5,6: Mỗi tầng 2 phòng khép kín full nội thất. Hiện tại chủ đang tự khai tháng cho thuê 5.5 triệu/ tháng, chưa kể phí dịch vụ điện nước mạng.- T7: Sân phơi rộng + 2 phòng+ Giá: 12.9 tỷ có giảm nữa, thương lượng chính chủ.+ Cam kết ảnh thật đúng nhà - đúng thông tin - không thu bất kỳ phí gì cả kể giao dịch thành công.+ LH: Mrs Hương. Ngoài ra em Hương còn rất nhiều các ngôi nhà các phân khúc trong khu vực cần bán.- Liên hệ để được tư vấn và xem nhà miễn phí.- Sổ đỏ chính chủ - pháp lý chuẩn.- Miễn tiếp trung gian môi giới.            ",65 m²,12.9 tỷ,,,,,27/11/2022,04/12/2022,Tin thường,35962496,batdongsan_com_vn_35962496,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Dương Khuê']","
Chính chủ cần bán gấp tòa nhà văn phòng phố Dương Khuê, 110m² x 8 tầng, mặt tiền 9m, giá 33.9 tỷ.Nhà xây thiết kế thông sàn theo phong cách hiện đại, nội thất nhập khẩu hút mắt.Vị trí nhà gần phố Nguyễn Hoàng, đường Lê Đức Thọ, đường Hồ Tùng Mậu...Đường trước nhà rộng, vỉa hè rộng, view thoáng...Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem nhà.            ",110 m²,33.9 tỷ,9 m,,,,25/11/2022,02/12/2022,Tin thường,35947702,batdongsan_com_vn_35947702,8 tầng,4 phòng,8 phòng,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Đường Thụy Khuê']","
Chính chủ cần bán gấp nhà mặt phố Thụy Khuê - Đồng Cổ 75m² lô góc, vỉa hè rộng, kinh doanh sầm uất giá 16.5 tỷ.Nhà xây thiết kế theo phong cách hiện đại, nhà lô góc nên phòng nào cũng có cửa sổ thoáng mát.Vị trí nhà gần Hồ Tây, phố Văn Cao, phố Trích Sài, phố Nguyễn Đình Thi...Đường rộng thông thoáng đi lại thuận tiện.Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem nhà.            ",75 m²,16.5 tỷ,,,,Sổ đỏ,25/11/2022,02/12/2022,Tin thường,35951007,batdongsan_com_vn_35951007,6 tầng,5 phòng,5 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Trung Kính']","
Chính chủ cần bán gấp nhà phố Trung Kính _ Mạc Thái Tông 59m² kinh doanh sầm uất giá 13.9 tỷ.Vị trí nhà gần gã tư giao phố Trung Kính - phố Vũ Phạm Hàm - Mạc Thái Tông.Vị trí nhà phù hợp kinh doanh đa dạng hình nếu gia đình có nhu cầu cần kinh doanh.Đường rộng thông thoáng đi lại thuận tiện.Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem nhà.            ",59 m²,13.9 tỷ,,,,,25/11/2022,02/12/2022,Tin thường,35951367,batdongsan_com_vn_35951367,5 tầng,4 phòng,4 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Quan Hoa']","
Chính chủ cần bán gấp tòa chung cư mini đường Quan Hoa doanh thu 100 triệu/tháng, giá 9.4 tỷ.Nhà xây thiết kế theo phong cách hiện đại, có gác xép, thang máy nhập khẩu.Vị trí nhà gần phố Nguyễn Khánh Toàn, đường Cầu giấy, đường Nguyễn Văn Huyên...Khu vực nhiều Trường Đại học: Trường Đại Học Giao Thông Vận Tải, Trường Học Viện Báo Chí và tuyên Truyền...Đông sinh viên phòng cho thuê luôn kín doanh thu ổn định..Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem nhà.            ",79 m²,9.4 tỷ,,,,Sổ đỏ,25/11/2022,02/12/2022,Tin thường,35948104,batdongsan_com_vn_35948104,7 tầng,15 phòng,15 phòng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Bắc', 'Đường Nguyễn Quý Đức']","
Gia đình thiện chí bán nhà để đầu tư kinh doanh nên cần bán nhà ở phố Nguyễn Quý Đức quận Thanh Xuân.+ Nhà gia đình tự xây nên rất chắc chắn yên tâm về chất lượng, mới được gần 5 năm ở giữ gìn nên còn rất mới. Nhà thoáng trước sau vĩnh viễn mặt hậu rộng thoáng tới 1.5m.+ Nhà phù hợp vừa ở vừa kinh doanh văn phòng công ty tùy ý muốn của gia chủ mới.+ Vị trí trước nhà ô tô tránh thoải mái và thông ra nhiều đường, thiết kế garage ô tô 7 chỗ cất trong nhà. Nhà thuộc khu dân trí cao văn minh lịch sự an ninh rất tuyệt đối.+ Các phòng đều ốp sàn gỗ xịn ốp trần thạch cao hệ thống đèn led tiết kiệm điện, nội thất xịn xò đầy đủ từ tivi, tủ lạnh, bàn nghế, tặng gia chủ mới xách vali đến ở luôn.+ Diện tích 65m², thuê thợ quê lên xây 6 tầng mua bản thiết kế của kiến trúc sư nên rất khoa học hợp lý thuận phong thủy nhiều ánh sáng khí tự nhiên. Tổng 6 phòng ngủ rộng rãi thoải mái, đầy đủ công năng sử dụng các phòng.+ Vị trí rất thuận lợi trong công việc và sinh hoạt. Tiện ích phong phú và đa dạng gần các trường đại học như đại học Hà Nội, Tự Nhiên, Xã Hội Nhân Văn, gần ga Thanh Xuân Trung đường tàu Cát Linh Hà Đông, siêu thị, chợ dân sinh, bệnh viện,+ Sổ đỏ chính chủ vuông đẹp, pháp lý rõ ràng sang tên ngay tức khắc.+ Giá bán 10.6 tỷ, thương lượng.+ Liên hệ 0982 871 ***, miễn trung gian.            ",65 m²,10.6 tỷ,5.2 m,,,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin thường,35948179,batdongsan_com_vn_35948179,,6 phòng,,,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
Chính chủ cần bán tòa chung cư mini đường Cầu Giấy 79m² doanh thu 90 triệu/tháng, giá 9.5 tỷ.Nhà xây 7 tầng thiết kế theo phong cách hiện đại, có Gác xép, nội thất full, doanh thu ổn định.Vị trí nhà gần trường đại học Giao Thông Vận Tải, Trường Học Viện Báo Chí và Tuyên Truyền, Đại Học Quốc Gia...Gần nhiều tuyến phố lớn: Đường Nguyễn Văn Huyên, Phố Khúc Thừa Dụ, Phố Trần Thái Tông,...Đường rộng thông thoáng đi lại thuận tiện.Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem nhà.            ",79 m²,9.5 tỷ,,,,Sổ đỏ,25/11/2022,02/12/2022,Tin thường,35948011,batdongsan_com_vn_35948011,7 tầng,15 phòng,15 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Nguyễn Hoàng']","
Chính chủ cần bán gấp tòa nhà mặt phố Nguyễn Hoàng 86m² x 9 tầng thang máy, giá 29 tỷ.Nhà 2 mặt thoáng, vỉa hè trước nhà rộng 6m, đường rộng 35m, vị trí đắc địa, ôtô đỗ đậu ngày đêm thoải mái rất thuận tiện cho việc kinh doanh đa dạng hình.Vị trí nhà gần phố Trần Bình, phố Hàm Nghi, phố Dương Khuê, đường Lê Đức Thọ...Vị trí nhà phù hợp kinh doanh đa dạng hình: Kinh doanh nhà hàng, cửa hàng trưng bày giới thiệu sản phẩm, văn phòng đại diện...Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem nhà.            ",86 m²,29 tỷ,,35 m,,Sổ đỏ,25/11/2022,02/12/2022,Tin thường,35947050,batdongsan_com_vn_35947050,9 tầng,4 phòng,9 phòng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Nhân Hòa']","
Do có nhu cầu chuyển đổi mục đích sử dụng gia đình cần bán nhà ở phố Nhân Hòa quận Thanh Xuân.+ Nhà xây được vài năm ở giữ gìn còn rất mới, nội thất đẹp đầy đủ tiện nghi tặng lại hết cho gia chủ mới chỉ xách vali về ở luôn.+ Vị trí ngõ trước nhà cực nông ô tô đỗ cửa vài mét, ngõ rộng thoáng sạch sẽ, thông ra nhiều đường như Quan Nhân, Vũ Trọng Phụng, gần các đường Ngụy Như Kon Tum, Lê Văn Thiêm, Nguyễn Huy Tưởng,...+ Nhà ở khu dân trí cao, trí thức văn minh, lịch sự, an ninh tuyệt đối.+ Trung tâm quận Thanh Xuân tiện ích chẳng thiếu gì như gần chợ thuốc Hapulico, siêu thị tạp hóa, chợ dân sinh, các trường đại học Tự Nhiên, Xã Hội Nhân Văn, công an quận Thanh Xuân, trường mầm non mẫu giáo, các cấp I, II, III, rất thuận tiện cho sinh sống và làm việc...+ Nhà xây 6 tầng đẹp chắc chắn, 48m², thiết kế hợp lý thoáng sáng phòng ngủ khép kín rộng rãi ốp sàn gỗ xịn, đầy đủ công năng sử dụng thoải mái.+ Pháp lý sổ đỏ chính chủ vuông vắn nở hậu, sang tên ngay lập tức.+ Giá bán: 6.4 tỷ, thương lượng với khách thiện chí mua.+ Liên hệ: 0982 871 ***, miễn trung gian.            ",48 m²,6.4 tỷ,,,,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin thường,35945792,batdongsan_com_vn_35945792,,,,,Đầy đủ
