address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Chánh', 'Dự án Nam Trung Yên']","
+ Tôi cần bán gấp chung cư B11 Nam Trung Yên căn góc 70m², 2 ngủ, 2 vs chỉ 2.1 tỷ.+ Nhà căn góc nên phòng nào cũng có cửa sổ rộng, ngập tràn ánh sáng, view đẹp.+ Nhà đã sửa sạch đẹp, về ở ngay.+ Vị trí trung tâm Quận Cầu Giấy, ngay sau Big C Thăng Long, cách công viên Cầu Giấy 200m, tiện ích xung quanh không thiếu thứ gì, chợ, trường học các cấp bán kính 1km.+ Liên hệ xem nhà: Mr Hiếu: 0984 262 ***miễn trung gian).            ",70 m²,2.1 tỷ,,,2 phòng,2 phòng,23/11/2022,30/11/2022,Tin Vip 3,35934489,batdongsan_com_vn_35934489,,,,,
"['Hà Nội', 'Mê Linh', 'Thị trấn Quang Minh', 'Đường Hoa Phượng Vĩ']","
Chính chủ bán biệt thự Số 6, đường Hoa Phượng Vĩ, Mê Linh, Hà Nội.Hướng Bắc siêu lộc.Biệt thự nghỉ dưỡng, mặt tiền 17.9 m siêu đẹp; Không khí trong lành, an ninh tuyệt đối; ở trên cả tuyệt vời, tương lai đắt giá.Vị trí rất đẹp và thoáng.Diện tích: 362 m.Mặt tiền 17.9 m.- Biệt thự 3 tầng, 6PN, 1PK, 1 phòng thờ, bếp, gara ô tô.Full nội thất xịn nhập ngoại; Thiết bị VS cao cấp.Không gian sân vườn kiểu Nhật, thoáng, cây ăn quả lâu năm...Khu vực an ninh tốt, dân cư dân trí cao... Giao thông thuận tiện cách Trung tâm Hà Nội 20km; cách quận Cầu giấy 10km, Sân bay nội bài 4km...Giá: 7 tỷ 240tr, có gia lộc cho người mua thiện chí.Sổ đỏ chính chủ, vuông vắn, chủ thiện chí bán.            ",362 m²,7.24 tỷ,Bắc,Đông - Nam,6 phòng,5 phòng,23/11/2022,30/11/2022,Tin Vip 3,35934488,batdongsan_com_vn_35934488,Sổ đỏ/ Sổ hồng,Cơ bản,17.9 m,33 m,3 tầng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'đường Mễ Trì', 'Dự án Golden Palace']","
Chính chủ cần bán nhà tầng 11 tòa B, Golden Palce view Bộ ngoại giao thoáng mát, 3 mặt thoáng.Nhà gần nhiều trường học, trung tâm thương mại, bến xe Mỹ Đình... Giao thông thuận tiện.Nhà đã đập đi thiết kế cải tạo lại toàn bộ, cho bác Chủ tịch người Hàn thuê vừa hết hạn có thể nhận nhà ngay.Nhà full nội thất chỉ cần xách vali vào ở, gồm 3 phòng ngủ, 2 vệ sinh, máy giặt, tủ lạnh, điều hòa, hút ẩm, hút bụi, tivi, sofa, tủ âm tường gỗ thịt, chuông hình, bếp từ, lò vi sóng...Giá bán: Thỏa thuận.Liên hệ: Chính chủ anh Việt 0982 946 *** ",117 m²,Thỏa thuận,,Đông - Nam,3 phòng,2 phòng,23/11/2022,30/11/2022,Tin Vip 3,35933557,batdongsan_com_vn_35933557,,"Full Nhà full nội thất chỉ cần xách vali vào ở, gồm 3 phòng ngủ, 2 vệ sinh, máy giặt, tủ lạnh, điều hòa, hút ẩm, hút bụi, tivi, sofa, tủ âm tường gỗ thịt, chuông hình, bếp từ, lò vi sóng...",,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'Đường Trích Sài']","
Bán toà nhà căn hộ dịch vụ quận Tây Hồ.Khu vực: Trích Sài - Thụy Khuê - Lạc Long Quân.- Diện tích: 180m².- Mặt tiền: 10m.- 8 tầng.- Thiết kế: 26 căn hộ cao cấp và 1 sàn văn phòng.- Ngõ ô tô, cách mặt phố 20m.- Cho thuê cả nhà 190tr/tháng. Tự vận hành 250 - 300tr/tháng.Giá 33.5 tỷ có thương lượng.Liên hệ em Liên.0967549519.            ",180 m²,33.5 tỷ,,,26 phòng,26 phòng,23/11/2022,30/11/2022,Tin Vip 3,35934437,batdongsan_com_vn_35934437,,,10 m,4 m,8 tầng
"['Hà Nội', 'Đống Đa', 'Phường Phương Mai', 'Đường Trường Chinh', '102', '102 Trường Chinh Meco']","
Tòa HH2 Chung cư Meco Complex 102 Trường Chinh.Hot hot hot - căn hộ chung cư cực đẹp - giá tốt - full nội thất xịn sò - ở ngay đón tết - vị trí vàng - trung tâm Đống Đa - ngập tràn tiện ích.- Diện tích 87m².+ Cực hiếm, trung tâm Đống Đa, diện tích khủng 87m², giá cực tốt, chủ thiện chí bán.+ Vị trí đắc địa, ngõ 102 cách mặt phố Trường Chinh - Ngã tư Vọng 100m, gần BV Bạch Mai, chân tòa nhà là Trường Mầm Non Phương Mai.+ Full nội thất xịn sò ở ngay, thiết kế quá hợp lý, phòng khách, bếp, 2 phòng ngủ master, 2 WC, công năng hoàn hảo, thoáng sáng tự nhiên, thang máy.- Liên hệ ngay e Sáng: 0869 420 *** ",87 m²,3.75 tỷ,,,2 phòng,2 phòng,23/11/2022,03/12/2022,Tin Vip 3,35933725,batdongsan_com_vn_35933725,Sổ hồng.,Full nội thất.,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Mai Động', 'Đường Minh Khai']","
Siêu phẩm. Mở bán chung cư phố Kim Ngưu - Lò Đúc, Đầy đủ nội thất - vào ở luôn. Ôtô đỗ cửa.Trực tiếp chủ đầu tư xây bán - uy tín - chuyên nghiệp - giá rẻ.1. Vị trí.- Gần các tuyến đường lớn trung tâm: Trần Khát Chân, Hoàng Mai, Minh Khai...- Tiện ích công cộng gần trường cấp 1 cấp 2 Minh Khai, trường tiểu học trung học...- Cách 500 mét là công an phường, gần công viên lớn, các trường đại học.2. Diện tích - thiết kế.- Chung cư Kim Ngưu - Lò Đúc được thiết kế đa dạng các loại diện tích từ 25 - 35 - 46 - 48m² - 50m² - 55m².3. Giá bán.Căn studio: 600tr - 650 triệu.Căn 1 PN: 800 tr - 890 triệu.Căn 2 PN: 1 tỷ 100 - 1tỷ250 - 1,300 tỷ.Căn 3 ngủ - 2 vệ sinh: Giá 1 tỷ 750.Chiết khấu ngay 3 - 4% cho khách mua nhà.4. Pháp lý:- Mua chung cư Kim Ngưu - Minh Khai khách hàng không phải mất thêm chi phí nào, ký hợp đồng trực tiếp CĐT với đầy đủ pháp lý: Sổ đỏ PTCC, giấy phép XD, hợp đồng mua bán căn hộ, cam kết tách sổ.Đặc biệt khách hàng thanh toán nhanh trong tháng được chiết khấu 3 - 4% giá trị căn hộ.Liên hệ ngay để xem nhà và tư vấn miễn phí: 0974 199 *** ",30 m²,600 triệu,,,1 phòng,1 phòng,23/11/2022,03/12/2022,Tin Vip 3,35143538,batdongsan_com_vn_35143538,Sổ đỏ.,,,,
"['Hà Nội', 'Đống Đa', 'Phường Kim Liên', 'Đường Đông Tác']","
Chung cư CT1 Đông Tác - Phạm Ngọc Thạch - Kim Liên.Liên hệ Tuấn chủ đầu tư 097151633.Tòa nhà nằm trung tâm quận, đi lại thuận tiện giữa các quận, gần công viên, gần chợ, siêu thị, trường học cấp 1 cấp 2 cấp 3.Giá bán: 599tr - 800tr - 900tr - hơn 1 tỷ.Diện tích: 35 - 45m² - 48m² - 50m² - 60m².Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.            ",48 m²,900 triệu,Đông - Nam,Đông - Bắc,2 phòng,1 phòng,23/11/2022,30/11/2022,Tin Vip 3,35169726,batdongsan_com_vn_35169726,Sổ đỏ/ Sổ hồng,Cao cấp.,,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Dự án Đô Nghĩa']","
Bán biệt thự nhìn sang công viên - Tập Đoàn Nam Cường.Diện tích 162m², mặt tiền 9*18m - hướng nhà Tây Nam. Nhà xây thô 3,5 tầng hoàn thiện mặt ngoài, đã bàn giao.Vị trí hồ cây đàn, gần trường đại học Phenikaa, Đại Nam, gần bến tàu trên cao, phía sau là dãy biệt thự nhìn ra Vành Đai 4...Giá bán 1. X tỷ - nhiệt tình bán.LH Kỳ: 0988 656 ***Địa chỉ: U01.44 khu đô thị Đô Nghĩa - Hà Đông - Hà Nội.            ",162 m²,16 tỷ,Tây - Nam,Tây - Bắc,6 phòng,5 phòng,23/11/2022,30/11/2022,Tin Vip 3,35856485,batdongsan_com_vn_35856485,,,9 m,12 m,4 tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', ""Dự án Vinhomes D'Capitale""]","
Căn hộ 3 ngủ cực đẹp, thiết kế rất chỉn chu, thông tin chi tiết và xem nhà liên hệ 0966 410 ***.- 3PN 2WC, ban công chính hướng Đông Nam, view hồ công viên Thanh Xuân cực đẹp.- Ban công phụ để máy giặt và phơi quần áo.- Đầy đủ đồ nội thất cao cấp, chất lượng.- Vị trí tầng trung.- Sổ hồng lâu dài.- Hình ảnh chụp thực tế.- Khối đế 5 tầng trung tâm thương mại Vincom Trần Duy Hưng.- Tầng 6 có nội khu riêng cho cư dân c6 + c7, có bể bơi ngoài trời.Giá bán chỉ 6.2 tỷ, giá tốt hàng đầu trục view hồ hướng Đông Nam.* Ngoài ra mình còn quỹ căn chuyển nhượng giá tốt từ 1 - 3PN tại Dcapitale Trần Duy Hưng:Studio 38m², 1.5PN 51m², 2PN 60m², 2PN 70m², 2PN 76m², 2PN 83m², 3PN 93m², 3PN 99m², 3PN 112m², 3PN 121m².Liên hệ 0966 410 *** trao đổi thêm nhé.            ",99 m²,6.2 tỷ,,Đông - Nam,3 phòng,2 phòng,23/11/2022,03/12/2022,Tin Vip 3,35807972,batdongsan_com_vn_35807972,Sổ hồng lâu dài.,Full đồ.,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án Gamuda Gardens']","
Chính chủ nhà thiện chí gửi bán căn Biệt thự liền kề góc đẹp nhất phân khu dãy ST5 dự án Gamuda Garden. Căn đẹp nhất dãy có vườn hoa trước nhà. Liên hệ Em Hà: 0971 366 *** xem nhà trực tiếp.- Diện tích đất 130m².- Căn góc 3 mặt thoáng.- Xây 4 tầng diện tích xây dựng 232m².- Mặt tiền nhà 8m trước mặt nhà là vườn hoa.- Mặt đường lớn, vỉa hè 8m để xe ô tô thoải mái để được 3 ô tô.- Nhà hiện trạng bàn giao thô nguyên bản CĐT.- Tiện ích xung quanh rất gần như bể bơi nước nóng, club house, gym.Giá bán 25.X tỷ.Giá đã bao phí sang tên có thương lượng cho khách thiện chí mua.Khu dân cư hiện hữu thu nhập cao, vị trí đẹp khách hàng có nhu cầu mua ở thiện chí liên hệ Em Hà xem nhà: 0971 366 *** miễn trung gian.            ",130 m²,Thỏa thuận,Tây - Bắc,,4 phòng,6 phòng,23/11/2022,30/11/2022,Tin Vip 3,35933930,batdongsan_com_vn_35933930,Hợp đồng mua bán.,,8 m,15 m,4 tầng
