address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Nội thất,Mặt tiền,Đường vào
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', 'Dự án Royal City']","
Bảng hàng chung cư Royal.- Tòa R1 - R2 căn 88m² - 100m² (2 ngủ) bán 3,9- 4,5 tỷ.- Tòa R1 - R2 căn 115m² là - 133m² (2 ngủ rộng) giá 4,2tỷ - 5,5 tỷ.- Tòa R1 - R2 căn 136m² - 164m² (3 ngủ) giá 4,8 tỷ - 6,5 tỷ.- Tòa R1 - R2 căn 178m² - 200m² (3 - 4 ngủ góc) giá 8tỷ - 11 tỷ.- Tòa R3 căn 109m² - 124m² (2 ngủ) giá 4,8 tỷ - 5,5tỷ.- Tòa R3 căn 123,7m² - 160m² (3 ngủ) giá 5,5 tỷ - 8 tỷ.- Tòa R3 căn 175m² - 221m² (3 và 4 ngủ) giá 9 tỷ - 15 tỷ.- Tòa R4 + R5 căn 93m² - 106m² (2 ngủ) bán 4tỷ - 5 tỷ.- Toà R4 + R5 căn 112m² - 133m² (2 ngủ rộng) giá 4,5 tỷ - 6 tỷ.- Tòa R4 - R5 133 - 140cm² (3 ngủ góc) giá 5,5 tỷ - 7 tỷ.- Toà R6 căn 55 - 69 - 72 - 83m² (2 ngủ) giá 2.8 tỷ - 4 tỷ.- Toà R6 căn 94m² - 105 - 150m² (3 ngủ) giá 4,8 tỷ - 6 tỷ.Xin vui lòng liên hệ e để đi xem nhà ạ.E Linh: 0947 850 *** ",100 m²,4 tỷ,,,2 phòng,,,21/11/2022,01/12/2022,Tin Vip đặc biệt,33294558,batdongsan_com_vn_33294558,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Trung Văn', 'đường Trung Văn', 'Ngõ 169']","
Cần bán nhà riêng 2 tầng - Ngõ 169 Trung Văn.Vị trí đẹp - ngõ thông vòng quanh, ô tô đỗ đợi 5m, đường đi thông thoáng ngõ vào sạch đẹp - dân cư thân thiện, tiện ích ngập tràn.Bao gồm: 2N 1K, 1 bếp, 2WC.Nội thất đầy đủ điều hòa, nóng lạnh, máy giặt,...Ngay gần cao đẳng Xây Dựng HN, UBND Phường.Sổ đỏ đầy đủ.Diện tích: 33 m².Giá bán: 3.3 tỷ, có thương lượng.Liên hệ Ms. Quyên chính chủ 0899 487 *** để được tư vấn và đi xem nhà thực tế.            ",33 m²,3.3 tỷ,,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,20/11/2022,30/11/2022,Tin Vip đặc biệt,35604620,batdongsan_com_vn_35604620,,Nội thất cơ bản,5 m,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Hotline: 0981 219 ***Bán tổng hợp quỹ căn giá rẻ dự án Vinhomes Smart City từ Studio đến 3 phòng ngủ. Giá rất hấp dẫn.Cập nhật quỹ căn mới nhất tháng 12/2022:- Căn studio từ (25m² - 35m²): Giá từ 1,1tỷ - 1,5 tỷ.- Căn 1 phòng ngủ (34m² - 37m²): Giá từ 1,4 tỷ - 1,7 tỷ.- Căn 1 phòng ngủ + 1 (43m² - 48m²): Giá từ 1,6 tỷ - 2,2 tỷ (có thể thiết kế thành 2 phòng ngủ).- Căn 2 phòng ngủ (54m² - 61m²): Giá từ 2,1 tỷ - 2,5 tỷ.- Căn 2 phòng ngủ + 1 (64m²): Giá từ 2,5 tỷ - 3,4 tỷ (có thể thiết kế thành 3 phòng ngủ).- Căn 3 phòng ngủ 76m² - 94m² giá từ 2,8 tỷ.Khu đô thị Vinhomes Smart City - Không gian sống xanh, sạch, tiện lợi - tâm điểm mới của phía Tây Thủ Đô Hà Nội với hệ thống tiện ích rộng lớn: Công viên trung tâm 16ha, Công viên thể thao ngoài trời lớn nhất Đông Nam Á với hơn 1000 máy tập. Công viên BBQ với hơn 100 điểm nướng. Công viên viên vui chơi cho trẻ em và vận động liên hoàn... Cùng với hệ thống tiện ích: Khu vui chơi giải trí, bể bơi và hệ thống sân tập thể thao nội khu, cùng nhiều cây xanh vô cùng thoáng đãng và xanh mát...* Hotline PKD: 0981 219 *** ",59 m²,2.25 tỷ,Đông - Bắc,,2 phòng,2 phòng,Hợp đồng mua bán,20/11/2022,30/11/2022,Tin Vip đặc biệt,34349830,batdongsan_com_vn_34349830,Tây - Nam,Nguyên bản,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Hoàng Mai', '279', 'Feliz Homes']","
* Mình đang có 6 căn 2 và 3PN suất nội bộ của CĐT toàn vị trí đẹp cần ra hàng của toàn Zen - tòa này bàn giao quý 2.2023 đây là tòa đáng tiền nhất để sở hữu nhất trong 3 tòa khi gần khu 40 tiện ích ngay chân tòa nhà.Các căn toàn vị trí tầng đẹp tầng 16 - 22, giá chiết khấu sâu cho khách thiện chí vào sớm trừ thẳng hdmb + hỗ trợ vay vốn ngân hàng ân hạn nợ gốc trong vòng 18 tháng.Liên Hệ Mình 0886 725 ***I. Vị trí:+ Cổng trước 279 Hoàng Mai (cách hồ Đền Lừ 200m).+ Cổng sau 92 Mai Động, Tam Trinh (cách cầu Mai Động 700m).- Tổng diện tích dự án: 2,1 ha.- Mật độ cây xanh và mặt nước chiếm 80% - mật độ xây rất thấp chỉ 25%.- Số tầng: 27 tầng hầm: 3 Nhà để xe nổi: 6 tầng.- Dự kiến bàn giao: Quý II. 2023.----------------------------------------------------------------------------------------------------------------------------------------------------------------II. Đặc quyền về vị trí và tiện ích tại Felz Home.- Vị trí Trung tâm Hoang Mai nên lên phố và khu tiện ích trường học rất gần như công viên Yên Sở, Công viên hồ Đền Lừ, bệnh viện Bạch Mai các trường đại học lớn như Bách Khoa. Kinh tế, Đh Xây Dựng...- Tiện ích nội khu chuẩn resort: Mật độ xây dựng thấp chỉ hơn 20%, hồ bơi và hồ cảnh quan 1000m, diện tích cây xanh mặt nước gần 1000m, sân bóng rổ, vườn thiền, khu vui chơi trẻ em, khu mua sắm, coffee shop, trường mầm non.- Cam kết mỗi hộ 1 slot để oto.- Thiết kế hiện đại đón sáng tự nhiên tối ưu công năng, có căn ban công 13 - 17m tầm view cực thoáng, ánh sáng tự nhiên.- Bàn giao nội thất cơ bản từ các thương hiệu lớn: Sàn gỗ, trần thạch cao, cửa chống cháy, điều hòa multi âm trần, thiết bị chiếu sáng, thiết bị vệ sinh, chuông hình, tiết kiệm chi phí hoàn thiện sau này.- Tiến độ xây dựng đã cất nóc, bàn giao quý 2.2023.III. Chính sách rất tốt khi mua Feliz Home.- Đóng 10% ký ngay HĐMB, CK2 % khi thanh toán tiến độ thường.- Ưu đãi lãi suất 0% trong 18 tháng (Dự án hiếm hoi có đủ room giải ngân), hỗ trợ vay lên đến 75%.(Ân hạn nợ gốc trong thời gian hỗ trợ lãi suất).- Tặng gói hoàn thiện ban công cây xanh từ 30tr đến 50tr.- Miễn phí dịch vụ 1 năm.            ",69 m²,2.6 tỷ,Đông,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,20/11/2022,30/11/2022,Tin Vip đặc biệt,35890907,batdongsan_com_vn_35890907,Đông,Bàn giao cơ bản.,,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Lê Xuân Điệp']","
Gia đình cần tiền đầu tư lớn hơn nên bán toà nhà VP 7 tầng diện tích XD 1000m² vị trí đắc địa trong khu đô thị Kiến Hưng, Hà Đông, thang máy, hệ thống PCCC, điều hoà, bình nóng lạnh... Thiết kế mỗi sàn 2 phòng lớn, mặt tiền 10 m, đường trước nhà là đường trục chính 20m kết nối giữa 12 tòa chung cư trong bán kính 300m, xe bus đi qua, vỉa hè 4m, đối diện là mặt thoáng trường cấp 2 Mậu Lương, hưởng trọn vẹn 2 bên vỉa hè, hướng Tây Nam; Chủ nhà đang kinh doanh làm Trường mầm non chất lượng cao hoạt động ổn định rất uy tín đông học sinh, do cần tiền đầu tư mở rộng thêm các địa điểm trường nên nhượng lại nhà đất và cam kết thuê lại để tiếp tục kinh doanh với giá đề xuất 120tr/tháng.- Đất 130m², diện tích xây dựng 145m2x7Tầng, giá 35,5 tỷ có thương lượng.- Sổ đỏ chính chủ.- Nhờ anh, chị, em VP có khách bán giúp.            ",130 m²,35.5 tỷ,Tây - Nam,7 tầng,15 phòng,15 phòng,Sổ đỏ/ Sổ hồng,20/11/2022,30/11/2022,Tin Vip đặc biệt,35536373,batdongsan_com_vn_35536373,Tây - Nam,,10 m,25 m
"['Hà Nội', 'Đống Đa', 'Phường Kim Liên']","
Chủ kẹt tiền - cần bán gấp tòa Building 8 tầng - mặt phố trung tâm quận Đống Đa, HN.- Nhà đang cho Ngân hàng thuê: 2 tỷ/năm (chủ sở hữu sẽ vô cùng An nhàn - Tự do tài chính).- Diện tích: 85m²/ sàn, Mặt tiền Vip: 6,6m - Thiết kế 8 tầng, thang máy, thông sàn, văn phòng/ kinh doanh.- Pháp lý: SĐCC- Giá bán: 55 tỷ, Nay giảm còn 45 tỷ (chỉ bằng căn biệt thự nghỉ dưỡng ở tại Phú Quốc, Nha Trang, Hạ Long).- Anh Chị đi xem nhà nên đem theo tiền cọc kẻo chậm chân. (*) Liên hệ xem ngay - Mr. Hoàng: 0918 606 *** (24/7).Chuyên nhà mặt phố: 15 - 25 - 35 - 50 - 100 - 300 - 500 - 1000 tỷ.Kính thưa quý khách hàng !Chúng tôi đang có rất nhiều nhà mặt phố từ: 15 - 22 - 35 - 70 - 100 - 200 - 500 - 1000 tỷ. Tuy nhiên trong phạm vi giới hạn nội dung tin đăng chúng tôi lọc ra top 11 nhà mặt phố đủ yếu tố ""Ngon + Bổ + Rẻ"" + Không lỗi phong thủy để Anh Chị nhà đầu tư, khách hàng đi xem luôn & cân nhắc sớm.1. Tòa nhà Building 10 tầng mặt phố Yên Lãng (lô góc): 75m², mặt tiền vip: 7.5m; cho thuê dòng tiền 2 tỷ/năm. Giá: 35 tỷ (Có thương lượng).2. Tòa nhà building mặt phố Khâm Thiên: 115m², 9 tầng + hầm mới, thang máy, mặt tiền vip 7m, giá: 65 tỷ (Có thương lượng).3. Tòa nhà building mặt phố Tôn Đức Thắng: 115m², 7 tầng thang máy, Mặt tiền 5m, Giá 56 tỷ (Có thương lượng).4. Tòa nhà building mặt phố Võ Văn Dũng: 56m², 9 tầng thang máy mới, Mặt tiền 4.8m, Giá 31.5 tỷ (Có thương lượng).5. Tòa nhà building mặt phố Võ Văn Dũng: 80m², 8 tầng, Mặt tiền 6m, Giá 46.8 tỷ (Có thương lượng).6. Tòa nhà building mặt phố  Nam Đồng: 130m², 9 tầng, thang máy mới, Mặt tiền 5.7m, Giá 75 tỷ  (Có thương lượng).7. Nhà mặt phố Giảng Võ (lô góc): Sổ đỏ 115m², Mặt tiền vip: 8.7m, 3 tầng, giá: 29 tỷ (Có thương lượng).7. Lô đất 3 Mặt tiền Vip nhất đường Huỳnh Thúc Kháng: 85m², 1 mặt đường Huỳnh Thúc Kháng, 1 mặt bên hông và mặt sau đều là đường 6m có vỉa hè 2m, 60 tỷ (Có thương lượng).8. Nhà mặt phố Tây Sơn (2 mặt phố): Sổ đỏ 75m², Mặt tiền vip: 8m, 5 tầng, giá: 27.6 tỷ (Có thương lượng).9. Nhà mặt phố Nguyễn Chí Thanh (lô góc): Sổ đỏ 71m², mặt tiền vip: 7.7m, 5 tầng, giá: 29 tỷ (Có thương lượng).10. Nhà mặt phố Mai Anh Tuấn (Mặt hồ Hoàng Cầu): 76m², mặt tiền vip: 7m, 4 tầng, giá: 28 tỷ (Có thương lượng).11. Nhà mặt phố Xã Đàn - Ô Chợ Dừa: 60m², mặt tiền 5.5m, 5 tầng, Giá: 34.5 tỷ (Có thương lượng).* Hãy là người xem nhà & thương lượng nhanh nhất !Ngoài ra chúng tôi còn nhiều tòa nhà mặt phố vip, siêu vip. Anh/Chị hãy cho chúng tôi nhu cầu tài chính, khu vực muốn mua, chúng tôi sẽ lọc ra những căn tốt nhất giới thiệu anh chị đi xem chỉ trong 30 phút.(*) Liên hệ ngay - Mr. Hoàng: 0918 606 *** (24/7).Chuyên nhà mặt phố: 15 - 25 - 35 - 50 - 100 - 300 - 500 - 1000 tỷ.            ",115 m²,29 tỷ,,,,,Sổ đỏ,20/11/2022,30/11/2022,Tin Vip đặc biệt,35890863,batdongsan_com_vn_35890863,,,,
"['Hà Nội', 'Hà Đông', 'Phường Biên Giang', 'Đường Biên Giang']","
* Vị trí:Cách bến xe Yên Nghĩa 3km.Cách cầu Mai Lĩnh của Phường Biên Giang - Hà Đông 1km.Cạnh ngay đại học Thể dục Thể Thao.Ô tô Morning đỗ cửa, xe 7 chỗ cách 5m, bãi đỗ xe của nhà văn hoá cách 10m (để được 20 xe ô tô).Nhà xây 3 tầng có 3 ngủ và 2WC.Diện tích đất 30m².* Hoàn thiện nội thất đẹp như hình, chỉ mang đồ về ở.* Nội thất:Cầu thang gỗ lim.Cửa thông phòng gỗ. Tủ bếp hiện đại.Cửa nhôm chất lượng, cửa chính gỗ Lim cực sang trọng.Thiết bị vệ sinh cao cấp, trần thạch cao sáng đẹp.Sơn cao cấp. Bồn nước Sơn Hà. Máy bơm nước tiện lợi.Dây điện Trần Phú, ống nhựa Tiền Phong bền bỉ chất lượng.Đá ốp cầu thang hoa cương tự nhiên.* Sổ đỏ đầy đủ, pháp lý minh bạch rõ ràng.Hỗ trợ ngân hàng tối đa 70% giá trị cho khách có nhu cầu vay vốn. Chỉ cần có từ 400 - 500tr có thể mua được nhà.* Giá.Giá nhỉnh 1 tỷ 300 triệu (giá xây thô 3 tầng).Giá hoàn thiện như hình về ở ngay là 1 tỷ 430 triệu.Sổ đỏ tên của tôi.0901 723 489.            ",30 m²,1.3 tỷ,Đông - Nam,3 tầng,3 phòng,2 phòng,Sổ đỏ,20/11/2022,30/11/2022,Tin Vip đặc biệt,34488821,batdongsan_com_vn_34488821,Đông - Nam,,4 m,3 m
"['Hà Nội', 'Quốc Oai', 'Xã Phú Mãn']","
Ra mắt siêu phẩm 23 lô đất nền hot nhất thị trường Quốc Oai - Cơ hội sở hữu với mức giá vô cùng hấp dẫn.23 lô đất nền phân lô mới tại Quốc Oai.Pháp lý an toàn - sổ đỏ trao tay.Diện tích phù hợp 100m²/lô.Nằm trong vùng đô thị sinh thái, nghỉ dưỡng, giao thông thuận tiện, cách Hà Nội chỉ hơn 30km.Đã có quy hoạch đường Hồ Chí Minh cạnh dự án như Hình vẽ quy hoạch ở tin đăng.Đặc biệt: Giá vô cùng vừa vặn tầm tài chính chỉ từ 1,45 tỷ đến nhỉnh 2 tỷ/lô.Hãy booking ngay hôm nay để:Sở hữu được lô đất có vị trí đẹp nhất, ngay tại trục đường lớn.Số lượng có hạn và chính sách hấp dẫn chiết khấu lên tới 3% cho khách hàng booking sớm.Liên hệ ngay hotline:            ",100 m²,1.45 tỷ,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,20/11/2022,30/11/2022,Tin Vip đặc biệt,35888714,batdongsan_com_vn_35888714,,,6 m,10 m
"['Hà Nội', 'Hà Đông', 'Phường Biên Giang', 'Đường Quốc lộ 6']","
1 - Dự án 16 căn nhà chia lô ô tô đỗ cửa là khu quần thể liền kề có cổng và tường bao quanh riêng biệt với khu dân cư chung quanh.- Xe ô tô 7 chỗ đỗ trước cửa được, ngõ thông.Dự án trung tâm quận Hà Đông sầm uất.2 - Giá nhà từ 1,8 tỷ đến 2,5 tỷ ô tô đỗ cửa tuỳ căn - Khu dân cư đông đúc sầm uất - có bán căn thô cho khách tự hoàn thiện theo ý muốn.3 - Sơ đồ quần thể 16 căn ở ảnh tin đăng kèm theo.5 - Sổ đỏ đã tách riêng cho từng căn.Chủ đầu tư trực tiếp mở bán - Không qua bất kỳ hình thức trung gian nào.6 - Mua sớm trước chọn căn trước, mua trước từ móng rẻ hơn khi nhà xây xong, được giám sát hàng ngày tại công trường nếu khách mua từ sớm.7 - Khách hàng được đi xem nhà miễn phí toàn bộ các khu Hà Đông, Yên Nghĩa - để có cái nhìn toàn cảnh rõ nét nhất.8 - Mua trực tiếp tại trụ sở của CĐT như ảnh.Giới thiệu về chủ đầu tư Tài Phú Land.Trụ sở chính: Số 338 Lê Trọng Tấn - Hà Đông - HN (Ảnh trụ sở ở tin đăng).Trụ sở 2: Số A8 - Liền kề Văn Quán - HĐ - HN.Trụ sở 3: Số 8 TT4A biệt thự Linh Đàm HM - HN.- CĐT Tài Phú Land là đơn vị hàng đầu ở Hà Nội về xây dựng nhà chia lô liền kề phân khúc giá rẻ chất lượng cao.- Thành lập và phát triển từ 2011, mỗi năm CĐT xây và bán hơn 100 căn chia lô thuộc các quận HN, tập trung ở các khu vực phát triển, tiềm năng nhất Hà Đông, Hoài Đức.* Pháp lý - xây dựng.- Sang tên sổ đỏ ngay khi mua bán - Tất cả nhà đã tách hết sổ đỏ riêng.- Tất cả sổ đỏ vừa cấp mới năm 2021 nên yên tâm tuyệt đối về pháp lý quy hoạch, nếu không chuẩn sẽ không tách làm mới sổ được.- Kết cấu móng 5 tầng, có thể xây thêm nếu cần.- Nội thất đủ và đúng quy chuẩn như cam kết.- Có bán thô cho khách tự hoàn thiện theo ý mình.- Móng riêng và tường riêng cho từng căn.- CĐT tự tin để khách được giám sát xây hàng ngày từ đầu đến cuối theo cam kết.- Đội ngũ kỹ sư, nhà thầu, đơn vị giám sát chuyên nghiệp và tận tâm nhất.- Ngân hàng hỗ trợ vay 60 - 70% căn nhà.- Trực tiếp xây và phân phối dự án, không qua trung gian.* Nội thất và cam kết:1. Cầu thang gỗ Lim 100%.2. Cửa thông phòng, tủ bếp gỗ tự nhiên.3. Cửa nhôm Việt Pháp, cửa chính Inox 304.4. Vệ sinh Inax. Trần thạch cao.5. Sơn Jotun. Bồn nước Sơn Hà.6. Dây điện Trần Phú, ống nhựa Tiền Phong.7. Đá cầu thang Hoa Cương.Liên hệ 0969 978 *** ",31 m²,1.85 tỷ,Đông - Nam,3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,20/11/2022,30/11/2022,Tin Vip đặc biệt,32400232,batdongsan_com_vn_32400232,Đông - Nam,Nội thất cơ bản,4 m,4 m
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Với đơn giá hơn 140tr/m² đã sở hữu 1 căn biệt thự liền kề xẻ khe Sao Biển với phong cách xây dựng Địa Trung Hải.Diện tích: 114m².Hướng: Tây Bắc.Diện tích sàn: 220m². Xây 3 tầng 1 tum.- Sở hữu vị trí trung tâm phân khu Sao Biển, chỉ vài bước chân ra hồ 24.5 ha trung tâm, biển hồ nước mặn 6.1ha, Vincom Mega Mall.- Với không gian thoáng rộng cạnh nhà, quý Khách hàng có thể thoái mái sáng tạo khu vườn ngay cạnh nhà mình theo ý muốn, tạo nên sự khác biệt lớn với nhà hàng xóm ngay cạnh.- Đi bộ 5 phút là tới cụm trường học.- Sổ đỏ sẵn sàng giao dịch.Liên hệ với em trong tuần này để có những ưu đãi tốt nhất cho Quý khách hàng!* Call/zalo: 0934 345 ***Phan Hằng).            ",114 m²,15.96 tỷ,Tây - Bắc,4 tầng,,,Sổ đỏ/ Sổ hồng.,20/11/2022,30/11/2022,Tin Vip đặc biệt,35890747,batdongsan_com_vn_35890747,,Bàn giao thô.,9.5 m,
