address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt']","
+ Nhà thuộc khu phân lô, ô tô vào và chạy vòng quanh nhà, khách về ở hoặc làm văn phòng rất hợp.+ Vị trí siêu đỉnh ở Hoàng Quốc Việt, nối liền các tuyến phố như: Phạm Tuấn Tài, Trần Cung, Phạm Văn Đồng, Mỹ Đình, Cầu Giấy đi lại vô cùng thuận tiện.+ Trước nhà rộng thoáng, ô tô tải qua nhà thoải mái.+ Nhà thiết kế hợp lý, mỗi tầng 2 phòng, đầy đủ công năng.+ Sổ đỏ vuông đẹp, giao dịch luôn.+ Giá: 9.2 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp Cầu Giấy.            ",50 m²,9.2 tỷ,,,Sổ đỏ/ Sổ hồng,Full nội thất.,27/11/2022,04/12/2022,Tin thường,35109396,batdongsan_com_vn_35109396,,,
"['Hà Nội', 'Thạch Thất', 'Xã Yên Bình']","
Chính chủ bán 6001 m² đất (150m² thổ cư) lô góc 2 mặt đường.Vị trí: Yên Bình, Thạch Thất, Hà Nội.Cách trục 446 chừng 150m.Đường xe container vào đất.Sổ hồng Hà Nội. MTG.LH trực tiếp 0902 199 *** để được tư vấn và xem thực địa hoàn toàn miễn phí.            ",6001 m²,15.6 tỷ,,,Sổ đỏ/ Sổ hồng,,27/11/2022,07/12/2022,Tin thường,33627148,batdongsan_com_vn_33627148,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án KĐT Văn Phú']","
+ Chủ nhà người quen nhờ bán căn nhà kđt văn phú 90m². Mt 5m. Kinh doanh mọi loại hình giá 9.5 tỷ có thương lượng cho khách thiện chí...+ Vị trí: Kđt Văn Phú - Hà Đông - Hà Nội. Là 1 trong những kđt đẳng cấp đáng sống bậc nhất quận hà đông như: Trường Marie Curie... Bệnh viện. Siêu thị Metro... Cách nhà chỉ 100m.+ Quý khách quan tâm hãy gọi 0971 145 ***. E Tuyển 1985. Để nghe e tư vấn xem có cứng nghề hay ko sẽ biết ngay thôi ạ. (khắp văn phú e có 30 căn từ 7.9 đến 40 tỷ cho quý khách lựa chọn).+ Bđs luôn là kênh tài chính trú ẩn an toàn và lợi nhuận nhất mọi thời điểm.            ",90 m²,9.5 tỷ,,,,,23/11/2022,30/11/2022,Tin thường,34096277,batdongsan_com_vn_34096277,5 m,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án La Casta Văn Phú']","
+ Chủ nhà cần bán gấp căn liền kề La Casta thuộc KĐT Văn Phú 88m². MT 5m. 2 mặt thoáng. Cách sân chơi và tập thể dục 30m. Kinh doanh đỉnh giá 11.2 tỷ có thương lượng cho khách thiện chí.+ Để xem tận mắt vị trí đắc địa căn nhà trên xin quý khách liên hệ 0971 145 *** E Tuyển 85. Để nghe e tư vấn xem e có nghề hay ko sẽ biết ạ. (quanh văn phú e có 30 căn từ 7.85 đến 20 tỷ).+ BĐS luôn là kênh tài chính trú ẩn an toàn và lợi nhuận nhất mọi thời điểm.            ",88 m²,11.2 tỷ,,,,,23/11/2022,30/11/2022,Tin thường,35654452,batdongsan_com_vn_35654452,5 m,,
"['Hà Nội', 'Hoàng Mai', 'Phường Giáp Bát', 'Đường Kim Đồng']","
Bán nhà phố Kim Đồng 52m² x 6T chỉ 9,9tỷ, mới, gara ô tô, thang máy.+ Miêu tả.Nhà nằm khu trung tâm, vài bước ra hồ, bến xe, tiện ích vô vàn, giao thông kết nối nhiều tuyến đường lớn như, Tân Mai, Trương Định, Giải Phóng khu vực đang phát triển.Thiết kế nhà 6 tầng, mới, thang máy, ô tô vào nhà, chắc chắn, về ở luôn.Tầng 1: Gara ô tô + WC.Tầng 2,3,4: Phòng ngủ + WC.Tầng 5: Phòng bếp + phòng ăn.Tầng 6: Tum + sân phơi.Khu vực dân trí cao, an ninh rất tốt, hàng xóm thân thiện.Sổ đỏ vuông đẹp, chính chủ, chủ nhà thiện chí bán, có thương lượng.+ Liên hệ xem nhà: E Quảng 0984 576 *** ",52 m²,9.9 tỷ,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Rất đẹp.,22/11/2022,29/11/2022,Tin thường,34521593,batdongsan_com_vn_34521593,4.4 m,4 m,6 tầng
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Hoàng Văn Thái']","
Địa chỉ : Phố Hoàng Văn Thái - Phường Khương Trung - Quận Thanh Xuân - TP Hà Nội.- Phân lô mặt ngõ thẳng Phố Hoàng Văn Thái sổ 65m²* mặt tiền rộng 5m tỷ lệ vàng lô góc, gara xe 7 chỗ gọi ngay 0835 967 ***- Vị trí : Cách Phố đúng 30m ngõ thông ô bàn cờ sang Nguyễn Ngọc Nại, Vương Thừa Vũ. Đường trước nhà siêu rộng ô tô đỗ 24/24.- Nhà : Cô chú được phân đất tự xây cực chắc chắn, đặc biệt lô góc 3 mặt duy nhất khu. Xung quanh hạ tầng ổn định toàn quan chức, thủ trưởng.- Pháp lý: Sổ đỏ chính chủ, cất két.- Giá: chỉ 10 tỷ (Có thương lương) cần bán gấp.Hãy gọi luôn Hoàng Quý: 0835 967 *** miễn môi giới. Xin cảm ơn!            ",65 m²,10 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35956169,batdongsan_com_vn_35956169,,,5 tầng
"['Hà Nội', 'Hoàng Mai', 'Phường Thanh Trì', 'Đường Nam Dư', 'Ngõ 112']","
Bán gấp nhà ngõ 112 Nam Dư 35m x 4T chỉ 2,85tỷ, gần ôtô, giá rẻ.+ Miêu tả.Nhà nằm khu trung tâm phố Nam Dư, tiện ích vô vàn. Gần chợ, gần trường.., Giao thông kết nối nhiều tuyến đường lớn như, Nam Dư, Thanh Lân, Thanh Đàm, lĩnh Namkhu vực đang phát triển.Thiết kế nhà 4 tầng, chắc chắn, Về ở Luôn.Tầng 1: Phòng khách + bếp + WC.Tầng 2,3: Phòng ngủ + WC.Tầng 4: Phòng thờ + sân phơi.Khu vực dân trí cao, an ninh rất tốt, hàng xóm thân thiện.Sổ đỏ vuông đẹp, chính chủ, chủ nhà thiện chí bán, có thương lượng.+ Liên hệ xem nhà: E Quảng 0984 576 *** ",35 m²,2.85 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,23/11/2022,30/11/2022,Tin thường,35840098,batdongsan_com_vn_35840098,,,4 tầng
"['Hà Nội', 'Hoàng Mai', 'Phường Vĩnh Hưng', 'Đường Đông Thiên']","
Phố Đông Thiên 45m² x 4T chỉ 3,65 tỷ, tặng nội thất, ở ngay.+ Miêu tả.Nhà nằm khu trung tâm, gần chợ và trường, giao thông kết nối nhiều tuyến đường lớn như Vĩnh Hưng,Lĩnh Nam khu vực đang phát triển.Nhà thiết kế 5 tầng, tỉ mỉ, chắc chắn, hiếm có căn thứ hai.Tầng 1: Phòng khách + bếp + wc.Tầng 2,3,4: Phòng ngủ + Wc.Tầng 5: Phòng thờ, sân phơi.Khu vực dân trí cao, an ninh rất tốt, hàng xóm thân thiện.Sổ đỏ vuông đẹp, chính chủ, chủ nhà thiện chí bán, có thương lượng.+ Liên hệ xem nhà: E Quảng 0984 576 *** ",45 m²,3.65 tỷ,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Giá trị.,23/11/2022,30/11/2022,Tin thường,35487282,batdongsan_com_vn_35487282,,,4 tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Dương Quảng Hàm']","
+ Nhà ở vị trí siêu đẹp ở Dương Quảng Hàm, Cầu Giấy, Hà Nội, giao các tuyến phố như: Cầu Giấy, Nguyễn Khánh Toàn, Trần Đăng Ninh, Nguyễn Văn Huyên, Tô Hiệu, Hoàng Quốc Việt. Cách 40m ra phố, gần công viện, tiện ích xung quanh bạt ngàn.+ Nhà xây tỉ mỉ khung cột bê tông chắc chắn, lại 2 thoáng nữa nên nhà vô cùng thoáng sáng.+ Nhà thiết kế tinh tế, mỗi tầng 2 phòng, nội thất nhập khẩu Châu Âu, chủ để lại cho khách toàn bộ.+ Ngõ rộng thoáng ô tô tránh, hàng xóm thân thiện, an sinh tuyệt vời, khách vừa ở kết hợp kinh doanh rất phù hợp.+ Sổ đỏ chính chủ, vuông đẹp, chờ chủ mới.+ Giá 11 tỷ có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",78 m²,11 tỷ,,,Sổ đỏ,,27/11/2022,04/12/2022,Tin thường,35403619,batdongsan_com_vn_35403619,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mỹ Đình']","
Bán nhà Mỹ Đình, Nhà Đẹp Đón Tết, 60m² x 4T chỉ 6.35 Tỷ.- Ngõ thông rộng, sạch sẽ, an ninh tốt.- Gần khu hành chính Mỹ Đình, SVĐ Mỹ Đình khu vực đang quy hoạch phát triển thay đổi từng ngày.- Cạnh trường học các cấp: Mầm non, C1, 2, 3 Mỹ Đình, chợ, TTTM, ...- Nhà 4 tầng: Thiết kế đẹp hiện đại.- Sổ đỏ chính chủ.- Chủ bán chuyển nhà phố to hơn.Lh Lương Nhà Đất 0982 860 *** để được tư vấn và xem nhà miễn phí.Cảm ơn anh chị đã đọc tin.            ",60 m²,6.35 tỷ,5 phòng,,Sổ đỏ/ Sổ hồng,,27/11/2022,04/12/2022,Tin thường,35962703,batdongsan_com_vn_35962703,,,4 tầng
