address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Hoài Đức', 'Xã Đức Thượng', 'Đường 32', 'Thôn Thượng Thụy']","
Bán gấp 60 m² đất đấu giá gần Cảng cạn, thôn Thượng Thụy, xã Đức Thượng, Hoài Đức.Mặt tiền 4 m, hướng tây nam. Đường bê tông, vỉa hè.Vị trí đẹp, cách đường 32 chỉ 100 m, cách khu cảng cạn khoảng 500m,Sổ đỏ đất đấu giá, quy hoạch ổn định.Giá bán đầu tư 56 tr/m². Liên hệ 0988 030 *** ",60 m²,56 triệu/m²,4 m,6 m,,,,27/11/2022,04/12/2022,Tin thường,34993603,batdongsan_com_vn_34993603,Sổ đỏ/ Sổ hồng,Tây - Nam,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Văn Khê', 'Dự án Văn Khê']","
Tổng hợp qũy căn hộ đang bán tại chung cư Văn Khê:* Căn 2 phòng ngủ.- Căn hộ CT5A DT 68m² gồm 2pn, 1vs nhà mới đẹp, giá bán 1,65 tỷ.- Căn hộ CT5A, DT 85.3m² gồm 2pn, 2 vs, 2 ban công, nhà đồ cơ bản, giá 1,86 tỷ.- Căn hộ CT6, DT 70,4m² gồm 2pn, 1 vs, đồ liền tường, giá 1.75 tỷ.* Căn hộ 3 phòng ngủ.- Căn hộ CT3, diện tích 105m², gồm 3pn, 2vs, giá 2.25 tỷ.- Căn hộ CT5, diện tích 105m² gồm 3pn 2 vs, full đồ, giá 2.3 tỷ.- Căn hộ CT6, diện tích 105m² gồm 3pn 2 vs, full đồ, giá 2.45 tỷ.- Căn hộ CT4, diện tích 114m² gồm 3pn, 2vs, nhà mới đẹp, giá 2.4 tỷ.- Căn hộ CT5C, DT 127m² gồm 3pn 2 vs, đồ liền tường, giá 2,7 tỷ.- Căn hộ CT5C, DT 166m² gồm 3pn, 3vs, full đồ đẹp, giá 3,1 tỷ.- Căn hộ CT6, DT 160m² gồm 4pn, 3vs, nhà đồ CĐT, giá 2,68 tỷ.Anh chị đi xem căn hộ liên hệ: 0968 595 *** ",68 m²,1.65 tỷ,,,,2 phòng,1 phòng,22/11/2022,29/11/2022,Tin thường,35489682,batdongsan_com_vn_35489682,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Usilk City']","
Tổng hợp các căn hộ đang bán tại chung cư Usilk:- Các căn hộ 2 phòng ngủ đang bán:1, Căn hộ 79.4m² gồm 2 phòng ngủ, 2 vệ sinh, đồ cơ bản, giá 2,02 tỷ.2, Căn hộ 79.4m² gồm 2 phòng ngủ, 2 vệ sinh, full đồ, giá 2.2 tỷ.3, Căn hộ 94m² gồm 2 phòng ngủ, 2 vệ sinh, đồ cơ bản, giá 2.15 tỷ.4, căn hộ 94m² gồm 2 phòng ngủ, 2 vệ sinh, full đồ mới chưa ở, giá 2.25 tỷ.- Các căn hộ 3 phòng ngủ đang bán:1, Căn hộ 116m² gồm 3 phòng ngủ, 2 vệ sinh, đồ cơ bản, tầng trung giá 2,65 tỷ.2, Căn hộ 116m² gồm 3 phòng ngủ, 2 vệ sinh, đồ cơ bản, tầng trung, bc đông nam giá 2,7 tỷ.3, Căn hộ 116m² gồm 3 phòng ngủ, 2 vệ sinh, full đồ, ban công đông nam, giá 2.95 tỷ.4, Căn hộ 116m² gồm 3 phòng ngủ, 2 vệ sinh, full đồ đẹp, ban công đông nam, giá 3,03 tỷ.5, Căn hộ 165m² gồm 3 phòng ngủ, 3 vệ sinh, ban công vườn treo rộng, full đồ, giá 3.55 tỷ.- Anh chị đi xem căn hộ liên hệ: E. Tiến: 0968 595 *** ",79.4 m²,2.05 tỷ,,,,2 phòng,2 phòng,24/11/2022,01/12/2022,Tin thường,35181785,batdongsan_com_vn_35181785,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Đan Phượng', 'Xã Tân Lập', 'Đường Hoàng Quốc Việt', 'Dự án Tân Lập Cienco 5']","
Cần bán các lô đất tại dự án Hoàng Quốc Việt kéo dài Cienco 5.Tại xã Tân Lập, huyện Đan Phượng, TP Hà Nội.Diện tích từ 69 - 75 - 80 - 90 m², mặt tiền 5 m.Sổ đỏ, một số căn đã xây thô, về hoàn thiện ở được luôn.Vị trí khu dự án mặt đường Hoàng Quốc Việt kéo dài.Tiếp giáp với dự án Lideco Trạm Trôi.Giá bán từ 4x tr/m².Anh chị liên hệ 0988 030 *** để được tư vấn thêm.            ",70 m²,Thỏa thuận,,,,,,27/11/2022,04/12/2022,Tin thường,32674984,batdongsan_com_vn_32674984,Sổ đỏ/ Sổ hồng,Tây - Nam,Tây - Nam,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Linh Đường', 'Dự án KĐT Linh Đàm']","
Với diện tích 217m², mặt tiền 12m là thông số vàng của căn biệt thự giữa lòng thành phố Hà Nội.Mô tả:- Vị trí đắc địa bậc nhất khu BT Bắc Linh Đàm. Kinh doanh sầm uất. Vài bước chân ra tới đường Nguyễn Hữu Thọ, Hồ điều hòa, công viên Linh Đàm.- Hiện tại gia chủ đang hoạt trong lĩnh vực Hotel tiêu chuẩn 3*, spa. Doanh thu hàng 200 triệu/tháng. Vị trí gần hồ Linh Đàm, Công viên, giao thông thuận tiện kinh doanh rất tốt.- Sổ đỏ chính chủ, vuông vức. Cất két sẵn sàng giao dịch.Chủ nhà cô Minh.Giá: 36 tỷ có thương lượng cho KH thiện chí.Liên hệ Mr Điệp: 0981 936 ***Miễn trung gian.            ",217 m²,36 tỷ,12 m,10 m,6 tầng,,,22/11/2022,29/11/2022,Tin thường,35915224,batdongsan_com_vn_35915224,Sổ đỏ/ Sổ hồng.,,,Nội thất cao cấp.
"['Hà Nội', 'Thanh Xuân', 'Phường Kim Giang', 'Đường Hoàng Đạo Thành']","
Chính chủ cô Hiền cần bán nhà gấp để chia tài sản cho các con.- Nhà thuốc khu phân lô dân trí cao khu vip phố Hoàng Đạo Thành, Thanh Xuân, gara, ô tô dừng đỗ và chạy vòng quanh thoải mái.- Cô Hiền tự tay xây căn nhà tâm huyết cuộc đời, thiết kế 5 tầng hiện đại, khung cột chắc chắn, đầy đủ công năng. Nhà vừa ở vừa kinh doanh văn phòng, Cafe, Spa,...- Căn nhà có thông số vàng, nhìn bề thế với diện tích 70m², mặt tiền 6m.- Sổ đỏ vuông vắn, chính chủ.Giá: 10.8 tỷ cô Hiền rất thiện chí, nhiệt tình bán.Liên hê em Điệp: 0981 936 *** ",70 m²,10.8 triệu,6 m,6 m,5 tầng,,,26/11/2022,03/12/2022,Tin thường,35956940,batdongsan_com_vn_35956940,Sổ đỏ/ Sổ hồng,,,Đầy đủ
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa']","
Bán nhà 3 tầng tại Yên Nghĩa, Hà Đông, ô tô đỗ rất gần.+ Diện tích 32m².+ MT 3.5m.+ Hướng Đông Bắc.* Nhà thiết kế 3 tầng, từ tầng 2 có đua:+ Tầng 1: Phòng khách, bếp, vệ sinh.+ T2: 2p ngủ, vệ sinh.+ T 3: P. Thờ, ngủ, sân phơi.Nội thất đầy đủ cả, nhà dân xây chắc chắn.+ Sổ đỏ và giấy phép xây dựng đầy đủ.+ Giá chỉ 1.75 tỷ, có thương lượng.LH Mr Tiến: 0355 386 *** để xe và mua nhà.            ",32 m²,1.75 tỷ,3.5 m,,3 tầng,3 phòng,2 phòng,26/11/2022,03/12/2022,Tin thường,35873767,batdongsan_com_vn_35873767,Sổ đỏ,Đông - Bắc,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa']","
Bán nhà 4 tầng Yên Nghĩa, Hà Đông, ngay gần chợ dân sinh.+ Yên Nghĩa, Hà Đông, 32m2x4 tầng, 1.9 tỷ, nhà mới ở ngay, ô tô tránh 20m, giá hợp lý.+ Nhà mới xây anh chị về ở ngay, mỗi tầng 1 ngủ, khách, bếp, thờ, sân phơi.+ Nội thất cơ bản, thiết bị vs, tủ bếp.+ Ngõ trước nhà rộng, đường ô tô tránh cách 20m. Cách bến xe QL6 chỉ 1km.+ Tiện ích xung quanh đầy đủ, trường, chợ, trung tâm y tế.+ Pháp lý: Sổ đỏ và giấy phép xây dựng đầy đủ.LH Mr Tiến: 0355 386 *** để xem và mua nhà.            ",33 m²,1.9 tỷ,,,4 tầng,3 phòng,3 phòng,23/11/2022,30/11/2022,Tin thường,35927140,batdongsan_com_vn_35927140,Sổ đỏ,,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Đường Yên Lộ']","
Bán nhà 5 tầng tại phố Yên Lộ, Yên Nghĩa, Hà Đông, ô tô đỗ ngay cổng nhà.Chính chủ chuyển lên phố ở cần bán nhanh căn nhà 5 tầng ở tổ 12 Yên Nghĩa gần đường ô tô tránh nhau.+ Sát khu đô thị. Cuối trục đường Tố Hữu kéo dài. Cho thuê sinh viên Phenikaa 7.5 tr/tháng.+ Mỗi tầng 1 phòng rộng rãi, vệ sinh, có ban công.+ Giá: 2.45 tỷ, thương lượng tặng nội thất cho khách thiện chí mua.+ Sổ đỏ pháp lý rõ ràng.LH Mr Tiến: 0355 386 *** để xem và mua nhà.            ",32 m²,2.45 tỷ,,,5 tầng,4 phòng,3 phòng,23/11/2022,30/11/2022,Tin thường,35927081,batdongsan_com_vn_35927081,Sổ đỏ,,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa']","
Bán nhà cấp 4 Yên Nghĩa, 32m² có gác xép, ô tô đỗ gần, giá chỉ 1.3x tỷ.+ Diện tích: 32m².+ MT 3.8m.+ Hướng Tây Nam.* Vị trí nhà ở đầu tổ dân phố 14 Yên Nghĩa, Hà Đông. Khu vực đông đúc dân cư, dân trí cao, an ninh tốt.+ Nhà có 1 phòng khách, bếp, vệ sinh, 1 phòng ngủ, chỗ phơi đồ.+ Từ nhà ra đường Tố Hữu tầm 1km, ql 6 500m đi lại tiện lợi.+ Sổ đỏ chính chủ.+ Giá 1.3x tỷ, có thương lượng.LH Mr Tiến: 0355 386 *** để xem và mua nhà.            ",32 m²,1.35 tỷ,3.8 m,,,2 phòng,1 phòng,26/11/2022,03/12/2022,Tin thường,35823883,batdongsan_com_vn_35823883,Sổ đỏ,,,
