address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số tầng,Mặt tiền,Hướng nhà,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Kim Liên', 'Phố Xã Đàn']","
Gia đình không có nhu cầu ở và cho thuê, cần bán nhà Mặt phố Xã Đàn rất đẹp để dồn vốn kinh doanh.- Nhà nằm ở vị trí giữa Phố xã đàn, đoạn có vỉa hè rộng, sạch sẽ ít cây, gần nút giao giao thông đi lại buôn bán kinh doanh rất tuyệt.- Hiện trạng nhà 5 tầng cầu thang cuối 2 thoáng trước sau. Tầng 1 cho thuê riêng. Tầng 2. Tầng 3 cho thuê làm Spa. Nail tổng thu nhập 1.5 tỷ/năm. Hợp đồng ổn định lâu dài.- Chủ là công chức nghỉ hưu nhờ giao bán, pháp lý sạch, không tranh chấp, ưu tiên khách thiện chí mua bán nhanh. Sổ đỏ sẵn sàng mua bán ngay.- Giá chào 41 tỷ.- Quý khách quan tâm liên hệ: 0973 173 *** Tôi Tặng để xem nhà.            ",76 m²,41 tỷ,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,24/11/2022,02/12/2022,Tin thường,35832640,batdongsan_com_vn_35832640,,5 tầng,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá']","
Nhà nằm trong khu phân lô mới rất đẹp, nhà lô góc, đường trước nhà ôtô dừng đỗ thoải mái. Nhà chủ xây dựng rất trắc chắn,+ Tòa nhà căn hộ CCMN, chủ mới xây dựng và hoàn hơn 1 năm vẫn còn đẹp như mới, dòng tiền cực kỳ ổn định hiện tại cho đơn vị thứ 3 thuê lại để khai thác với giá hữu nghị hợp đồng ký 5 năm là giá 55 triệu / tháng.+ Tòa nhà gồm tổng 21 phòng rất đẹp, đầy đủ nội thất, trang thiết bị. Rất đẹp và hiện đại, quý khách mua về dòng tiền luôn.+ Sổ đỏ chính chủ. Sẵn sàng giao dịch.Quý khách quan tâm xin liên hệ E Hòa 0396 518 *** để được tư vấn xem mua(cam kết hình ảnh thật).            ",45 m²,8.55 tỷ,21 phòng,20 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35619258,batdongsan_com_vn_35619258,5 m,9 tầng,6.5 m,,
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Đường Yên Lãng']","
- Mặt phố Yên Lãng nối ra Thái Hà, Hoàng Cầu kinh doanh đỉnh cao, giao thương sầm uất.- Nhà chủ tự xây cực kỳ tâm huyết, nội thất đẹp chủ bán chuyển vào sài gòn sống cùng con trai cũng tiếc vì sắm nội thất xịn xò, ở cực sướng.- Thiết kế 7 tầng, cầu thang máy giữa nhà, thang bộ quấn quanh thang máy.T1,2,3 thông sàn.T4,5,6 mỗi tầng 2 phòng, đập thông thoải mái.T7: Buồng máy, sân thượng.- Nhà rất chắc, lên 9.10 tầng vô giếng trời, cửa sổ rất thoáng.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá chào: 43.5 tỷ (Có thương lượng).- Liên hệ: 0973 173 *** Mr Tặng để được hỗ trợ tốt nhất.            ",120 m²,43.5 tỷ,4 phòng,7 phòng,Sổ đỏ/ Sổ hồng,,24/11/2022,02/12/2022,Tin thường,35554168,batdongsan_com_vn_35554168,,7 tầng,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương', '35', 'Times Tower - HACC1 Complex Building']","
Chính chủ cần bán lại căn hộ 112m² chung cư Times Tower - HACC1 Complex Building Lê Văn Lương, Thanh Xuân, Hà Nội.Căn hộ gồm 3 phòng ngủ, 2 vệ sinh, phòng khách có ban công Đông Nam thoáng đẹp nmát mẻ quanh năm. Phòng nào cũng có cửa sổ to đón nắng.- Diện tích 112m² nhà tầng trung sạch sẽ thoáng mát view đẹp.- Nội thất đầy đủ gia đình để lại toàn bộ chỉ việc xách vali về ở.- Khu căn hộ đầy đủ tiện ích cao cấp: Nhà trẻ, phòng gym, siêu thị, cafe Highland... Giao thông đi lại vô cùng thuận lợi.- Sổ đỏ chính chủ sẵn sàng sang tên.- Giá bán 4.4 tỷ có thương lượng.            ",112 m²,4.4 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,21/11/2022,01/12/2022,Tin thường,35895856,batdongsan_com_vn_35895856,,,,,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Nguyễn Trãi']","
Chủ nhà cần tiền chuyển đổi mô hình kinh doanh cần bán nhà mặt phố Nguyễn Trãi - Thanh Xuân.- Diện tích: 125m² x 8 tầng.- Vị trí nhà đẹp, có vỉa hè, phù hợp kinh doanh các mô hình sản phẩm cao cấp, nhà hàng, vàng bạc, nội thất cao cấp, showroom trưng bày sản phẩm các loại...- Nhà dân chủ tự xây, kiên cố, khách mua về ở bắt tay khai thác ngay, thiết kế: Tầng 1 thông sàn, cầu thang giữa, tổng 6 phòng ngủ, phòng thờ sân phơi đầy đủ.- Sổ đỏ cất két, sẵn sàng giao dịch ngay.- Giá chào: 37.5 tỷ.- Liên hệ: 0973 173 *** Mr Tặng.            ",125 m²,37.5 tỷ,6 phòng,8 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,04/12/2022,Tin thường,34127820,batdongsan_com_vn_34127820,,8 tầng,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Đỗ Quang']","
Chủ nhà cần tiền đi nước ngoài cần bán gấp toà nhà văn phòng cực đẹp.- Tòa nhà nằm vị trí quá đỉnh, cực đẹp trung tâm Quận Cầu Giấy, ô tô tránh trước nhà, dừng đỗ suốt ngày đêm, nhà phân lô ô tô chạy vòng quanh từ Đỗ Quang thông ra Nguyễn Thị Thập, Trần Duy Hưng...- Hiện trạng là tòa nhà 7 tầng xịn xò, vách kính cao cấp, thiết kế bán hàng online, kinh doanh VP, các tầng 1 - Tầng 5 Thông sàn toàn bộ, Tầng 6 - 7 gồm phòng khách, 2 phòng ngủ, Phòng thờ sân phơi..- Nhà chủ tự xây 2018 hoàn thành và đưa vào sử dụng 2019 còn mới, toàn bộ hệ thống ME, trần, sàn, Phòng cháy và hệ thống vách kính toàn bộ là cao cấp, xịn sò..- Pháp lý: 1 chủ, một sổ đẹp nở hậu.- Giá chào: 23 tỷ (Có thương lượng nhẹ).- Liên hệ: 0973 173 *** Mr Tặng để xem nhà miễn phí.            ",76 m²,23 tỷ,3 phòng,7 phòng,Sổ đỏ/ Sổ hồng,,22/11/2022,30/11/2022,Tin thường,35665797,batdongsan_com_vn_35665797,,7 tầng,5.5 m,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Phố Trần Cung']","
Bán gấp nhà mặt ngõ Trần Cung, Cổ Nhuế 1, Bắc Từ Liêm, với diện tích và mặt tiền rộng kinh doanh quá đỉnh, hiện đang có 1 cửa hàng và 8 phòng cho thuê hoặc xây CCMN dòng tiền đều cao. Vị trí vàng khó tìm trong khu vực, gần phố, ngõ rộng ô tô đỗ cửa. Giá bất chấp đầu tư.+ Diện tích: 65m² x 3 tầng.+ Mặt tiền: 5m.+ Giá đầu tư: 6.5 tỷ (có thương lượng cho khách thiện chí).Nhà dân xây lô góc, 8 phòng và 1 cửa hàng cho thuê.Thiết kế:T1: Cửa hàng + Khách + phòng bếp + wc.T2,3: Mỗi tầng 3 phòng ngủ.T4: 2 phòng + sân phơi.Sổ đỏ vuông nở hậu, cất két, giao dịch trong ngày.Liên hệ em Linh: 0329 833 ***Miễn trung gian. Gặp trực tiếp chủ nhà để đàm phán giá. Hỗ trợ các thủ tục pháp lý, tư vấn kiến trúc. Miễn phí 100% phí dịch vụ.            ",65 m²,6.5 tỷ,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,06/12/2022,Tin thường,35569502,batdongsan_com_vn_35569502,,4 tầng,5 m,,
"['Hà Nội', 'Thanh Trì', 'Xã Thanh Liệt', 'Đường Phan Trọng Tuệ', 'Ngõ 250']","
Nhà thuộc ngõ 250 Phan Trọng Tuệ Kim Giang, Gần Cầu Tó, nhiều tiện ích vây quanh, giao thông thuận tiện, hàng xóm thân thiện.+ Nhà chủ xây rất chắc chắn, thiết kế xây 2 tầng tum có thêm gác xép.= tổng 3 ngủ, phòng khách bếp wc, đầy đủ công năng cho đại gia đình, chủ mới mua về móng lên 2 tầng thoải mái, chủ bán đi để mua nhà to hơn.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Qúy Khách Quan Tâm Liên Hệ Em Hòa 0396 518 *** để xem mua trực tiếp.            ",41 m²,2.15 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35653309,batdongsan_com_vn_35653309,1.8 m,3 tầng,5 m,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Thái Hà']","
Gia đình không có nhu cầu cho thuê nữa cần nhượng lại toà nhà văn phòng cực đẹp, DT 79m² x MT 5.4m khu Thái Hà. Nhà 2 thoáng vĩnh viễn.- Toà nhà nằm ở đầu ngõ ô tô tránh, mặt ngõ thẳng tắp ra trung tâm phố Thái Hà đoạn gần phía Huỳnh Thúc Kháng. Nhà tôi tự xây được vài năm, toàn bộ hệ thống âm trần, thiết bị cốt sàn điều hoà thang máy nhập khẩu 100% (còn hoá đơn thanh toán).- Nhà thiết kế thông sàn toàn bộ, chủ yếu cho thuê văn phòng và cho thuê bán bỉm sữa online. Tầng 6 - 7 - 8 để ở gồm 4 phòng ngủ thoáng, phòng khách, bếp, phòng thờ.- Sổ đỏ nở hậu cực đẹp.- Nhà đang cần tiền gấp nên nhượng lại khách thiện chí giá mong muốn 23.5 tỷ (có thương lượng).- Liên hệ: 0973 173 *** tôi Tặng để xem nhà và làm việc chính chủ.            ",79 m²,23.5 tỷ,4 phòng,9 phòng,Sổ đỏ/ Sổ hồng,,24/11/2022,02/12/2022,Tin thường,35828940,batdongsan_com_vn_35828940,,8 tầng,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh', 'Ngõ 207']","
Bán nhà 4 tầng Xuân Đỉnh, Bắc Từ Liêm, Hà Nội, xinh như nàng thơ, full nội thất ở ngay. Nhà chỉ cách mặt ngõ ô tô tránh 20m, thoáng sáng 2 mặt, thông số đỉnh:+ Diện tích: 30m² x 4 tầng.+ Mặt tiền: 4.5m.+ Giá ngon lành: 3.4 tỷ.Chủ xây dựng tâm huyết, chắc chắn, thiết kế thoáng sáng các phòng. Nội thất cũng chọn lọc cẩn thận. Chủ cẩn thận thiết kế khu vực ngồi thưởng trà, tâm sự, hóng gió.Nhà tọa lạc trên ngõ 207 Xuân Đỉnh, ngõ ô tô tránh, thông ra Ngoại Giao Đoàn, công viên Hòa Bình, thông đi các ngả Phạm Văn Đồng, Đỗ Nhuận,... Tiện ích ngập tràn xung quanh, ở sướng.Nhà do kiến trúc sư thiết kế, xem là yêu:+ T1: Khách, bếp, WC.+ T2, 3: Phòng ngủ thông sàn + WC.+ T4: Phơi phóng, cafe.Sổ đỏ vuông đẹp, giao dịch phút mốt.Liên hệ em Linh: 0329 833 ***Miễn trung gian. Gặp trực tiếp chủ nhà để đàm phán giá. Hỗ trợ các thủ tục pháp lý, tư vấn kiến trúc. Miễn phí 100% phí dịch vụ.            ",30 m²,3.4 tỷ,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất VIP,26/11/2022,03/12/2022,Tin thường,35605371,batdongsan_com_vn_35605371,,4 tầng,,,
