address,gen_descrip,Diện tích,Mức giá,Số tầng,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Số phòng ngủ,Số toilet
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Cảnh Dị', 'Dự án KĐT Đại Kim']","
Cần bán liền kề đại kim mặt đường 30m đang cho thuê kinh doanh tốt.- Diện tích: 68,9m² xây 5 tầng đẹp, mặt tiền 6,1m, hướng Đông.- Đang cho thuê mở cửa hàng ăn uống, xung quanh là các khu chung cư đông dân cư, văn phòng, trường đại học Thăng Long.Mặt đường trước nhà rộng 30m thông ra Nguyễn Xiển, Kim Giang. Tương lai còn tăng giá nữa.- Giá bán: 20 tỷ bao phí sang tên.Liên hệ: 0988 798 *** em Liên dẫn đi xem nhà và đàm phán giá tốt.            ",68.9 m²,20 tỷ,5 tầng,Đã có sổ đỏ.,,19/11/2022,29/11/2022,Tin thường,35287409,batdongsan_com_vn_35287409,6.1 m,30 m,Đông,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Đường Nghĩa Lộ']","
Thông tin nhà:Diện tích sổ đỏ: 35m² xây 3 tầng.Tầng 1: Khách bếp + wc.Tầng 2: 2 phòng ngủ + wc.Tầng 3: 2 phòng ngủ + sân phơi..* Vị trí thuận lợi.- Ngõ 3.5m. 5 phút di chuyển ra KĐT Đô Nghĩa, Đường Lê Văn Lương.- Thuận tiện hướng đi vào Mỹ Đình, Khuất Duy Tiến.Gần ủy ban phường. Trạm y tế, Trường học liên cấp xã, gần trung tâm KĐT. Dự án bệnh viện Nhi 2.- Nhà bao gồm hệ thống cửa chính đi, tủ bếp, cầu thang... Thiết bị bảo vệ sinh sen vòi... VV đã lắp đặt điện nước, cơ bản thiết bị đầy đủ chỉ cần mang đồ dùng cá nhân về ở.Giá: 2.05 tỷ (có thương lượng + bao sang tên sổ).- Sổ đỏ đầy đủ, hỗ trợ vay ngân hàng lên tới 80%.- Pháp lý chuẩn - Không tranh chấp - Không quy hoạch.- Đủ nội thất chỉ xách vali về ở.Liên hệ: Em Đạt 0961 418 ***Ngoài ra em còn 1 số căn tại.Biên Giang Hà Đông: Giá từ 1.7 tỷ/căn.Diện tích: 30 - 35m² xây mới từ 3 - 4 tầng.Yên Nghĩa Hà Đông: Giá từ: 1.95 tỷ/căn.Diện tích: 30 - 35m² xây mới từ 3 - 4 tầng.Phú Lãm Phú Lương Hà Đông: Giá từ: 1.99 tỷ/căn.Diện tích: 30 - 35m² xây mới từ 3 - 4 tầng.            ",32 m²,1.9 tỷ,3 tầng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,33332492,batdongsan_com_vn_33332492,3.5 m,3.5 m,,4 phòng,3 phòng
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn', 'Dự án ParkCity Hà Nội']","
Bán shophouse 2 mặt tiền tại khu đô thị ParkCity vị trí ngay ngã tư Lê Trọng Tấn và Nguyễn Văn Trác.- Ra mắt phân khu mới Arkadia khu phức hợp thương mại kết hợp nhà ở cao cấp phong cách mới đẳng cấp nhất Hà Nội.- Diện tích: ~ 150m, 2 mặt tiền DTXD: 850m, căn góc DTXD 1300m, mặt tiền rộng từ 8m, xây 5 tầng và có hầm chung rất rộng.- Căn góc: Diện tích từ 175m² - 229m².- Thanh toán tiến độ cực dãn, nhiều chính sách ưu đãi.- Giới hạn chỉ có 92 căn, thiết kế 2 mặt tiền, hầm chung xây như trung tâm thương mại, có 12 tháng máy, 6 thang cuốn và 6 thang hàng.- Hầm rộng để được 1000m chỗ ô tô và 1400 chỗ để xe máy.ParkCity Hanoi mang mô hình thương mại nhà ở độc đáo từ Malaysia về Việt Nam.- Giá bán: Lh 0988 798 ***Zalo/viber).Anh chị quan tâm đến phân khu mới tại khu đô thị Park City vui lòng liên hệ em Liên: 0988 798 *** để nhận thông tin mới nhất.            ",229 m²,Thỏa thuận,5 tầng,,,19/11/2022,29/11/2022,Tin thường,35590680,batdongsan_com_vn_35590680,8 m,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Bán biệt thự đơn lập The Zei có hầm để xe rộng, vip nhất Mỹ Đình. Cả khu chỉ có 20 căn đơn lập.- Diện tích đất: 267m². Giá bán 102 tỷ. Nếu thanh toán sớm chiết khấu 8%.- DT đất: 312,9m² căn góc, DTXD: 660m². Giá bán 135,9 tỷ. Nếu thanh toán sớm chiết khấu 8%.- Được xây 1 tầng hầm + 4 tầng nổi + 1 tầng áp mái (tầng hầm siêu rộng).- Mặt tiền rộng 14m. Đường trước nhà 17.5m.- Sổ đỏ lâu dài.- Bàn giao thô, hoàn thiện mặt ngoài có hỗ chờ thang may. Gia chủ có thể thoải mái thiết kế nội thất tuỳ theo phong cách của mình.- Biệt thự đã xây xong, chuẩn bị bàn giao. Vị trí kết nối các đường lớn Lê Đức Thọ, Hàm Nghi,.. Chỉ vài bước chân ra tới công viên hồ điều hòa.* Chính sách ưu đãi của CĐT:- Hỗ trợ lãi suất 0%/18 tháng cho 50% giá trị biệt thự.- Thanh toán sớm 95% chiết khấu 8%.- Thanh toán thường trong vòng 9 tháng chiết khấu 5%.Anh chị quan tâm biệt thự đơn lập và đi xem thực tế liên hệ: 0988 798 *** e Liên.            ",312.9 m²,102 tỷ,,,,19/11/2022,29/11/2022,Tin thường,35336707,batdongsan_com_vn_35336707,14 m,13.5 m,,,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Phúc La - Văn Phú', 'Dự án Kiến Hưng Luxury']","
Bán shophouse 2 mặt tiền Kiến Hưng đường Phúc La - Hà Đông.Vỉa hè rộng kinh doanh cực đẹp.- Diện tích: 130m² x 6 tầng nổi 1 hầm, mặt tiền 6m, hướng Tây Bắc.- Mặt đường lớn thông thoáng kéo dài ra đường Nguyễn Xiển Xa La, tuyến đường thông lên Tôn Thất Tùng ĐH Y, tương lai khu này rất phát triển.- Nhà thuộc khu đô thị Kiến Hưng - gần khu đô thị Văn Phú, vị trí đắc địa mặt phố Phúc La.- Vỉa hè rộng thoải mái đậu xe, thuận tiện kinh doanh đa dạng: Cho ngân hàng thuê, trung tâm tiếng Anh, quán cafe, karaoke,...- Nhà xây hoàn thiện mặt ngoài, bàn giao thô bên trong để gia chủ có thể tự ý hoàn thiện theo nhu cầu riêng hoặc cho thuê ngay.Giá bán: 34 tỷ, sổ đỏ lâu dài.Anh chị quan tâm vui lòng: 0988 798 *** Em Liên dẫn đi xem nhà trực tiếp.            ",130 m²,34 tỷ,6 tầng,,,19/11/2022,29/11/2022,Tin thường,35500216,batdongsan_com_vn_35500216,6 m,60 m,Tây - Bắc,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án The Manor Central Park']","
Cần bán gấp shophouse mặt phố đi bộ tại The Manor Central Park.1. 75m² x 5 tầng mặt phố đi bộ, 2 mặt tiền đường trước nhà và sau nhà, hướng Tây Nam. Nhà đã hoàn thiện vào ở được ngay.Mặt phố đi bộ, ở hay làm văn phòng, cho thuê rất phù hợp, trong khu đô thị dân cư về ở đông đúc và nhiều văn phòng, cửa hàng kinh doanh nhộn nhịp.- Giá bán: 29,3 tỷ có thương lượng.2. 75m² x 5 tầng mặt đường 17m, giá 25,5 tỷ bao thuế phí.3. 75m² x 5 tầng view công viên ngón tay và chung cư, mặt sau view chung cư sau này kinh doanh đều thuận lợi, giá bán 23 tỷ.4. 99m² x 5 tầng, nhà vườn block 4 giá 30 tỷ.Ngoài ra bên em còn nhiều quỹ căn chuyển nhượng biệt thự liền kề, shophouse giá tốt, hàng giai đoạn 2 của chủ đầu tư có hỗ trợ lãi suất ngân hàng 24 tháng.Anh chị xem nhà trực tiếp vui lòng gọi: 0988 798 *** E Liên.            ",75 m²,29.3 tỷ,5 tầng,Sổ đỏ/ Sổ hồng.,,19/11/2022,29/11/2022,Tin thường,34909086,batdongsan_com_vn_34909086,,,Tây - Nam,,
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Phố Trạm']","
- Nhà xây 5 tầng: Diện tích: 50m² x 5 tầng.+ Tầng 1: Gara + bếp + Vs.+ Tầng: 2,3,4 mỗi tầng 2 phòng + Vs.+ Tầng: 5 phòng thờ và sân phơi.- Đường thông, ô tô vào tận nhà.- Ô tô cất trong nhà.- Nhà thuộc Phố Trạm, Long Biên, Hà Nội- Đi bộ 2p ra mặt Phố Trạm. 3p ra Aeon Long Biên.- Giá: 7,4 tỷ (Thương Lượng).* Cam kết ảnh thật - việc thật - thiện trí liên hệ E Phát: 0965 858 *** - hỗ trợ xem nhà.            ",50 m²,7.4 tỷ,5 tầng,Sổ đỏ/ Sổ hồng.,,26/11/2022,03/12/2022,Tin thường,34855561,batdongsan_com_vn_34855561,,,,6 phòng,4 phòng
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Dự án Văn Khê']","
+ Bán 8 mảnh đất nằm trong kđt Văn Khê phân lô ô tô kinh doanh từ 6 đến 6.8 tỷ (quý khách sẽ xây căn nhà ưng ý như hình ảnh minh họa).+ Vị trí cách đường Tố Hữu 300m kđt Văn Khê - Hà Đông là trung tâm giao thông kết nối đồng bộ với trục chính Tố Hữu Tỏa đi các hướng khắp Hà Đông.+ Sổ đỏ chính chủ vuông như bao diêm cất két chờ sang tên chủ mới.+ Quý khách có nhu cầu hãy gọi 0971 145 *** e Tuyển 1985. Chuyên nhà đất phân lô liền kề để nghe e tư vấn xem e có cứng nghề hay ko.+ Bđs luôn là kênh tài chính trú ẩn an toàn và lợi nhuận nhất mọi thời điểm...            ",55 m²,6 tỷ,,Sổ đỏ,,23/11/2022,30/11/2022,Tin thường,34999339,batdongsan_com_vn_34999339,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Quang Trung', 'Đường Tây Sơn']","
-  Cần bán căn nhà tại phố Tây Sơn, quận Đống Đa. Ngõ rộng, thông thoáng, ô tô đỗ ngay cửa nhà. Lô góc 2 mặt thoáng, cách mặt phố chỉ 80m. -  Diện tích 28m², 4 tầng, mặt tiền 3,5m. Nhà dân xây, khung cột chắc chắn, khách mua về sơn lại 1-2 lượt là đẹp lung linh đón Tết. -  Thiết kế:     + Tầng 1: Phòng khách, bếp, wc.     + Tầng 2,3: Mỗi tầng 1 phòng ngủ, wc.     + Tầng 4: Phòng ngủ kết hợp phòng thờ, sân phơi. -   Đường xá rộng rãi, giao thông đi lại thuận tiện các tuyến phố: Thái Hà, Chùa Bộc, Xã Đàn Tiện ích đầy đủ: Trường cấp 1,2 Quang Trung, bệnh viện Đống Đa, chợ, siêu thị, TTTM, nhà hàng, quán ăn -  Khu vực dân trí cao, hàng xóm thân thiện, an ninh đảm bảo. -  Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá 3,5 tỷ có thương lượng. -  Liên hệ em Thọ 0966 656 *** xem nhà miễn phí.            ",28 m²,3.5 tỷ,,Sổ đỏ/ Sổ hồng,"Sang trọng, hiện đại, đáp ứng mọi nhu cầu sinh hoạt",26/11/2022,03/12/2022,Tin thường,35961878,batdongsan_com_vn_35961878,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá', 'Dự án Tổng cục 5 Tân Triều']","
Bán biệt thự mặt đường Yên Xá, mặt đường nhựa trục chính 27m, khu đô thị Tổng cục 5, Tân triều, Thanh Trì. Diện tích 300m², mặt tiền 15m, đã hoàn thiện 4 tầng, Tiện kinh doanh, đang cho thuê, sổ hồng, giá 97 tỷ. LH: 0888 395 *** ",300 m²,324 triệu/m²,4 tầng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản gắn tường,16/11/2022,26/12/2022,Tin thường,34994458,batdongsan_com_vn_34994458,,,,12 phòng,8 phòng
