address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Pháp lý,Nội thất
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Thái Hà', 'Dự án Sông Hồng Park View']","
Nhà tôi cần bán gấp căn hộ chung cư Sông Hồng Park View, 165 Thái Hà, diện tích sổ 93m², 3 phòng ngủ 2 nhà vệ sinh, nhà đã trang bị nội thất cơ bản bao gồm: Tủ bếp, nóng lạnh, điều hòa,...Chung cư Sông Hồng Park View, 165 Thái Hà nằm trong khu vực trung tâm quận Đống Đa, gần nhiều trung tâm thương mại, chợ, trường học, bệnh viện rất thuận tiện cho gia đình sinh hoạt, các con đi học,...Giá: 41 triệu/m².Lh: 0914 838 ***anh Hưng).            ",93 m²,41 triệu/m²,,3 phòng,2 phòng,26/11/2022,03/12/2022,Tin thường,35755094,batdongsan_com_vn_35755094,,,,,Sổ đỏ,Cơ bản
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Hoàng Ngân']","
- Cần bán gấp toà nhà văn phòng hoàng Ngân, Cầu Giấy, vị trí siêu kinh doanh giá đầu tư, Nhà cần bán nằm vị trí mặt phố Hoàng Ngân, vị trí trung tâm giáp danh 3 Quận Thanh Xuân, Cầu Giấy, Đống Đa, giao thông thuận tiện ra Nguyễn Thị Định, Lê Văn Lương, khu vực dân cư tập trung, dân trí cao, an ninh, an sinh tốt, Toà Nhà là sự kết hợp hoàn hảo vừa ở vừa kinh doanh văn phòng, giữ tiền sinh lãi dòng cao, toà nhà được xây dựng mới tinh, với đầy đi giấy phép xây dựng, phòng cháy chữa cháy đây đủ, với 2 cầu thang máy chạy êm du, thiết kế từ tầng 2 - 6 thông sàn WC, tầng 7 phòng khách bếp và 2 phòng chức năng, trong đó có 1 phòng khép kín, tầng 8 phòng thờ, 2 phòng chức năng và 2WC, tầng 9 sân không gian cafe, sổ phân lô trước sau như 1, hiện đang cho thuê kinh doanh dòng tiền 370tr/tháng.- Diện tích 225m², mặt tiền 15m hiện trạng 9 tầng 2 thang máy, thiết kế hiện đại, không gian thoáng với đầy đủ công năng và tiện ích, phù hợp vừa ở vừa kinh doanh văn phòng, thẩm mỹ viện, phòng khám, quán bar...- Giá 138 tỷ có thương lượng.- Cam kết sổ đỏ chính chủ, pháp lý sạch.- Liên hệ Nghiêm để xem nhà và tư vấn miễn phí.            ",225 m²,138 tỷ,9 tầng,4 phòng,10 phòng,21/11/2022,01/12/2022,Tin thường,34683743,batdongsan_com_vn_34683743,,,15 m,14 m,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Huyện Thanh Trì', 'Dự án Chung cư Đại Thanh']","
Cần tiền để hoàn thành nội thất bên căn hộ mới mua, vì vậy, chính chủ quyết định bán nhanh căn hộ lộc lá cho gia đình nào có nhu cầu. Thông tin căn hộ như sau:- Diện tích: 55m vuông- Thiết kế căn hộ: 2 phòng ngủ, 1 vệ sinh, 1 phòng khách, 1 ban công thoáng, 1 khu vực bếp- Nội thất: Gia đình để lại toàn bộ nội thất trong nhà gồm điều hòa, nóng lạnh, tủ bếp, tủ lạnh, giường, tủ quần áo, bàn ghế,... khách mua chỉ việc về ở- Pháp lý: Sổ hồng chính chủ, sang tên nhanh chóng- Giá bán: 1,13 tỉ (Có thương lượng)Liên hệ xem nhà trực tiếp hoặc Zalo 0962 017 ***Em Thủy)Miễn TG&QC, Xin cảm ơn!            ",55 m²,1.13 tỷ,,2 phòng,1 phòng,27/11/2022,04/12/2022,Tin thường,35962206,batdongsan_com_vn_35962206,,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Dự án Thanh Hà Mường Thanh']","
Tôi cần tiền nên muốn bán gấp lô biệt thự đường rộng 30m², tại dự án Thanh Hà Cienco 5, Hà Đông, Hà Nội.Thông tin chi tiết như sau:- Vị trí lô: B2.5 BT 3.- Diện tích: 225m².- Đường trước mặt rộng: 30m².Cam kết giá giảm sâu so với đợt sốt vừa rồi, thời điểm tháng 6/2022.Có hỗ trợ vay vốn ngân hàng, ai có nhu cầu quan tâm vui lòng liên hệ theo số 0399 355 *** Xin cảm ơn!            ",225 m²,Thỏa thuận,,,,22/11/2022,29/11/2022,Tin thường,34635210,batdongsan_com_vn_34635210,,,10 m,30 m,Hợp đồng mua bán,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Vũ Trọng Phụng']","
- Giảm chào bán gấp toà văn phòng Vũ Trọng Phụng Thanh Xuân vị trí lô góc 3 mặt thoáng, siêu kinh doanh giá đầu tư, Nhà nằm vị trí đắc địa, đối diện chợ thuốc Hapulico, cùng rất nhiều toà chung cư cao cấp như Rivera Park, TNR GoldSeason, nằm cách phố Nguyễn Trãi 5p đi xe, 100m ra Nguỵ Như Kon Tum, 500m ra Phố Lê Văn Lương, với vị trí nhiều lợi thế như vậy, toà nhà là điểm lý tưởng làm văn phòng, trụ sở công tý vô cùng đẹp, Tìa nhà được thiết kế 9 tầng thang máy với 7 tầng nổi, 1 tầng hầm để được 40/50 chiếc xe máy, và 1 tầng kỹ thuật, diện tích xây dựng 117m, diện tích sử dụng mỗi phòng 85m, thang máy nhập khẩu trọng lượng 750kg, cùng hệ thống bảo vệ, camera an ninh giám sát 24/24, toà nhà hiện đang cho thuê kinh doanh văn phòng, doanh thu 1.2tỷ/năm.- Diện tích 117m mặt tiền 5m hiện trạng 9 tầng thang máy, thiết kế hiện đại, không gian thoáng với đầy đủ công năng và tiện ích, phù hợp vừa ở vừa kinh doanh, văn phòng, trụ sở công ty...- Giá 34tỷ có thương lượng.- Cam kết sổ đỏ chính chủ, pháp lý sạch.- Liên hệ Nghiêm để xem nhà và tue vấn miễn phí.            ",117 m²,34 tỷ,9 tầng,4 phòng,7 phòng,21/11/2022,01/12/2022,Tin thường,35025639,batdongsan_com_vn_35025639,,,5 m,4 m,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Đê La Thành', '170', '170 Đê La Thành - GP Building']","
Nhà tôi cần bán gấp căn hộ chung cư Sông Hồng Park View, 165 Thái Hà,  diện tích sổ 93m, 3 phòng ngủ 2 nhà vệ sinh, nhà đã trang bị nội thất cơ bản bao gồm: Tủ bếp, nóng lạnh, điều hòa,...Chung cư Sông Hồng Park View, 165 Thái Hà nằm trong khu vực trung tâm quận Đống Đa, gần nhiều trung tâm thương mại, chợ, trường học, bệnh viện rất thuận tiện cho gia đình sinh hoạt, các con đi học,...Giá:42 triệu/mLh: 0914 838 *** ( anh Hưng )            ",93 m²,42 triệu/m²,,3 phòng,2 phòng,26/11/2022,03/12/2022,Tin thường,28094098,batdongsan_com_vn_28094098,Đông - Nam,Đông - Bắc,,,Sổ đỏ/ Sổ hồng,Cơ bản
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Tản Đà']","
- Nhà mặt phố cổ, mặt tiền rộng thênh thang, lô góc siêu thoáng, mặt phố cổ, kinh doanh buôn bán sầm uất, tấp nập ngày đêm.- Trước nhà ô tô tải tránh, giao thông thuận tiện thông với đường Tô Hiệu,  Lê Hồng Phong, Quang Trung.....- DT : 38m x  4 tầng, mặt tiền : 5.3m- Giá : 9.x Tỷ( thương lượng mạnh).- Sổ đỏ cất két, sẵn sàng giao dịch            ",38 m²,9.9 tỷ,4 tầng,3 phòng,3 phòng,25/11/2022,05/12/2022,Tin thường,35953651,batdongsan_com_vn_35953651,Tây - Nam,,5.3 m,10 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Nguyễn Khả Trạc']","
- Cần bán gấp toà văn phòng mặt phố Nguyễn Khả Trạc Cầu Giấy, vị trí siêu kinh doanh giá đầu tư. Nhà cần bàn nằm vị trí lô góc 3 mặt thoáng, 1 mặt phố 2 mặt Ngõ ô tô tải tránh, vỉa hè rộng 5m, kinh doanh buôn bán sầm uất, khu vực tập trung nhiều văn phòng, công ty lớn, giao thông thuận tiện ra Mai Dịch, Phạm Thận Duật, toà nhà xây dựng 8 tầng thang máy, 7 tầng nổi và 1 tầng hầm, thiết kế thông sàn, với vị trí lô gọc 3 mặt thoáng siêu đắc địa, vỉa hè rộng mặt tiền khủng rất phù hợp mở văn phòng trụ sở công ty, nhà hàng, khách sạn, spa viện thẩm mỹ, phòng khám, cơ hội đầu tư kinh doanh giữ tiền siêu lợi nhuận.- Diện tích 160m² mặt tiền 20m hiện trạng 8 tầng thang máy, thiết kế hiện đại không gian thoáng, với đầy đủ công năng và tiện ích, phù hợp kinh doanh văn phòng, nhà hàng, spa thẩm mỹ viện, phòng khám...- Giá 55 tỷ có thương lượng.- Cam kết sổ đỏ chính chủ, pháp lý sạch.- Liên hệ Nghiêm để xem nhà và tư vấn miễn phí.            ",160 m²,55 tỷ,8 tầng,4 phòng,8 phòng,21/11/2022,28/11/2022,Tin thường,35804663,batdongsan_com_vn_35804663,,,20 m,15 m,Sổ đỏ/ Sổ hồng.,
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Phố Giảng Võ']","
Gia đình chuyển đi nơi khác nên cần bán lại căn nhà trong ngõ phố Giảng Võ, diện tích 35m², đã xây 3 tầng kiên cố, sạch đẹp, khách mua có thể về ở ngay.Nhà nằm trong khu vực trung tâm quận Ba Đình, gần nhiều trung tâm thương mại, chợ, trường học, bệnh viện,... Vô cùng thuận tiện cho sinh hoạt, học tập, đi lại làm việc.Giá: 3.9 tỷ (có thương lượng và ra lộc với khách thiện chí và nhiệt tình).Liên hệ: 0914 838 *** Anh Hưng.            ",35 m²,3.9 tỷ,3 tầng,3 phòng,3 phòng,24/11/2022,01/12/2022,Tin thường,35866388,batdongsan_com_vn_35866388,,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Lê Quang Đạo', 'Dự án The Matrix One']","
Chính chủ bán gấp căn 2PN, giá 4,85 tỷ tầng trung đẹp tại CC cao cấp The Matrix One view Keangnam cực sang, dt 89m² giá 4,55 tỷ nhận nhà ở luôn,- Nội thất liền tường cao cấp hiện đại nhập khẩu từ nước ngoài.- Full ánh sáng tự nhiên 100% các phòng.- Tiện ích cao cấp đầy đủ: Công viên 14ha mới đẹp đủ tiện ích, bể bơi 4 mùa view công viên, Thư viện, Vườn thượng uyển trên cao,..., đi Mỹ Đình Cầu Giấy, Hồ Tùng Mậu, Phạm Hùng, Big C, The Manor, rất tiện,.Vị Trí rất thuận tiện giao thông di chuyển: Mỹ Đình, Lê Quang Đạo, Hồ Tùng Mậu, Trần Duy Hưng, Trung Hòa, Cầu Giấy, Nam Từ Liêm, vành đai 3, Khu công nghiệp Láng Hòa Lạc, Hà Đông, Lê Văn Lương, Tố Hữu, Vinhomes Smart City, Đại Lộ Thăng Long và Lê Trọng Tấn Hà Đông.Liên hệ xem căn hộ: 0988 278 *** ",89 m²,4.85 tỷ,,2 phòng,2 phòng,24/11/2022,01/12/2022,Tin thường,34867964,batdongsan_com_vn_34867964,Đông - Nam,Đông - Bắc,,,Sổ đỏ/ Sổ hồng,
