address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công,Nội thất,Số tầng,Pháp lý,Đường vào
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Khuất Duy Tiến']","
Tòa nhà, phố vip Khuất Duy Tiến, Q. Thanh Xuân, 85m², 8 tầng, MT 10m, giá 45 tỷ. LH 0901 766 ***Vị trí cực hiếm - lô góc - 2 mặt ngõ phân lô - kinh doanh sầm uất ngày đêm - vỉa hè - ô tô chạy vòng quanh.+ Vị trí không phải đẹp mà là quá đẹp.+ Nhà cách phố chỉ khoảng 30, vỉa hè 2 bên, để xe thoải mái hai bên, ô tô dừng đỗ ngày đêm.+ Mặt ngõ kinh doanh đa dạng mọi loại hình hoặc làm văn phòng đều oki ô tô tải vào tận cửa, ngõ thông tứ tung.+ Thiết kế 8 tầng, 1 tầng hầm, 7 tầng nổi:+ Tầng hầm: Gara, phòng bảo vệ.+ Tầng 2,3,4 thông sàn.+ Tầng 5,6: 2 Phòng Ngủ rộng, VS khép kín.+ Tầng 7: Phòng khách, bếp, phòng ăn, VS.+ Sổ đỏ đẹp, giao dịch trong ngày.            ",85 m²,45 tỷ,10 m,26/11/2022,03/12/2022,Tin thường,35618587,batdongsan_com_vn_35618587,6 phòng,6 phòng,,,,7 tầng,,18 m
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn']","
- Ảnh đất chuẩn 100%.- Diện tích đất 30m², mặt tiền = hậu = 4,2m.- Hướng Tây Nam + Tây Bắc.- Ngõ trước đất rộng 2,8m, cách 20m ra đường ô tô tránh.- Vị trí đất thuộc tổ 12 Thạch Bàn, gần trường mầm non, cấp 3 Thạch Bàn, khu đô thị Garden City.- Cách Aeon Mall, Cầu Vĩnh Tuy chỉ 1km.- Sổ đỏ chính chủ, ko tranh chấp, quy hoạch.- Giá: X tỷ (Có thương lượng).- Liên hệ Hoàng Phát: 0965 858 *** để đi xem đất trực tiếp và miễn phí.            ",30 m²,2.6 tỷ,4.2 m,22/11/2022,29/11/2022,Tin thường,35357183,batdongsan_com_vn_35357183,,,,,,,Sổ đỏ/ Sổ hồng.,2.8 m
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Liễu Giai']","
Biệt thự siêu vip, phố Liễu Giai, TT Q. Ba Đình, 230m², 4 tầng, MT 14m, giá 64 tỷ. LH 0901 766 ***Biệt thự khu quan chức - hiếm nhà bán - ô tô tránh - gara ô tô - kinh doanh văn phòng - trung tâm tiện ích.- Vị trí đẹp, gần mặt phố Liễu Giai, giao thông thuận tiện vài bước ra các Đại sứ quán, TTTM Lotte, khách sạn Daewoo, Vinhomes Metropolis, tiện ích ngập tràn, nằm ở vị trí quận Ba Đình tiếp giáp các quận trung tâm đi đâu cũng tiện, 15p ra đến sân bay hay lên phố cổ phồn hoa,- Nhà biệt thự đã cũ chủ xác định bán đất bán vị trí tặng biệt thự, thiết kế phong cách hiện đại và thông sàn, chủ mới về 1 lớp sơn là lại đẹp như Hoa Hậu.- Nhà thiết kế 4 tầng thông sàn, thuận tiện cho việc ở hay kinh doanh văn phòng.- Chủ hiện đang cho thuê vui giữ nhà 50tr/tháng.Sổ đỏ pháp lý chuẩn.            ",230 m²,64 tỷ,14 m,26/11/2022,03/12/2022,Tin thường,35544440,batdongsan_com_vn_35544440,6 phòng,4 phòng,,,,4 tầng,,16 m
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Đường Lê Trọng Tấn']","
Mặt phố Lê Trọng Tấn - Quận Thanh Xuân - toà văn phòng vip.Nhà lô góc: 182m², 8 tầng thang máy, MT 6m.Giá bán: 65 tỷ (thương lượng).Sổ đỏ vuông đẹp, nở hậu, pháp lý rõ ràng.Liên hệ: 0901 766 *** ",182 m²,65 tỷ,6 m,26/11/2022,03/12/2022,Tin thường,35691637,batdongsan_com_vn_35691637,6 phòng,6 phòng,,,,8 tầng,Sổ đỏ chính chủ.,20 m
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
+ Bán nhà phố Thái Hà + Vị trí đắc địa, vừa ở vừa KD cực tốt.+ Thiết kế đẹp đủ các công năng hiện đại  + Ô tô vào tận cửa.+ An sinh an ninh tốt. + Sổ đỏ chính chủ, sẵn sàng giao dịch.LH ngay: 0963 552 *** Mr Tùng - để được tư vấn và xem nhà.            ",60 m²,10.5 tỷ,,26/11/2022,03/12/2022,Tin thường,35832642,batdongsan_com_vn_35832642,4 phòng,4 phòng,,,,4 tầng,,
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Đàm Quang Trung']","
- Chủ nhà anh Tuấn , kỹ sư lập trình FPT, vui tính, xởi lở. Bán nhà để về Thanh Oai công tác.- Nhà 46m², nội thất lung linh. Sàn gỗ nhập khẩu, cầu thang Lim Nam Phi.- Bán nhà Đàm Quang Trung, Long Biên, Hà Nội. Ba bước ra siêu thị Aoen Mail Long Biên, nhà gần cầu Vĩnh Tuy, cách phố cổ 5p đi xe.- Giá: 4.3 tỷ có thương lượng + tặng nội thất.- Hỗ trợ vây ngân hàng.* Liên hệ 0965 858 ***có Zalo) để đi xem nhà trực tiếp và miễn phí.            ",46 m²,4.3 tỷ,,22/11/2022,29/11/2022,Tin thường,35541475,batdongsan_com_vn_35541475,4 phòng,3 phòng,Đông - Nam,,Đầy đủ,4 tầng,Sổ đỏ/ Sổ hồng.,3 m
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Văn Cừ', '390', 'Berriver Long Biên']","
Hiếm chỉ 2,55 tỷ có ngay căn hộ Berriver đẳng cấp - sang chảnh - full nội thất.390 Nguyễn Văn Cừ - Long Biên.Căn hộ bán tầng 6, Tòa N02, Diện tích 60m², 2PN, 1wc, Ban công thoáng sáng view đẹp. Nội thất đầy đủ.+ Sổ đỏ chính chủ pháp lý rõ ràng giao dịch ngay.Bán gấp: 2.55 tỷ(tl).Mô tả:+ Vị trí chung cư cao cấp Berriver tọa ở khu đẹp, thuận tiện và Hót nhất Quận Long Biên, nằm trên trục đường Nguyễn Văn Cừ, ngay sát Bệnh viện Tâm Anh, Phố Hồng Tiến, Hoàng Như Tiếp, Trường PTTH, PTCS, sân Golf...+ Căn hộ bán thuộc tòa chung cư cao cấp Berrriver 390 Nguyễn Văn Cừ. Tòa nhà thiết kế tổng 24 tầng mỗi tầng có 10 căn hộ.+ Tầng 1 là tầng thương mại, spa, siêu thị, tóc, nails, Coffee...+ Tầng 2: Phòng Gym, bể bơi, khu vui chơi cho cư dân trong tòa.            ",60 m²,2.55 tỷ,,19/11/2022,29/11/2022,Tin thường,35883228,batdongsan_com_vn_35883228,2 phòng,1 phòng,,,Nội thất đầy đủ.,,Sổ đỏ/ Sổ hồng.,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Kim Giang']","
Siêu phẩm, mặt phố Kim Giang, Q. Hoàng Mai, 108m², 4 tầng, giá 17.5 tỷ. Lh 0901 766 ***Siêu phẩm mặt phố - kinh doanh đỉnh - vỉa hè rộng.Tầng 1: Phòng khách, 1 phòng ngủ, bếp, wc.Tầng 2: 3 phòng ngủ, wc.Tầng 3: 2 phòng ngủ lớn, wc.Tầng 4: Phòng thờ, sân phơi.+ Mặt phố Kim Giang sầm uất, kinh doanh đỉnh mọi mặt hàng, tiềm năng tăng giá cao.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.            ",108 m²,17.5 tỷ,5 m,26/11/2022,03/12/2022,Tin thường,35795176,batdongsan_com_vn_35795176,4 phòng,4 phòng,,,,4 tầng,Sổ đỏ.,20 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Đường Trần Khát Chân']","
+ Bán nhà Trần Khát Trân Hai Bà Trưng 220m², MT 11m 100 tỷ.+ Vị trí siêu đắc địa.+ Thiết kế KD đỉnh cao hiện đang cho thuê hàng trăm ngàn USD.+ Dòng tiền siêu siêu tốt. + An sinh an ninh cực tốt.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.LH ngay: 0963 552 *** Mr Tùng - để được tư vấn và xem nhà.            ",220 m²,100 tỷ,,22/11/2022,04/12/2022,Tin thường,35914516,batdongsan_com_vn_35914516,3 phòng,3 phòng,,,,3 tầng,Sổ đỏ/ Sổ hồng.,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
* Gấp! Hàng cắt lỗ cực sâu 0.5 tỷ.Vinhomes Ocean Park đẳng cấp - 2 ngủ - view công viên - tiện ích ngập tràn.Tầng 112 tòa S2.09.Mô tả:Chung cư Vinhomes Ocean Park: Giá hợp đồng 1.863 tỷ mua cọc 2018 bàn giao và nhận sổ đỏ 2021. Nhà chưa ở còn mới nguyên. Tầng 12, toà S2.09, Diện tích 60m²: P khách, p ăn, bếp, 2 phòng ngủ, 2 wc, Ban công hướng TB, nội thất nguyên bản cđt bàn giao đã có tường, Trần, sàn, thiết bị vệ sinh, mới lắp thêm bộ tủ bếp.Giá bán cắt lỗ sâu: 1.7 tỷ cho người thiện chí có nhu cầu.Vinhomes Ocean Park Gia Lâm còn là khu đô thị tiên phong trong mô hình Thành phố trong lòng thành phố đang thịnh hành trên thế giới. Mọi nhu cầu ăn uống, mua sắm, giải trí, giáo dục, y tế của cư dân căn hộ Vinhomes Ocean Park đều được đáp ứng trọn vẹn từ A Z bởi hệ thống tiện ích dịch vụ cao cấp được tích hợp trong khu đô thị, bao gồm:* 8 bể bơi ngoài trời và 2 bể bơi bốn mùa diện tích lên tới 1.000 m².* 100 sân thể thao tennis, bóng rổ, cầu lông, bóng chuyền, bóng đá mini.* 700 máy tập GYM ngoài trời.* 8 công viên BBQ dọc theo hồ điều hòa & sông sinh thái với 100 điểm nướng.* Vườn Nhật Bản (Dành riêng cho cư dân The Zenpark).* Hơn 2.000 căn shophouse & shop thương mại dịch vụ.* Trung tâm thương mại Vincom Mega Mall.Bệnh viện đa khoa quốc tế Vinmec.* 7 Trường học liên cấp quốc tế Vinschool.* Đại học VinUni..            ",60 m²,1.7 tỷ,,23/11/2022,03/12/2022,Tin thường,35926621,batdongsan_com_vn_35926621,2 phòng,2 phòng,,,,,Sổ đỏ/ Sổ hồng,
