address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng
"['Hà Nội', 'Sóc Sơn', 'thôn Tân Phú Xã Phú Cường', 'Đường Tân Trại']","
Siêu phẩm.1,3 tỷ có ngay nhà 3 tầng xây mới phong cách Châu Âu, hiện đại full nội thất cơ bản (Tân Trại - Xã Phú Cường - Sóc Sơn. ).Dt: 46,5m².Tầng 1 phòng khách + phòng vệ sinh + bếp ăn.Tầng 2 2 phòng ngủ + phòng vệ sinh.Tầng 3 sân phơi ban thờ.Đường ô tô 7 chỗ thoải mái.Khu dân cư đông đúc gần nhiều tiện ích với nhiều tiềm năng phát triển.+ Cách Quốc Lộ 2 300m.+ Cách đường Võ Nguyên Giáp 400m.+ Cách sân bay Nội Bài 500m.+ Khu hành chính công, chợ, trường cấp 1.2.3 bán kính 1.5km.Hotline liên hệ: 0969 307 ***Tường đơn kiên cố, thiết kế hiện đại cửa từ, sẵn nội thất cơ bản, không gian thoáng, cư dân văn minh, yên tĩnh.Giá từ chủ đầu tư dự án tốt nhất thị trường.Zalo em Hưng để được đi xem nhà 24/7.0969 307 *** ",46.5 m²,1.3 tỷ,,,,19/09/2022,18/12/2022,Tin thường,33207078,batdongsan_com_vn_33207078,,,2 phòng,2 phòng,Cơ bản,3 tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Phạm Văn Đồng', 'số 9', 'The Nine']","
- Vị trí dự án The Nine Tower tọa lạc tại mặt đường số 9 Phạm Văn Đồng, quận Cầu Giấy, TP Hà Nội. Mọi cư dân sinh sống tại đây đều tận hưởng không gian sống đầy gió và nước cùng với tiện ích hiện đẳng cấp bậc nhất. Dự án sẽ là tổ hợp khu căn hộ chung cư đẹp nhất quận Cầu Giấy về vị trí và không gian sống.- Chỉ 200/350 căn quỹ hàng bán cho khách hàng Việt Nam.- Thiết kế tối ưu đa dạng về diện tích.- Căn hộ 2PN: 75 - 77 - 87m².- Căn hộ 3PN (A): 91m², 100m² và 103m² và 106m², 109m².- Căn hộ 3PN (B): 116 - 142 - 144 - 162m².- Tại The Nine Tower là tòa nhà cao cấp và hiện đại, nổi bật với kiến trúc xanh, được bố trí đầy đủ các tiện ích phục vụ cư dân với không gian sinh hoạt cộng đồng như bãi đỗ xe, đường dạo bộ, nhà trẻ, mẫu giáo, phòng sinh hoạt cộng đồng, khu thương mại dịch vụ như spa, gym, nhà hàng, siêu thị mini.- Chung cư The Nine Tower Phạm Văn Đồng đã và đang nhận được rất nhiều sự quan tâm từ phía khách hàng không chỉ bởi thiết kế căn hộ hiện đại và các tiện ích cao cấp được thừa hưởng từ các khu đô thị xung quanh, mà còn ở vị trí trung tâm, tiệm cận các con đường huyết mạch giúp việc di chuyển trở nên thuận tiện hơn bao giờ hết.- Hotline: 0912 673 ***- Website: http://www.thenine.com.vn            ",87 m²,Thỏa thuận,,,,26/09/2022,25/12/2022,Tin thường,34268144,batdongsan_com_vn_34268144,,,2 phòng,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Phố Hoàng Quốc Việt']","
+ Diện tích 40m², 7 tầng thang máy, 18 tỷ có thương lượng.+ Vị trí cực đẹp, vỉa hè mênh mông, trục chính quận Cầu Giấy, lên Hoàn Kiếm tiện hoặc ra sân bay Nội Bài nhanh.+ Nhà 7 tầng mới đẹp, hiện đại, điều hòa âm trần, thông sàn, thang máy êm ru, nội thất xịn sò.+ Kinh doanh vô địch phù hợp mọi loại hình, phân khúc hiếm thanh khoản nhanh.+ Sổ đỏ đẹp vuông vắn A4, cất két chờ giao dịch.+ Liên hệ: Mr Huy 0981 455 ***Miễn trung gian).            ",40 m²,18 tỷ,,,Sổ đỏ/ Sổ hồng,19/09/2022,18/12/2022,Tin thường,35197978,batdongsan_com_vn_35197978,,,,,,7 tầng
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ', 'Dự án Green Diamond 93 Láng Hạ']","
Chính thức mở bán đợt 1 - dự án 93 Láng Hạ - Green Diamond. (full nội thất nhập khẩu).Quỹ 40 căn giá ưu đãi từ 75tr/m² ký hđmb trực tiếp, dự kiến bàn giao nhà tháng 11/2022.------Hỗ trợ ngân hàng 70% trong 2 năm.Bảng hàng đợt 1 gồm có 40 căn giá ưu đãi các tầng 8 - 19 - 23.Diện tích căn hộ:- 1p. Ngủ 52m².- 2 p. Ngủ 70m² - 95m².- 3p. Ngủ 120m² - 165m².- Ký hợp đồng mua bán trực tiếp.- Tiến độ thanh toán linh hoạt theo từng giai đoạn.            ",52 m²,75 triệu/m²,,,Sổ đỏ/ Sổ hồng,19/09/2022,18/12/2022,Tin thường,35197922,batdongsan_com_vn_35197922,,,1 phòng,,,
"['Hà Nội', 'Hà Đông', 'Phường Yết Kiêu', 'Đường Quang Trung', 'Dự án Tòa Tháp Thiên Niên Kỷ']","
Nhà hoàn thiện đẹp, nội thất cao cấp, chỉ xách vali về ở. Ban công hướng Đông Nam thoáng mát.DT 93m².Liên hệ chính chủ: 0976 666 *** ",93 m²,3.75 tỷ,,,,12/09/2022,11/12/2022,Tin thường,35103857,batdongsan_com_vn_35103857,Bắc,Đông - Nam,,,Nội thất đầy đủ,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án The Manor Central Park']","
Bán một số số villa, shophouse khu đô thị The Manor Central Park Hoàng Mai, Hà Nội cụ thể như sau:1. Shophouse kinh doanh 75m², 5 tầng, mặt tiền 5, giá bán 32 tỷ.2. Shophouse góc kinh doanh, hai căn liền nhau, 207m², 5 tầng, mặt tiền 24, giá bán 70 tỷ.3. Villa cao cấp, diện tích 200m², 4 tầng, mặt tiền 10m, tùy vị trí, giá 58 - 60 - 62 tỷ.The Manor Central Park, lấy lý tưởng từ công viên trung tâm tại Manhattan New York Mỹ, một công viên xanh mát dưới lòng thành phố New York hoa lệ, được bao bọc bởi dãy nhà phố thương mại và chung cư cao cấp, những con phố đi bộ sôi động, bất kể ngày đêm, kết hợp tinh hoa của những khu đô thị lừng danh thế giới trên con phố Ginza của Tokyo Nhật Bản, Las Ramblas của Barcerola, hòa cùng vẻ đẹp truyền thống của Hà Nội 36 phố phường.- Tổng thể dự án rộng 89,7ha, với quy mô: Gần 1000 lô biệt thự, shophouse, nhà vườn liền kề, 17 tòa chung cư cao cấp, 7ha của bộ ban ngành nhà nước đã chuyển về dự án, 2 tòa tháp văn phòng cao 65 tầng. Chủ đầu tư uy tín Bitexco.- Tất cả sản phẩm của căn nhà đều có 2 mặt tiền ô tô chạy vòng quanh trước sau, cùng với đó 3 vỉa hè rộng thanh thang ô tô để thoải mái.Mọi chi tiết xin liên hệ Định 0984 114 *** chuyên nhà phố đẹp.            ",200 m²,60 tỷ,10 m,30 m,,26/09/2022,25/12/2022,Tin thường,35279551,batdongsan_com_vn_35279551,,,,,,4 tầng
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Cổ Linh', 'Dự án Arden Park']","
Chính chủ bán nhà liền kề Hanoi Garden City.Diện tích 144m², 3 tầng, mặt tiền 8m, hướng Đông Nam.Giá bán: 22.5 tỷ.Nhà đã hoàn thiện full nội thất đẹp, cao cấp, hiện đại; có chỗ để ô tô, không gian sân vườn rộng, thoáng.+ Hanoi Garden City Thạch Bàn có vị trí thuận tiện, cách Hồ Gươm 15 phút chạy xe.+ Tiện ích nội khu đầy gồm hồ bơi, sân tennis, nhà hàng, cafe, khu vực tổ chức sự kiện, Yoga, spa... Khu vực đạp xe, sân đá bóng, hệ thống cây xanh nhiều nhất khu vực Long Biên.+ Gần trường học các cấp, TTTM Aeon Long Biên, Bệnh viện Tâm Anh, BV Đức Giang, Ocean Park, Vinpearl Land Safari...Liên hệ chính chủ: 0888 218 *** - A Vinh.            ",144 m²,22.5 tỷ,8 m,10 m,,19/09/2022,18/12/2022,Tin thường,35173758,batdongsan_com_vn_35173758,Đông - Nam,Đông - Nam,4 phòng,4 phòng,"Nội thất đầy đủ đã hoàn thiện full nội thất đẹp, cao cấp.",3 tầng
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu']","
Bán nhà phân lô, ô góc, 3 mặt thoáng, vỉa hè rộng, Kinh doanh vô địch, dân trí cao, An sinh tuyệt đỉnh.160m² x 5 tầng (MT 16m + 5m + 6m).- Vị trí tuyệt đẹp, đẳng cấp nhà phân lô cao cấp, kinh doanh tuyệt đỉnh, trước nhà đường rộng 17m, vỉa hè rộng 2.5m, ô tô tránh hoặc đỗ cửa ngày đêm thoải mái, xung quanh là các dự án thuộc KĐT Dương nội, KĐT mới An Hưng, KĐT Nam Cường, các tòa nhà chung The Pride City, Anland LakeView... Dân cư buôn bán, kinh doanh cà phê, ăn uống, văn phòng, các ngân hàng, nhà trẻ, siêu thị... Rất sầm uất, dân trí cao, giao thông đi lại thuận tiện.- Nhà xây 5 tầng, kiên cố chắc chắn, thiết kế hiện đại với đầy đủ công năng sử dụng như: Thang máy, cửa cuốn Bossdoor, hệ thống cửa kính an toàn, cửa nhôm xingfa, thiết bị vệ sinh TOTO, trần thạch cao... Khách mua có thể vừa ở vừa kinh doanh, cho thuê. Hiệu suất cho thuê cực cao từ 36triệu/tháng.- Thiết kế chi tiết các tầng gồm:+ Tầng 1 + 2: Để xe + kinh doanh + thang máy + phòng khách + WC.+ Tầng 3: Phòng ngủ + phòng làm việc + WC.+ Tầng 4: 3 phòng ngủ + WC.+ Tầng 5: Ban công + sân phơi.- Sổ đỏ chính chủ, luôn sẵn sàng giao dịch.Alo là gặp chủ nhà: 0906 195 *** ",160 m²,25 tỷ,,17 m,Sổ đỏ,12/09/2022,11/12/2022,Tin thường,35113062,batdongsan_com_vn_35113062,Đông - Nam,Tây - Nam,15 phòng,,,5 tầng
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân', '603']","
- Trước nhà ba gác tránh, 50m ô tô tránh;- Đi xem là mê luôn, chắc chắn ạ;- Khu vực cực hiếm nhà bán đặc biệt là phân khúc dưới 7 tỷ;Thiết kế:- Tầng 1: Bếp, phòng khách, wc.- Từ tầng 2: Phòng ngủ, wc khép kín, rộng mênh mông;- Tầng thượng: Phòng thờ, sân phơi; -.Tầng Tum: Gian thờ, sân phơi;- Sổ đỏ, chủ tặng lại nội thất cơ bản.            ",40 m²,6.4 tỷ,,,Sổ đỏ,29/11/2022,06/12/2022,Tin thường,35981082,batdongsan_com_vn_35981082,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu']","
Chính chủ nhờ bán căn nhà phố Tô Hiệu, Hà Đông, khu phố trung tâm bậc nhất Hà Đông, khu dân trí cao, vị trí tiện lợi, đường thông mọi ngả, phù hợp nhiều mục đích sử dụng vừa để ở hoặc kinh doanh, cho thuê văn phòng, công ty.Khu vực hiếm nhà bán, mấy bước ra chợ Hà Đông, trung tâm thương mại, siêu thị Metro, trạm y tế, vô vàn tiện ích.Nhà phân lô cán bộ, dân xây vô cùng chắc chắn.Thiết kế đầy đủ công năng, đa mục đích sử dụng:+ Tầng 1: Gara, bếp, wc.+ Tầng 2: Phòng khách, wc.+ Tầng 3,4: 4 phòng ngủ.+ Tầng 5: Phòng thờ, Sân phơi.Chủ nhà cán bộ về hưu, có nhiều căn nhà, không có nhu cầu sử dụng, sổ đỏ cầm tay sẵn sàng giao dịch.+ Miễn trung gian môi giới, giá chào có thương lượng trực tiếp.Em Sáng với 10 năm kinh nghiệm sẽ mang lại cho quý anh/chị sự hỗ trợ tốt nhất.---------------------------------------------* Hỗ tìm kiếm nhà theo yêu cầu (miễn phí).* Tư vấn lựa chọn sản phẩm bđs phù hợp với nhu cầu đầu tư, kinh doanh, nhà ở (miễn phí).* Kiểm tra quy hoạch, pháp lý.* Hỗ trợ khách hàng khi có nhu cầu vay vốn Ngân hàng.            ",50 m²,7.6 tỷ,5 m,8 m,Sổ đỏ,25/09/2022,24/12/2022,Tin thường,35276459,batdongsan_com_vn_35276459,,,4 phòng,,,5 tầng
