address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Pháp lý,Hướng ban công,Nội thất
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
+ Nhà chủ xây rất chắc chắn, phù hợp vừa ở vừa kinh doanh, hoặc cho thuê cả nhà.+ Nhà có khe thoáng đằng sau có cửa sổ cực thoáng sáng tự nhiên, nội thất nhập khẩu châu âu.+ Vị trí siêu của siêu đẹp giữa trung tâm Quận Cầu Giấy, khu vực dân trí cao, an ninh an toàn tuyệt đối.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Giá: 10.8 tỷ, có thoả thoả thuận.+ Liên hệ: Em Hương 0862 566 *** Chuyên nhà đẹp Cầu Giấy.            ",58 m²,10.8 tỷ,12 m,,,,,27/11/2022,04/12/2022,Tin thường,34105513,batdongsan_com_vn_34105513,,Sổ đỏ/ Sổ hồng,,Full nội thất
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân']","
Bán nhà biệt thự quận Tây Hồ, đơn lập, sân vườn: 298m² - 4T - MT 16m - lô góc: Giá 45 tỷ.Bán nhà biệt thự để ở sân vườn thoáng - Gara ô tô - Ô chờ thang máy.+ Vị trí: Giao thông với cùng thuận tiện: Thông thương với các tuyến phố Lạc Long Quân - Khu Liên Cơ - Võ Chí Công - Gần Hồ Tây - Khu Liên Cơ - Đi lại thuận tiện cho sân bay.+ Kiến trúc:- BT 4 tầng thoáng mát, sân vườn, thiết kế hợp lý, bàn trà ngoài vườn công năng thoải mái. Ô tô để gara, xe máy để ở sân thoải mái.- Căn biệt thự phù hợp nhiều thế hệ.- Phòng ngủ to khép kín, phòng sinh hoạt chung, bếp, khách.- Sân tiểu cảnh, phòng thờ, nhà kho.+ Hinh thửa: Sổ phân lô, không lỗi phong thủy.+ Phong thủy: Quận Tây Hồ là nơi vượng khí, đầu rồng của thủ đô. Khu vực Hồ Tây, nơi khách Châu Âu rất ưa thích vì với tiêu chí cho chất lượng sống luôn đặt lên hàng đầu. Không khí trong lành mát mẻ về mùa hè, ấm áp về mùa đông.+ Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá 45 tỷ có thương lượng.Liên hệ tôi: Nguyễn Đức miễn môi giới trung gian.            ",298 m²,45 tỷ,10 m,,4 tầng,,,04/11/2022,04/12/2022,Tin thường,35007768,batdongsan_com_vn_35007768,16 m,,,
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ', 'Đường Ngô Xuân Quảng']","
Cần bán gấp lô 99m².- Mặt tiền: 4,5m.- Đường, ô tô vào nhà, Ngõ thông sang 31ha.- Giá thấp nhất thị trường. Chỉ có 68tr/m².- Địa chỉ; Mặt NgÕ Ngô Xuân Quảng - Gia Lâm - HN.- Vị trí: Nằm giữa trung tâm, cư dân buôn bán đông đúc.- Hiện tại đang có 5 phòng trọ cho thuê, dòng tiền hàng tháng ổn định.- Mất 3p đi chuyển vào học viện nông nghiệp 1.- Giao thông đi lại thuận tiện, mặt phố Ngô Xuân Quảng nối tiếp với đường Thành Trung, Lý Thánh Tông, Nguyễn Đức thuận, để đi Ql1A và cao tốc 5B.- Mất 2P di chuyển sáng dại dự án Vinhomes Oceanpark, hưởng lợi đầu đủ tiện ích hiện đại.- Cơ sở hạ tầng đồng bộ cư dân văn minh.- Liên hệ: Mr. Sơn để biết thêm thông tin.            ",99 m²,68 triệu/m²,4.5 m,,,,,23/11/2022,30/11/2022,Tin thường,35587795,batdongsan_com_vn_35587795,4.5 m,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Phan Đình Giót']","
- Siêu phẩm nhà đẹp như biệt thự chỉ việc về ở luôn, đường rộng hai ô tô tránh nhau, dừng đỗ trước nhà thoải mái.- Diện tích 92m², nhà 5 tầng, mặt tiền 4.6m giá có 8.5 tỷ. Giá trị của căn nhà mơ ước - ô tô vào nhà - diện tích khủng - nội thất đẹp - giá quá yêu thương.- Vị trí nhà thoáng mát, thiết kế 3 mặt thoáng vĩnh viễn. Đường trước nhà rộng rãi thoải mái, oto vào nhà.+ Tầng 1: Sân để xe, phòng khách, bếp, wc.+ Tầng 2,3: Mỗi tầng 2 ngủ, wc khép kín.+ Tầng 4: Phòng thờ, phòng gym, wc.+ Tầng 5: Sân phơi, sân trồng cây.+ Sổ đỏ chính chủ.- Liên hệ tôi Mạnh 0984 860 *** ",92 m²,8.5 tỷ,,,,,,22/11/2022,02/12/2022,Tin thường,35925258,batdongsan_com_vn_35925258,,Sổ đỏ,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', 'Dự án 90 Nguyễn Tuân']","
Chính chủ cần bán căn hộ diện tích 88.24m² tòa HH1 chung cư 90 Nguyễn Tuân.Thiết kế gồm 3 phòng ngủ, 2 vệ sinh.Hướng cửa Tây Bắc, ban công Đông Nam.Nội thất đầy đủ như hình.Giá bán 3.9 tỷ.Liên hệ xem nhà trực tiếp tôi SĐT 0965 551 *** ",88.24 m²,3.9 tỷ,,Tây - Bắc,,2 phòng,2 phòng,22/11/2022,29/11/2022,Tin thường,28270218,batdongsan_com_vn_28270218,,Sổ đỏ chính chủ.,Đông - Nam,Nội thất đầy đủ như hình.
"['Hà Nội', 'Gia Lâm', 'Xã Đặng Xá', 'Đường Nguyễn Đức Thuận']","
Bán gấp căn nhà C4 đang cho thuê kinh doanh, mặt đường Nguyễn Đức thuận - Trâu quỳ - Gia lâm - HN.Diện tích: 110m².Diện tích trên sổ: 80m².Mặt tiền: 4,5m.Vỉa hè: 4m.Lòng đường: 40m.Kinh doanh: Siêu đẹp.+ Vị trí nhà mặt đường QL 5A kinh doanh sần uất ngày đêm, đối diện với nhà văn hóa Huyện gia lâm.Tiện ích khu vực xung quanh có khu đô thị đặng xá rộng 70ha, vinhomes ocean park chỉ 3 phút, trung tâm hành chính mới huyện gia lâm, bệnh viện trường học không thiếu thứ gì.Hiện trạng nhà C4, chủ mới mua về có thể xây tòa 6 - 7 tầng làm văn phòng cho thuê, cửa hàng shoroom ô tô.+ Giao thông thuận tiện đi các tỉnh phía nam và phía đông như Bắc Ninh, Bắc Giang, Lạng Sơn.- Chỉ mất 5p lên cao tốc Hà Nội Hải Phòng.+ Sổ đỏ chính chủ giao dịch trong ngày.            ",110 m²,6.7 tỷ,20 m,,,,,23/11/2022,30/11/2022,Tin thường,34459056,batdongsan_com_vn_34459056,4.5 m,Sổ đỏ,,
"['Hà Nội', 'Gia Lâm', 'Xã Đặng Xá', 'Đường Nguyễn Đức Thuận', 'Dự án Đặng Xá 1']","
Chính chủ cần bán gấp: Căn chung cư thương mại khu đô thị Đặng Xá, Gia Lâm, HN.- Diện tích: 58m².- Nhà đang cho thuê, có dòng tiền hàng tháng.- Nhà đầy đủ nội thất.- Nhà được thiết kế thoáng mát.- Phù hợp mọi tầng lớp, hàng xóm tình cảm.- Cư dân văn minh, lịch sự, không gian sống thoáng mát.Liên hệ: Mr. Sơn để biết thêm thông tin và dẫn đi xem nhà.            ",58 m²,1.25 tỷ,,,,,,21/11/2022,28/11/2022,Tin thường,35470038,batdongsan_com_vn_35470038,,,,Nhà đầy đủ nội thất.
"['Hà Nội', 'Gia Lâm', 'Xã Đặng Xá', 'Dự án Đặng Xá 1']","
- Bán biệt thự song lập 176m² trục chính KĐT Đặng Xá - Gia Lâm - HN.- Mặt tiền: 10m hậu 10m.- Xây dựng: 3 tầng.- Diện tích xây dựng: 320m².- Tọa độ vàng, thuận ngàn kết nối.- Nằm trong KĐT Đặng Xá, Gia Lâm xanh bậc nhất Thủ đô. Sát QL 5A, đường Nguyễn Đức Thuận.500m tới TT hành chính mới Gia Lâm.10 phút tới trung tâm Hà Nội qua cầu Thanh Trì, Vĩnh Tuy, Chương Dương.- Không gian xanh trong lành bậc nhất với hệ thống công viên, cây xanh bao phủ tới 5ha.- Tiện ích hiện đại đã hoạt động: Bể bơi, sân bóng, khu vui chơi trẻ em, bãi đỗ xe, nhà hàng, trường học các cấp.- An ninh nội khu 24/7.- Thiết kế hiện đại, mặt tiền lớn, đa dạng công năng: Để ở, kinh doanh nhà hàng, dịch vụ hoặc cho thuê.Cơ hội đầu tư vừa kinh doanh mang lại lợi nhuận hàng tháng và lợi nhuận tăng giá đất hàng năm.+ Liên hệ: Mr. Sơn.Hỗ trợ miễn phí nhiệt tình từ A đến Z.            ",176 m²,75 triệu/m²,13 m,,,,,26/11/2022,03/12/2022,Tin thường,31152426,batdongsan_com_vn_31152426,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Cổ Bi', 'Thôn Cam']","
Bán gấp: Lô đất vị trí đẹp, không lỗi phong thủy.- Diện tích: 50m².- Mặt tiền: 4,5m.- Đường đẹp: Cách 2 nhà ra đường oto tránh,- Đường trước hơn 3m. Ô tô vào thẳng nhà.- Đ/C: Thôn Cam, Cổ Bi, Gia Lâm, HN.- Vị trí: Giáp đường lớn nối cầu Phù Đổng, giáp Quốc lộ 1, Quốc lộ 5, giáp đường Cổ Bi.- Gần chợ đầu mối trung tâm của huyện.- Giao thông thuận tiện, cơ sở hạ tầng đồng bộ.- Một số cơ sở hạ tầng đang được triển khai.- Liên hệ: Mr. Sơn để biết thêm thông tin.            ",50 m²,2.2 tỷ,,,,,,26/11/2022,03/12/2022,Tin thường,35443871,batdongsan_com_vn_35443871,4.5 m,,,
"['Hà Nội', 'Thanh Oai', 'Xã Tam Hưng', 'Đường 21B']","
Hot! CC gửi bán 43m² Tam Hưng, Thanh Oai giá rẻ bằng 1/2 Thanh Trì, Hà Đông cách chỉ 7 - 8km:Đường vào đất 2.5m, khu đông dân cư, chợ trường học cách đất chỉ 500m, cách đường ô tô to chỉ 30m.Cách đường Cenco 5, vành đai 4 chỉ 700m, cách KDT Thanh Hà 5km, cách Hà Đông chỉ 8km.Pháp lý sổ đỏ chính chủ, giá chỉ 1. X tỷ (x như không có).Mua bây giờ và đón sóng cuối năm thi công vành đai 4, KDT Mỹ Hưng, đường Cenco 5 thông Phú Xuyên Ứng Hoà.Quan tâm LH 0988 391 *** xem đất.            ",43 m²,Thỏa thuận,2.5 m,,,,,27/11/2022,04/12/2022,Tin thường,34272523,batdongsan_com_vn_34272523,,Sổ đỏ/ Sổ hồng.,,
