address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Pháp lý,Hướng ban công,Nội thất
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Đại Mỗ', 'Ngõ 17']","
Chính chủ bán nhà 51m² x 4 tầng tại ngõ 17 phố Đại Mỗ quận Nam Từ Liêm.Bố trí:- Tầng 1: Để xe, 1PN, 1PK nhỏ, VS.- Tầng 2: Bếp, 1PK lớn, khu vui chơi sinh hoạt chung.- Tầng 3: 2PN, VS.- Tầng 4: 1PN, VS, Phòng thờ, sân phơi.- Tầng mái: Bể nước, sân chơi, nơi trồng cây (có mái che).Vị trí đắc địa: Lô góc 3 mặt thoáng 2 mặt tiền ngay ngã tư Vạn Phúc - Tố Hữu, xung quanh tiện ích đầy đủ điện - đường - trường - trạm, cây xăng, TTTM Aeon, trường quốc tế Nhật Bản, Cấp 1 - 2 - 3 Đại Mỗ, chợ Ngọc Trục, siêu thị Winmart, AEON, bệnh viện Hà Đông, 103, Tuệ Tĩnh...Chỗ gửi xe ô tô ngày đêm ngay cạnh nhà, thuận tiện di chuyển vào trung tâm cũng như ra ngoại thành qua các trục đường lớn: Đại Mỗ, Tố Hữu, Vạn Phúc, Nguyễn Thanh Bình, Lê Quang Đạo, Sa Đôi.LH chính chủ đứng trên sổ đỏ: chị Lan 0908 127 *** ",51 m²,6.1 tỷ,4.2 m,3 m,Tây - Nam,4 tầng,4 phòng,25/11/2022,02/12/2022,Tin thường,35662312,batdongsan_com_vn_35662312,3 phòng,Sổ đỏ/ Sổ hồng,Tây - Nam,"Nội thất chất lượng, đầy đủ, gỗ lim Nam Phi"
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Bắc', 'Ngõ 13 Đường Khuất Duy Tiến']","
- Bán nhà riêng ngõ 13 Khuất Duy Tiến, Thanh Xuân Bắc 35m2x5T - Chỉ 20M ra mặt ngõ ô tô tránh - Chỉ 3.5 tỷ - Lh 0855 476 ***- Nằm ngay cạnh ngã tư Khuất Duy Tiến, cạnh nhiều phố lớn, kinh doanh sầm uất như Nguyễn Trãi, Khuất Duy Tiến, Nguyễn Xiển, Nguyễn Quý Đức,... Đi đâu cũng thuận tiện.- Tiện ích vô vàn, gần nhiều chợ, thực phẩm luôn được đảm bảo tươi sống.- Gần nhiều trường học các cấp từ mầm non đến đại học, xung quanh nhiều công viên và hồ điều hoà,...- Thiết kế 4 tầng khung cột bê tông chắc chắn.+ T1: Bếp, WC+ T2: Phòng khách+ T3: 2 Phòng ngủ + Wc.+ T4: Phòng thờ + Phòng ngủ nhỏ + Sân phơi.- Sổ đỏ cất két, giao dịch nhanh chóng.- Liên hệ: 0855 476 *** - Tư vấn mua bán & kí gửi bất động sản miễn phí.            ",35 m²,3.5 tỷ,,,,4 tầng,3 phòng,27/11/2022,04/12/2022,Tin thường,35963309,batdongsan_com_vn_35963309,3 phòng,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', 'ngõ 108', '108 Nguyễn Trãi']","
Chính chủ cần bán lô góc 3 mặt thoáng tại khu đô thị 108 Nguyễn Trãi Thanh Xuân - Hà Nội. Sát tường với Royal. Thuận tiện giao thông.Lô đất đã có sổ đỏ chính chủ. Có giấy phép xây 5tầng.Nay gia đình cần bán lại, ac có nhu cầu vui lòng lh 0912 516 *** ",160 m²,38 tỷ,15 m,8 m,Nam,2 tầng,5 phòng,27/11/2022,04/12/2022,Tin thường,35327020,batdongsan_com_vn_35327020,3 phòng,Sổ đỏ/ Sổ hồng,Nam,K
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', '108', 'King Palace']","
Gia đình tôi cần bán căn hộ 06 tầng đẹp có dt 115m². Full nội thất nhập khẩu. Có chỗ để ô tô. Tại dự án King Palace 108 Nguyễn Trãi - Thanh Xuân - Hà Nội.Giá bán 6 tỷ có thương lượng.Lh xem nhà 0912 516 *** ",115 m²,6 tỷ,,,Đông - Bắc,,3 phòng,27/11/2022,04/12/2022,Tin thường,35336681,batdongsan_com_vn_35336681,2 phòng,,Đông - Bắc,Full
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Thị Định']","
- Chủ nhà cần bán tòa nhà văn phòng 100m² * 7,5m phố Nguyễn Thị Định, trung tâm quận Cầu Giấy kết nối các phố như Đỗ Quang, Lê Văn Lương, Trần Duy Hưng, Hoàng Ngân, Hoàng Đạo Thúy, Nguyễn Thị Thập, Nguyễn Chí Thanh,..- Đường trước nhà 3 ô tô tránh nhau, mặt trước là khu sân chơi trước nhà rộng 600m², bao gồm cây xanh, sân cầu lông, tập thể dục, đỗ xe xung quanh thoả mái. Đỗ Quang, Nguyễn Thị Định là khu vực phân lô dân trí cực cao, mật độ cây xanh cao.- Tòa nhà mình xây 7 tầng, 1 hầm, 1 tum thiết kế hiện đại với với diện tích là 100m², thang máy, điều hòa âm tường, hệ thống phòng cháy chữa cháy đầy đủ.* Thiết kế:+ Tầng hầm: Để 6 ô tô.+ Tầng 2.3.4.5.6.7: Thông sàn + Wc, thang máy, thang bộ cuối.- Khách có thể sửa 2 tầng trên để ở như 1 căn nhà 2 tầng riêng biệt cho gia đình ở, với 3 ngủ, 1 khách, bếp, cầu thang bộ riêng trong nhà. (dạng penhouse).+ Tum: Thông sàn, sân phơi để téc nước,...- Giá 29,1 tỷ (có thương lượng).- Nhà phù hợp làm văn phòng hoặc kết hợp vừa ở trên, dưới làm văn phòng rất đẹp.- Sổ đỏ vuông vắn, chính chủ sẵn sàng giao dịch.Liên hệ Mr Hoàng 0969 018 *** để được tư vấn nhiệt tình và xem nhà ngay (mọi thông tin thật 100%).            ",100 m²,29.1 tỷ,7.5 m,8 m,,8 tầng,8 phòng,23/11/2022,30/11/2022,Tin thường,35929601,batdongsan_com_vn_35929601,8 phòng,Sổ đỏ,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Bông', 'Phố Hàng Bông']","
Tòa nhà VIP 13 tầng lừng lững cao nhất mặt phố Hàng Bông vỉa hè, kinh doanh khách du lịch hạng sang.+ Tòa khách sạn được gia chủ tự XD vô cùng tâm huyết, kết cấu BTCT kiên cố với tổng thời gian thi công và hoàn thiện đủ cả phòng cháy chữa cháy.+ 2 thang máy xịn chạy song song, hệ thống thang bộ + phòng cháy tự động + thang thoát hiểm.+ Thiết kế: Kiểu tân cổ điển ốp đá kết hợp nội thất gỗ sang trọng của khách sạn 4 sao.- Tầng hầm: Gara để xe + 5 phòng chức năng.- Tầng 1: Thông sàn là lễ tân tiếp khách + khu vực quầy rượu, cafe.- Tầng 2: 2 phòng khép kín + 3 phòng massage + 1 phòng gyms.- Từ tầng 3,4,5,6: mỗi tầng chia làm 11 phòng khép kín.- Tầng 7,8: mỗi tầng chia làm 10 phòng khép kín.- Tầng 9: Chia làm 6 phòng + 1 phòng họp to.- Tầng 10: Chia làm 8 phòng khép kín.- Tầng 11: Nhà hàng ăn uống.- Tầng 12: Bể bơi + khu tắm nắng.+ Pháp lý: Sổ đỏ chính chủ đẹp, pháp lý 1 chủ đất ở toàn bộ, xây hết 323m² đất.Chủ xây tâm huyết để cho con kinh doanh nhưng con đi du học lại lập nghiệp luôn ở nước ngoài mà 2 bác cũng có tuổi nên bán dưỡng già và chia cho con cháu.Liên hệ ngay: 0939 839 ***Mr. Lâm) để được tư vấn.            ",323 m²,550 tỷ,,,,13 tầng,80 phòng,24/11/2022,04/12/2022,Tin thường,35943365,batdongsan_com_vn_35943365,80 phòng,Sổ đỏ/ Sổ hồng,,Đầy đủ
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Cổ Linh']","
Bán nhà Thạch Bàn, Cổ Linh, gần Chợ Đồng Dinh 42m² 4 tầng có sân rộng giá 2 tỷ 750 triệu.Thông tin như sau:- Diện tích: 42m².- Nhà thiết kế 5 tầng, hiện đại. Ngõ trước nhà rộng 3,5m.+ Tầng 1: Chỗ để xe, phòng khách, bếp, vệ sinh.+ Tầng 2,3,4: Mỗi tầng 1 ngủ + vệ sinh.+ Tầng 5: Phòng thờ, sân phơi rộng.Vị trí: Nhà thuộc đường Cổ Linh, Thạch Bàn. Gần ngay KĐT Garden City. Là khu vực Trung tâm của Thạch Bàn. Chợ, siêu thị, hàng tạp hóa, trường học công lập... Dân cư văn minh lịch sự.Nhà ở cực kỳ có lộc, tôi tự tay xây tâm huyết. Giờ muốn đổi sang căn to hơn vì nhà đông người.+ Sổ đỏ riêng biệt chính chủ, giấy phép xây dựng UBND Quận cấp.+ Hỗ trợ vay vốn ngân hàng 70% lãi suất thấp.+ Giá: 2 tỷ 750 triệu (có thương lượng, đang rất cần bán).Liên hệ: 0979 349 *** để được đi xem nhà miễn phí.            ",42 m²,2.75 tỷ,,3.5 m,,5 tầng,3 phòng,22/11/2022,29/11/2022,Tin thường,34981514,batdongsan_com_vn_34981514,4 phòng,Sổ đỏ/ Sổ hồng.,,Full nội thất xịn.
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Nguyễn Khánh Toàn']","
Siêu hiếm nhà Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy. Nhà thiết kế đẹp đủ công năng sử dụng.DT 45m²*5 tầng.Mô tả:+ Nhà xây 5 tầng khung cột chắc chắn:- Tầng 1: Bếp, wc, để xe.- T2: Phòng khách, 1 ngủ, 1 wc.- T3, 4: Mỗi tầng 2 phòng, 1 wc.- T5: Phòng nhỏ và sân phơi.- Cầu thang giữa.+ Nội thất: Nội thất sang trọng hiện đại đầy đủ công năng, điều hòa, nóng lạnh, tủ bếp, cửa thông phòng, cầu thang làm bằng gỗ Lim, trần thạch cao.+ Vị trí: Nhà nằm ở vị trí đắc địa, đẹp nhất phố, gần chợ, trường cấp 3 Cầu Giấy, tiểu học THCS FPT, giáp công viên Nghĩa Đô, giao thông thuận tiện.Sổ đỏ cất két sẵn sàng giao dịch.Liên hệ (zalo) MTG.            ",45 m²,4.8 tỷ,3 m,,,5 tầng,3 phòng,21/11/2022,28/11/2022,Tin thường,35889711,batdongsan_com_vn_35889711,4 phòng,Sổ đỏ,,"Nội thất sang trọng hiện đại đầy đủ công năng, điều hòa, nóng lạnh, tủ bếp."
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Nguyễn Khánh Toàn', 'Ngõ 48']","
Bán nhà ngõ 48 Nguyễn Khánh Toàn - Cầu Giấy 70m² 4 tầng, chỉ hơn 6 tỷ.Ngõ to ngắn - ngõ thông - nhà dân xây 4 tầng.- Ngõ trước nhà siêu thoáng sáng.- Nhà chủ nhà tự xây chắc chắn.+ Thiết kế:- Tầng 1: Phòng khách + Bếp.- Tầng 2 2 phòng ngủ.- Tầng 3 1 phòng lớn có thể ngăn đôi.- Tầng 4 phòng thờ sân phơi.Sổ đỏ chính chủ sẵn giao dịch.Giá chỉ 6,6 tỷ (có thương lượng).Liên hệ gọi ngay 0947 060 *** để được tư vấn xem nhà.            ",70 m²,6.6 tỷ,4 m,,,4 tầng,4 phòng,26/11/2022,03/12/2022,Tin thường,35701486,batdongsan_com_vn_35701486,3 phòng,Sổ đỏ/ Sổ hồng,,Cơ bản.
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Phố Ngọc Trì']","
Chính chủ bán nhà Thạch Bàn Cổ Linh 38m², 4 tầng ngay Thạch Bàn Chợ Đồng Dinh giá 2,7 tỷ.+ Diện tích: 38m.+ Nhà xây 4,5 tầng, xây chắc chắn:Tầng 1: Phòng khách, bếp, sân để xe.Tầng 2,3: Mỗi tầng 1 ngủ + vệ sinh.Tầng 4: 1 ngủ, 1 gian thờ, sân phơi.Vị trí: Nhà thuộc phố Thạch Bàn, chợ Đồng Dinh Ngọc Trì đi vào. Xung quanh bán kính đầy đủ trường học công lập từ mầm non đến cấp 3 Thạch Bàn. Gần chợ, siêu thị, gần bãi gửi ô tô... Dân cư văn minh lịch sự thích hợp để ở an cư lạc nghiệp.+ Cam kết không quy hoạch, không tranh chấp.+ Giá: 2,7 tỷ (có thương lượng).Liên hệ: 0979 349 *** để đi xem nhà miễn phí.            ",38 m²,2.7 tỷ,,,,4 tầng,3 phòng,22/11/2022,29/11/2022,Tin thường,34491188,batdongsan_com_vn_34491188,2 phòng,Sổ đỏ/ Sổ hồng,,
